fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2009*2009-07-01*2009-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.06**6467.4*83*0.0*3399854*false*525.6909***0.88*0.03*0.46*7.02*0.49*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2012*2012-07-01*2012-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*0.0*0.03**7158.94*142*0.0*4007037*false*559.7248*0.88**0.88*0.03*-3.18*4.9*0.44*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2012*2012-07-01*2012-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*0.08*0.04**5880.69*81*0.0*3399817*false*578.1327*0.44**0.44*0.01*-0.93*7.42*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2012*2012-01-01*2012-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.25*0.14**6905.99*81*0.0*4030231*false*583.5845*0.87**0.87*0.02*4.5*6.9*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2012*2012-01-01*2012-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.19**6470.64*81*0.0*3613633*false*558.4661*0.43**0.43*0.01*-2.58*7.65*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2013*2013-07-01*2013-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.04**6644.68*153*0.0*3502437*false*527.1041*0.88**0.88*0.03*-1.72*4.65*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2013*2013-07-01*2013-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.02**5724.94*139*0.0*3070554*false*536.3474*0.44**0.44*0.01*-2.16*4.54*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2013*2013-01-01*2013-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*1.12*0.01**5357.73*148*0.0*2937049*false*548.1893*0.87**0.87*0.02*-2.16*5.57*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2013*2013-01-01*2013-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*0.12*0.01**5939.49*136*0.0*3327943*false*560.308*0.43**0.43*0.01*0.1*7.58*0.51*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2014*2014-07-01*2014-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.02**9799.34*401*0.0*5510691*false*562.3534*0.44**0.44*0.01*5.5*3.87*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2014*2014-01-01*2014-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.15*0.1**8354.91*326*0.0*4453308*false*533.0167*0.87**0.87*0.02*0.88*2.74*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2014*2014-01-01*2014-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.07**7079.98*197*0.0*3740792*false*528.3621*0.43**0.43*0.01*0.24*4.7*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2013*2013-07-01*2013-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.04**6644.68*153*0.0*3502437*false*527.1041*0.88**0.88*0.03*-1.72*4.65*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2015*2015-07-01*2015-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.12*0.0**20655.46*1396*0.0*12741466*false*616.857*0.88**0.88*0.03*1.0*7.84*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2015*2015-07-01*2015-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**18278.92*1267*0.0*11163354*false*610.7229*0.44**0.44*0.01*-1.34*9.21*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2015*2015-01-01*2015-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**19422.22*1106*0.0*12023086*false*619.0378*0.87**0.87*0.02*-2.35*9.04*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2015*2015-01-01*2015-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.01**15293.35*753*0.0*9695045*false*633.9387*0.43**0.43*0.01*9.88*10.63*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2016*2016-07-01*2016-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*5 en una escala del 1 al 7*0.47*0.0**10949.9*286*0.0*6730592*false*614.6714*0.88**0.88*0.03*3.3*5.37*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2016*2016-07-01*2016-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.09*0.0**15546.74*304*0.0*9250889*false*595.0371*0.44**0.44*0.01*-0.9*3.38*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2016*2016-01-01*2016-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.99*0.0**15564.94*315*0.0*9346045*false*600.455*0.87**0.87*0.02*1.44*4.64*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2016*2016-01-01*2016-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*5 en una escala del 1 al 7*0.38*0.0**20019.3*1426*0.0*11850472*false*591.9524*0.44**0.44*0.01*-4.04*6.49*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2017*2017-07-01*2017-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.6*-0.02**8034.26*177*0.0*4505272*false*560.7574*0.88**0.88*0.03*-1.26*3.36*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2017*2017-07-01*2017-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.3*0.0**8341.68*201*0.0*4737234*false*567.8996*0.44**0.44*0.01*-2.31*3.9*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2017*2017-01-01*2017-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.9*0.0**9493.92*218*0.0*5519205*false*581.3411*0.87**0.87*0.02*-4.45*4.46*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2017*2017-01-01*2017-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*5 en una escala del 1 al 7*0.0*0.0**10663.06*254*0.0*6487682*false*608.4257*0.43**0.43*0.01*-1.02*5.21*0.46*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2018*2018-07-01*2018-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.51*-0.08**8847.11*183*0.0*5036187*false*569.2466*0.88**0.88*0.03*0.4*2.8*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2018*2018-07-01*2018-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.57*-0.01**6336.9*139*0.0*3593043*false*567.0034*0.44**0.44*0.01*0.08*3.34*0.49*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2018*2018-01-01*2018-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.27*-0.07**6317.07*139*0.0*3579110*false*566.5773*0.87**0.87*0.02*2.42*4.38*0.49*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2018*2018-01-01*2018-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*5 en una escala del 1 al 7*0.48*-0.01**6686.5*150*0.0*3698900*false*553.1892*0.43**0.43*0.01*-1.35*4.35*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2019*2019-07-01*2019-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.48*-0.09**10419.39*184*0.0*6011990*false*577.0003*0.88**0.88*0.03*-1.26*2.19*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2019*2019-07-01*2019-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.1**9512.77*185*0.0*5559004*false*584.3726*0.44**0.44*0.01*1.86*2.7*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL RENTA FIJA INTERNACIONAL FI*82587270*Semester 1 2019*2019-01-01*2019-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.09**9318.39*193*0.0*5345749*false*573.6772*0.87**0.87*0.02*-0.77*2.1*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2019*2019-01-01*2019-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.09**9432.92*188*0.0*5453593*false*578.145*0.43**0.43*0.01*1.56*3.28*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 2 2020*2020-07-01*2020-12-31*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.1*-0.2**10486.73*175*0.0*5695541*false*543.1187*0.88**0.88*0.03*-2.35*3.75*0.48*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 3 2020*2020-07-01*2020-09-30*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.25*-0.24**14993.77*212*0.0*8339334*false*556.1865*0.44**0.44*0.01*-2.82*3.86*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Semester 1 2020*2020-01-01*2020-06-30*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.15**17185.84*236*0.0*9835944*false*572.3285*0.87**0.87*0.02*-0.98*3.63*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
RURAL RENTA FIJA INTERNACIONAL, FI*RURAL R.FIJA INTERNACIONAL,FI*82587270*Trimester 1 2020*2020-01-01*2020-03-31*2073*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*5 en una escala del 1 al 7*0.0*-0.13**15933.97*237*0.0*9209660*false*577.9891*0.43**0.43*0.01*0.17*5.4*0.47*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174368037
