fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
R4 ACTIVA DOLCE 0-30, FI*RENTA 4 TOP SELECCION CONSERVADOR FI*87287827*Trimester 3 2015*2015-07-01*2015-09-30*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.36*0.07**51894.113767*7*0.0*509340*false*9.815*0.11*0.0*0.11*0.02*0.0*3.3*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE I*87287827*Semester 1 2019*2019-01-01*2019-06-30*4890*gestora@renta4.es*ND*3*0.0*-0.4**1399818.92*495*0.0*13838899*false*9.8862*0.25*0.0*0.25*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE R*87287827*Semester 1 2019*2019-01-01*2019-06-30*4890*gestora@renta4.es*ND*3*0.0*-0.4**61117.1*32*0.0*601768*false*9.8462*0.42*0.0*0.42*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE I*87287827*Trimester 1 2019*2019-01-01*2019-03-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.41*0.25**1440654.292846*511*0.0*14119325*false*9.8006*0.12*0.0*0.12*0.02*2.93*2.03*0.15*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE R*87287827*Trimester 1 2019*2019-01-01*2019-03-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*0.41*0.25**56979.750604*28*0.0*556611*false*9.7686*0.21*0.0*0.21*0.02*2.85*2.03*0.23*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE I*87287827*Semester 2 2018*2018-07-01*2018-12-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.91*0.25**1597130.294532*524*0.0*15206747*false*9.5213*0.25*0.0*0.25*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*R4 ACTIVA TIERRA CLASE R*87287827*Semester 2 2018*2018-07-01*2018-12-31*4890*gestora@renta4.es*NA*3, de una escala del 1 al 7*1.91*0.25**43056.283812*20*0.0*408963*false*9.4984*0.43*0.0*0.43*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE I*87287827*Semester 2 2020*2020-07-01*2020-12-31*4890*gestora@renta4.es*ND*3*0.74*-0.5**1431564.62*740*0.0*14301132*false*9.9899*0.43*0.0*0.43*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE R*87287827*Semester 2 2020*2020-07-01*2020-12-31*4890*gestora@renta4.es*ND*3*0.74*-0.5**145308.6*56*0.0*1439578*false*9.907*0.6*0.0*0.6*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE I*87287827*Trimester 3 2020*2020-07-01*2020-09-30*4890*gestora@renta4.es*ND*3*0.22*-0.5**1507826.23*785*0.0*14848312*false*9.8475*0.25*0.0*0.25*0.03*1.39*1.51*0.33*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE R*87287827*Trimester 3 2020*2020-07-01*2020-09-30*4890*gestora@renta4.es*ND*3*0.22*-0.5**181863.38*58*0.0*1778285*false*9.7781*0.3*0.0*0.3*0.03*1.34*1.51*0.38*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE I*87287827*Semester 1 2020*2020-01-01*2020-06-30*4890*gestora@renta4.es*ND*3*0.84*-0.5**1550548.73*803*0.0*15059476*false*9.7124*0.5*0.0*0.5*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE R*87287827*Semester 1 2020*2020-01-01*2020-06-30*4890*gestora@renta4.es*ND*3*0.84*-0.5**169295.59*58*0.0*1633498*false*9.6488*0.6*0.0*0.6*0.05*[]*[]*[]*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE I*87287827*Trimester 1 2020*2020-01-01*2020-03-31*4890*gestora@renta4.es*ND*3*0.56*-0.5**1831680.16*875*0.0*17222900*false*9.4028*0.12*0.0*0.12*0.02*-6.23*7.61*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
R4 ACTIVA DOLCE 0-30, FI*CLASE R*87287827*Trimester 1 2020*2020-01-01*2020-03-31*4890*gestora@renta4.es*ND*3*0.56*-0.5**145840.73*62*0.0*1363013*false*9.3459*0.21*0.0*0.21*0.02*-6.3*7.62*0.31*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*
