fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 2 2009*2009-07-01*2009-12-31*2028*bbk.gestion@grupobbk.com*A+ (IBCA)*Muy alto*0.0*0.2**1905355.19*1920*0.0*15693621*false*8.2366***0.83*0.05*9.9*15.03*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 2 2012*2012-07-01*2012-12-31*2028*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.0*0.11**2947496.72*3318*0.0*28310920*false*9.6051*0.83*0.0*0.83*0.05*3.32*6.58*0.69*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 3 2012*2012-07-01*2012-09-30*2028*bbk.gestion@grupobbk.com*BBB- (S&P)*Muy alto*0.0*0.13**3060203.96*2506*0.0*28448668*false*9.2963*0.41*0.0*0.41*0.03*5.91*10.96*0.77*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Semester 1 2012*2012-01-01*2012-06-30*2028*bbk.gestion@grupobbk.com*BBB (Fitch)*Muy alto*0.0*0.16**3086904.26*2525*0.0*27095991*false*8.7777*0.82*0.0*0.82*0.05*-4.05*12.81*0.76*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*BBK BOLSAS EMERGENTES F.I.*95077558*Trimester 1 2012*2012-01-01*2012-03-31*2028*bbk.gestion@grupobbk.com*A- (IBCA)*Muy alto*0.0*0.14**3105133.37*2559*0.0*28406984*false*9.1484*0.41*0.0*0.41*0.02*9.11*12.17*0.75*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 3 2013*2013-07-01*2013-09-30*2028*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.0*0.06**3054298.42*1599*0.0*27680429*false*9.0628*0.42*0.0*0.42*0.03***0.65*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 1 2013*2013-01-01*2013-06-30*2028*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.0*0.11**4345540.81*9128*0.0*38802215*false*8.9292*0.82*0.0*0.82*0.05*-9.34*16.41*0.62*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 1 2013*2013-01-01*2013-03-31*2028*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.0*0.12**2909366.22*3753*0.0*28656074*false*9.8496*0.41*0.0*0.41*0.02*2.55*9.64*0.67*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 2 2012*2012-07-01*2012-12-31*2028*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.0*0.11**2947496.72*3318*0.0*28310920*false*9.6051*0.83*0.0*0.83*0.05*3.32*6.58*0.69*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 2 2014*2014-07-01*2014-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.04*0.03**2350877.27*1878*0.0*23251952*false*9.8908*0.96*0.0*0.96*0.05*-0.39*15.28*0.82*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 3 2014*2014-07-01*2014-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.04*0.05**2317645.54*1870*0.0*23013122*false*9.9295*0.48*0.0*0.48*0.03*4.15*9.42*0.82*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 1 2014*2014-01-01*2014-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.19*0.17**2383531.71*1758*0.0*22723386*false*9.5335*0.94*0.0*0.94*0.05*6.89*7.05*0.82*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 1 2014*2014-01-01*2014-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.04*0.15**2457219.83*1686*0.0*21916149*false*8.9191*0.47*0.0*0.47*0.02*-1.62*11.2*0.79*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 3 2015*2015-07-01*2015-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.0**2425532.35*2247*0.0*22047328*false*9.0897*0.48*0.0*0.48*0.03*-15.32*24.29*0.77*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 1 2015*2015-01-01*2015-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.2*0.01**2463511.76*2212*0.0*26442795*false*10.7338*0.94*0.0*0.94*0.05*-3.52*14.73*0.77*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 1 2015*2015-01-01*2015-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.22*0.02**2526227.64*2042*0.0*28106037*false*11.1257*0.47*0.0*0.47*0.02*12.49*13.41*0.79*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 2 2014*2014-07-01*2014-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.04*0.03**2350877.27*1878*0.0*23251952*false*9.8908*0.96*0.0*0.96*0.05*-0.39*15.28*0.82*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 2 2016*2016-07-01*2016-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.03**12983053.87*46838*0.0*132730135*false*10.2233*0.95*0.0*0.95*0.05*-0.7*12.69*0.75*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 3 2016*2016-07-01*2016-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.06**13555332.29*45157*0.0*139564313*false*10.2959*0.46*0.0*0.46*0.02*6.56*11.15*0.74*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 1 2016*2016-01-01*2016-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.0**3064999.0*2265*0.0*29613655*false*9.6619*0.94*0.0*0.94*0.05*2.84*11.82*0.75*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 1 2016*2016-01-01*2016-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.04*0.0**2603830.72*2265*0.0*24464269*false*9.3955*0.47*0.0*0.47*0.02*-0.39*19.77*0.74*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 2 2017*2017-07-01*2017-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.13*0.01**825979.54*796*0.0*9821812*false*11.8911*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 2 2017*2017-07-01*2017-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.13*0.01**14066601.75*55225*0.0*167267477*false*11.8911*0.46*0.0*0.46*0.02*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 3 2017*2017-07-01*2017-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.04*0.0**15113021.9*54715*0.0*172197735*false*11.394*0.48*0.0*0.48*0.03*3.82*10.45*0.77*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Semester 1 2017*2017-01-01*2017-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.05*0.01**14645049.18*53473*0.0*160720564*false*10.9744*0.94*0.0*0.94*0.05*-1.57*9.71*0.77*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*KUTXABANK BOLSA EMERGENTES F.I.*95077558*Trimester 1 2017*2017-01-01*2017-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.09*0.0**15640636.68*51135*0.0*174386042*false*11.1495*0.47*0.0*0.47*0.02*9.06*9.2*0.74*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 2 2018*2018-07-01*2018-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.36**675076.26*595*0.0*6913002*false*10.2403*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 2 2018*2018-07-01*2018-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.36**17538961.78*59718*0.0*180958451*false*10.3175*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Trimester 3 2018*2018-07-01*2018-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.35**711502.0*623*0.0*7763852*false*10.9119*0.48*0.0*0.48*0.03*-2.39*11.12*0.74*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Trimester 3 2018*2018-07-01*2018-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.35**17237030.41*61324*0.0*189148918*false*10.9734*0.29*0.0*0.29*0.03*-2.2*11.12*0.55*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 1 2018*2018-01-01*2018-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.15*-0.1**784676.85*662*0.0*8771639*false*11.1787*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 1 2018*2018-01-01*2018-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.15*-0.1**15545384.76*61045*0.0*174425767*false*11.2204*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Trimester 1 2018*2018-01-01*2018-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*0.01**848957.66*696*0.0*9936529*false*11.7044*0.47*0.0*0.47*0.02*-1.57*13.15*0.74*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Trimester 1 2018*2018-01-01*2018-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*0.01**14754558.23*59504*0.0*173014354*false*11.7262*0.28*0.0*0.28*0.02*-1.39*13.14*0.56*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Trimester 3 2019*2019-07-01*2019-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.02*-0.36**602210.32*536*0.0*6828578*false*11.3392*0.48*0.0*0.48*0.03*-1.18*14.52*0.63*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Trimester 3 2019*2019-07-01*2019-09-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.02*-0.36**26241973.88*60012*0.0*301486667*false*11.4887*0.29*0.0*0.29*0.03*-0.99*14.52*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 1 2019*2019-01-01*2019-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.84*-0.35**644385.79*556*0.0*7393921*false*11.4744*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 1 2019*2019-01-01*2019-06-30*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.84*-0.35**25950590.51*59481*0.0*301121366*false*11.6036*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Trimester 1 2019*2019-01-01*2019-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.17*-0.37**676596.2*581*0.0*7753342*false*11.4593*0.47*0.0*0.47*0.02*11.9*10.63*0.72*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Trimester 1 2019*2019-01-01*2019-03-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.17*-0.37**18509581.01*58849*0.0*214097986*false*11.5669*0.28*0.0*0.28*0.02*12.11*10.63*0.53*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 2 2018*2018-07-01*2018-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.36**675076.26*595*0.0*6913002*false*10.2403*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 2 2018*2018-07-01*2018-12-31*2028*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.36**17538961.78*59718*0.0*180958451*false*10.3175*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 2 2020*2020-07-01*2020-12-31*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.43**551433.31*501*0.0*7202858*false*13.0621*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 2 2020*2020-07-01*2020-12-31*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.43**47264391.8*72346*0.0*631477717*false*13.3605*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Trimester 3 2020*2020-07-01*2020-09-30*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.42**534646.98*471*0.0*6082022*false*11.3758*0.48*0.0*0.48*0.03*5.59*15.76*0.62*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Trimester 3 2020*2020-07-01*2020-09-30*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.42**27603367.51*67645*0.0*320575309*false*11.6136*0.29*0.0*0.29*0.03*5.79*15.76*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Semester 1 2020*2020-01-01*2020-06-30*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.22**552665.22*481*0.0*5954058*false*10.7734*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Semester 1 2020*2020-01-01*2020-06-30*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.22**27469127.48*66748*0.0*301545674*false*10.9776*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE ESTANDAR*95077558*Trimester 1 2020*2020-01-01*2020-03-31*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*5 en una escala del 1 al 7*0.0*-0.06**564518.7*485*0.0*5278078*false*9.3497*0.47*0.0*0.47*0.02*-23.21*45.11*0.61*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EMERGENTES, FI*CLASE CARTERA*95077558*Trimester 1 2020*2020-01-01*2020-03-31*2028*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*5 en una escala del 1 al 7*0.0*-0.06**28443570.59*65341*0.0*270469434*false*9.509*0.28*0.0*0.28*0.02*-23.06*45.11*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
