fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2009*2009-07-01*2009-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.14*0.44**11684.33*568*0.0*6939978*false*593.9561***1.13*0.1*4.26*6.63*0.73*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2012*2012-07-01*2012-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Alto*0.06*0.15**10846.67*532*0.0*7257252*false*669.0768*0.57**0.57*0.05*5.58*7.02*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2012*2012-01-01*2012-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.16*0.35**10914.56*539*0.0*6916481*false*633.693*1.12**1.12*0.1*-2.39*8.5*0.87*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2012*2012-01-01*2012-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.11*0.37**12277.3*557*0.0*7970581*false*649.213*0.56**0.56*0.05*7.96*6.35*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2011*2011-07-01*2011-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.05*0.92**11988.81*562*0.0*7209429*false*601.3467*1.14**1.14*0.1*6.53*11.73*0.89*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2013*2013-07-01*2013-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.11**15401.41*601*0.0*11640076*false*755.7799*1.13**1.13*0.1*3.69*4.71*0.89*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2013*2013-07-01*2013-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.08**14267.3*575*0.0*10398988*false*728.8686*0.57**0.57*0.05*3.34*6.15*0.9*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2013*2013-01-01*2013-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.08**12673.14*558*0.0*8938899*false*705.3419*1.12**1.12*0.1***0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2013*2013-01-01*2013-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio / Alto*0.0*0.08**11249.56*524*0.0*8051072*false*715.6786*0.55**0.55*0.05*5.58*5.3*0.87*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2014*2014-07-01*2014-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.02*0.03**18221.52*639*0.0*14319615*false*785.863*0.57**0.57*0.05*0.85*6.25*0.9*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2014*2014-01-01*2014-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.2**17964.77*641*0.0*13998490*false*779.2191*1.11**1.11*0.1*1.54*5.43*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2014*2014-01-01*2014-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.19**16850.21*622*0.0*12930622*false*767.3865*0.55**0.55*0.05*1.54*6.53*0.86*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2013*2013-07-01*2013-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.11**15401.41*601*0.0*11640076*false*755.7799*1.13**1.13*0.1*3.69*4.71*0.89*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2015*2015-07-01*2015-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**31629.37*1215*0.0*27307755*false*863.3671*1.13**1.13*0.1*4.85*10.08*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2015*2015-07-01*2015-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**29857.4*1089*0.0*24584994*false*823.4136*0.57**0.57*0.05*-5.26*15.38*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2015*2015-01-01*2015-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.01**25872.7*986*0.0*22487479*false*869.1584*1.11**1.11*0.1*-3.01*9.67*0.89*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2015*2015-01-01*2015-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.01**22195.21*829*0.0*19889547*false*896.1191*0.55**0.55*0.05*11.28*8.18*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2016*2016-07-01*2016-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**33773.59*1290*0.0*29686012*false*878.9711*1.13**1.13*0.1*3.16*7.44*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2016*2016-07-01*2016-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**34387.38*1281*0.0*29300182*false*852.062*0.57**0.57*0.05*3.16*6.59*0.88*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2016*2016-01-01*2016-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.63*0.0**33669.33*1276*0.0*27809123*false*825.9481*1.12**1.12*0.1*-0.55*10.07*0.84*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2016*2016-01-01*2016-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**32454.67*1232*0.0*26954256*false*830.5201*0.56**0.56*0.05*-3.8*13.53*0.86*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2017*2017-07-01*2017-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.25*-0.04**35000.17*1276*0.0*32880688*false*939.4435*1.13**1.13*0.08*1.31*4.65*0.85*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2017*2017-07-01*2017-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**33850.14*1251*0.0*31387580*false*927.2512*0.57**0.57*0.04*0.98*5.9*0.84*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2017*2017-01-01*2017-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.34*0.0**34206.07*1271*0.0*31411098*false*918.2902*1.12**1.12*0.07*0.01*5.12*0.85*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2017*2017-01-01*2017-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*6 en una escala del 1 al 7*0.0*0.0**34729.69*1284*0.0*31888846*false*918.2014*0.55**0.55*0.04*4.46*5.3*0.85*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2018*2018-07-01*2018-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.04*-0.18**38994.82*1374*0.0*33059437*false*847.7904*1.13**1.13*0.08*-10.08*10.31*0.83*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2018*2018-07-01*2018-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.01*-0.18**38584.21*1372*0.0*36378204*false*942.8261*0.57**0.57*0.04*0.96*4.37*0.83*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2018*2018-01-01*2018-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.0*-0.16**36669.86*1319*0.0*34245055*false*933.8748*1.12**1.12*0.07*2.41*5.94*0.83*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2018*2018-01-01*2018-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*6 en una escala del 1 al 7*0.05*-0.16**37054.39*1326*0.0*33791394*false*911.9403*0.55**0.55*0.04*-2.93*8.56*0.82*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2019*2019-07-01*2019-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.17**43833.61*1675*0.0*43784315*false*998.8754*1.13**1.13*0.08*3.22*5.72*0.82*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2019*2019-07-01*2019-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.14**39347.95*1442*0.0*38078810*false*967.7457*0.57**0.57*0.04*1.78*7.32*0.82*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2019*2019-01-01*2019-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.09**38340.42*1410*0.0*36455758*false*950.844*1.12**1.12*0.07*2.22*5.97*0.81*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2019*2019-01-01*2019-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.11**39235.17*1398*0.0*36496039*false*930.1867*0.55**0.55*0.04*9.72*6.33*0.8*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 2 2020*2020-07-01*2020-12-31*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.45**61220.14*3161*0.0*63285887*false*1033.7429*1.13**1.13*0.08*5.08*6.73*0.78*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 3 2020*2020-07-01*2020-09-30*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.03*-0.44**52047.49*2416*0.0*51204466*false*983.8028*0.57**0.57*0.04*2.59*7.4*0.78*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Semester 1 2020*2020-01-01*2020-06-30*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.31**49564.9*2199*0.0*47528997*false*958.9245*1.12**1.12*0.07*12.31*12.95*0.79*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL MULTIFONDO 75, FI*RURAL MULTIFONDO 75 FI*82088642*Trimester 1 2020*2020-01-01*2020-03-31*1569*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*6 en una escala del 1 al 7*0.0*-0.2**45143.65*1967*0.0*38542875*false*853.7829*0.56**0.56*0.04*-14.53*24.65*0.8*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
