fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2009*2009-07-01*2009-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.0*0.44**50850.34*1935*0.0*36564397*false*719.0591***0.0*0.01*0.32*1.81*0.02*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 3 2012*2012-07-01*2012-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*0.21*0.14**19928.34*958*0.0*13842453*false*694.6116*0.0**0.0*0.02*2.01*3.55*0.36*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 1 2012*2012-01-01*2012-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.04*0.35**20788.47*1005*0.0*14156021*false*680.9555*0.0**0.0*0.05*-2.24*2.53*0.34*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2012*2012-01-01*2012-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.06*0.37**23507.86*1123*0.0*16374827*false*696.5683*0.0**0.0*0.02*-0.01*2.4*0.36*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2011*2011-07-01*2011-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio*0.14*0.89**25740.64*1205*0.0*17932399*false*696.6571*0.0**0.0*0.05*-0.17*3.38*0.34*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2013*2013-07-01*2013-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.1**18196.74*887*0.0*13277397*false*729.6581*0.0**0.0*0.05*1.33*1.52*0.36*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 3 2013*2013-07-01*2013-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*Medio*0.0*0.09**17540.72*875*0.0*12630756*false*720.0819*0.0**0.0*0.02*2.16*1.68*0.35*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 1 2013*2013-01-01*2013-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*1.39*0.07**18064.75*895*0.0*12732752*false*704.8398*0.0**0.0*0.05*-0.45*2.29*0.35*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2013*2013-01-01*2013-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Medio*1.43*0.06**17736.92*863*0.0*12558121*false*708.0215*0.0**0.0*0.02*0.52*3.07*0.29*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 3 2014*2014-07-01*2014-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.03**30128.17*1279*0.0*22556884*false*748.6975*0.0**0.0*0.02*0.09*2.0*0.35*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 1 2014*2014-01-01*2014-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.19**25499.19*1117*0.0*19074385*false*748.0387*0.0**0.0*0.05*1.25*1.67*0.36*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2014*2014-01-01*2014-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.03*0.2**21399.79*980*0.0*15810368*false*738.8096*0.0**0.0*0.02*1.25*1.81*0.35*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2013*2013-07-01*2013-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.1**18196.74*887*0.0*13277397*false*729.6581*0.0**0.0*0.05*1.33*1.52*0.36*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 2 2015*2015-07-01*2015-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**54469.09*1771*0.0*40856943*false*750.0941*0.0**0.0*0.05*0.01*2.6*0.34*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 3 2015*2015-07-01*2015-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**49061.79*1607*0.0*36796115*false*749.9954*0.0**0.0*0.02*-1.75*3.04*0.34*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Semester 1 2015*2015-01-01*2015-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.01**47086.61*1737*0.0*35942991*false*763.3379*0.0**0.0*0.05*-1.41*2.93*0.35*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2015*2015-01-01*2015-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.01**38431.81*1876*0.0*29756495*false*774.2673*0.0**0.0*0.02*3.58*2.66*0.35*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 2 2016*2016-07-01*2016-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*3 en una escala del 1 al 7*1.83*0.0**79284.26*2487*0.0*59965140*false*756.3309*0.54**0.54*0.03*1.18*2.3*0.45*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 3 2016*2016-07-01*2016-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*1.29*-0.01**54440.67*1823*0.0*40693767*false*747.4884*0.24**0.24*0.01***0.44*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 1 2016*2016-01-01*2016-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**50284.61*1665*0.0*37247819*false*740.74*0.0**0.0*0.05*-0.4*3.07*0.33*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL CESTA CONSERVADORA 20 FI*83021766*Trimester 1 2016*2016-01-01*2016-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala del 1 al 7*0.0*0.0**51696.28*1721*0.0*38446421*false*743.698*0.0**0.0*0.02*-0.85*3.73*0.33*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 2 2017*2017-07-01*2017-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.23*-0.1**346063.52*8420*0.0*266301538*false*769.5164*0.62**0.62*0.03*-0.06*1.06*0.43*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 3 2017*2017-07-01*2017-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.15*0.0**267766.05*6628*0.0*206170871*false*769.9664*0.31**0.31*0.01*0.29*1.18*0.42*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 1 2017*2017-01-01*2017-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.35*0.0**209312.0*5226*0.0*160697300*false*767.7405*0.6**0.6*0.02*0.11*1.45*0.42*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 1 2017*2017-01-01*2017-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*3 en una escala del 1 al 7*0.13*0.0**138642.15*3766*0.0*106319289*false*766.8612*0.29**0.29*0.01*1.39*1.33*0.43*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 2 2018*2018-07-01*2018-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*2 en una escala del 1 al 7*0.24*-0.16**397035.36*9336*0.0*292050677*false*735.5785*0.62**0.62*0.03*-2.73*1.81*0.42*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 3 2018*2018-07-01*2018-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*2 en una escala del 1 al 7*0.17*-0.19**443916.9*10148*0.0*335696488*false*756.2147*0.31**0.31*0.01*-0.6*0.95*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 1 2018*2018-01-01*2018-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*2 en una escala del 1 al 7*0.76*-0.27**472786.01*10489*0.0*359683892*false*760.7752*0.6**0.6*0.02***0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 1 2018*2018-01-01*2018-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala del 1 al 7*0.14*-0.23**460545.98*10171*0.0*351861838*false*764.0102*0.29**0.29*0.01*-0.72*2.05*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL PERFIL CONSERVADOR FI*83021766*Semester 2 2019*2019-07-01*2019-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.26*-0.25**381724.22*9368*0.0*287943057*false*754.3222*0.62**0.62*0.03*0.23*0.63*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 3 2019*2019-07-01*2019-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.31*-0.26**363683.09*8709*0.0*273709665*false*752.6049*0.31**0.31*0.01*0.04*0.81*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Semester 1 2019*2019-01-01*2019-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.35*-0.17**361181.21*8694*0.0*271705296*false*752.2686*0.61**0.61*0.02*0.53*0.96*0.42*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*GESCO GESTION CONSERVADOR FI*83021766*Trimester 1 2019*2019-01-01*2019-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.33*-0.19**369646.57*8846*0.0*276609619*false*748.3084*0.3**0.3*0.01*1.73*1.05*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL PERFIL CONSERVADOR FI*83021766*Semester 2 2020*2020-07-01*2020-12-31*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.33*-0.4**551144.93*13529*0.0*404236110*false*733.4479*0.63**0.63*0.03*0.24*0.26*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL PERFIL CONSERVADOR FI*83021766*Trimester 3 2020*2020-07-01*2020-09-30*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.34*-0.41**371575.32*9721*0.0*271892711*false*731.7297*0.31**0.31*0.01*-0.13*0.47*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL PERFIL CONSERVADOR FI*83021766*Semester 1 2020*2020-01-01*2020-06-30*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.15*-0.33**380213.16*9809*0.0*278587757*false*732.7147*0.62**0.62*0.02*1.6*1.52*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
RURAL PERFIL CONSERVADOR, FI*RURAL PERFIL CONSERVADOR FI*83021766*Trimester 1 2020*2020-01-01*2020-03-31*2463*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*2 en una escala del 1 al 7*0.0*-0.3**390451.93*9938*0.0*281595845*false*721.2049*0.31**0.31*0.01*-4.39*4.68*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174349037
