fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI*48964225*Trimester 3 2009*2009-07-01*2009-09-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.23**707458.87*180*0.0*7032050*false*9.9399***0.19*0.03*15.07*14.61*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 1 2016*2016-01-01*2016-03-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**7299939.2*1430*0.0*123619059*false*16.9343*0.19*[]*0.19*0.02*-7.62*23.27*0.42*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 2 2017*2017-07-01*2017-12-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**6908633.63*1513*0.0*134504559*false*19.4691*0.38*[]*0.38*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 3 2017*2017-07-01*2017-09-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**6753444.15*1521*0.0*129823788*false*19.2233*0.19*[]*0.19*0.01*0.95*8.35*0.43*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 1 2017*2017-01-01*2017-06-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**6394984.7*1461*0.0*121776273*false*19.0425*0.37*[]*0.37*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 1 2017*2017-01-01*2017-03-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**6508813.15*1442*0.0*122422447*false*18.8087*0.19*[]*0.19*0.02*5.98*6.63*0.43*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Semester 2 2018*2018-07-01*2018-12-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.33*-0.3**6980902.81*1726*0.0*120896817*false*17.3182*0.38*[]*0.38*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Trimester 3 2018*2018-07-01*2018-09-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.31*-0.3**6755250.37*1661*0.0*133626398*false*19.7811*0.19*[]*0.19*0.01*1.0*6.5*0.41*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Semester 1 2018*2018-01-01*2018-06-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**6863349.98*1614*0.0*134423501*false*19.5857*0.37*[]*0.37*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 1 2018*2018-01-01*2018-03-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*-0.3**6923548.98*1578*0.0*129374007*false*18.6861*0.19*[]*0.19*0.01*-4.02*11.41*0.41*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Semester 2 2019*2019-07-01*2019-12-31*1411*gestora@fineco.com*A+*5 en una escala del 1 al 7*15.75*-0.33**4210750.39*1485*0.0*91719471*false*21.7822*0.38*[]*0.38*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Trimester 3 2019*2019-07-01*2019-09-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.05*-0.3**4652140.25*1522*0.0*95595941*false*20.5488*0.19*[]*0.19*0.01*2.1*11.11*0.36*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Semester 1 2019*2019-01-01*2019-06-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.13*-0.3**5323527.65*1596*0.0*107146224*false*20.1269*0.37*[]*0.37*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI -A-*48964225*Trimester 1 2019*2019-01-01*2019-03-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.12*-0.3**6042376.76*1671*0.0*118570479*false*19.6232*0.19*[]*0.19*0.01*13.31*8.67*0.37*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
