fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 2 2017*2017-07-01*2017-12-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**565704.62*1526*0.0*63570478*false*112.374*0.88*[]*0.88*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 1 2018*2018-01-01*2018-03-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**222207.26*401*0.0*24261227*false*109.1829*0.49*[]*0.49*0.01*-2.66*9.38*0.5*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 2 2017*2017-07-01*2017-12-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**565704.62*1526*0.0*63570478*false*112.374*0.88*[]*0.88*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 2 2017*2017-07-01*2017-12-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**170969.35*260*0.0*19177297*false*112.168*1.01*[]*1.01*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 2 2019*2019-07-01*2019-12-31*5140*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**733024.33*2268*0.0*71073553*false*96.9593*0.88*[]*0.88*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 2 2019*2019-07-01*2019-12-31*5140*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**221690.05*418*0.0*21307343*false*96.1132*1.01*[]*1.01*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 3 2019*2019-07-01*2019-09-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**777738.33*2262*0.0*68741760*false*88.3867*0.44*[]*0.44*0.01*-3.96*8.28*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 3 2019*2019-07-01*2019-09-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**224337.04*418*0.0*19707256*false*87.8466*0.5*[]*0.5*0.01*-4.03*8.28*0.52*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 1 2019*2019-01-01*2019-06-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**764374.31*2246*0.0*70344185*false*92.0285*0.87*[]*0.87*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 1 2019*2019-01-01*2019-06-30*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**229439.2*422*0.0*21002903*false*91.5402*0.99*[]*0.99*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 1 2019*2019-01-01*2019-03-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**735381.97*2192*0.0*69151006*false*94.0341*0.43*[]*0.43*0.01*7.26*7.02*0.44*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 1 2019*2019-01-01*2019-03-31*5140*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**233923.91*425*0.0*21888274*false*93.5701*0.49*[]*0.49*0.01*7.19*7.02*0.51*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 2 2020*2020-07-01*2020-12-31*5140*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.05*-0.4**688741.47*2195*0.0*66371930*false*96.367*0.88*[]*0.88*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 2 2020*2020-07-01*2020-12-31*5140*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.05*-0.4**134805.08*345*0.0*12806167*false*94.9977*1.01*[]*1.01*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 3 2020*2020-07-01*2020-09-30*5140*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.01*-0.4**692953.38*2223*0.0*56885387*false*82.0912*0.44*[]*0.44*0.01*7.63*10.4*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 3 2020*2020-07-01*2020-09-30*5140*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.01*-0.4**180377.39*356*0.0*14613282*false*81.015*0.5*[]*0.5*0.01*7.43*10.43*0.52*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Semester 1 2020*2020-01-01*2020-06-30*5140*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**711754.59*2234*0.0*54285117*false*76.2694*0.87*[]*0.87*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Semester 1 2020*2020-01-01*2020-06-30*5140*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**185421.85*372*0.0*13982900*false*75.4113*0.99*[]*0.99*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE B*87756334*Trimester 1 2020*2020-01-01*2020-03-31*5140*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**714741.71*2244*0.0*46830547*false*65.5209*0.43*[]*0.43*0.01*-32.42*35.19*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES MICROCAPS EUROPE, FI*MAGALLANES MICROCAPS EUROPE CLASE C*87756334*Trimester 1 2020*2020-01-01*2020-03-31*5140*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**190162.21*385*0.0*12331907*false*64.8494*0.5*[]*0.5*0.01*-32.53*35.18*0.51*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
