fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2010*2010-07-01*2010-12-31*4292*35049900@bancopopular.es*Aa3*Muy alto*0.96*0.16**3094.35*5*0.0*310317*false*100.2849***0.11*0.01****SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2013*2013-01-01*2013-03-31*4292*35049900@bancopopular.es*BB+*Medio/Alto*0.42*0.06**42304.45*148*0.0*4750829*false*112.3009*0.32**0.32*0.02*-0.36*3.59*0.36*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2012*2012-07-01*2012-12-31*4292*35049900@bancopopular.es*BB+*Muy alto*0.69*0.12**50548.26*134*0.0*5697214*false*112.7084*0.65**0.65*0.05*1.71*2.82*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2014*2014-07-01*2014-09-30*4292*35049900@bancopopular.es*A+*Medio/Alto*0.16*0.03**27372.18*91*0.0*2974411*false*108.6655*0.33**0.33*0.03*0.81*3.29*0.59*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2014*2014-01-01*2014-06-30*4292*35049900@bancopopular.es*A+*Medio/Alto*0.48*0.13**25509.96*81*0.0*2749658*false*107.7876*0.64**0.64*0.05*3.16*2.86*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2014*2014-01-01*2014-03-31*4292*35049900@bancopopular.es*B+*Medio/Alto*0.45*0.13**25123.67*72*0.0*2625067*false*104.4858*0.32**0.32*0.02*1.23*3.41*0.58*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2013*2013-07-01*2013-12-31*4292*35049900@bancopopular.es*BB-*Medio/Alto*0.34*0.1**25968.93*85*0.0*2680410*false*103.216*0.66**0.66*0.05*-0.78*2.87*0.59*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2015*2015-07-01*2015-12-31*4292*35049900@bancopopular.es*A+*4*0.23*0.0**61766.47*522*0.0*6632053*false*107.373*0.66**0.66*0.05*1.28*6.29*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2015*2015-07-01*2015-09-30*4292*35049900@bancopopular.es*A+*4*0.16*0.0**64892.32*524*0.0*6879602*false*106.0157*0.33**0.33*0.03*-4.12*6.22*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2015*2015-01-01*2015-06-30*4292*35049900@bancopopular.es*A+*4*0.37*0.0**68590.6*527*0.0*7584469*false*110.5759*0.64**0.64*0.05*-2.37*5.29*0.77*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2015*2015-01-01*2015-03-31*4292*35049900@bancopopular.es*A+*4*0.27*0.0**63080.46*528*0.0*7144353*false*113.2578*0.32**0.32*0.02*5.55*6.47*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2016*2016-07-01*2016-12-31*4292*35049900@bancopopular.es*A+*4*1.29*0.0**97683.98*1935*0.0*11345839*false*116.1484*0.65**0.65*0.05*0.34*6.9*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2016*2016-07-01*2016-09-30*4292*35049900@bancopopular.es*A+*4*0.86*0.0**125838.21*1984*0.0*14566204*false*115.7534*0.32**0.32*0.02*1.66*4.01*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2016*2016-01-01*2016-06-30*4292*35049900@bancopopular.es*A+*4*0.27*0.0**59799.79*507*0.0*6809232*false*113.8672*0.65**0.65*0.05*5.01*5.31*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2016*2016-01-01*2016-03-31*4292*35049900@bancopopular.es*A+*4*0.15*0.0**60680.68*517*0.0*6579947*false*108.4356*0.32**0.32*0.02*0.99*6.68*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2017*2017-07-01*2017-09-30*4292*35049900@bancopopular.es*A+*4*0.08*0.0**59665.85*507*0.0*6896020*false*115.5773*0.33**0.33*0.03*-0.04*5.12*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2017*2017-01-01*2017-06-30*4292*35049900@bancopopular.es*A+*4*0.7*0.0**61415.65*515*0.0*7100856*false*115.6197*0.65**0.65*0.05*-2.82*4.5*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2017*2017-01-01*2017-03-31*4292*35049900@bancopopular.es*A+*4*0.44*0.0**76243.96*567*0.0*9071274*false*118.9769*0.32**0.32*0.02*2.44*5.79*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2016*2016-07-01*2016-12-31*4292*35049900@bancopopular.es*A+*4*1.29*0.0**97683.98*1935*0.0*11345839*false*116.1484*0.65**0.65*0.05*0.34*6.9*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2018*2018-07-01*2018-12-31*4292*35049900@bancopopular.es*A+*4*0.21*0.0**49143.74*421*0.0*5286118*false*107.5644*0.66**0.66*0.05*-0.86*4.66*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2018*2018-07-01*2018-09-30*4292*35049900@bancopopular.es*A+*4*0.07*0.0**52065.89*443*0.0*5648777*false*108.4929*0.33**0.33*0.03*0.42*5.13*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2018*2018-01-01*2018-06-30*4292*35049900@bancopopular.es*A+*4*0.33*0.0**53991.31*455*0.0*5832974*false*108.0354*0.64**0.64*0.05*-3.8*5.43*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2018*2018-01-01*2018-03-31*4292*35049900@bancopopular.es*A+*4*0.29*0.0**53746.44*469*0.0*6035591*false*112.2975*0.32**0.32*0.02*-1.88*5.2*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 2 2019*2019-07-01*2019-12-31*4292*35049900@bancopopular.es*A+*4*0.11*0.0**47024.7*386*0.0*5639013*false*119.916*0.66**0.66*0.05*-0.39*3.65*0.55*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 3 2019*2019-07-01*2019-09-30*4292*35049900@bancopopular.es*A+*4*0.03*0.0**50684.13*414*0.0*6101383*false*120.3805*0.33**0.33*0.03*2.92*5.31*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Semester 1 2019*2019-01-01*2019-06-30*4292*35049900@bancopopular.es*A+*4*0.15*0.0**51435.4*428*0.0*6016106*false*116.9643*0.64**0.64*0.05*2.04*3.62*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
EUROVALOR BONOS EMERGENTES, FI*EV BONOS EMERGENTES FI*86098431*Trimester 1 2019*2019-01-01*2019-03-31*4292*35049900@bancopopular.es*A+*4*0.11*0.0**51230.03*433*0.0*5872474*false*114.6295*0.32**0.32*0.02*6.57*4.63*0.49*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0133486003
