fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 2 2009*2009-07-01*2009-12-31*625*attcliente.unigest@unicorp.es*A+  (Standars and Poors)*Bajo*0.43*1.33**4963198.2*2334*0.0*46668637*false*9.4029***0.31*0.03****UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 1 2012*2012-01-01*2012-03-31*625*attclienteunigest@grupounicaja.es*A-  (Standars and Poors)*Bajo*0.0*2.69**4236031.87*1969*0.0*40825173*false*9.6376*0.17**0.17*0.01*1.9*2.26*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 2 2013*2013-07-01*2013-12-31*625*attclienteunigest@grupounicaja.es*BB-*Bajo*0.11*1.01**3842938.08*1744*0.0*40207141*false*10.4626*0.35**0.35*0.03*0.52*0.13*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 3 2013*2013-07-01*2013-09-30*625*attclienteunigest@grupounicaja.es*BB-*Bajo*0.0*1.02**3868895.13*1758*0.0*40269784*false*10.4086*0.18**0.18*0.01*0.68*0.24*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Semester 1 2013*2013-01-01*2013-06-30*625*attclienteunigest@grupounicaja.es*BB+*Bajo*0.0*1.08**3910739.6*1776*0.0*40429627*false*10.3381*0.35**0.35*0.02*0.97*0.51*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FONDANDALUCIA, F.I.*29768884*Trimester 1 2013*2013-01-01*2013-03-31*625*attclienteunigest@grupounicaja.es*BB+*Bajo*0.0*1.16**3966769.87*1806*0.0*40614463*false*10.2387*0.17**0.17*0.01*3.26*0.93*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2014*2014-07-01*2014-12-31*625*attclienteunigest@grupounicaja.es*BB-*3 en una escala de 1 a 7*0.48*1.02**3683888.32*1835*0.0*42803048*false*11.619*0.38**0.38*0.03*0.94*2.08*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 3 2014*2014-07-01*2014-09-30*625*attclienteunigest@grupounicaja.es*BB-*3 en una escala de 1 a 7*0.0*1.02**3737530.87*1850*0.0*43022723*false*11.511*0.19**0.19*0.01*3.04*2.92*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 1 2014*2014-01-01*2014-06-30*625*attclienteunigest@grupounicaja.es*BB-*3 en una escala de 1 a 7*0.24*0.88**3769226.0*1868*0.0*42106022*false*11.171*0.33**0.33*0.02*6.69*7.97*0.19*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2014*2014-01-01*2014-03-31*625*attclienteunigest@grupounicaja.es*BB-*3 en una escala de 1 a 7*0.0*0.83**3857655.36*1902*0.0*40393084*false*10.4709*0.15**0.15*0.01*0.08*0.03*0.17*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2015*2015-07-01*2015-12-31*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.19**3355144.37*1669*0.0*39513520*false*11.777*0.38**0.38*0.03*0.76*2.36*0.21*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 3 2015*2015-07-01*2015-09-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.38**3391353.04*1685*0.0*39637037*false*11.6877*0.19**0.19*0.01*1.64*2.52*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 1 2015*2015-01-01*2015-06-30*625*attclienteunigest@grupounicaja.es*BB- (Standars and Poors)*3 en una escala de 1 a 7*0.38*0.9**3425494.34*1710*0.0*39391443*false*11.4995*0.37**0.37*0.02*-2.63*3.62*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2015*2015-01-01*2015-03-31*625*attclienteunigest@grupounicaja.es*BB- (Standars and Poors)*3 en una escala de 1 a 7*0.37*0.99**3655083.33*1817*0.0*43167847*false*11.8104*0.18**0.18*0.01*1.65*2.4*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2016*2016-07-01*2016-12-31*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**3136152.53*1588*0.0*37471961*false*11.9484*0.38**0.38*0.03*-0.5*1.31*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 3 2016*2016-07-01*2016-09-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**3175257.9*1595*0.0*38128824*false*12.0081*0.19**0.19*0.01*0.03*1.02*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 1 2016*2016-01-01*2016-06-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**3201020.82*1606*0.0*38425748*false*12.0042*0.37**0.37*0.02*0.88*1.78*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2016*2016-01-01*2016-03-31*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**3344168.53*1673*0.0*39795125*false*11.8999*0.19**0.19*0.01*1.04*1.88*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2017*2017-07-01*2017-12-31*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**2963582.6*1493*0.0*35334087*false*11.9228*0.38**0.38*0.03*-0.1*0.65*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 3 2017*2017-07-01*2017-09-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**2976726.51*1504*0.0*35525823*false*11.9345*0.19**0.19*0.01*-0.18*0.88*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 1 2017*2017-01-01*2017-06-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.39*0.0**2988742.04*1518*0.0*35734606*false*11.9564*0.37**0.37*0.02*0.13*0.77*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2017*2017-01-01*2017-03-31*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**3120632.09*1588*0.0*37263219*false*11.9409*0.18**0.18*0.01*-0.06*1.19*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2018*2018-07-01*2018-12-31*625*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.0*0.0**2814948.81*1432*0.0*33294741*false*11.8278*0.38**0.38*0.03*-0.07*0.22*0.21*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 3 2018*2018-07-01*2018-09-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**2821911.4*1436*0.0*33399991*false*11.8359*0.19**0.19*0.01*-0.27*0.33*0.21*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 1 2018*2018-01-01*2018-06-30*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.29*0.0**2841044.91*1437*0.0*33717467*false*11.868*0.37**0.37*0.02*-0.44*0.82*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2018*2018-01-01*2018-03-31*625*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*3 en una escala de 1 a 7*0.0*0.0**2944987.06*1489*0.0*35103953*false*11.9199*0.18**0.18*0.01*-0.02*0.49*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 3 2019*2019-07-01*2019-09-30*625*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.09*-0.11**2691736.03*1381*0.0*31584318*false*11.7338*0.19**0.19*0.01*-0.26*0.13*0.21*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 1 2019*2019-01-01*2019-06-30*625*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.0*-0.12**2715579.38*1388*0.0*31947295*false*11.7644*0.37**0.37*0.02*-0.21*0.11*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2019*2019-01-01*2019-03-31*625*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.0*-0.12**2801114.47*1428*0.0*33023691*false*11.7895*0.18**0.18*0.01*-0.32*0.17*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2018*2018-07-01*2018-12-31*625*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.0*0.0**2814948.81*1432*0.0*33294741*false*11.8278*0.38**0.38*0.03*-0.07*0.22*0.21*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FUSION RENTA FIJA EURO, FI*29768884*Trimester 3 2020*2020-07-01*2020-09-30*625*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*1.04*-0.3**5112849.77*2587*0.0*60173362*false*11.769*0.16**0.16*0.02*-0.02*0.16*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND FUSION RENTA FIJA EURO, FI*29768884*Semester 1 2020*2020-01-01*2020-06-30*625*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*1.35*-0.3**5432886.38*2730*0.0*63954653*false*11.7718*0.23**0.23*0.02***0.07*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Trimester 1 2020*2020-01-01*2020-03-31*625*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.75*-0.21**2577872.76*1334*0.0*30367379*false*11.78*0.18**0.18*0.01*0.7*2.05*0.2*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
UNIFOND FUSIÓN RENTA FIJA EURO, FI*UNIFOND 2020-III, F.I.*29768884*Semester 2 2019*2019-07-01*2019-12-31*625*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.09*-0.13**2686898.19*1380*0.0*31432507*false*11.6984*0.38**0.38*0.03*-0.3*0.09*0.21*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0181073034
