fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2009*2009-07-01*2009-12-31*1916*fondos@segurosbilbao.com*ND*Moderadamente agresivo*0.0*0.27**2029370.13*213*0.0*11867705*false*5.848***0.74*0.05*3.28*5.57*0.06*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2015*2015-07-01*2015-09-30*1916*fondos@catalanaoccidente.com*BBB (S&P)*Moderadamente agresivo*0.08*0.17**938696.11*201*0.0*6872522*false*7.3213*0.37*0.0*0.37*0.02*-3.83*11.96*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2015*2015-01-01*2015-06-30*1916*fondos@catalanaoccidente.com*BBB (S&P)*Moderadamente agresivo*0.0*0.15**959835.19*199*0.0*7307406*false*7.6132*0.72*0.0*0.72*0.03*-2.75*8.31*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2015*2015-01-01*2015-03-31*1916*fondos@catalanaoccidente.com*BBB (S&P)*Moderadamente agresivo*0.0*0.15**930182.51*193*0.0*7281796*false*7.8284*0.36*0.0*0.36*0.02*6.87*7.55*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2016*2016-07-01*2016-12-31*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.09*0.0**923005.64*216*0.0*7330416*false*7.9419*0.73*0.0*0.73*0.03*4.23*5.25*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2016*2016-07-01*2016-09-30*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.05*0.0**899995.53*209*0.0*6857355*false*7.6193*0.36*0.0*0.36*0.02*1.59*5.32*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2016*2016-01-01*2016-06-30*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.09*0.02**903847.97*207*0.0*6778730*false*7.4999*0.72*0.0*0.72*0.03*0.69*8.47*0.41*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2016*2016-01-01*2016-03-31*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.11*0.04**910290.76*210*0.0*6780600*false*7.4488*0.36*0.0*0.36*0.01*-2.3*10.15*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 2 2017*2017-07-01*2017-12-31*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.09*-0.34**1099476.28*254*0.0*8942946*false*8.1338*0.73*0.0*0.73*0.03*0.52*4.04*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 3 2017*2017-07-01*2017-09-30*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.08*-0.33**1059392.24*246*0.0*8572735*false*8.0921*0.37*0.0*0.37*0.01*0.9*4.37*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Semester 1 2017*2017-01-01*2017-06-30*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.01*-0.18**1055588.19*244*0.0*8465748*false*8.0199*0.72*0.0*0.72*0.03*-1.35*4.09*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2017*2017-01-01*2017-03-31*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.0*0.0**992240.74*227*0.0*8066494*false*8.1296*0.36*0.0*0.36*0.01*2.36*4.07*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Semester 2 2018*2018-07-01*2018-12-31*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.36**1221985.85*283*0.0*9609569*false*7.8639*0.73*0.0*0.73*0.03*-5.09*6.88*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Trimester 3 2018*2018-07-01*2018-09-30*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*0.0**1152154.25*267*0.0*9546812*false*8.2861*0.37*0.0*0.37*0.01*2.04*3.33*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Semester 1 2018*2018-01-01*2018-06-30*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.06*-0.01**1155404.13*269*0.0*9382209*false*8.1203*0.72*0.0*0.72*0.03*2.2*4.96*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*Fonbilbao Global 50, FI*95044087*Trimester 1 2018*2018-01-01*2018-03-31*1916*fondos@catalanaoccidente.com*BBB+ (S&P)*Moderadamente agresivo*0.01*-0.01**1143755.38*266*0.0*9087818*false*7.9456*0.36*0.0*0.36*0.01*-2.31*6.7*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Semester 2 2019*2019-07-01*2019-12-31*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.4**2340487.03*361*0.0*20504767*false*8.7609*0.73*0.0*0.73*0.03*1.94*4.32*0.4*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Trimester 3 2019*2019-07-01*2019-09-30*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.38**1533896.04*320*0.0*13182890*false*8.5944*0.37*0.0*0.37*0.01*1.61*5.46*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Semester 1 2019*2019-01-01*2019-06-30*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.36**1376859.31*306*0.0*11646119*false*8.4585*0.72*0.0*0.72*0.03*1.54*4.45*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Trimester 1 2019*2019-01-01*2019-03-31*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.34**1257036.44*288*0.0*10471038*false*8.3299*0.36*0.0*0.36*0.01*5.93*5.01*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Semester 2 2020*2020-07-01*2020-12-31*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.48**4006074.32*438*0.0*36199654*false*9.0362*0.73*0.0*0.73*0.03*2.59*6.26*0.39*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Trimester 3 2020*2020-07-01*2020-09-30*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.02*-0.48**3674103.12*431*0.0*32362781*false*8.8083*0.36*0.0*0.36*0.01*1.36*6.51*0.38*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Semester 1 2020*2020-01-01*2020-06-30*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.47**3015724.29*416*0.0*26207679*false*8.6903*0.72*0.0*0.72*0.03*7.7*9.45*0.38*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
GCO GLOBAL 50, FI*GCO Global 50, FI*95044087*Trimester 1 2020*2020-01-01*2020-03-31*1916*fondos@catalanaoccidente.com*A- (S&P)*Moderadamente agresivo*0.0*-0.47**2591777.53*379*0.0*20912180*false*8.0687*0.36*0.0*0.36*0.01*-7.9*17.01*0.38*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138321031
