fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2015*2015-07-01*2015-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.26*0.0**116134.52*201*0.0*1120385*true*9.6463*0.5*0.0*0.5*0.04*-2.47*16.63*0.08*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 3 2016*2016-07-01*2016-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*0.0**375527.05*328*0.0*3961461*true*10.5491*0.39*0.0*0.39*0.04*-2.19*12.37*0.45*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 3 2016*2016-07-01*2016-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*0.0**244028.47*248*0.08*2476165*true*10.147*0.5*0.0*0.5*0.04*-2.3*12.37*0.56*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 3 2016*2016-07-01*2016-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*0.0**295281.4*196*0.08*3013103*true*10.2042*0.39*0.0*0.39*0.04*-2.19*12.37*0.45*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 3 2016*2016-07-01*2016-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*0.0**456882.34*296*0.0*4875840*true*10.672*0.2*0.0*0.2*0.04*-2.0*12.37*0.27*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 3 2016*2016-07-01*2016-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.09*0.0**614123.86*380*0.08*6333075*true*10.3124*0.2*0.0*0.2*0.04*-2.0*12.37*0.27*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 1 2016*2016-01-01*2016-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**417231.4*578*0.0*4478912*true*10.7344*0.99*0.0*0.99*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 1 2016*2016-01-01*2016-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**331556.8*287*0.0*3575940*true*10.7853*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 1 2016*2016-01-01*2016-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**204433.67*208*0.16*2139223*true*10.4642*0.99*0.0*0.99*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 1 2016*2016-01-01*2016-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**275461.19*176*0.16*2895439*true*10.5112*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 1 2016*2016-01-01*2016-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**335560.15*174*0.0*3652975*true*10.8862*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 1 2016*2016-01-01*2016-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**407349.23*268*0.16*4318964*true*10.6026*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 1 2016*2016-01-01*2016-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**342995.91*472*0.0*3552376*true*10.3569*0.49*0.0*0.49*0.04*1.49*17.63*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 1 2016*2016-01-01*2016-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**357966.02*258*0.0*3720556*true*10.3936*0.38*0.0*0.38*0.04*1.6*17.62*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 1 2016*2016-01-01*2016-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**174669.84*173*0.08*1776751*true*10.1721*0.5*0.0*0.5*0.04*1.49*17.62*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 1 2016*2016-01-01*2016-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**259491.96*162*0.08*2648500*true*10.2065*0.38*0.0*0.38*0.04*1.61*17.62*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 1 2016*2016-01-01*2016-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**205181.59*90*0.0*2149307*true*10.4752*0.2*0.0*0.2*0.04*1.8*17.62*0.26*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 1 2016*2016-01-01*2016-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.0**226759.1*138*0.08*2330153*true*10.276*0.2*0.0*0.2*0.04*1.91*17.54*0.26*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 2 2017*2017-07-01*2017-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.2**453864.38*705*0.0*4641544*true*10.2267*1.01*0.0*1.01*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 2 2017*2017-07-01*2017-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.2**410406.77*322*0.0*4245328*true*10.3442*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 2 2017*2017-07-01*2017-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.2**232157.03*226*0.12*2211336*true*9.5252*1.01*0.0*1.01*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 2 2017*2017-07-01*2017-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.2**200199.06*162*0.12*1928456*true*9.6327*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 2 2017*2017-07-01*2017-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.2**445259.93*380*0.0*4703725*true*10.564*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 2 2017*2017-07-01*2017-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.07*0.2**767758.45*525*0.12*7545309*true*9.8277*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2017*2017-07-01*2017-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*0.21**454700.77*708*0.0*4546755*true*9.9994*0.5*0.0*0.5*0.04*-0.97*8.91*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 3 2017*2017-07-01*2017-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*0.21**420560.91*333*0.0*4248863*true*10.1028*0.39*0.0*0.39*0.04*-0.85*8.95*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 3 2017*2017-07-01*2017-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*0.21**249445.52*232*0.05*2338375*true*9.3743*0.5*0.0*0.5*0.04*-0.97*8.9*0.55*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 3 2017*2017-07-01*2017-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*0.21**232605.21*179*0.05*2202623*true*9.4694*0.39*0.0*0.39*0.04*-0.85*8.9*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 3 2017*2017-07-01*2017-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*0.21**498524.92*412*0.0*5133830*true*10.298*0.2*0.0*0.2*0.04*-0.67*8.9*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 3 2017*2017-07-01*2017-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.02*0.21**805454.94*545*0.06*7766870*true*9.6428*0.2*0.0*0.2*0.04*-0.66*8.9*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 1 2017*2017-01-01*2017-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.01**471911.7*714*0.0*4764858*true*10.097*0.99*0.0*0.99*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 1 2017*2017-01-01*2017-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.01**423974.52*342*0.0*4320152*true*10.19*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 1 2017*2017-01-01*2017-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.01**253646.45*236*0.17*2414651*true*9.5197*0.99*0.0*0.99*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 1 2017*2017-01-01*2017-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.01**250903.89*182*0.17*2410037*true*9.6037*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 1 2017*2017-01-01*2017-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.01**504561.5*415*0.0*5230788*true*10.367*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 1 2017*2017-01-01*2017-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.0*0.01**792336.62*528*0.17*7735481*true*9.7628*0.4*0.0*0.4*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 1 2017*2017-01-01*2017-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.06*0.0**500676.17*740*0.0*5061892*true*10.1101*0.49*0.0*0.49*0.04*1.45*8.82*0.54*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 1 2017*2017-01-01*2017-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.06*0.0**441884.79*336*0.0*4503466*true*10.1915*0.38*0.0*0.38*0.04*1.56*8.83*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 1 2017*2017-01-01*2017-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.06*0.0**264874.34*247*0.06*2552246*true*9.6357*0.49*0.0*0.49*0.04*1.45*8.83*0.54*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 1 2017*2017-01-01*2017-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.06*0.0**276780.95*191*0.06*2687954*true*9.7115*0.38*0.0*0.38*0.04*1.56*8.83*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 1 2017*2017-01-01*2017-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.06*0.0**524713.58*406*0.0*5430488*true*10.3494*0.2*0.0*0.2*0.04*1.75*8.82*0.24*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 1 2017*2017-01-01*2017-03-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.06*0.0**793581.31*514*0.07*7818515*true*9.8522*0.2*0.0*0.2*0.04*1.76*8.83*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 2 2018*2018-07-01*2018-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.62*-0.14**303232.99*508*0.0*2732979*true*9.0128*1.01*0.0*1.01*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 2 2018*2018-07-01*2018-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.62*-0.14**141198.21*220*0.0*1293018*true*9.1575*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Semester 2 2018*2018-07-01*2018-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.62*-0.14**168079.47*154*0.12*1361674*true*8.1014*1.01*0.0*1.01*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Semester 2 2018*2018-07-01*2018-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.62*-0.14**148142.39*118*0.12*1219179*true*8.2298*0.78*0.0*0.78*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Semester 2 2018*2018-07-01*2018-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.62*-0.14**307456.02*277*0.0*2896998*true*9.4225*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Semester 2 2018*2018-07-01*2018-12-31*4875*mediolanum.gestion@mediolanum.es*ND*5*0.62*-0.14**516114.02*374*0.13*4366132*true*8.4596*0.4*0.0*0.4*0.08*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Trimester 3 2018*2018-07-01*2018-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.42*0.0**331616.63*533*0.0*3251327*true*9.8045*0.5*0.0*0.5*0.04*-0.9*6.81*0.56*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Trimester 3 2018*2018-07-01*2018-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.42*0.0**154799.26*239*0.0*1540336*true*9.9505*0.39*0.0*0.39*0.04*-0.79*6.81*0.43*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SB*66525692*Trimester 3 2018*2018-07-01*2018-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.42*0.0**170011.56*163*0.06*1509168*true*8.8769*0.5*0.0*0.5*0.04*-0.9*6.81*0.56*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LB*66525692*Trimester 3 2018*2018-07-01*2018-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.42*0.0**150779.03*125*0.06*1358116*true*9.0073*0.39*0.0*0.39*0.04*-0.79*6.81*0.44*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EA*66525692*Trimester 3 2018*2018-07-01*2018-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.42*0.0**326187.04*287*0.0*3333355*true*10.2192*0.2*0.0*0.2*0.04*-0.6*6.81*0.26*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE EB*66525692*Trimester 3 2018*2018-07-01*2018-09-30*4875*mediolanum.gestion@mediolanum.es*ND*5*0.42*0.0**546538.53*393*0.06*5050773*true*9.2414*0.2*0.0*0.2*0.04*-0.6*6.81*0.25*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE SA*66525692*Semester 1 2018*2018-01-01*2018-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*2.4*-0.25**359706.54*560*0.0*3558728*true*9.8934*1.0*0.0*1.0*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
MEDIOLANUM REAL ESTATE GLOBAL, FI*CLASE LA*66525692*Semester 1 2018*2018-01-01*2018-06-30*4875*mediolanum.gestion@mediolanum.es*ND*5*2.4*-0.25**171032.36*256*0.0*1715357*true*10.0294*0.77*0.0*0.77*0.07*[]*[]*[]*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*
