fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Semester 2 2015*2015-07-01*2015-12-31*4928*N/D*ND*6 en una escala de 1 a 7*0.0*0.0**34411.9*7*0.0*346690*false*10.0747*0.1*0.0*0.1*0.01***0.31*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Semester 1 2018*2018-01-01*2018-06-30*4928*N/D*BBB (S&P)*6 en una escala de 1 a 7*1.82*0.0**3297493.5*1729*0.0*36875755*false*11.183*0.87*0.0*0.87*0.05*3.9*10.76*0.48*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Trimester 1 2018*2018-01-01*2018-03-31*4928*N/D*BBB (S&P)*6 en una escala de 1 a 7*1.03*0.0**2217292.75*1202*0.0*23865343*false*10.7633*0.43*0.0*0.43*0.02*2.29*12.37*0.46*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Trimester 3 2019*2019-07-01*2019-09-30*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.52*-0.31**4212355.95*2283*0.0*40418043*false*9.5951*0.44*0.0*0.44*0.03*-4.4*10.34*0.48*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Semester 1 2019*2019-01-01*2019-06-30*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.92*-0.33**4431375.55*2375*0.0*44478007*false*10.0371*0.87*0.0*0.87*0.05*-1.97*10.09*0.47*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Trimester 1 2019*2019-01-01*2019-03-31*4928*N/D*BBB (S&P)*6 en una escala de 1 a 7*0.55*-0.36**5064353.05*2466*0.0*51853711*false*10.239*0.43*0.0*0.43*0.02*5.88*9.53*0.46*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Semester 2 2018*2018-07-01*2018-12-31*4928*N/D*BBB (S&P)*6 en una escala de 1 a 7*1.3*-0.37**5068476.61*2415*0.0*49014540*false*9.6705*0.88*0.0*0.88*0.05*-13.01*15.36*0.47*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RV ESPAÑA FI, Clase A*66639949*Semester 2 2020*2020-07-01*2020-12-31*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*1.91*-0.32**2487728.61*1552*0.0*23026723*false*9.2561*0.88*0.0*0.88*0.05*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RV ESPAÑA, Clase B*66639949*Semester 2 2020*2020-07-01*2020-12-31*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*1.91*-0.32**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Trimester 3 2020*2020-07-01*2020-09-30*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*0.84*-0.29**2850328.85*1680*0.0*21330122*false*7.4834*0.44*0.0*0.44*0.03*-4.35*15.26*0.48*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Semester 1 2020*2020-01-01*2020-06-30*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*3.11*-0.34**3045013.42*1780*0.0*23823941*false*7.8239*0.87*0.0*0.87*0.05*8.14*22.65*0.48*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*66639949*Trimester 1 2020*2020-01-01*2020-03-31*4928*N/D*BBB+ (S&P)*6 en una escala de 1 a 7*1.42*-0.29**3158223.4*1836*0.0*22850775*false*7.2353*0.44*0.0*0.44*0.02*-28.07*38.51*0.47*TREA ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
