fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 3 2014*2014-07-01*2014-09-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.22**4428454.97*2*0.0*48700565*false*10.9972*0.1*0.0*0.1*0.01*2.0*9.51*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 1 2016*2016-01-01*2016-03-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.02*0.1**4435300.14*100*0.0*50880613*false*11.4717*0.1*0.0*0.1*0.01*0.03*17.69*0.12*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 3 2017*2017-07-01*2017-09-30*4672*fondosfi@inverseguros.es*ND*6 (en una escala del 1 al 7)*0.04*-0.01**16811656.76*184*0.0*233743267*false*13.9036*0.04*0.0*0.04*0.01*3.98*6.88*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 1 2017*2017-01-01*2017-06-30*4672*N/D*ND*6 (en una escala del 1 al 7)*0.04*0.0**17543721.76*187*0.0*234596374*false*13.3721*0.19*0.0*0.19*0.02*1.91*7.06*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 1 2017*2017-01-01*2017-03-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.0**17547037.56*190*0.0*230251599*false*13.122*0.1*0.0*0.1*0.01*5.38*6.45*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 2 2016*2016-07-01*2016-12-31*4672*N/D*ND*6 (en una escala del 1 al 7)*0.0*0.0**20549855.47*202*0.0*255884632*false*12.4519*0.2*0.0*0.2*0.03*3.35*8.32*0.11*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 2 2018*2018-07-01*2018-12-31*4672*fondosfi@inverseguros.es*ND*6 (en una escala del 1 al 7)*0.1*-0.01**15960374.67*172*0.0*218130019*false*13.667*0.06*0.0*0.06*0.02*-14.32*24.51*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 3 2018*2018-07-01*2018-09-30*4672*fondosfi@inverseguros.es*ND*6 (en una escala del 1 al 7)*0.07*-0.02**15971182.14*171*0.0*254744483*false*15.9503*0.03*0.0*0.03*0.01*7.89*7.71*0.04*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Semester 1 2018*2018-01-01*2018-06-30*4672*fondosfi@inverseguros.es*ND*6 (en una escala del 1 al 7)*0.13*0.01**15952713.15*173*0.0*235834418*false*14.7833*0.09*0.0*0.09*0.03*2.95*12.99*0.07*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*SEGURFONDO S&P 100 CUBIERTO FI*86874468*Trimester 1 2018*2018-01-01*2018-03-31*4672*fondosfi@inverseguros.es*ND*6 (en una escala del 1 al 7)*0.04*0.02**15952909.24*178*0.0*229075885*false*14.3595*0.04*0.0*0.04*0.01*-2.62*20.49*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO FI CLASE I*86874468*Semester 2 2019*2019-07-01*2019-12-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.01*0.02**15538325.22*158*0.0*269984853*false*17.3754*0.08*0.0*0.08*0.03*[]*[]*[]*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA FI CLASE R*86874468*Semester 2 2019*2019-07-01*2019-12-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.01*0.02**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO FI CLASE I*86874468*Trimester 3 2019*2019-07-01*2019-09-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.02*-0.01**15541607.04*169*0.0*247588905*false*15.9307*0.04*0.0*0.04*0.01*[]*[]*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA FI CLASE R*86874468*Trimester 3 2019*2019-07-01*2019-09-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.02*-0.01**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*0.0*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO, FI*86874468*Semester 1 2019*2019-01-01*2019-06-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.08*-0.01**15721616.12*173*0.0*247928880*false*15.7699*0.07*0.0*0.07*0.02*3.06*11.65*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO, FI*86874468*Trimester 1 2019*2019-01-01*2019-03-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.03*-0.03**15967222.57*175*0.0*244330926*false*15.302*0.04*0.0*0.04*0.01*11.96*13.91*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO FI CLASE I*86874468*Semester 2 2020*2020-07-01*2020-12-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.01*0.0**15805745.29*161*0.0*323665347*false*20.4777*0.08*0.0*0.08*0.03*[]*[]*[]*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA FI CLASE R*86874468*Semester 2 2020*2020-07-01*2020-12-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.01*0.0**969.26*4*0.0*12668*false*13.0701*0.19*0.0*0.19*0.02*[]*[]*[]*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO FI CLASE I*86874468*Trimester 3 2020*2020-07-01*2020-09-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.06*0.0**15667613.21*159*0.0*291846053*false*18.6273*0.04*0.0*0.04*0.01*8.81*18.27*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA FI CLASE R*86874468*Trimester 3 2020*2020-07-01*2020-09-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.06*0.0**14.43*2*0.0*172*false*11.894*0.0*0.0*0.0*0.0*8.92*18.26*0.01*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO FI CLASE I*86874468*Semester 1 2020*2020-01-01*2020-06-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.0*-0.18**15684815.4*162*0.0*268498757*false*17.1184*0.07*0.0*0.07*0.02*[]*[]*[]*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA FI CLASE R*86874468*Semester 1 2020*2020-01-01*2020-06-30*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.0*-0.18**10.0*1*0.0*109000*false*10.924*0.0*0.0*0.0*0.0*[]*[]*[]*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA CUBIERTO FI CLASE I*86874468*Trimester 1 2020*2020-01-01*2020-03-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.0*-0.36**15678273.79*162*0.0*223057899*false*14.2272*0.04*0.0*0.04*0.01*-18.12*55.79*0.05*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
DUNAS SELECCION USA CUBIERTO, FI*DUNAS SELECCION USA FI CLASE R*86874468*Trimester 1 2020*2020-01-01*2020-03-31*4672*valoracion@dunascapital.com*ND*6 (en una escala del 1 al 7)*0.0*-0.36**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.*INVERSEGUROS SOCIEDAD DE VALORES, S.A.*
