fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 3 2009*2009-07-01*2009-09-30*3670*gestora@fineco.com*AA  (S&P)*bajo*0.0*0.24**51658.79*920*0.0*48896578*false*946.5296***0.05*0.01****G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 3 2014*2014-07-01*2014-09-30*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*0.01**89586.37*1157*0.0*85841933*false*958.2031*0.05**0.05*0.01*0.08*0.02*0.07*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 1 2014*2014-01-01*2014-06-30*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*0.15**78149.82*1186*0.0*74824991*false*957.4556*0.1**0.1*0.02*0.09*0.03*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 1 2014*2014-01-01*2014-03-31*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*0.14**106056.53*1093*0.0*101449437*false*956.56*0.05**0.05*0.01*0.08*0.01*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 3 2015*2015-07-01*2015-09-30*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*-0.03**84823.73*1222*0.0*81316716*false*958.6553*0.05**0.05*0.01*-0.02*0.02*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 1 2015*2015-01-01*2015-06-30*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*-0.05**103451.84*1240*0.0*99191869*false*958.8217*0.1**0.1*0.02*-0.01*0.02*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 1 2015*2015-01-01*2015-03-31*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*-0.03**97149.43*1166*0.0*93156603*false*958.9001*0.05**0.05*0.01*0.03*0.01*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 2 2014*2014-07-01*2014-12-31*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*0.0**100495.5*1174*0.0*96332168*false*958.5719*0.1**0.1*0.03*0.04*0.02*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 2 2016*2016-07-01*2016-12-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*0.0**97118.67*1163*0.0*92990782*false*957.4964*0.1**0.1*0.03*-0.06*0.01*0.07*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 3 2016*2016-07-01*2016-09-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*0.0**71068.55*1186*0.0*68088148*false*958.063*0.05**0.05*0.01*-0.03*0.01*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 1 2016*2016-01-01*2016-06-30*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*0.0**71255.58*1172*0.0*68290361*false*958.3861*0.1**0.1*0.02*-0.01*0.01*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 1 2016*2016-01-01*2016-03-31*3670*gestora@fineco.com*A+  (S&P)*1 en una escala de 1 a 7*0.0*0.0**87698.8*1214*0.0*84056979*false*958.4735*0.05**0.05*0.01*-0.01*0.02*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 2 2017*2017-07-01*2017-12-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.35**83338.6*1074*0.0*79566318*false*954.7355*0.1**0.1*0.02*-0.1*0.02*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 3 2017*2017-07-01*2017-09-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**101510.94*1223*0.0*97011831*false*955.6786*0.05**0.05*0.01*-0.07*0.01*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 1 2017*2017-01-01*2017-06-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**112086.48*1255*0.0*107193353*false*956.3451*0.1**0.1*0.02*-0.06*0.01*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 1 2017*2017-01-01*2017-03-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*0.0**152759.95*1275*0.0*146179437*false*956.9225*0.05**0.05*0.01*-0.06*0.01*0.07*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 2 2018*2018-07-01*2018-12-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**61993.81*884*0.0*58927300*false*950.5352*0.1**0.1*0.02*-0.12*0.01*0.07*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 3 2018*2018-07-01*2018-09-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**47653.58*893*0.0*45351067*false*951.6822*0.05**0.05*0.01*-0.11*0.0*0.1*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Semester 1 2018*2018-01-01*2018-06-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**55621.74*998*0.0*52990294*false*952.6903*0.1**0.1*0.02*-0.11*0.0*0.1*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 1 2018*2018-01-01*2018-03-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**63519.44*1008*0.0*60580194*false*953.7268*0.05**0.05*0.01*-0.11*0.01*0.1*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Semester 2 2019*2019-07-01*2019-12-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.42**66589.24*812*0.0*62978563*false*945.7768*0.1**0.1*0.02*-0.14*0.0*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Trimester 3 2019*2019-07-01*2019-09-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.38**53778.23*813*0.0*50934217*false*947.1158*0.05**0.05*0.01*-0.12*0.0*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Semester 1 2019*2019-01-01*2019-06-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.36**63670.31*838*0.0*60374848*false*948.2418*0.1**0.1*0.02*-0.12*0.0*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO DINERO FI*48640981*Trimester 1 2019*2019-01-01*2019-03-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.37**69956.16*893*0.0*66416699*false*949.4046*0.05**0.05*0.01*-0.12*0.0*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Semester 2 2020*2020-07-01*2020-12-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.47**50241.74*729*0.0*47235492*false*940.1643*0.1**0.1*0.02*-0.15**0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Trimester 3 2020*2020-07-01*2020-09-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.47**51906.45*778*0.0*48875060*false*941.5989*0.05**0.05*0.01*-0.15**0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Semester 1 2020*2020-01-01*2020-06-30*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.45**53727.23*778*0.0*50665738*false*943.0178*0.1**0.1*0.02*-0.15*0.0*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
FON FINECO BASE, FI*FON FINECO BASE FI*48640981*Trimester 1 2020*2020-01-01*2020-03-31*3670*gestora@fineco.com*A+*1 en una escala de 1 a 7*0.0*-0.45**61984.16*758*0.0*58539369*false*944.4247*0.05**0.05*0.01*-0.14*0.0*0.06*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0107499032
