fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Semester 2 2009*2009-07-01*2009-12-31*1714*info@gvcgaesco.es*AA+*medio-alto*0.76*0.6**707986.37*103*0.0*4919792*false*6.949***0.25*0.05*3.65*7.71*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Trimester 3 2009*2009-07-01*2009-09-30*1714*info@gvcgaesco.es*AA+*medio-alto*0.26*0.24**715111.23*99*0.0*4794210*false*6.7041***0.13*0.02*10.62*10.55*0.19*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*"Compositum
                Gestion F.I."*61812582*Semester 1 2009*2009-01-01*2009-06-30*1714*info@gvcgaesco.es*AA+*medio-alto*0.73*0.12**728094.14*98*0.0*4412446*false*6.0603***0.25*0.05*3.34*13.89*0.17*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2012*2012-01-01*2012-06-30*1714*info@gvcgaesco.es*A+*Alto*0.9*0.24**631084.39*101*0.0*4064086*false*6.4398*0.25*0.0*0.25*0.05*-2.28*6.04*0.26*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 1 2012*2012-01-01*2012-03-31*1714*info@gvcgaesco.es*A+*Alto*0.34*0.24**645082.71*100*0.0*4251246*false*6.5902*0.12*0.0*0.12*0.02*5.55*5.57*0.27*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2011*2011-07-01*2011-12-31*1714*info@gvcgaesco.es*AA+*Alto*0.56*0.7**650992.76*103*0.0*4064682*false*6.2438*0.25*0.0*0.25*0.05*3.13*11.1*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2013*2013-07-01*2013-09-30*1714*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.02*0.0**597101.15*99*0.0*4089248*false*6.8485*0.13*0.0*0.13*0.03*4.65*5.97*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2013*2013-01-01*2013-06-30*1714*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.57*0.0**602777.99*100*0.0*3944750*false*6.5443*0.25*0.0*0.25*0.05*-0.72*7.52*0.23*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 1 2013*2013-01-01*2013-03-31*1714*info@gvcgaesco.es*BBB*Alto*0.42*0.0**617090.12*99*0.0*4067502*false*6.5914*0.12*0.0*0.12*0.02*1.54*5.5*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2012*2012-07-01*2012-12-31*1714*info@gvcgaesco.es*A+*Alto*0.78*0.0**619885.04*102*0.0*4023816*false*6.4912*0.25*0.0*0.25*0.05*-1.44*4.92*0.23*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2014*2014-07-01*2014-09-30*1714*info@gvcgaesco.es*BBB+*4 (En una escala del 1 al 7)*0.0*0.01**596751.13*111*0.0*4626532*false*7.7529*0.13*0.0*0.13*0.03*2.3*6.15*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2014*2014-01-01*2014-06-30*1714*info@gvcgaesco.es*BBB*4 (En una escala del 1 al 7)*0.2*0.05**598731.95*112*0.0*4537698*false*7.5788*0.25*0.0*0.25*0.05*-0.06*6.32*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 1 2014*2014-01-01*2014-03-31*1714*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.16*0.03**594158.25*107*0.0*4505651*false*7.5833*0.12*0.0*0.12*0.02*4.55*7.1*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2013*2013-07-01*2013-12-31*1714*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.12*0.0**589963.52*102*0.0*4278951*false*7.2529*0.25*0.0*0.25*0.05*5.91*5.79*0.21*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2015*2015-07-01*2015-12-31*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.01*0.0**589228.43*101*0.0*5057854*false*8.5839*0.25*0.0*0.25*0.05*4.82*9.34*0.22*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2015*2015-07-01*2015-09-30*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.04*0.0**571499.74*109*0.0*4679914*false*8.1888*0.13*0.0*0.13*0.03*-1.16*13.67*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2015*2015-01-01*2015-06-30*1714*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.15*0.0**575724.93*108*0.0*4769936*false*8.2851*0.25*0.0*0.25*0.05*-2.16*9.47*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 1 2015*2015-01-01*2015-03-31*1714*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.14*0.0**581730.49*110*0.0*4926006*false*8.4678*0.12*0.0*0.12*0.02*7.15*8.56*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 2 2016*2016-07-01*2016-12-31*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.0*-0.05**1735387.19*305*0.0*15036551*false*8.6647*0.25*0.0*0.25*0.05*2.73*6.12*0.14*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 3 2016*2016-07-01*2016-09-30*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.22*0.0**601112.58*93*0.0*5069858*false*8.4341*0.13*0.0*0.13*0.03*4.08*4.96*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Semester 1 2016*2016-01-01*2016-06-30*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.06*0.0**611625.74*97*0.0*4956470*false*8.1038*0.25*0.0*0.25*0.05*-2.65*10.07*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*Compositum Gestion F.I.*61812582*Trimester 1 2016*2016-01-01*2016-03-31*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.0*0.0**618159.98*101*0.0*5145915*false*8.3246*0.12*0.0*0.12*0.02*-3.02*11.24*0.2*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Semester 2 2017*2017-07-01*2017-12-31*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.4*-0.3**1764291.77*299*0.0*16186523*false*9.1745*0.76*0.0*0.76*0.05*-0.21*5.48*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Trimester 3 2017*2017-07-01*2017-09-30*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.13*-0.3**1792201.49*295*0.0*16476459*false*9.1934*0.38*0.0*0.38*0.03*1.62*4.99*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Semester 1 2017*2017-01-01*2017-06-30*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.16*-0.3**1798536.59*295*0.0*16271461*false*9.0471*0.33*0.0*0.33*0.05*1.04*5.3*0.27*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Trimester 1 2017*2017-01-01*2017-03-31*1714*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.09*-0.3**1837873.69*302*0.0*16456487*false*8.9541*0.12*0.0*0.12*0.02*3.34*4.69*0.18*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Semester 2 2018*2018-07-01*2018-12-31*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.3**1982905.7*373*0.0*16823392*false*8.4842*0.76*0.0*0.76*0.05*-8.83*13.37*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Trimester 3 2018*2018-07-01*2018-09-30*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.3**1893494.68*359*0.0*17621656*false*9.3064*0.38*0.0*0.38*0.03*2.1*6.59*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Semester 1 2018*2018-01-01*2018-06-30*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.05*-0.3**1872382.6*340*0.0*17067441*false*9.1154*0.74*0.0*0.74*0.05*0.2*7.36*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Trimester 1 2018*2018-01-01*2018-03-31*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.3**1798341.17*311*0.0*16359000*false*9.0967*0.37*0.0*0.37*0.02*-0.85*9.33*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Semester 2 2019*2019-07-01*2019-12-31*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.41*-0.4**2092422.99*393*0.0*19645646*false*9.3889*0.76*0.0*0.76*0.05*5.32*5.74*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Trimester 3 2019*2019-07-01*2019-09-30*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.13*-0.3**2058052.9*390*0.0*18347338*false*8.9149*0.38*0.0*0.38*0.03*0.32*6.66*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Semester 1 2019*2019-01-01*2019-06-30*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.5*-0.3**2010041.24*388*0.0*17861349*false*8.8861*0.74*0.0*0.74*0.05*-0.17*5.52*0.42*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI*ROBUST RENTA VARIABLE MIXTA INTER FI*61812582*Trimester 1 2019*2019-01-01*2019-03-31*1714*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.32*-0.3**2013834.51*387*0.0*17926323*false*8.9016*0.37*0.0*0.37*0.02*4.92*7.9*0.41*GVC GAESCO GESTIÓN, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0121082038
