fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 2 2009*2009-07-01*2009-12-31*2470*FondosdeInversion@cajalaboral.es*A+*riesgo alto*0.33*0.84**1817327.78*758*0.0*8666895*false*4.769***1.13*0.02*0.41*11.24*0.61*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japï¿½n, FI*20729596*Semester 2 2014*2014-07-01*2014-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+*7 (En una escala del 1 al 7) *0.05*0.25**875505.42*463*0.0*5506728*false*6.2898*1.13*0.0*1.13*0.03*5.39*19.93*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2014*2014-07-01*2014-09-30*2470*FondosdeInversion@laboralkutxa.com*BBB+*7 (En una escala del 1 al 7) *0.0*0.25**923211.73*490*0.0*5525267*false*5.9684*0.57*0.0*0.57*0.01*5.1*10.26*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2014*2014-01-01*2014-06-30*2470*FondosdeInversion@cajalaboral.es*BBB+*7 (En una escala del 1 al 7) *0.12*0.25**963874.75*529*0.0*5473735*false*5.6789*1.12*0.0*1.12*0.02*4.84*12.79*0.79*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 1 2014*2014-01-01*2014-03-31*2470*FondosdeInversion@cajalaboral.es*BBB*7 (En una escala del 1 al 7) *0.16*0.25**1001096.1*562*0.0*5422722*false*5.4168*0.56*0.0*0.56*0.01*-6.54*19.93*0.76*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 3 2015*2015-07-01*2015-09-30*2470*FondosdeInversion@laboralkutxa.com*BBB+*7 (En una escala del 1 al 7) *0.0*0.25**913839.54*370*0.0*5702912*false*6.2406*0.57*0.0*0.57*0.01*-13.63*27.11*0.79*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Semester 1 2015*2015-01-01*2015-06-30*2470*FondosdeInversion@laboralkutxa.com*BBB+*7 (En una escala del 1 al 7) *0.0*0.25**918496.07*375*0.0*6636515*false*7.2254*1.12*0.0*1.12*0.02*1.86*11.89*0.79*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japón, FI*20729596*Trimester 1 2015*2015-01-01*2015-03-31*2470*FondosdeInversion@laboralkutxa.com*BBB+*7 (En una escala del 1 al 7) *0.01*0.25**894988.37*366*0.0*6348872*false*7.0938*0.55*0.0*0.55*0.01*12.78*12.74*0.81*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Caja Laboral Bolsa Japï¿½n, FI*20729596*Semester 2 2014*2014-07-01*2014-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+*7 (En una escala del 1 al 7) *0.05*0.25**875505.42*463*0.0*5506728*false*6.2898*1.13*0.0*1.13*0.03*5.39*19.93*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 3 2016*2016-07-01*2016-09-30*2470*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*6 (En una escala del 1 al 7)*0.06*0.0**838868.02*326*0.0*5192969*false*6.1904*0.57*0.0*0.57*0.01*6.47*15.12*0.75*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 1 2016*2016-01-01*2016-06-30*2470*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*6 (En una escala del 1 al 7)*0.0*0.0**849062.33*333*0.0*4936728*false*5.8143*1.12*0.0*1.12*0.02*-3.85*23.89*0.74*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Laboral Kutxa Bolsa Japón, FI*20729596*Trimester 1 2016*2016-01-01*2016-03-31*2470*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *0.05*0.0**863733.14*350*0.0*5223221*false*6.0473*0.56*0.0*0.56*0.01*-11.82*29.87*0.74*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*Laboral Kutxa Bolsa Japï¿½n, FI*20729596*Semester 2 2015*2015-07-01*2015-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+*6 (En una escala del 1 al 7) *1.75*0.18**882197.53*358*0.0*6050145*false*6.858*1.14*0.0*1.14*0.03*9.89*15.92*0.75*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 2 2017*2017-07-01*2017-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**414917.68*313*0.0*3318854*false*7.9988*1.13*0.0*1.13*0.03*9.24*10.16*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 3 2017*2017-07-01*2017-09-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**420917.95*304*0.0*3082104*false*7.3223*0.57*0.0*0.57*0.01*1.67*7.51*0.76*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 1 2017*2017-01-01*2017-06-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.25*0.0**415795.49*292*0.0*2994732*false*7.2024*1.13*0.0*1.13*0.03*4.66*8.86*0.75*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 1 2017*2017-01-01*2017-03-31*2470*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*6 (En una escala del 1 al 7)*0.23*0.0**436487.72*307*0.0*3003734*false*6.8816*0.57*0.0*0.57*0.01*-0.91*15.28*0.76*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 2 2018*2018-07-01*2018-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.02*0.0**415496.87*331*0.0*2734022*false*6.5801*1.14*0.0*1.14*0.03*-18.53*19.44*0.81*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 3 2018*2018-07-01*2018-09-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**417270.0*338*0.0*3370235*false*8.0769*0.57*0.0*0.57*0.01*5.91*11.78*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 1 2018*2018-01-01*2018-06-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.27*0.0**435730.89*339*0.0*3323066*false*7.6264*1.12*0.0*1.12*0.02*1.45*11.01*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 1 2018*2018-01-01*2018-03-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.0*0.0**447114.52*341*0.0*3361213*false*7.5176*0.55*0.0*0.55*0.01*-6.02*19.38*0.79*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 2 2019*2019-07-01*2019-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.11*0.0**399643.98*298*0.0*3029690*false*7.581*1.13*0.0*1.13*0.03*6.39*9.91*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 3 2019*2019-07-01*2019-09-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.04*0.0**402891.79*311*0.0*2870767*false*7.1254*0.57*0.0*0.57*0.01*2.79*11.95*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 1 2019*2019-01-01*2019-06-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.11*0.0**411795.35*319*0.0*2854606*false*6.9321*1.12*0.0*1.12*0.02*-1.41*10.8*0.81*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 1 2019*2019-01-01*2019-03-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.07*0.0**417913.04*326*0.0*2938546*false*7.0315*0.55*0.0*0.55*0.01*6.86*13.77*0.8*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 2 2020*2020-07-01*2020-12-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.02*-0.26**377222.38*271*0.0*3175867*false*8.4191*1.13*0.0*1.13*0.03*14.42*15.17*0.81*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 3 2020*2020-07-01*2020-09-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.01*-0.13**375466.48*276*0.0*2762701*false*7.3581*0.57*0.0*0.57*0.01*4.21*13.93*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Semester 1 2020*2020-01-01*2020-06-30*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.25*0.0**382836.03*281*0.0*2703139*false*7.0608*1.12*0.0*1.12*0.02*15.5*26.12*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
LABORAL KUTXA BOLSA JAPON, FI*LABORAL KUTXA BOLSA JAPON, FI*20729596*Trimester 1 2020*2020-01-01*2020-03-31*2470*FondosdeInversion@laboralkutxa.com*BBB+ (Fitch)*6 (En una escala del 1 al 7)*0.12*0.0**381284.19*279*0.0*2330840*false*6.1131*0.56*0.0*0.56*0.01*-19.36*38.61*0.82*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115396030
