fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SMART US EQUITIES, FI*NB BOLSA INDICE 65, FI*86954187*Semester 2 2014*2014-07-01*2014-12-31*4718*info@novobanco.es*B2 (Moody's)*2 en una escala del 1 al 7*0.0*1.52**964093.23*301*0.0*9691581*false*10.0525*0.5*0.0*0.5*0.02*-0.98*9.51*0.28*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 2 2018*2018-07-01*2018-12-31*4718*info@gruponovobanco.es*Caa2 (Moody's)*2 en una escala del 1 al 7*0.26*-0.02**406164.4*126*0.0*3555938*false*8.7549*0.5*0.0*0.5*0.03*-0.14*0.19*0.32*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 3 2018*2018-07-01*2018-09-30*4718*info@gruponovobanco.es*Caa2 (Moody's)*2 en una escala del 1 al 7*0.18*-0.03**427307.33*135*0.0*3746427*false*8.7675*0.25*0.0*0.25*0.01*0.45*1.26*0.31*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 1 2018*2018-01-01*2018-06-30*4718*info@gruponovobanco.es*NR (S&P)*2 en una escala del 1 al 7*0.46*0.0**427307.33*135*0.0*3729556*false*8.728*0.5*0.0*0.5*0.02*-1.59*3.07*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 1 2018*2018-01-01*2018-03-31*4718*info@gruponovobanco.es*NR (S&P)*2 en una escala del 1 al 7*0.3*1.49**463398.42*147*0.0*4109992*false*8.8692*0.25*0.0*0.25*0.01*-2.13*4.39*0.29*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*SMART US EQUITIES, FI*86954187*Semester 2 2019*2019-07-01*2019-12-31*4718*info@gruponovobanco.es*B2 (Moody's)*5 en una escala del 1 al 7*0.0*0.13**212415.56*29*0.0*1818706*false*8.562*0.12*0.0*0.12*0.0***0.19*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 3 2019*2019-07-01*2019-09-30*4718*info@gruponovobanco.es*NR (S&P)*2 en una escala del 1 al 7*0.02*0.19**92426.11*41*0.0*788530*false*8.5315*0.0*0.0*0.0*0.0*-0.24*0.09*0.12*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Semester 1 2019*2019-01-01*2019-06-30*4718*info@gruponovobanco.es*Caa2 (Moody's)*2 en una escala del 1 al 7*0.67*1.39**304776.19*95*0.0*2606372*false*8.5518*0.47*0.0*0.47*0.02*-2.06*2.52*0.28*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*NB BOLSA ÍNDICE 65, FI*86954187*Trimester 1 2019*2019-01-01*2019-03-31*4718*info@gruponovobanco.es*Caa2 (Moody's)*2 en una escala del 1 al 7*0.0*1.45**404243.61*125*0.0*3529770*false*8.7318*0.25*0.0*0.25*0.01*-0.26*0.44*0.3*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*SMART US EQUITIES, FI*86954187*Trimester 3 2020*2020-07-01*2020-09-30*4718*info@gruponovobanco.es*Caa2 (Moody's)*5 en una escala del 1 al 7*0.47*0.05**371739.29*76*0.0*3103133*false*8.3476*0.38*0.0*0.38*0.01*3.86*15.75*0.44*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*SMART US EQUITIES, FI*86954187*Semester 1 2020*2020-01-01*2020-06-30*4718*info@gruponovobanco.es*Caa2 (Moody's)*5 en una escala del 1 al 7*0.67*0.1**308149.97*29*0.0*2476715*false*8.0374*0.75*0.0*0.75*0.02*13.97*30.91*0.48*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*SMART US EQUITIES, FI*86954187*Trimester 1 2020*2020-01-01*2020-03-31*4718*info@gruponovobanco.es*B2 (Moody's)*5 en una escala del 1 al 7*0.49*0.1**254234.7*28*0.0*1792864*false*7.052*0.37*0.0*0.37*0.01*-17.64*51.35*0.49*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
SMART US EQUITIES, FI*SMART US EQUITIES, FI*86954187*Semester 2 2019*2019-07-01*2019-12-31*4718*info@gruponovobanco.es*B2 (Moody's)*5 en una escala del 1 al 7*0.0*0.13**212415.56*29*0.0*1818706*false*8.562*0.12*0.0*0.12*0.0***0.19*NOVO BANCO GESTION, SGIIC, S.A.*NOVO BANCO, S.A., SUCURSAL EN ESPAÑA*ES0158762007
