fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2009*2009-07-01*2009-12-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.0*0.27**684764.63*100*0.0*3151480*false*4.6023***0.49*0.05*-3.12*3.12*0.4*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2012*2012-07-01*2012-09-30*2996*pbp@privatbank.es*AA- (S&P)*Muy Alto*0.0*0.07**19280.58*100*0.0*78139*false*4.0527*0.13*0.0*0.13*0.02*-1.24*0.0*1.26*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2012*2012-01-01*2012-06-30*2996*pbp@privatbank.es*AA- (S&P)*Muy Alto*0.0*0.11**19281.76*100*0.0*79126*false*4.1037*0.25*0.0*0.25*0.05*-1.15*0.07*1.18*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2012*2012-01-01*2012-03-31*2996*pbp@privatbank.es*AA (S&P)*Muy Alto*0.0*0.14**19283.93*101*0.0*80053*false*4.1513*0.13*0.0*0.13*0.02*1.33*1.56*0.2*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2013*2013-07-01*2013-12-31*2996*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.02*0.03**10821091.06*169*0.0*41958364*false*3.8775*0.39*0.0*0.39*0.03*1.06*0.58*0.25*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2013*2013-07-01*2013-09-30*2996*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.0*0.01**11119821.11*165*0.0*42663173*false*3.8367*0.19*0.0*0.19*0.01*0.83*0.91*0.23*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2013*2013-01-01*2013-06-30*2996*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.0*0.05**12776.01*100*0.0*48613*false*3.8051*0.25*0.0*0.25*0.05*-1.93*0.0*1.96*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2013*2013-01-01*2013-03-31*2996*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.0*0.05**12776.46*100*0.0*49571*false*3.8799*0.12*0.0*0.12*0.03*-1.87*0.0*1.9*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2014*2014-07-01*2014-12-31*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*0.53*0.0**13347533.06*165*0.0*53861441*false*4.0353*0.4*0.0*0.4*0.03*0.23*1.62*0.25*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2014*2014-07-01*2014-09-30*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*0.06*0.01**12703115.45*163*0.0*51144682*false*4.0262*0.2*0.0*0.2*0.01***0.25*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2014*2014-01-01*2014-06-30*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*1.13*0.12**11976557.94*163*0.0*47827068*false*3.9934*0.4*0.0*0.4*0.02*1.21*1.37*0.24*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2014*2014-01-01*2014-03-31*2996*pbp@privatbank.es*A+ (S&P)*5 en una escala del 1 al 7*0.69*0.1**11561641.35*170*0.0*45618633*false*3.9457*0.2*0.0*0.2*0.01*1.76*1.76*0.25*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 2 2015*2015-07-01*2015-12-31*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*0.04*0.0**13923853.23*160*0.0*57149690*false*4.1044*0.4*0.0*0.4*0.03*0.47*1.56*0.29*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 3 2015*2015-07-01*2015-09-30*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*0.08*0.0**13681806.21*159*0.0*55894888*false*4.0853*0.2*0.0*0.2*0.01*-0.02*2.61*0.29*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Semester 1 2015*2015-01-01*2015-06-30*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*1.1*0.0**14196144.63*158*0.0*58009539*false*4.0863*0.4*0.0*0.4*0.02*-1.4*2.52*0.29*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2015*2015-01-01*2015-03-31*2996*pbp@privatbank.es*A+ (S&P)*4 en una escala del 1 al 7*0.81*0.0**14083610.41*161*0.0*58365287*false*4.1442*0.2*0.0*0.2*0.01*2.7*1.79*0.28*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Semester 2 2016*2016-07-01*2016-12-31*2996*dpg@degroofpetercam.com*A+ (S&P)*4 en una escala del 1 al 7*0.26*-0.19**13886344.48*153*0.0*56974200*false*4.1029*0.4*0.0*0.4*0.03*0.4*0.78*0.31*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Trimester 3 2016*2016-07-01*2016-09-30*2996*dpg@degroofpetercam.com*A+ (S&P)*4 en una escala del 1 al 7*0.16*-0.04**14822252.84*158*0.0*60569034*false*4.0864*0.2*0.0*0.2*0.01*0.27*0.84*0.31*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Semester 1 2016*2016-01-01*2016-06-30*2996*dpg@degroofpetercam.com*A (S&P)*4 en una escala del 1 al 7*0.44*-0.01**15538985.36*160*0.0*63328627*false*4.0755*0.4*0.0*0.4*0.02*0.9*1.46*0.31*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*PRIVAT FONSELECCION F.I.*63580427*Trimester 1 2016*2016-01-01*2016-03-31*2996*pbp@privatbank.es*A (S&P)*4 en una escala del 1 al 7*0.46*0.0**14137807.42*160*0.0*57106448*false*4.0393*0.2*0.0*0.2*0.01*-1.59*2.75*0.29*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Trimester 3 2017*2017-07-01*2017-09-30*2996*dpg@degroofpetercam.com*A+ (S&P)*3 en una escala del 1 al 7*0.88*-0.35**12680162.59*135*0.0*52425765*false*4.1345*0.2*0.0*0.2*0.01*0.28*0.73*0.33*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Semester 1 2017*2017-01-01*2017-06-30*2996*dpg@degroofpetercam.com*A+ (S&P)*3 en una escala del 1 al 7*0.0*-0.33**12898185.16*137*0.0*53176045*false*4.1228*0.4*0.0*0.4*0.02*-0.18*0.75*0.32*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Trimester 1 2017*2017-01-01*2017-03-31*2996*dpg@degroofpetercam.com*A+ (S&P)*4 en una escala del 1 al 7*0.02*-0.36**13594316.71*142*0.0*56146105*false*4.1301*0.2*0.0*0.2*0.01*0.66*0.74*0.31*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION F.I.*63580427*Semester 2 2016*2016-07-01*2016-12-31*2996*dpg@degroofpetercam.com*A+ (S&P)*4 en una escala del 1 al 7*0.26*-0.19**13886344.48*153*0.0*56974200*false*4.1029*0.4*0.0*0.4*0.03*0.4*0.78*0.31*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Semester 2 2018*2018-07-01*2018-12-31*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*1.33*0.0**11845724.27*128*0.0*46071525*false*3.8893*0.4**0.4*0.03*-4.74*4.73*0.32*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Trimester 3 2018*2018-07-01*2018-09-30*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.68*0.0**12290321.07*137*0.0*50177113*false*4.0827*0.2**0.2*0.01*0.12*1.99*0.35*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Semester 1 2018*2018-01-01*2018-06-30*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*1.61*0.0**12959145.94*138*0.0*52844496*false*4.0778*0.4**0.4*0.02*-0.01*2.67*0.33*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Trimester 1 2018*2018-01-01*2018-03-31*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.74*0.0**13258312.24*131*0.0*54068437*false*4.0781*0.2**0.2*0.01*-1.31*3.23*0.36*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Semester 2 2019*2019-07-01*2019-12-31*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.26*-0.2**10495909.42*123*0.0*43499508*false*4.1444*0.4**0.4*0.03*0.48*1.76*0.28*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Trimester 3 2019*2019-07-01*2019-09-30*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.13*-0.24**11038792.6*124*0.0*45532281*false*4.1248*0.2**0.2*0.01*1.02*2.56*0.28*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Semester 1 2019*2019-01-01*2019-06-30*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.17*-0.32**11297157.76*126*0.0*46128851*false*4.0832*0.4**0.4*0.02*1.01*2.61*0.28*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Trimester 1 2019*2019-01-01*2019-03-31*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.0*-0.37**11268240.5*129*0.0*45551986*false*4.0425*0.2**0.2*0.01*3.94*2.67*0.28*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Semester 2 2020*2020-07-01*2020-12-31*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.58*-0.39**110003.55*70*0.0*444067*false*4.0368*0.41**0.41*0.03*0.3*1.79*0.31*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Trimester 3 2020*2020-07-01*2020-09-30*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.94*-0.25**7882231.92*108*0.0*31725295*false*4.0249*0.2**0.2*0.01*2.13*3.38*0.33*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Semester 1 2020*2020-01-01*2020-06-30*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.8*-0.24**8036310.59*113*0.0*31670720*false*3.941*0.4**0.4*0.02*4.3*4.85*0.32*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
DP FONSELECCION FI*DP FONSELECCION FI*63580427*Trimester 1 2020*2020-01-01*2020-03-31*2996*dpg@degroofpetercam.com*A+*3 en una escala del 1 al 7.*0.42*-0.3**8070475.58*115*0.0*30492733*false*3.7783*0.2**0.2*0.01*-8.83*12.8*0.29*DEGROOF PETERCAM SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0158327033
