fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 2 2009*2009-07-01*2009-12-31*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.19*0.91**367697.44*602*0.0*4472859*false*12.1645***0.96*0.1*-1.79*17.83*0.55*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Trimester 1 2011*2011-01-01*2011-03-31*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.0*0.89**238039.97*414*0.0*3325837*false*13.9718***0.47*0.05*6.18*11.78*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 2 2010*2010-07-01*2010-12-31*2243*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Alto*0.26*0.91**224947.99*385*0.0*2959854*false*13.1579***0.96*0.1*8.34*10.84*0.56*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2012*2012-07-01*2012-12-31*2243*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.24*0.77**363466.15*545*0.0*5231463*false*14.3933*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2012*2012-07-01*2012-12-31*2243*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.24*0.77**0.42*1*0.0*6*false*15.0177*0.0*0.0*0.0*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2012*2012-07-01*2012-09-30*2243*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.1*0.79**305079.48*473*0.0*4077238*false*13.3645*0.48*0.0*0.48*0.05*4.05*12.26*0.55*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2012*2012-07-01*2012-09-30*2243*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.1*0.79**0.42*1*0.0*6*false*13.8371*0.0*0.0*0.0*0.0*4.46*12.48*0.03*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2012*2012-01-01*2012-06-30*2243*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.29*1.0**298796.04*469*0.0*3837845*false*12.8444*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*CLASE B IBERCAJA SECTOR INMOBILIARIO*50847847*Semester 1 2012*2012-01-01*2012-06-30*2243*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.29*1.0**0.42*1*0.0*6*false*13.2468*0.0*0.0*0.0*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2012*2012-01-01*2012-03-31*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.16*1.0**295988.82*488*0.0*3812097*false*12.8792*0.47*0.0*0.47*0.05*9.75*14.42*0.55*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*CLASE B IBERCAJA SECTOR INMOBILIARIO*50847847*Trimester 1 2012*2012-01-01*2012-03-31*2243*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.16*1.0**0.42*1*0.0*6*false*13.0579*0.0*0.0*0.0*0.0*9.5*14.24*0.03*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2013*2013-07-01*2013-12-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.45**657480.42*904*0.0*10830371*false*16.4725*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2013*2013-07-01*2013-12-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.45**0.42*1*0.0*7*false*17.5915*0.0*0.0*0.0*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2013*2013-07-01*2013-09-30*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.48**601839.34*846*0.0*9472948*false*15.74*0.48*0.0*0.48*0.05*5.95*10.51*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2013*2013-07-01*2013-09-30*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.48**0.42*1*0.0*7*false*16.7651*0.0*0.0*0.0*0.0*6.45*10.61*0.0*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2013*2013-01-01*2013-06-30*2243*participes.ibercajagestion@ibercaja.net*A1 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.67**598164.2*811*0.0*8886730*false*14.8567*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2013*2013-01-01*2013-06-30*2243*participes.ibercajagestion@ibercaja.net*A1 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.67**0.42*1*0.0*7*false*15.7497*0.0*0.0*0.0*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2013*2013-01-01*2013-03-31*2243*participes.ibercajagestion@ibercaja.net*Ba1 (Moody's)*Alto*0.0*0.74**392173.37*581*0.0*5831657*false*14.8701*0.47*0.0*0.47*0.05*3.31*8.49*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2013*2013-01-01*2013-03-31*2243*participes.ibercajagestion@ibercaja.net*Ba1 (Moody's)*Alto*0.0*0.74**0.42*1*0.0*7*false*15.6316*0.0*0.0*0.0*0.0*4.09*8.6*0.0*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2014*2014-07-01*2014-12-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.01*0.1**1088014.86*1460*0.0*21258723*false*19.539*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2014*2014-07-01*2014-12-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.01*0.1**93691.36*827*0.0*1960809*false*20.9284*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2014*2014-07-01*2014-09-30*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.01*0.16**1097201.02*1438*0.0*19583353*false*17.8485*0.48*0.0*0.48*0.05*-1.7*9.91*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2014*2014-07-01*2014-09-30*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.01*0.16**91418.66*813*0.0*1747760*false*19.1182*0.48*0.0*0.48*0.05*-1.7*9.91*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2014*2014-01-01*2014-06-30*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.01*0.24**1053701.38*1365*0.0*19132111*false*18.1571*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2014*2014-01-01*2014-06-30*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.01*0.24**82761.84*738*0.0*1609694*false*19.4497*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2014*2014-01-01*2014-03-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.25**917589.23*1161*0.0*16179846*false*17.633*0.47*0.0*0.47*0.05*7.04*10.76*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2014*2014-01-01*2014-03-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.25**0.42*1*0.0*8*false*18.8666*0.0*0.0*0.0*0.0*7.25*10.55*0.0*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2015*2015-07-01*2015-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.06**1953722.19*2466*0.0*44413851*false*22.7329*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2015*2015-07-01*2015-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.06**119364.01*1222*0.0*2906591*false*24.3506*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2015*2015-07-01*2015-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.08**1730524.62*2262*0.0*38057059*false*21.9916*0.48*0.0*0.48*0.05*-0.14*21.27*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2015*2015-07-01*2015-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.08**110115.77*1153*0.0*2593919*false*23.5563*0.48*0.0*0.48*0.05*-0.14*21.27*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2015*2015-01-01*2015-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.07**1627509.54*2145*0.0*35843224*false*22.0234*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2015*2015-01-01*2015-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.07**101624.61*1079*0.0*2397322*false*23.59*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2015*2015-01-01*2015-03-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.07**1487835.56*2107*0.0*34302706*false*23.0554*0.47*0.0*0.47*0.05*18.0*12.06*0.52*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2015*2015-01-01*2015-03-31*2243*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.07**90482.04*966*0.0*2234470*false*24.6952*0.47*0.0*0.47*0.05*18.0*12.06*0.52*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2016*2016-07-01*2016-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.3*-0.09**1185512.28*1532*0.0*26562691*false*22.4061*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2016*2016-07-01*2016-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.3*-0.09**98491.65*1206*0.0*2363971*false*24.0017*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2016*2016-07-01*2016-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.15*-0.05**1423764.77*1757*0.0*31137855*false*21.8701*0.48*0.0*0.48*0.05*4.79*12.96*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2016*2016-07-01*2016-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.15*-0.05**96845.61*1206*0.0*2268828*false*23.4273*0.48*0.0*0.48*0.05*4.79*12.96*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2016*2016-01-01*2016-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.11**1820992.6*2377*0.0*38004117*false*20.87*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2016*2016-01-01*2016-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.11**97999.21*1262*0.0*2190841*false*22.3557*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2016*2016-01-01*2016-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.1**1811123.05*2369*0.0*39394725*false*21.7515*0.47*0.0*0.47*0.05*-4.32*23.35*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2016*2016-01-01*2016-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.1**84803.14*1250*0.0*1975888*false*23.2997*0.47*0.0*0.47*0.05*-4.32*23.35*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 2 2017*2017-07-01*2017-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.24**1197682.35*1641*0.0*30983638*false*25.8697*0.96*0.0*0.96*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 2 2017*2017-07-01*2017-12-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.24**23.96*2*0.0*665*false*27.7757*0.87*0.0*0.87*0.0*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2017*2017-07-01*2017-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.25**1138774.72*1547*0.0*28194489*false*24.7586*0.48*0.0*0.48*0.05*2.23*8.2*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 3 2017*2017-07-01*2017-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.25**23.96*2*0.0*636*false*26.556*0.44*0.0*0.44*0.0*2.32*8.2*0.45*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Semester 1 2017*2017-01-01*2017-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*-0.26**1130118.09*1513*0.0*27370141*false*24.2188*0.94*0.0*0.94*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Semester 1 2017*2017-01-01*2017-06-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*-0.26**28.01*2*0.0*727*false*25.9544*0.95*0.0*0.95*0.1*[]*[]*[]*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 1 2017*2017-01-01*2017-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.07*-0.27**1099782.0*1431*0.0*25734852*false*23.4*0.47*0.0*0.47*0.05*4.44*8.12*0.52*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE B*50847847*Trimester 1 2017*2017-01-01*2017-03-31*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.07*-0.27**45111.07*1212*0.0*1130786*false*25.0667*0.47*0.0*0.47*0.05*4.44*8.12*0.53*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
IBERCAJA SECTOR INMOBILIARIO, FI*IBERCAJA SECTOR INMOBILIARIO CLASE A*50847847*Trimester 3 2018*2018-07-01*2018-09-30*2243*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.22**1758740.34*1691*0.0*43345436*false*24.6457*0.48*0.0*0.48*0.05*-4.36*5.94*0.54*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*
