fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2009*2009-07-01*2009-12-31*1508*info@gvcgaesco.es*AA+*Moderado*0.81*0.36**763237.84*179*0.0*7668728*false*10.0476***0.5*0.05*1.37*5.59*0.58*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2012*2012-07-01*2012-09-30*1508*info@gvcgaesco.es*A+*Moderado*0.43*0.03**614125.34*140*0.0*5349310*false*8.7105*0.25*0.0*0.25*0.03*3.96*12.98*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2012*2012-01-01*2012-06-30*1508*info@gvcgaesco.es*A+*Moderado*0.41*0.07**614810.12*141*0.0*5151458*false*8.3789*0.5*0.0*0.5*0.05*-6.99*13.77*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2012*2012-01-01*2012-03-31*1508*info@gvcgaesco.es*A+*Moderado*0.26*0.07**684837.03*147*0.0*6169388*false*9.0085*0.25*0.0*0.25*0.02*3.77*9.82*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2011*2011-07-01*2011-12-31*1508*info@gvcgaesco.es*AA+*Moderado*1.05*1.52**687307.89*149*0.0*5966499*false*8.681*0.5*0.0*0.5*0.05*2.5*17.97*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2013*2013-07-01*2013-09-30*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.02*0.0**505275.67*132*0.0*4733839*false*9.3688*0.25*0.0*0.25*0.03*8.9*9.15*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2013*2013-01-01*2013-06-30*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.16*0.01**571020.19*130*0.0*4912379*false*8.6028*0.5*0.0*0.5*0.05*-2.75*9.9*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2013*2013-01-01*2013-03-31*1508*info@gvcgaesco.es*BBB*Moderado*0.1*0.01**614200.9*140*0.0*5433174*false*8.8459*0.25*0.0*0.25*0.02*-1.86*11.52*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2012*2012-07-01*2012-12-31*1508*info@gvcgaesco.es*BBB*Moderado*0.7*0.03**614125.34*140*0.0*5535578*false*9.0138*0.5*0.0*0.5*0.05*3.48*7.25*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2014*2014-07-01*2014-09-30*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.25*0.01**406897.48*116*0.0*3958150*false*9.7276*0.25*0.0*0.25*0.03*-2.22*7.77*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2014*2014-01-01*2014-06-30*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.32*0.0**452649.89*118*0.0*4503213*false*9.9486*0.5*0.0*0.5*0.05*-0.16*6.52*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2014*2014-01-01*2014-03-31*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.17*0.0**463097.94*119*0.0*4614700*false*9.9648*0.25*0.0*0.25*0.02*1.83*8.47*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2013*2013-07-01*2013-12-31*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.16*0.03**468264.92*121*0.0*4582310*false*9.7857*0.5*0.0*0.5*0.05*4.45*8.56*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2015*2015-07-01*2015-12-31*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.79*0.0**291762.52*108*0.0*2734651*false*9.3729*0.5*0.0*0.5*0.05*2.14*11.49*0.35*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2015*2015-07-01*2015-09-30*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.63*0.0**291762.52*108*0.0*2677435*false*9.1768*0.25*0.0*0.25*0.03*-13.1*15.17*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2015*2015-01-01*2015-06-30*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.88*0.0**291762.52*108*0.0*3080954*false*10.5598*0.5*0.0*0.5*0.05*-2.36*7.73*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2015*2015-01-01*2015-03-31*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.36*0.0**343685.52*108*0.0*3716820*false*10.8146*0.25*0.0*0.25*0.02*10.81*8.1*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2016*2016-07-01*2016-12-31*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.0*0.05**963260.65*257*0.0*9622086*false*9.9891*0.5*0.0*0.5*0.05*4.41*5.76*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2016*2016-07-01*2016-09-30*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.45*0.0**292560.41*109*0.0*2798900*false*9.5669*0.25*0.0*0.25*0.03*5.22*8.04*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2016*2016-01-01*2016-06-30*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*1.31*0.0**291520.26*106*0.0*2650713*false*9.0927*0.5*0.0*0.5*0.05*3.33*14.42*0.32*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2016*2016-01-01*2016-03-31*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.77*0.0**291705.94*108*0.0*2567016*false*8.8*0.25*0.0*0.25*0.02*-6.11*19.0*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2017*2017-07-01*2017-12-31*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.63*-0.3**1032647.17*271*0.0*10986311*false*10.639*0.5*0.0*0.5*0.05*-0.93*4.77*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2017*2017-07-01*2017-09-30*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.35*-0.3**1021585.63*272*0.0*10970886*false*10.7391*0.25*0.0*0.25*0.03*-0.45*4.45*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2017*2017-01-01*2017-06-30*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.99*-0.3**1009969.57*271*0.0*10895015*false*10.7875*0.5*0.0*0.5*0.05*2.06*5.72*0.33*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2017*2017-01-01*2017-03-31*1508*info@gvcgaesco.es*A-*5 (En una escala del 1 al 7)*0.55*-0.3**1009411.92*263*0.0*10669185*false*10.5697*0.25*0.0*0.25*0.02*5.81*4.8*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2018*2018-07-01*2018-12-31*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.5*-0.34**1060824.82*267*0.0*10373318*false*9.7785*0.5*0.0*0.5*0.05*-9.11*10.29*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2018*2018-07-01*2018-09-30*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.24*-0.34**1066207.57*268*0.0*11471028*false*10.7587*0.25*0.0*0.25*0.02*0.22*4.73*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2018*2018-01-01*2018-06-30*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.16*-0.34**1044001.12*266*0.0*11207832*false*10.7355*0.5*0.0*0.5*0.05*2.39*6.66*0.31*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2018*2018-01-01*2018-03-31*1508*info@gvcgaesco.es*A*5 (En una escala del 1 al 7)*0.0*-0.34**1030902.43*268*0.0*10809000*false*10.4847*0.25*0.0*0.25*0.02*-1.45*8.78*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2019*2019-07-01*2019-12-31*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.35*-0.4**1055832.25*270*0.0*11481260*false*10.8741*0.5*0.0*0.5*0.05*3.73*6.57*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2019*2019-07-01*2019-09-30*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.18*-0.3**1083322.28*276*0.0*11357026*false*10.4835*0.25*0.0*0.25*0.02*-0.14*8.67*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2019*2019-01-01*2019-06-30*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.64*-0.3**1041376.31*276*0.0*10932772*false*10.4984*0.5*0.0*0.5*0.04*0.77*6.88*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2019*2019-01-01*2019-03-31*1508*info@gvcgaesco.es*BBB*5 (En una escala del 1 al 7)*0.41*-0.3**1066925.57*269*0.0*11115715*false*10.4185*0.25*0.0*0.25*0.02*6.54*7.73*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 2 2020*2020-07-01*2020-12-31*1508*info@gvcgaesco.es*BBB+*6 (En una escala del 1 al 7)*0.27*-0.4**960161.3*251*0.0*11128268*false*11.59*0.5*0.0*0.5*0.05*10.65*9.31*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 3 2020*2020-07-01*2020-09-30*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.05*-0.4**977108.38*257*0.0*10234617*false*10.4744*0.25*0.0*0.25*0.02*-0.34*11.44*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Semester 1 2020*2020-01-01*2020-06-30*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.41*-0.4**972843.94*261*0.0*10225172*false*10.5106*0.5*0.0*0.5*0.04*15.02*15.85*0.3*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
NOVAFONDISA, FI*Novafondisa, F.I.*61685194*Trimester 1 2020*2020-01-01*2020-03-31*1508*info@gvcgaesco.es*BBB+*5 (En una escala del 1 al 7)*0.31*-0.4**979504.78*261*0.0*8950575*false*9.1379*0.25*0.0*0.25*0.02*-15.97*27.65*0.29*GVC GAESCO GESTIÓN, SGIIC, S.A.*CECABANK, S.A.*ES0166453037
