fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2015*2015-07-01*2015-12-31*4844*DWS.ES@DB.COM*Aa3*3*0.0*0.05**1024195.39*386*0.0*9739128*false*9.5091*0.76**0.76*0.03*7.91*14.87*0.55*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 1 2017*2017-01-01*2017-03-31*4844*DWS.ES@DB.COM*Aa3*3*0.01*0.0**581057.53*254*0.0*6171870*false*10.6218*0.37**0.37*0.01*4.92*8.59*0.5*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2018*2018-07-01*2018-12-31*4844*dws.iberia@dws.com*BBB+(S&p)*5*0.05*0.0**531444.29*247*0.0*5325803*false*10.0214*0.76**0.76*0.03*-12.67*14.73*0.6*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 3 2018*2018-07-01*2018-09-30*4844*dws.iberia@dws.com*BBB+(S&p)*5*0.03*0.0**578115.16*257*0.0*6634374*false*11.4759*0.38**0.38*0.02*3.87*6.06*0.56*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 1 2018*2018-01-01*2018-06-30*4844*dws.iberia@dws.com*BBB+(S&p)*5*0.1*0.0**569503.63*254*0.0*6292296*false*11.0487*0.74**0.74*0.03*5.79*8.08*0.57*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 1 2018*2018-01-01*2018-03-31*4844*dws.iberia@dws.com*BBB+(S&p)*5*0.0*0.0**572636.5*246*0.0*5980884*false*10.4445*0.37**0.37*0.01*-3.75*12.19*0.53*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 3 2019*2019-07-01*2019-09-30*4844*dbwm.spain@db.com*BBB+(S&p)*5/7*0.0*0.0**435941.74*220*0.0*5172376*false*11.8648*0.38**0.38*0.02*3.41*11.36*0.56*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 1 2019*2019-01-01*2019-06-30*4844*dbwm.spain@db.com*BBB+(S&p)*5/7*0.01*0.0**486861.36*232*0.0*5586177*false*11.4739*0.74**0.74*0.03*1.78*8.83*0.55*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 1 2019*2019-01-01*2019-03-31*4844*dbwm.spain@db.com*BBB+(S&p)*5/7*0.0*0.0**524465.03*236*0.0*5912463*false*11.2733*0.37**0.37*0.01*12.49*9.08*0.54*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2018*2018-07-01*2018-12-31*4844*dws.iberia@dws.com*BBB+(S&p)*5*0.05*0.0**531444.29*247*0.0*5325803*false*10.0214*0.76**0.76*0.03*-12.67*14.73*0.6*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 2 2020*2020-07-01*2020-12-31*4844*dbwm.spain@db.com*A+  (FITCH)*6/7*0.22*-0.46**330943.13*210*0.0*4458172*false*13.4711*0.75**0.75*0.02*10.05*11.9*0.65*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 3 2020*2020-07-01*2020-09-30*4844*dbwm.spain@db.com*A+  (FITCH)*5/7*0.25*-0.78**331061.28*207*0.0*4052511*false*12.241*0.38**0.38*0.01*4.82*12.33*0.63*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Semester 1 2020*2020-01-01*2020-06-30*4844*dbwm.spain@db.com*A+  (FITCH)*5/7*0.61*-0.3**340898.95*216*0.0*3981132*false*11.6783*0.75**0.75*0.03*15.52*21.23*0.62*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
DB TALENTO BOLSA GLOBAL, FI*DB TALENTO BOLSA GLOBAL FI*87194411*Trimester 1 2020*2020-01-01*2020-03-31*4844*dbwm.spain@db.com*BBB+ (FITCH)*5/7*0.0*0.0**346752.94*211*0.0*3505321*false*10.109*0.37**0.37*0.01*-19.34*38.35*0.63*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0125756009
