fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 3 2009*2009-07-01*2009-09-30*3591*gestora@fineco.com*AA  (S&P)*medio*0.21*0.22**4977486.94*157*0.0*40303252*true*8.0971***0.06*0.01*2.0*1.62*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Semester 2 2012*2012-07-01*2012-12-31*3591*gestora@fineco.com*AA- (S&P)*3 en una escala de 1 a 7*1.45*0.1**17421820.03*370*0.0*139354836*false*7.9989*0.0*[]*0.0*0.04*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 3 2012*2012-07-01*2012-09-30*3591*gestora@fineco.com*A-  (S&P)*medio*0.0*0.13**9133264.28*304*0.0*72972595*true*7.9898*0.06**0.06*0.01*0.4*0.75*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Semester 1 2012*2012-01-01*2012-06-30*3591*gestora@fineco.com*A-  (S&P)*medio*0.0*0.23**8345759.62*285*0.0*66413754*true*7.9578*0.12**0.12*0.02*0.25*0.47*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO DEUDA PRIVADA FI*95444667*Trimester 1 2012*2012-01-01*2012-03-31*3591*gestora@fineco.com*A+  (S&P)*medio*0.0*0.22**9604190.05*283*0.0*76237568*true*7.9379*0.06**0.06*0.01*0.7*0.49*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Semester 2 2013*2013-07-01*2013-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.33*0.03**4129304.04*452*0.0*33898404*false*8.2092*0.33*[]*0.33*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Semester 2 2013*2013-07-01*2013-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.33*0.03**29892367.28*534*0.0*245801153*false*8.2229*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Trimester 3 2013*2013-07-01*2013-09-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.1*0.01**3361514.87*385*0.0*27227179*false*8.0997*0.16*[]*0.16*0.01*1.54*1.53*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Trimester 3 2013*2013-07-01*2013-09-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.1*0.01**24741131.37*473*0.0*200652314*false*8.1101*0.13*[]*0.13*0.01*1.58*1.53*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Semester 1 2013*2013-01-01*2013-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.62*0.01**2873358.36*328*0.0*22920550*false*7.9769*0.32*[]*0.32*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Semester 1 2013*2013-01-01*2013-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.62*0.01**24829899.09*451*0.0*198245352*false*7.9841*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Trimester 1 2013*2013-01-01*2013-03-31*3591*gestora@fineco.com*BBB (S&P)*3 en una escala de 1 a 7*0.29*0.01**1939572.27*237*0.0*15645089*false*8.0663*0.16*[]*0.16*0.01*0.86*1.51*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Trimester 1 2013*2013-01-01*2013-03-31*3591*gestora@fineco.com*BBB (S&P)*3 en una escala de 1 a 7*0.29*0.01**21855614.83*405*0.0*176386565*false*8.0705*0.12*[]*0.12*0.01*0.9*1.51*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 2 2014*2014-07-01*2014-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.57*0.0**7145065.7*800*0.0*59803956*false*8.37*0.33*[]*0.33*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 2 2014*2014-07-01*2014-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.57*0.0**51433351.66*794*0.0*431858212*false*8.3965*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 3 2014*2014-07-01*2014-09-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.36*0.0**6756850.56*768*0.0*56759477*false*8.4003*0.16*[]*0.16*0.01*-0.56*1.43*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 3 2014*2014-07-01*2014-09-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.36*0.0**48587689.11*745*0.0*409287780*false*8.4237*0.13*[]*0.13*0.01*-0.52*1.44*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Semester 1 2014*2014-01-01*2014-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.68*0.09**5853235.96*613*0.0*49443275*false*8.4472*0.32*[]*0.32*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Semester 1 2014*2014-01-01*2014-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.68*0.09**41981705.99*686*0.0*355480303*false*8.4675*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/A*95444667*Trimester 1 2014*2014-01-01*2014-03-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.23*0.09**5216037.13*562*0.0*43352118*false*8.3113*0.16*[]*0.16*0.01*1.24*1.17*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALS/I*95444667*Trimester 1 2014*2014-01-01*2014-03-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.23*0.09**37127258.14*625*0.0*309203474*false*8.3282*0.12*[]*0.12*0.01*1.28*1.17*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 2 2015*2015-07-01*2015-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.37*0.0**9355953.13*1014*0.0*79025542*false*8.4466*0.33*[]*0.33*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 2 2015*2015-07-01*2015-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.37*0.0**68374749.47*1117*0.0*580228843*false*8.486*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 3 2015*2015-07-01*2015-09-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.11*0.0**8818558.2*980*0.0*74353240*false*8.4315*0.16*[]*0.16*0.01*-0.49*1.23*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 3 2015*2015-07-01*2015-09-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.11*0.0**64271704.47*1039*0.0*544229460*false*8.4676*0.13*[]*0.13*0.01*-0.45*1.23*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 1 2015*2015-01-01*2015-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.64*0.0**8284315.95*931*0.0*70192424*false*8.4729*0.32*[]*0.32*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 1 2015*2015-01-01*2015-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.64*0.0**60694347.78*964*0.0*516270789*false*8.5061*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 1 2015*2015-01-01*2015-03-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.2*0.0**7831746.68*886*0.0*66481910*false*8.4888*0.16*[]*0.16*0.01*1.42*1.56*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 1 2015*2015-01-01*2015-03-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.2*0.0**56961061.33*871*0.0*485239594*false*8.5188*0.12*[]*0.12*0.01*1.46*1.57*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 3 2016*2016-07-01*2016-09-30*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.14*0.0**9541968.51*1033*0.0*82008289*false*8.5945*0.16*[]*0.16*0.01*0.23*0.67*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 3 2016*2016-07-01*2016-09-30*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.14*0.0**76708401.47*1191*0.0*663093121*false*8.6443*0.13*[]*0.13*0.01*0.27*0.67*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 1 2016*2016-01-01*2016-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.31*0.0**9544079.22*1033*0.0*81838884*false*8.5748*0.32*[]*0.32*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 1 2016*2016-01-01*2016-06-30*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.31*0.0**77819208.5*1204*0.0*670904237*false*8.6213*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 1 2016*2016-01-01*2016-03-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.16*0.0**9524762.53*1036*0.0*81188373*false*8.5239*0.16*[]*0.16*0.01*0.92*1.09*0.17*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 1 2016*2016-01-01*2016-03-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.16*0.0**75974122.17*1175*0.0*650865817*false*8.5669*0.12*[]*0.12*0.01*0.95*1.1*0.13*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 2 2015*2015-07-01*2015-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.37*0.0**9355953.13*1014*0.0*79025542*false*8.4466*0.33*[]*0.33*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 2 2015*2015-07-01*2015-12-31*3591*gestora@fineco.com*A+  (S&P)*3 en una escala de 1 a 7*0.37*0.0**68374749.47*1117*0.0*580228843*false*8.486*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 3 2017*2017-07-01*2017-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.07*-0.36**7474936.22*765*0.0*63669690*false*8.5178*0.16*[]*0.16*0.01*[]*[]*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 3 2017*2017-07-01*2017-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.07*-0.36**65443472.93*1019*0.0*561505422*false*8.58*0.13*[]*0.13*0.01*[]*[]*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 1 2017*2017-01-01*2017-06-30*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.77*-0.36**8505266.28*935*0.0*72570076*false*8.5324*0.32*[]*0.32*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 1 2017*2017-01-01*2017-06-30*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.77*-0.36**70921285.39*1160*0.0*609319227*false*8.5915*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Trimester 1 2017*2017-01-01*2017-03-31*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.41*0.0**8941811.36*982*0.0*76415236*false*8.5458*0.16*[]*0.16*0.01*0.08*0.37*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Trimester 1 2017*2017-01-01*2017-03-31*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.41*0.0**72878515.11*1179*0.0*626888311*false*8.6018*0.12*[]*0.12*0.01*0.12*0.37*0.14*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/A*95444667*Semester 2 2016*2016-07-01*2016-12-31*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.24*0.0**9250936.57*1010*0.0*78991975*false*8.5388*0.33*[]*0.33*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INTERNACIONALC/I*95444667*Semester 2 2016*2016-07-01*2016-12-31*3591*gestora@fineco.com*A+*2 en una escala de 1 a 7*0.24*0.0**73424899.39*1183*0.0*630835611*false*8.5916*0.25*[]*0.25*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Semester 2 2018*2018-07-01*2018-12-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*1.14*-0.36**4595811.93*557*0.0*38428251*false*8.3616*0.31*[]*0.31*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -I-*95444667*Semester 2 2018*2018-07-01*2018-12-31*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*1.14*-0.36**41644250.06*835*0.0*351306186*false*8.4359*0.24*[]*0.24*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO RENTA FIJA INTERNACIONAL, FI*FON FINECO RF INT. FI -A-*95444667*Trimester 3 2018*2018-07-01*2018-09-30*3591*gestora@fineco.com*A+*3 en una escala de 1 a 7*0.96*-0.36**4273682.07*507*0.0*36090087*false*8.4447*0.15*[]*0.15*0.01*-0.22*0.6*0.18*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
