fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IGVF FI*IGVF FI*86359544*Semester 2 2011*2011-07-01*2011-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.0*0.01**60000.0*1*0.0*298961*false*4.9827*0.02**0.02*0.0****ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2014*2014-01-01*2014-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.43*0.12**988741.82*138*0.0*5982932*false*6.0511*0.08**0.08*0.02*1.12*10.46*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2013*2013-07-01*2013-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.81*0.06**988741.82*138*0.0*5916698*false*5.9841*0.17*1.12*1.29*0.05*5.82*7.12*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2015*2015-07-01*2015-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.52*0.0**988777.5*131*0.0*6482663*false*6.5562*0.17*-0.4*-0.23*0.05*4.31*12.99*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2015*2015-07-01*2015-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.23*0.0**988777.5*131*0.0*6214589*false*6.2851*0.08**-0.71*0.03*-6.25*18.23*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2015*2015-01-01*2015-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.56*0.0**1025358.12*133*0.0*6873967*false*6.704*0.16*0.76*0.92*0.05*-4.51*13.5*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2015*2015-01-01*2015-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.14*0.0**1025379.41*136*0.0*7198673*false*7.0205*0.08*1.15*1.23*0.02*12.41*10.98*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2016*2016-07-01*2016-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.56*0.0**988777.5*131*0.0*6733471*false*6.8099*0.17**0.17*0.05*4.72*8.65*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2016*2016-07-01*2016-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.26*0.0**988777.5*131*0.0*6430068*false*6.503*0.09**0.09*0.03*4.56*9.09*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2016*2016-01-01*2016-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.94*0.0**988777.5*131*0.0*6149902*false*6.2197*0.17**0.17*0.05*0.99*18.17*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2016*2016-01-01*2016-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.47*0.0**988777.5*131*0.0*6089344*false*6.1585*0.08**0.08*0.02*-6.07*21.74*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2017*2017-07-01*2017-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.37*0.0**1008963.22*129*0.0*7619023*false*7.5513*0.17*0.73*0.9*0.05*2.08*5.16*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2017*2017-07-01*2017-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.21*0.0**988774.5*128*0.0*7314333*false*7.3974*0.08*0.39*0.47*0.03*2.52*5.86*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2017*2017-01-01*2017-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.81*0.0**988774.5*128*0.0*7134522*false*7.2155*0.17*0.3*0.47*0.05*0.14*5.84*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2017*2017-01-01*2017-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.4*0.0**988776.5*130*0.0*7124257*false*7.2051*0.08*0.28*0.36*0.02*5.8*6.3*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 3 2018*2018-07-01*2018-09-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.13*0.0**1278311.83*127*0.0*9855174*false*7.7095*0.08**0.08*0.03*1.57*5.66*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 1 2018*2018-01-01*2018-06-30*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.45*0.0**1278313.83*129*0.0*9703129*false*7.5906*0.17**0.17*0.05*3.18*8.39*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Trimester 1 2018*2018-01-01*2018-03-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.23*0.0**1008963.22*129*0.0*7422340*false*7.3564*0.08**0.08*0.02*-2.58*11.76*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF FI*86359544*Semester 2 2017*2017-07-01*2017-12-31*4421*departamento.atencion-cliente@ubs.com*n.d.*Alto*0.37*0.0**1008963.22*129*0.0*7619023*false*7.5513*0.17*0.73*0.9*0.05*2.08*5.16*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Trimester 3 2019*2019-07-01*2019-09-30*4421*infogestora@esferacapital.es*BBB+*7 (En una escala del 1 al 7)*0.67*0.0**1929922.07*70*0.0*14430554*false*7.4773*0.09*0.0*-0.12*0.02*-4.28*12.12*0.16*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Semester 1 2019*2019-01-01*2019-06-30*4421*infogestora@esferacapital.es*BBB+*7 (En una escala del 1 al 7)*1.59*0.0**1968824.91*69*0.0*15378923*false*7.8112*0.17*0.24*0.41*0.04*-0.11*10.68*0.15*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Trimester 1 2019*2019-01-01*2019-03-31*4421*infogestora@esferacapital.es*BBB*7 (En una escala del 1 al 7)*0.98*0.0**1966898.55*68*0.0*15381443*false*7.8202*0.09*0.34*0.43*0.02*10.97*8.74*0.17*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Semester 2 2018*2018-07-01*2018-12-31*4421*infogestora@esferacapital.es*BBB*7 (En una escala del 1 al 7)*0.0*0.0**1276359.5*63*0.0*8994955*false*7.0474*0.32*0.0*0.32*0.09*-8.59*11.86*1.08*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Semester 2 2020*2020-07-01*2020-12-31*4421*roberto.santos@andbank.es*BBB*7 (En una escala del 1 al 7)*0.77*-0.48**1926066.24*87*0.0*17200009*false*8.9301*0.18*1.06*1.24*0.04*5.87*11.02*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Semester 1 2020*2020-01-01*2020-06-30*4421*infogestora@esferacapital.es*BBB-*7 (En una escala del 1 al 7)*1.56*-5.84**1925590.79*93*0.0*15665416*false*8.1354*0.17*0.34*0.51*0.04*13.13*17.29*0.12*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Trimester 1 2020*2020-01-01*2020-03-31*4421*infogestora@esferacapital.es*BBB+*7 (En una escala del 1 al 7)*0.94*0.0**1925594.6*100*0.0*13846920*false*7.191*0.09*0.0*0.09*0.02*-5.97*34.99*0.13*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
IGVF FI*IGVF, FI*86359544*Semester 2 2019*2019-07-01*2019-12-31*4421*infogestora@esferacapital.es*BBB+*7 (En una escala del 1 al 7)*0.83*0.0**1925621.38*101*0.0*14726171*false*7.6475*0.18*0.0*0.18*0.04*2.28*5.36*0.15*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CECABANK, S.A.*ES0147411005
