fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2015*2015-07-01*2015-12-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.1*0.0**1053212.76*328*0.0*109835809*false*104.2864*0.25*[]*0.25*0.04*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 2 2016*2016-07-01*2016-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**344192.42*1301*0.0*40044931*false*116.3446*0.88*[]*0.88*0.04*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 2 2016*2016-07-01*2016-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**682328.73*544*0.0*80168798*false*117.4929*0.63*[]*0.63*0.04*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 3 2016*2016-07-01*2016-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**940438.11*322*0.0*104546530*false*111.1679*0.13*[]*0.13*0.02*9.8*11.27*0.16*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 3 2016*2016-07-01*2016-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**203343.47*938*0.0*22132102*false*108.841*0.44*[]*0.44*0.02*9.46*11.27*0.47*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 3 2016*2016-07-01*2016-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**544970.78*429*0.0*59825353*false*109.7772*0.31*[]*0.31*0.02*9.59*11.27*0.34*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 1 2016*2016-01-01*2016-06-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.06*0.0**978074.55*326*0.0*99025087*false*101.2449*0.25*[]*0.25*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 1 2016*2016-01-01*2016-06-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.06*0.0**164936.28*785*0.0*16400741*false*99.4368*0.87*[]*0.87*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 1 2016*2016-01-01*2016-06-30*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.06*0.0**337846.81*224*0.0*33841104*false*100.167*0.62*[]*0.62*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 1 2016*2016-01-01*2016-03-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**1006657.35*329*0.0*102730858*false*102.0515*0.12*[]*0.12*0.02*-2.14*21.18*0.14*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 1 2016*2016-01-01*2016-03-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**155494.44*751*0.0*15633561*false*100.541*0.43*[]*0.43*0.02*-2.45*21.18*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 1 2016*2016-01-01*2016-03-31*4841*magallanes@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**276882.86*170*0.0*28007646*false*101.1534*0.31*[]*0.31*0.02*-2.33*21.18*0.33*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2017*2017-07-01*2017-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.11*0.0**930203.25*344*0.0*134196763*false*144.2661*0.25*[]*0.25*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 2 2017*2017-07-01*2017-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.11*0.0**1026840.48*3935*0.0*142786365*false*139.0541*0.88*[]*0.88*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 2 2017*2017-07-01*2017-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.11*0.0**1676964.0*1550*0.0*236670717*false*141.1305*0.63*[]*0.63*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 3 2017*2017-07-01*2017-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.22*0.0**925101.69*331*0.0*130687776*false*141.2686*0.13*[]*0.13*0.01*5.25*7.22*0.14*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 3 2017*2017-07-01*2017-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.22*0.0**827099.45*3081*0.0*112977293*false*136.5946*0.44*[]*0.44*0.01*4.92*7.22*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 3 2017*2017-07-01*2017-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.22*0.0**1419365.27*1334*0.0*196524765*false*138.4596*0.31*[]*0.31*0.01*5.06*7.22*0.33*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 1 2017*2017-01-01*2017-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**935653.53*330*0.0*125579480*false*134.2158*0.25*[]*0.25*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 1 2017*2017-01-01*2017-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**673246.07*2511*0.0*87646333*false*130.1847*0.87*[]*0.87*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 1 2017*2017-01-01*2017-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**1246676.81*1099*0.0*164307025*false*131.796*0.62*[]*0.62*0.03*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 1 2017*2017-01-01*2017-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**944240.31*330*0.0*120981215*false*128.1255*0.12*[]*0.12*0.02*7.48*6.89*0.14*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 1 2017*2017-01-01*2017-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**532219.37*1981*0.0*66349230*false*124.6652*0.43*[]*0.43*0.02*7.15*6.89*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 1 2017*2017-01-01*2017-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**1006633.4*795*0.0*126887098*false*126.051*0.31*[]*0.31*0.02*7.28*6.89*0.32*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2018*2018-07-01*2018-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.12*0.0**935227.62*354*0.0*110407836*false*118.0545*0.25*[]*0.25*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 2 2018*2018-07-01*2018-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.12*0.0**1266070.36*5559*0.0*142274047*false*112.3745*0.88*[]*0.88*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 2 2018*2018-07-01*2018-12-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.12*0.0**2267241.76*2180*0.0*259884055*false*114.6256*0.63*[]*0.63*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 3 2018*2018-07-01*2018-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**935269.9*357*0.0*132279930*false*141.435*0.13*[]*0.13*0.01*0.95*9.2*0.14*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 3 2018*2018-07-01*2018-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**1344897.53*5586*0.0*181635158*false*135.055*0.44*[]*0.44*0.01*0.63*9.2*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 3 2018*2018-07-01*2018-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**2343150.42*2130*0.0*322386919*false*137.587*0.31*[]*0.31*0.01*0.75*9.2*0.33*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 1 2018*2018-01-01*2018-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.09*0.0**935820.19*358*0.0*131118585*false*140.1109*0.25*[]*0.25*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 1 2018*2018-01-01*2018-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.09*0.0**1361650.06*5446*0.0*182750858*false*134.2128*0.87*[]*0.87*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 1 2018*2018-01-01*2018-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.09*0.0**2195516.52*2027*0.0*299812607*false*136.5568*0.62*[]*0.62*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 1 2018*2018-01-01*2018-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**934148.98*351*0.0*131089485*false*140.3304*0.12*[]*0.12*0.01*-2.73*11.01*0.13*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 1 2018*2018-01-01*2018-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**1256772.11*4885*0.0*169468569*false*134.8443*0.43*[]*0.43*0.01*-3.03*11.01*0.44*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 1 2018*2018-01-01*2018-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.01*0.0**2020864.44*1885*0.0*276912351*false*137.0267*0.31*[]*0.31*0.01*-2.91*11.01*0.32*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2019*2019-07-01*2019-12-31*4841*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**912424.91*348*0.0*132505590*false*145.2236*0.25*[]*0.25*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 2 2019*2019-07-01*2019-12-31*4841*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**1118745.67*5218*0.0*152725880*false*136.5153*0.88*[]*0.88*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 2 2019*2019-07-01*2019-12-31*4841*rsobrino@magallanesvalue.com*Baa1*5 en una escala del 1 al 7*0.0*-0.4**1982741.14*2039*0.0*277488462*false*139.9519*0.63*[]*0.63*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 3 2019*2019-07-01*2019-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**914416.68*355*0.0*124067891*false*135.6798*0.13*[]*0.13*0.01*-3.89*16.1*0.14*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 3 2019*2019-07-01*2019-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**1158979.18*5331*0.0*148287132*false*127.9463*0.44*[]*0.44*0.01*-4.19*16.1*0.45*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 3 2019*2019-07-01*2019-09-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**2092604.39*2017*0.0*274135481*false*131.0021*0.32*[]*0.32*0.01*-4.07*16.1*0.33*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 1 2019*2019-01-01*2019-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**905904.69*351*0.0*127886580*false*141.17*0.25*[]*0.25*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 1 2019*2019-01-01*2019-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**1196200.82*5444*0.0*159745083*false*133.5437*0.87*[]*0.87*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 1 2019*2019-01-01*2019-06-30*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*-0.3**2144164.91*2155*0.0*292809068*false*136.5609*0.62*[]*0.62*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 1 2019*2019-01-01*2019-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**925584.27*354*0.0*124517342*false*134.5284*0.12*[]*0.12*0.01*13.95*14.28*0.13*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Trimester 1 2019*2019-01-01*2019-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**1260491.37*5538*0.0*160911910*false*127.6581*0.43*[]*0.43*0.01*13.6*14.27*0.44*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Trimester 1 2019*2019-01-01*2019-03-31*4841*bhernandez@magallanesvalue.com*Baa1*7 en una escala del 1 al 7*0.0*0.0**2154579.42*2206*0.0*280913331*false*130.3797*0.31*[]*0.31*0.01*13.74*14.28*0.32*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Semester 2 2020*2020-07-01*2020-12-31*4841*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.05*-0.4**994616.46*362*0.0*141435862*false*142.2014*0.25*[]*0.25*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE M*87171005*Semester 2 2020*2020-07-01*2020-12-31*4841*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.05*-0.4**975679.51*4802*0.0*128803134*false*132.0138*0.88*[]*0.88*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE P*87171005*Semester 2 2020*2020-07-01*2020-12-31*4841*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.05*-0.4**1794398.32*2051*0.0*244066011*false*136.0155*0.63*[]*0.63*0.02*[]*[]*[]*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
MAGALLANES EUROPEAN EQUITY FI*MAGALLANES EUROPEAN EQUITY- CLASE E*87171005*Trimester 3 2020*2020-07-01*2020-09-30*4841*rsobrino@magallanesvalue.com*Baa1*6 en una escala del 1 al 7*0.02*-0.4**998421.61*359*0.0*121066411*false*121.2578*0.13*[]*0.13*0.01*7.62*17.58*0.14*MAGALLANES VALUE INVESTORS, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
