fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2010*2010-07-01*2010-09-30*4254*gestora@fineco.com*AA  (S&P)*bajo/medio*0.0*0.24**602754.9*85*0.0*6042285*false*10.02*[]*[]*0.13*0.01*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2012*2012-01-01*2012-06-30*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.22**1789090.75*279*0.0*18351304*false*10.26*0.27*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2012*2012-01-01*2012-06-30*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.22**6454933.9*183*0.0*66583929*false*10.32*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2012*2012-01-01*2012-03-31*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.2**1647197.83*246*0.0*17321866*false*10.52*0.14*[]*0.14*0.01*3.07*2.61*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2012*2012-01-01*2012-03-31*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.2**6080284.36*165*0.0*64252778*false*10.57*0.06*[]*0.06*0.01*3.14*2.61*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2011*2011-07-01*2011-12-31*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.79**1487717.31*220*0.0*15179346*false*10.2*0.28*[]*0.28*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2011*2011-07-01*2011-12-31*4254*gestora@fineco.com*AA- (S&P)*bajo/medio*0.0*0.79**5642333.57*142*0.0*57807817*false*10.25*0.13*[]*0.13*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2013*2013-07-01*2013-12-31*4254*gestora@fineco.com*A+  (S&P)*bajo/medio*0.0*0.05**5220163.02*657*0.0*57307819*false*10.9782*0.27*[]*0.27*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2013*2013-07-01*2013-12-31*4254*gestora@fineco.com*A+  (S&P)*bajo/medio*0.0*0.05**8433367.43*222*0.0*93525861*false*11.09*0.13*[]*0.13*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2013*2013-07-01*2013-09-30*4254*gestora@fineco.com*A+  (S&P)*bajo/medio*0.0*0.02**2831075.8*465*0.0*30958125*false*10.9351*0.14*[]*0.14*0.01*0.76*0.76*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2013*2013-07-01*2013-09-30*4254*gestora@fineco.com*A+  (S&P)*bajo/medio*0.0*0.02**7308350.37*197*0.0*80670561*false*11.0381*0.06*[]*0.06*0.01*0.84*0.77*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2013*2013-01-01*2013-06-30*4254*gestora@fineco.com*A+  (S&P)*bajo/medio*0.0*0.03**2562308.53*428*0.0*27807596*false*10.8526*0.27*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2013*2013-01-01*2013-06-30*4254*gestora@fineco.com*A+  (S&P)*bajo/medio*0.0*0.03**6596214.08*195*0.0*72205608*false*10.9465*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2013*2013-01-01*2013-03-31*4254*gestora@fineco.com*BBB (S&P)*bajo/medio*0.0*0.03**2350967.77*389*0.0*25397092*false*10.8028*0.14*[]*0.14*0.01*1.24*1.19*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2013*2013-01-01*2013-03-31*4254*gestora@fineco.com*BBB (S&P)*bajo/medio*0.0*0.03**6303125.5*193*0.0*68629779*false*10.8882*0.06*[]*0.06*0.01*1.31*1.19*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2014*2014-07-01*2014-12-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**4611999.06*864*0.0*50894130*false*11.0352*0.28*[]*0.28*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2014*2014-07-01*2014-12-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**9201578.14*210*0.0*102883228*false*11.181*0.13*[]*0.13*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2014*2014-07-01*2014-09-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**4695391.85*856*0.0*51865233*false*11.046*0.14*[]*0.14*0.01*0.08*0.17*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2014*2014-07-01*2014-09-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**9548617.65*211*0.0*106787489*false*11.1836*0.06*[]*0.06*0.01*0.16*0.18*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2014*2014-01-01*2014-06-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.15**4533555.19*694*0.0*50037851*false*11.0372*0.27*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2014*2014-01-01*2014-06-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.15**8841120.76*204*0.0*98722021*false*11.1662*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2014*2014-01-01*2014-03-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.14**4820285.0*680*0.0*53114654*false*11.019*0.14*[]*0.14*0.01*0.37*0.34*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2014*2014-01-01*2014-03-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.14**7654366.92*196*0.0*85265445*false*11.1395*0.06*[]*0.06*0.01*0.45*0.34*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2015*2015-07-01*2015-12-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*-0.01**4418546.98*904*0.0*48730456*false*11.0286*0.28*[]*0.28*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2015*2015-07-01*2015-12-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*-0.01**8839580.17*245*0.0*99073923*false*11.208*0.13*[]*0.13*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2015*2015-07-01*2015-09-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.02*0.0**4396909.46*893*0.0*48527702*false*11.0368*0.14*[]*0.14*0.01*0.03*0.14*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2015*2015-07-01*2015-09-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.02*0.0**9113613.77*241*0.0*102143596*false*11.2078*0.06*[]*0.06*0.01*0.11*0.14*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2015*2015-01-01*2015-06-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**4521594.44*880*0.0*49888010*false*11.0333*0.27*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2015*2015-01-01*2015-06-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**8913187.59*233*0.0*99790118*false*11.1958*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2015*2015-01-01*2015-03-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**4500602.6*877*0.0*49696811*false*11.0423*0.14*[]*0.14*0.01*0.06*0.0*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2015*2015-01-01*2015-03-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**9068936.25*232*0.0*101540488*false*11.1965*0.06*[]*0.06*0.01*0.14*0.06*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2016*2016-07-01*2016-12-31*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*0.0**4390155.35*900*0.0*48340644*false*11.0111*0.28*[]*0.28*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2016*2016-07-01*2016-12-31*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*0.0**22204613.39*427*0.0*249221429*false*11.2239*0.13*[]*0.13*0.03*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2016*2016-07-01*2016-09-30*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*0.0**4373884.16*896*0.0*48244209*false*11.0301*0.14*[]*0.14*0.01*-0.03*0.11*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2016*2016-07-01*2016-09-30*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*0.0**18596214.86*375*0.0*208922197*false*11.2347*0.06*[]*0.06*0.01*0.05*0.11*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2016*2016-01-01*2016-06-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**4411975.18*909*0.0*48678498*false*11.0333*0.27*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2016*2016-01-01*2016-06-30*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**16341482.4*338*0.0*183505960*false*11.2295*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2016*2016-01-01*2016-03-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**4525609.16*917*0.0*49906264*false*11.0275*0.14*[]*0.14*0.01*-0.01*0.06*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2016*2016-01-01*2016-03-31*4254*gestora@fineco.com*A+  (S&P)*2 en una escala del 1 al 7*0.0*0.0**10451341.97*255*0.0*117214339*false*11.2152*0.06*[]*0.06*0.01*0.06*0.05*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 2 2017*2017-07-01*2017-12-31*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.02*-0.35**3246315.6*613*0.0*35609252*false*10.9691*0.28*[]*0.28*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 2 2017*2017-07-01*2017-12-31*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.02*-0.35**23560704.57*524*0.0*264224388*false*11.2146*0.13*[]*0.13*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 3 2017*2017-07-01*2017-09-30*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*-0.36**3726594.28*784*0.0*40918268*false*10.9801*0.14*[]*0.14*0.01*-0.13*0.13*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 3 2017*2017-07-01*2017-09-30*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*-0.36**25734283.67*532*0.0*288669789*false*11.2173*0.06*[]*0.06*0.01*-0.05*0.0*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Semester 1 2017*2017-01-01*2017-06-30*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*-0.36**4038480.62*834*0.0*44399370*false*10.9941*0.27*[]*0.27*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Semester 1 2017*2017-01-01*2017-06-30*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*-0.36**27106532.24*538*0.0*304220504*false*11.2231*0.12*[]*0.12*0.02*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA A*95618583*Trimester 1 2017*2017-01-01*2017-03-31*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*0.0**4247837.84*856*0.0*46698958*false*10.9936*0.14*[]*0.14*0.01*-0.16*0.18*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FON FINECO TOP RENTA FIJA, FI*FON FINECO TOP RENTA FIJA I*95618583*Trimester 1 2017*2017-01-01*2017-03-31*4254*gestora@fineco.com*A+*2 en una escala del 1 al 7*0.0*0.0**25715397.85*493*0.0*288378842*false*11.2142*0.06*[]*0.06*0.01*-0.09*0.17*0.08*G.I.I.C. FINECO, S.A., S.G.I.I.C.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
