fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2009*2009-07-01*2009-09-30*1854*gestora@fineco.com*AA  (S&P)*medio alto*0.0*0.23**2783611.61*161*0.0*40377757*false*14.5055***0.13*0.03*4.55*4.66*0.15*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2012*2012-07-01*2012-09-30*1854*gestora@fineco.com*A-  (S&P)*alto*0.0*0.13**3309648.17*485*0.0*56409614*false*17.044*0.19**0.19*0.03*2.38*3.92*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2012*2012-01-01*2012-06-30*1854*gestora@fineco.com*A-  (S&P)*alto*0.92*0.24**3242944.4*458*0.0*53986440*false*16.6474*0.37**0.37*0.05*1.1*3.19*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2012*2012-01-01*2012-03-31*1854*gestora@fineco.com*A+  (S&P)*alto*0.0*0.22**3115428.37*419*0.0*51298438*false*16.4659*0.19**0.19*0.02*3.91*2.88*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2013*2013-07-01*2013-09-30*1854*gestora@fineco.com*A+  (S&P)*alto*0.05*0.02**4949519.9*780*0.0*88198003*false*17.8195*0.19**0.19*0.03*2.42*2.65*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2013*2013-01-01*2013-06-30*1854*gestora@fineco.com*A+  (S&P)*alto*1.47*0.04**4643764.52*733*0.0*80790860*false*17.3977*0.37**0.37*0.05*0.32*3.47*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2013*2013-01-01*2013-03-31*1854*gestora@fineco.com*A+  (S&P)*alto*0.15*0.03**4262135.68*646*0.0*73915015*false*17.3422*0.18**0.18*0.02*0.82*3.4*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2012*2012-07-01*2012-12-31*1854*gestora@fineco.com*A-  (S&P)*alto*0.0*0.1**3535294.02*543*0.0*60812312*false*17.2015*0.38**0.38*0.05*0.92*0.83*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2014*2014-07-01*2014-12-31*1854*gestora@fineco.com*BBB+*alto*0.0*0.0**8034243.72*1159*0.0*147220941*false*18.3242*0.38**0.38*0.05*0.72*5.62*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2014*2014-07-01*2014-09-30*1854*gestora@fineco.com*A+  (S&P)*alto*0.0*0.01**7694958.42*1080*0.0*139999671*false*18.1937*0.19**0.19*0.03*0.5*2.35*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2014*2014-01-01*2014-06-30*1854*gestora@fineco.com*A+  (S&P)*alto*0.66*0.14**7298765.54*1035*0.0*132125226*false*18.1024*0.37**0.37*0.05*0.24*0.61*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2014*2014-01-01*2014-03-31*1854*gestora@fineco.com*A+  (S&P)*alto*0.2*0.13**6725916.02*977*0.0*121467973*false*18.0597*0.18**0.18*0.02*0.89*2.13*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2015*2015-07-01*2015-12-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.13**12201810.27*1642*0.0*233295211*false*19.1197*0.38**0.38*0.05*3.98*3.45*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2015*2015-07-01*2015-09-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.11**11244994.44*1532*0.0*206768199*false*18.3876*0.19**0.19*0.03*-1.0*10.14*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2015*2015-01-01*2015-06-30*1854*gestora@fineco.com*BBB+*5 en una escala de 1 a 7*0.0*-0.08**9969122.64*1418*0.0*185164369*false*18.5738*0.37**0.37*0.05*-0.56*2.11*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2015*2015-01-01*2015-03-31*1854*gestora@fineco.com*BBB+*alto*0.0*-0.03**9271586.54*1285*0.0*173170170*false*18.6775*0.18**0.18*0.02*1.93*3.9*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2016*2016-07-01*2016-12-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*0.0**15218680.3*1931*0.0*300318490*false*19.7335*0.38**0.38*0.05*0.06*0.42*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2016*2016-07-01*2016-09-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*0.0**14684968.68*1840*0.0*289610980*false*19.7216*0.19**0.19*0.03*1.11*1.69*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2016*2016-01-01*2016-06-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*0.0**14769484.91*1846*0.0*288072421*false*19.5046*0.37**0.37*0.05*2.33*4.28*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2016*2016-01-01*2016-03-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*0.0**14378219.52*1786*0.0*274049547*false*19.06*0.19**0.19*0.02*-0.31*11.43*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2017*2017-07-01*2017-12-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**17007001.78*2269*0.0*339821087*false*19.9812*0.38**0.38*0.02*-0.25*0.57*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2017*2017-07-01*2017-09-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**18716155.51*2300*0.0*374909467*false*20.0313*0.19**0.19*0.01*0.82*1.6*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2017*2017-01-01*2017-06-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**17532606.4*2203*0.0*348362087*false*19.8694*0.37**0.37*0.03*-0.42*0.83*0.2*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2017*2017-01-01*2017-03-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*0.0**16187197.53*2027*0.0*322996974*false*19.9539*0.18**0.18*0.02*1.12*1.22*0.21*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2018*2018-07-01*2018-12-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**18461804.01*2706*0.0*368004409*false*19.9333*0.38**0.38*0.02*-0.68*4.54*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2018*2018-07-01*2018-09-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**18301037.77*2617*0.0*367291535*false*20.0694*0.19**0.19*0.01*0.62*1.69*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2018*2018-01-01*2018-06-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**17823375.32*2529*0.0*355510643*false*19.9463*0.37**0.37*0.02*-0.27*1.56*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2018*2018-01-01*2018-03-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**17921471.72*2412*0.0*358418353*false*19.9994*0.18**0.18*0.01*0.09*4.37*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2019*2019-07-01*2019-12-31*1854*gestora@fineco.com*A+*5 en una escala de 1 a 7*0.0*-0.33**18614615.8*2980*0.0*376751947*false*20.2396*0.35*0.01*0.36*0.02*-0.18*0.76*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2019*2019-07-01*2019-09-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**19821459.01*2983*0.0*401889112*false*20.2755*0.18*0.01*0.19*0.01*0.29*2.09*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2019*2019-01-01*2019-06-30*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**20221797.3*2915*0.0*408812652*false*20.2164*0.35*0.02*0.37*0.02*-0.19*0.28*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2019*2019-01-01*2019-03-31*1854*gestora@fineco.com*A-*5 en una escala de 1 a 7*0.0*-0.3**18645764.57*2753*0.0*377661502*false*20.2545*0.17*0.03*0.2*0.01*1.61*1.56*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 2 2020*2020-07-01*2020-12-31*1854*gestora@fineco.com*A+*5 en una escala de 1 a 7*0.0*-0.4**14176707.49*2640*0.0*271984102*false*19.1853*0.35**0.35*0.02*0.41*1.99*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 3 2020*2020-07-01*2020-09-30*1854*gestora@fineco.com*A+*5 en una escala de 1 a 7*0.0*-0.4**15428567.21*2773*0.0*294805988*false*19.1078*0.18**0.18*0.01*1.73*3.43*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Semester 1 2020*2020-01-01*2020-06-30*1854*gestora@fineco.com*A+*5 en una escala de 1 a 7*0.0*-0.4**16612638.46*2870*0.0*312041054*false*18.7834*0.35**0.35*0.02*5.31*12.95*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
FON FINECO GESTION, FI*FON FINECO GESTION FI*95034203*Trimester 1 2020*2020-01-01*2020-03-31*1854*gestora@fineco.com*A+*5 en una escala de 1 a 7*0.0*-0.4**17102903.79*2878*0.0*305041122*false*17.8356*0.17**0.17*0.01*-11.88*29.38*0.19*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*ES0138382033
