fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2014*2014-07-01*2014-12-31*4660*marchgestion@marchgestion.com*Baa3 (Moody's)*6, en una escala del 1 al 7.*0.55*0.03**17807.07*204*0.0*15648078*false*878.7563*0.68*-0.19*0.49*0.04*0.69*8.6*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2016*2016-01-01*2016-03-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.21*-0.01**19324.33*295*0.0*17114767*false*885.6591*0.34*0.0*0.34*0.02*-2.59*11.28*0.37*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2017*2017-07-01*2017-12-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.0*-0.11**35057.93*370*0.0*36157222*false*1031.3565*0.68*0.28*0.96*0.05*1.63*3.09*0.57*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2017*2017-07-01*2017-09-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.0*-0.08**16379.83*310*0.0*16622108*false*1014.7912*0.34*0.18*0.52*0.02*1.61*3.94*0.59*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2017*2017-01-01*2017-06-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.12*-0.08**16171.04*313*0.0*16150461*false*998.7272*0.67*0.71*1.38*0.05*1.74*3.68*0.58*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2017*2017-01-01*2017-03-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.26*-0.3**14829.97*282*0.0*14558274*false*981.6793*0.33*0.5*0.83*0.02*5.33*3.67*0.57*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2018*2018-07-01*2018-12-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.19*-0.36**42014.07*489*0.0*37789914*false*899.4586*0.68*0.0*0.68*0.05*-12.17*11.15*0.57*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2018*2018-07-01*2018-09-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.2*-0.35**41933.24*505*0.0*42945189*false*1024.1324*0.34*0.0*0.34*0.02*-0.03*4.45*0.55*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2018*2018-01-01*2018-06-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.35*-0.25**40488.35*477*0.0*41479649*false*1024.4836*0.67*0.0*0.67*0.05*1.97*4.47*0.56*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2018*2018-01-01*2018-03-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.36*-0.22**39261.37*442*0.0*39445973*false*1004.702*0.33*0.0*0.33*0.02*-2.58*7.2*0.55*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2019*2019-07-01*2019-12-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.19*-0.61**23194.28*400*0.0*23918804*false*1031.2374*0.68*0.0*0.68*0.05*5.2*5.78*0.53*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2019*2019-07-01*2019-09-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.11*-0.41**30077.19*417*0.0*29484703*false*980.3013*0.34*0.0*0.34*0.02*-1.22*6.28*0.51*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2019*2019-01-01*2019-06-30*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.36*-0.37**30736.92*437*0.0*30502406*false*992.3703*0.67*0.0*0.67*0.05*1.26*5.57*0.51*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2019*2019-01-01*2019-03-31*4660*info@march-am.com*Baa1 (Moody's)*6, en una escala del 1 al 7.*0.26*-0.38**36508.0*460*0.0*35780233*false*980.0655*0.33*0.0*0.33*0.02*8.96*7.21*0.52*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 2 2020*2020-07-01*2020-12-31*4660*info@march-am.com*A3 (Moody's)*4, en una escala del 1 al 7.*0.22*-0.41**14479.29*347*0.0*16000539*false*1105.0637*0.68*0.63*1.31*0.05*9.32*8.76*0.52*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 3 2020*2020-07-01*2020-09-30*4660*info@march-am.com*Baa1 (Moody's)*4, en una escala del 1 al 7.*0.14*-0.39**14787.49*348*0.0*14948616*false*1010.8959*0.34*0.0*0.34*0.02*4.31*9.16*0.52*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Semester 1 2020*2020-01-01*2020-06-30*4660*info@march-am.com*Baa1 (Moody's)*4, en una escala del 1 al 7.*0.12*-0.4**16565.29*371*0.0*16053819*false*969.1237*0.67*0.0*0.67*0.05*14.58*15.13*0.52*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
MARCH CARTERA DECIDIDA, FI*MARCH CARTERA DECIDIDA FI*85114742*Trimester 1 2020*2020-01-01*2020-03-31*4660*info@march-am.com*Baa1 (Moody's)*4, en una escala del 1 al 7.*0.04*-0.39**18845.11*371*0.0*15938606*false*845.7686*0.34*0.0*0.34*0.02*-17.99*26.89*0.53*MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.*BANCA MARCH, S.A.*ES0160747004
