fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase A*87448791*Semester 2 2016*2016-07-01*2016-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.43*-0.3**20210.59*178*0.0*2101446*false*103.9775*0.31*[]*0.31*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase B*87448791*Trimester 3 2017*2017-07-01*2017-09-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.36*-0.27**422478.3*984*0.0*45517941*false*107.7403*0.24*[]*0.24*0.01*1.04*5.3*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase R*87448791*Trimester 3 2017*2017-07-01*2017-09-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.36*-0.27**304916.62*237*0.0*32851501*false*107.7393*0.24*[]*0.24*0.01*1.04*5.3*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase A*87448791*Semester 1 2017*2017-01-01*2017-06-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.27*-0.47**99278.52*898*0.0*10572683*false*106.4952*0.54*[]*0.54*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase B*87448791*Semester 1 2017*2017-01-01*2017-06-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.27*-0.47**373047.66*861*0.0*39779543*false*106.6339*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase R*87448791*Semester 1 2017*2017-01-01*2017-06-30*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.27*-0.47**290177.36*210*0.0*30942454*false*106.6329*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase A*87448791*Trimester 1 2017*2017-01-01*2017-03-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.05*-0.64**64857.1*574*0.0*6902673*false*106.4289*0.27*[]*0.27*0.02*2.36*3.79*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase B*87448791*Trimester 1 2017*2017-01-01*2017-03-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.05*-0.64**231563.42*551*0.0*24664863*false*106.5145*0.23*[]*0.23*0.01*2.41*3.79*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generación 3, F.I. - Clase R*87448791*Trimester 1 2017*2017-01-01*2017-03-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.05*-0.64**245501.11*168*0.0*26149174*false*106.5135*0.23*[]*0.23*0.01*2.41*3.79*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Trimester 3 2018*2018-07-01*2018-09-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.34*-0.3**207582.31*1701*0.0*21818873*false*105.1095*0.28*[]*0.28*0.03*0.11*3.82*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Trimester 3 2018*2018-07-01*2018-09-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.34*-0.3**733445.08*1736*0.0*77386775*false*105.5113*0.24*[]*0.24*0.01*0.16*3.82*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Trimester 3 2018*2018-07-01*2018-09-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.34*-0.3**594914.45*432*0.0*62768364*false*105.5082*0.24*[]*0.24*0.01*0.16*3.82*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Semester 1 2018*2018-01-01*2018-06-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*1.12*-0.31**200017.69*1674*0.0*20999784*false*104.9896*0.54*[]*0.54*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Semester 1 2018*2018-01-01*2018-06-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*1.12*-0.31**758955.03*1777*0.0*79946730*false*105.3379*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Semester 1 2018*2018-01-01*2018-06-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*1.12*-0.31**563543.91*408*0.0*59360777*false*105.3348*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Trimester 1 2018*2018-01-01*2018-03-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.32*-0.32**187674.7*1558*0.0*19517480*false*103.9963*0.27*[]*0.27*0.02*-2.5*7.89*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Trimester 1 2018*2018-01-01*2018-03-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.32*-0.32**711938.45*1686*0.0*74246947*false*104.2884*0.23*[]*0.23*0.01*-2.45*7.89*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Trimester 1 2018*2018-01-01*2018-03-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.32*-0.32**489543.21*354*0.0*51052782*false*104.2866*0.23*[]*0.23*0.01*-2.45*7.89*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase A*87448791*Semester 2 2017*2017-07-01*2017-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.53*-0.3**152247.59*1255*0.0*16239429*false*106.6646*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase B*87448791*Semester 2 2017*2017-07-01*2017-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.53*-0.3**580887.94*1325*0.0*62103651*false*106.9116*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*S. Generaciï¿½n 3, F.I. - Clase R*87448791*Semester 2 2017*2017-07-01*2017-12-31*4997*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.53*-0.3**378778.41*297*0.0*40495076*false*106.9097*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Trimester 3 2019*2019-07-01*2019-09-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.17*-0.3**160647.25*1441*0.0*17545445*false*109.2172*0.28*[]*0.28*0.03*1.57*6.9*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Trimester 3 2019*2019-07-01*2019-09-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.17*-0.3**632509.22*1549*0.0*69480472*false*109.8489*0.24*[]*0.24*0.01*1.63*6.9*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Trimester 3 2019*2019-07-01*2019-09-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.17*-0.3**599550.46*468*0.0*65857997*false*109.8456*0.24*[]*0.24*0.01*1.63*6.9*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Semester 1 2019*2019-01-01*2019-06-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.44*-0.3**172149.57*1493*0.0*18510313*false*107.5246*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Semester 1 2019*2019-01-01*2019-06-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.44*-0.3**648111.51*1561*0.0*70055635*false*108.0919*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Semester 1 2019*2019-01-01*2019-06-30*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.44*-0.3**587429.01*453*0.0*63494465*false*108.0887*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Trimester 1 2019*2019-01-01*2019-03-31*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.36*-0.3**185754.04*1576*0.0*19769550*false*106.4286*0.27*[]*0.27*0.02*7.33*6.33*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Trimester 1 2019*2019-01-01*2019-03-31*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.36*-0.3**669011.24*1617*0.0*71541971*false*106.9369*0.23*[]*0.23*0.01*7.38*6.33*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Trimester 1 2019*2019-01-01*2019-03-31*4997*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7.*0.36*-0.3**596784.81*447*0.0*63816412*false*106.9337*0.23*[]*0.23*0.01*7.38*6.33*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generaciï¿½n 3, F.I. - Clase A*87448791*Semester 2 2018*2018-07-01*2018-12-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.94*-0.3**196575.01*1628*0.0*19491872*false*99.1574*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generaciï¿½n 3, F.I. - Clase B*87448791*Semester 2 2018*2018-07-01*2018-12-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.94*-0.3**690170.86*1656*0.0*68731594*false*99.5863*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generaciï¿½n 3, F.I. - Clase R*87448791*Semester 2 2018*2018-07-01*2018-12-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.94*-0.3**581108.23*434*0.0*57868732*false*99.5834*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generaciï¿½n 3, F.I. - Clase A*87448791*Semester 2 2020*2020-07-01*2020-12-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.85*-0.5**80138.26*1014*0.0*9014976*false*112.4928*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generaciï¿½n 3, F.I. - Clase B*87448791*Semester 2 2020*2020-07-01*2020-12-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.85*-0.5**569001.39*1437*0.0*64540509*false*113.4277*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generaciï¿½n 3, F.I. - Clase R*87448791*Semester 2 2020*2020-07-01*2020-12-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.85*-0.5**595586.0*749*0.0*67554882*false*113.4259*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Trimester 3 2020*2020-07-01*2020-09-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.43*-0.5**87196.88*1084*0.0*9412399*false*107.9442*0.28*[]*0.28*0.03*0.05*7.05*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Trimester 3 2020*2020-07-01*2020-09-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.43*-0.5**596573.41*1485*0.0*64899196*false*108.7866*0.24*[]*0.24*0.01*0.1*7.05*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Trimester 3 2020*2020-07-01*2020-09-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.43*-0.5**608076.6*675*0.0*66149552*false*108.7849*0.24*[]*0.24*0.01*0.1*7.05*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Semester 1 2020*2020-01-01*2020-06-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*1.75*-0.56**89589.06*1118*0.0*9666164*false*107.8945*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Semester 1 2020*2020-01-01*2020-06-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*1.75*-0.56**613691.0*1512*0.0*66697050*false*108.6818*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Semester 1 2020*2020-01-01*2020-06-30*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*1.75*-0.56**614685.8*602*0.0*66804120*false*108.6801*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase A*87448791*Trimester 1 2020*2020-01-01*2020-03-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*1.08*-0.62**112903.4*1204*0.0*11333630*false*100.3834*0.27*[]*0.27*0.02*[]*[]*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase B*87448791*Trimester 1 2020*2020-01-01*2020-03-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*1.08*-0.62**596792.19*1474*0.0*60315214*false*101.0657*0.24*[]*0.24*0.01*[]*[]*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 3, FI*Santander Generación 3, F.I. - Clase R*87448791*Trimester 1 2020*2020-01-01*2020-03-31*4997*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*1.08*-0.62**615497.37*564*0.0*62204691*false*101.0641*0.24*[]*0.24*0.01*[]*[]*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
