fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2009*2009-07-01*2009-12-31*509*FondosdeInversion@cajalaboral.es*A+*riesgo medio*0.0*0.96**2159526.54*2391*0.0*28396425*false*13.1494***1.01*0.1*0.7*2.75*0.59*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2012*2012-07-01*2012-12-31*509*FondosdeInversion@cajalaboral.es*BBB*4 (En una escala del 1 al 7) *0.18*0.28**1369204.41*1632*0.0*17618075*false*12.8674*1.01*0.0*1.01*0.1*3.26*5.88*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2012*2012-07-01*2012-09-30*509*FondosdeInversion@cajalaboral.es*BBB*Medio*0.0*0.41**1448011.05*1727*0.0*18044003*false*12.4612*0.5*0.0*0.5*0.05*4.26*14.36*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2012*2012-01-01*2012-06-30*509*FondosdeInversion@cajalaboral.es*BBB*Medio*0.23*1.08**1526629.08*1795*0.0*18245470*false*11.9515*1.0*0.0*1.0*0.1*-3.62*12.86*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2012*2012-01-01*2012-03-31*509*FondosdeInversion@cajalaboral.es*BBB+*Medio*0.2*1.16**1625946.21*1874*0.0*20162214*false*12.4003*0.5*0.0*0.5*0.05*-0.83*6.28*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2013*2013-07-01*2013-12-31*509*FondosdeInversion@cajalaboral.es*BBB*4 (En una escala del 1 al 7) *0.0*0.25**1224338.84*1498*0.0*17170425*false*14.0242*1.01*0.0*1.01*0.1*2.51*4.18*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2013*2013-07-01*2013-09-30*509*FondosdeInversion@cajalaboral.es*BBB*4 (En una escala del 1 al 7) *0.0*0.25**1277539.96*1533*0.0*17499772*false*13.6805*0.5*0.0*0.5*0.05*6.04*5.55*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2013*2013-01-01*2013-06-30*509*FondosdeInversion@cajalaboral.es*BBB*4 (En una escala del 1 al 7) *0.27*0.25**1310604.2*1557*0.0*16908360*false*12.9012*0.99*0.0*0.99*0.1*0.12*6.76*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2013*2013-01-01*2013-03-31*509*FondosdeInversion@cajalaboral.es*BBB*4 (En una escala del 1 al 7) *0.16*0.25**1361701.66*1627*0.0*17547373*false*12.8864*0.5*0.0*0.5*0.05*0.15*7.08*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2014*2014-07-01*2014-12-31*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.0*0.25**1987061.64*2356*0.0*28823707*false*14.5057*1.01*0.0*1.01*0.1*-1.02*7.47*0.24*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2014*2014-07-01*2014-09-30*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.0*0.25**1954786.72*2312*0.0*28646805*false*14.6547*0.8*0.0*0.8*0.08*0.19*4.92*0.89*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2014*2014-01-01*2014-06-30*509*FondosdeInversion@cajalaboral.es*BBB+*4 (En una escala del 1 al 7) *0.13*0.25**1314286.55*1585*0.0*19223591*false*14.6266*0.99*0.0*0.99*0.1*2.11*4.03*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2014*2014-01-01*2014-03-31*509*FondosdeInversion@cajalaboral.es*BBB*4 (En una escala del 1 al 7) *0.12*0.25**1263731.98*1528*0.0*18101691*false*14.324*0.49*0.0*0.49*0.05*2.14*5.21*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 3 2015*2015-07-01*2015-09-30*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.06*0.25**2041306.66*1785*0.0*28963634*false*14.1888*0.5*0.0*0.5*0.05*-2.63*7.34*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2015*2015-01-01*2015-06-30*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.0*0.25**2067313.46*1800*0.0*30123486*false*14.5713*0.99*0.0*0.99*0.1*-3.16*6.87*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2015*2015-01-01*2015-03-31*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.02*0.25**1986176.87*1718*0.0*29887107*false*15.0476*0.49*0.0*0.49*0.05*3.74*6.24*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2014*2014-07-01*2014-12-31*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.0*0.25**1987061.64*2356*0.0*28823707*false*14.5057*1.01*0.0*1.01*0.1*-1.02*7.47*0.24*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*CAJA LABORAL PATRIMONIO, FI*20476024*Trimester 3 2016*2016-07-01*2016-09-30*509*FondosdeInversion@laboralkutxa.com*Ba1 (Moody's)*4 (En una escala del 1 al 7)*0.02*0.0**1808164.68*1614*0.0*25185287*false*13.9286*0.5*0.0*0.5*0.05*1.74*4.52*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 1 2016*2016-01-01*2016-06-30*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.26*0.0**1852053.06*1648*0.0*25355853*false*13.6907*1.0*0.0*1.0*0.1*-1.13*9.37*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Trimester 1 2016*2016-01-01*2016-03-31*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.06*0.0**1905666.12*1678*0.0*26388511*false*13.8474*0.5*0.0*0.5*0.05*-2.58*8.75*0.55*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
CAJA LABORAL PATRIMONIO, FI*Caja Laboral Patrimonio, FI*20476024*Semester 2 2015*2015-07-01*2015-12-31*509*FondosdeInversion@laboralkutxa.com*BBB+*4 (En una escala del 1 al 7) *0.05*0.21**1947840.61*1724*0.0*27687193*false*14.2143*1.01*0.0*1.01*0.1*0.18*5.94*0.56*CAJA LABORAL GESTION, S.G.I.I.C., S.A.*CAJA LABORAL POPULAR COOP. DE CREDITO*ES0115469035
