fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2009*2009-07-01*2009-12-31*409*bbvafondos@grupobbva.com*No Disponible*Medio-Alto*0.82*0.31**4249917.08*154*0.0*55479000*false*13.0542***0.08*0.03*0.1*0.23*-0.02*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2012*2012-07-01*2012-12-31*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.76*0.38**476756.54*132*0.0*6809000*false*14.282*0.23*0.09*0.32*0.03*1.16*0.84*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2012*2012-07-01*2012-09-30*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.58*0.38**476756.52*132*0.0*6732000*false*14.1207*0.11*0.06*0.17*0.01*2.35*2.03*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2012*2012-01-01*2012-06-30*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*1.03*0.36**476763.43*134*0.0*6578000*false*13.7974*0.22*0.05*0.28*0.02*-0.04*1.74*0.13*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2012*2012-01-01*2012-03-31*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.77*0.38**476768.91*135*0.0*6581000*false*13.8025*0.11*0.04*0.15*0.01*2.7*1.24*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2013*2013-07-01*2013-12-31*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.84*0.31**386027.03*126*0.0*5643000*false*14.6192*0.23*0.05*0.27*0.03*0.78*0.94*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2013*2013-07-01*2013-09-30*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.15*0.31**386040.32*129*0.0*5600000*false*14.506*0.11*0.03*0.14*0.01*1.01*1.24*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2013*2013-01-01*2013-06-30*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*1.0*0.28**476750.32*131*0.0*6847000*false*14.3627*0.22*0.0*0.22*0.02*0.21*2.01*0.13*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2013*2013-01-01*2013-03-31*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.45*0.27**476749.84*131*0.0*6833000*false*14.3333*0.11*0.0*0.12*0.01*0.34*1.22*0.13*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2014*2014-07-01*2014-09-30*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.3*0.19**386018.18*124*0.0*5813000*false*15.058*0.11*0.02*0.13*0.01*0.75*0.9*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2014*2014-01-01*2014-06-30*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*1.04*0.27**386018.18*124*0.0*5770000*false*14.9463*0.22*0.07*0.29*0.02*0.88*0.88*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2014*2014-01-01*2014-03-31*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.27*0.26**386022.61*125*0.0*5719000*false*14.8159*0.11*0.04*0.15*0.01*1.35*0.81*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2013*2013-07-01*2013-12-31*409*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.84*0.31**386027.03*126*0.0*5643000*false*14.6192*0.23*0.05*0.27*0.03*0.78*0.94*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2015*2015-07-01*2015-12-31*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.77*0.05**386078.66*123*0.0*5859000*false*15.1755*0.23*0.0*0.23*0.03*0.47*0.9*0.15*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2015*2015-07-01*2015-09-30*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.25*0.05**386078.66*123*0.0*5831000*false*15.1039*0.11*0.0*0.11*0.01*0.46*1.07*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2015*2015-01-01*2015-06-30*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*1.87*0.06**386078.66*123*0.0*5805000*false*15.0353*0.22*0.0*0.22*0.02*-1.39*2.06*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2015*2015-01-01*2015-03-31*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.63*0.06**386078.66*123*0.0*5887000*false*15.2473*0.11*0.03*0.14*0.01*1.06*1.26*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 3 2016*2016-07-01*2016-09-30*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.46*0.0**386000.47*120*0.0*5863000*false*15.1896*0.11*0.0*0.11*0.01*0.29*0.44*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 1 2016*2016-01-01*2016-06-30*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.88*0.02**386000.47*120*0.0*5846000*false*15.1454*0.22*0.0*0.22*0.02*-0.09*0.72*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Trimester 1 2016*2016-01-01*2016-03-31*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.25*0.04**386069.81*121*0.0*5852000*false*15.1589*0.11*0.0*0.11*0.01*-0.11*0.68*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
FONDO DE PERMANENCIA, FI*FONDO DE PERMANENCIA, FI*80618655*Semester 2 2015*2015-07-01*2015-12-31*409*bbvafondos@bbva.com*No Disponible*2 en una escala del 1 al 7*0.77*0.05**386078.66*123*0.0*5859000*false*15.1755*0.23*0.0*0.23*0.03*0.47*0.9*0.15*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0147609038
