fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2009*2009-07-01*2009-12-31*3906*bbvafondos@grupobbva.com*No Disponible*Medio-Bajo*0.47*0.11**17702467.54*1321*0.0*178253000*false*10.0694***0.41*0.04*1.47*2.88*0.27*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 1 2014*2014-01-01*2014-06-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*1.73*0.24**26936296.23*2904*0.0*295298000*false*10.9628*0.5*0.0*0.5*0.05*0.32*1.17*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 1 2014*2014-01-01*2014-03-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*1.2*0.24**28737754.67*3147*0.0*314037000*false*10.9277*0.25*0.0*0.25*0.02*0.14*1.32*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2013*2013-07-01*2013-12-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*1.5*0.21**35242689.51*3652*0.0*384599000*false*10.9129*0.51*0.0*0.51*0.05*-0.7*1.73*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2015*2015-07-01*2015-12-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.13*0.05**154913154.21*19565*0.0*1639336000*false*10.5823*0.5*0.0*0.5*0.05*0.0*0.0*0.38*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 3 2015*2015-07-01*2015-09-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.28*0.05**149988363.47*18488*0.0*1574315000*false*10.4962*0.25*0.0*0.25*0.03*-3.9*6.17*0.38*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 1 2015*2015-01-01*2015-06-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.0*0.05**127995091.83*15868*0.0*1397934000*false*10.9218*0.49*0.0*0.49*0.05*-0.95*2.94*0.36*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Trimester 1 2015*2015-01-01*2015-03-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.13*0.06**68434735.93*8288*0.0*754617000*false*11.0268*0.24*0.0*0.24*0.02*1.28*2.43*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INV. CONSERVADORA, FI*85238665*Trimester 3 2016*2016-07-01*2016-09-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.7*0.0**270954926.86*80011*0.0*2884591000*false*10.646*0.26*0.0*0.26*0.03*0.0*0.0*0.29*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CARTERA CONSERVADORA BP, FI*85238665*Semester 1 2016*2016-01-01*2016-06-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.82*0.01**142618308.92*18965*0.0*1497837000*false*10.5024*0.5*0.0*0.5*0.05*0.35*3.15*0.28*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CARTERA CONSERVADORA BP, FI*85238665*Trimester 1 2016*2016-01-01*2016-03-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.4*0.03**145891257.92*18975*0.0*1526909000*false*10.4661*0.25*0.0*0.25*0.02*-1.1*3.19*0.37*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY CART.CONSERVADORA BP,FI*85238665*Semester 2 2015*2015-07-01*2015-12-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.13*0.05**154913154.21*19565*0.0*1639336000*false*10.5823*0.5*0.0*0.5*0.05*0.0*0.0*0.38*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 2 2017*2017-07-01*2017-12-31*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.3*-0.34**781131619.03*220241*0.0*8627252000*false*11.0446*0.5*0.0*0.5*0.05*1.08*1.61*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Trimester 3 2017*2017-07-01*2017-09-30*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.29*-0.34**630154601.75*185136*0.0*6885085000*false*10.926*0.25*0.0*0.25*0.03*0.62*1.41*0.36*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 1 2017*2017-01-01*2017-06-30*3906*bbvafondos@bbva.com*BBB+*3 en una escala del 1 al 7*0.87*-0.22**537665993.13*161132*0.0*5838555000*false*10.8591*0.49*0.0*0.49*0.05*-0.01*1.57*0.36*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INV. CONSERVADORA, FI*85238665*Trimester 1 2017*2017-01-01*2017-03-31*3906*bbvafondos@bbva.com*No Disponible*3 en una escala del 1 al 7*0.91*-0.11**379230726.8*114722*0.0*4118475000*false*10.8601*0.25*0.0*0.25*0.02*1.15*1.97*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 2 2018*2018-07-01*2018-12-31*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.62*-0.12**1006029759.16*294032*0.0*10806284000*false*10.7415*0.5*0.0*0.5*0.05*-1.71*3.05*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSIÓN CONSERVADORA FI*85238665*Trimester 3 2018*2018-07-01*2018-09-30*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.34*-0.37**1032404233.53*279695*0.0*11282332000*false*10.9282*0.25*0.0*0.25*0.03*-0.19*1.53*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSIÓN CONSERVADORA FI*85238665*Semester 1 2018*2018-01-01*2018-06-30*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.56*-0.37**1016963164.21*277078*0.0*11135015000*false*10.9493*0.5*0.0*0.5*0.05*0.06*2.61*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Trimester 1 2018*2018-01-01*2018-03-31*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.38*-0.36**949370234.54*261254*0.0*10388515000*false*10.9425*0.25*0.0*0.25*0.02*-0.92*4.07*0.33*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 2 2019*2019-07-01*2019-12-31*3906*bbvafondos@bbvaam.com*A-*3 en una escala del 1 al 7*0.43*0.12**1006401943.48*292506*0.0*11190066000*false*11.1189*0.51*0.0*0.51*0.05*0.78*2.48*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Trimester 3 2019*2019-07-01*2019-09-30*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.32*0.12**997074298.39*291397*0.0*11000939000*false*11.0332*0.25*0.0*0.25*0.03*0.25*2.66*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 1 2019*2019-01-01*2019-06-30*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.35*0.12**1002784535.35*293939*0.0*11035903000*false*11.0053*0.49*0.0*0.49*0.05*0.75*2.3*0.35*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Trimester 1 2019*2019-01-01*2019-03-31*3906*bbvafondos@bbva.com*A-*3 en una escala del 1 al 7*0.18*0.0**1010172748.03*295189*0.0*11034645000*false*10.9235*0.24*0.0*0.24*0.02*1.69*1.29*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 2 2020*2020-07-01*2020-12-31*3906*bbvafondos@bbvaam.com*A-*3 en una escala del 1 al 7*0.53*-0.24**873984465.86*264861*0.0*9317870000*false*10.6614*0.5*0.0*0.5*0.05*2.91*3.01*0.33*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Trimester 3 2020*2020-07-01*2020-09-30*3906*bbvafondos@bbvaam.com*A-*3 en una escala del 1 al 7*0.33*-0.24**917355189.17*272060*0.0*9504013000*false*10.3602*0.25*0.0*0.25*0.03*0.24*2.35*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Semester 1 2020*2020-01-01*2020-06-30*3906*bbvafondos@bbvaam.com*A-*3 en una escala del 1 al 7*1.74*-0.12**943716590.97*276761*0.0*9753503000*false*10.3352*0.5*0.0*0.5*0.05*1.62*3.32*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
QUALITY INVERSION CONSERVADORA, FI*QUALITY INVERSION CONSERVADORA, FI*85238665*Trimester 1 2020*2020-01-01*2020-03-31*3906*bbvafondos@bbvaam.com*A-*3 en una escala del 1 al 7*1.04*0.0**958741931.42*279288*0.0*9751238000*false*10.1709*0.25*0.0*0.25*0.02*-8.53*10.65*0.34*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172273007
