fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2010*2010-07-01*2010-09-30*4250*bbvafondos@grupobbva.com*0*Alto*0.0*0.35**48020.84*13*0.0*465000*false*9.6883***0.0*0.0*0.0*0.0*0.08*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2017*2017-01-01*2017-06-30*4250*bbvafondos@bbva.com*BBB+*7 en una escala del 1 al 7*0.0*-0.21**1353293.69*958*0.0*14520000*false*10.7293*0.67*0.0*0.67*0.1*-3.87*6.83*0.58*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2017*2017-01-01*2017-03-31*4250*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*-0.1**1066922.41*781*0.0*11909000*false*11.1618*0.33*0.38*0.72*0.05*4.35*6.93*0.59*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2018*2018-07-01*2018-12-31*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.64*-0.12**1013719.32*760*0.0*10778000*false*10.6321*0.68*0.0*0.68*0.1*0.58*6.54*0.56*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIÓN EMERGENTES FI*86009289*Trimester 3 2018*2018-07-01*2018-09-30*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.43*-0.36**1053367.75*782*0.0*11135000*false*10.5711*0.34*0.0*0.34*0.05*-0.94*6.97*0.54*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIÓN EMERGENTES FI*86009289*Semester 1 2018*2018-01-01*2018-06-30*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.47*-0.36**1107488.48*855*0.0*11819000*false*10.6719*0.67*0.0*0.67*0.1*-1.23*7.12*0.54*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2018*2018-01-01*2018-03-31*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.18*-0.34**1118978.07*879*0.0*12090000*false*10.8043*0.33*0.0*0.33*0.05*-0.48*7.68*0.57*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2019*2019-07-01*2019-12-31*4250*bbvafondos@bbvaam.com*A-*4 en una escala del 1 al 7*0.0*0.12**1346749.32*1095*0.0*15919000*false*11.82*0.68*0.39*1.07*0.1*2.05*5.3*0.56*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2019*2019-07-01*2019-09-30*4250*bbvafondos@bbva.com*A-*4 en una escala del 1 al 7*0.0*0.12**1249676.84*1029*0.0*14475000*false*11.583*0.34*0.2*0.54*0.05*2.21*7.22*0.57*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2019*2019-01-01*2019-06-30*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*1.08*0.0**1218743.88*976*0.0*13811000*false*11.3324*0.67*0.52*1.19*0.1*0.38*5.8*0.56*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2019*2019-01-01*2019-03-31*4250*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*1.13*0.0**1134383.0*850*0.0*12807000*false*11.2897*0.33*0.52*0.85*0.05*6.18*6.37*0.56*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 2 2020*2020-07-01*2020-12-31*4250*bbvafondos@bbvaam.com*A-*4 en una escala del 1 al 7*0.59*-0.24**1326712.23*1143*0.0*14792000*false*11.1496*0.68*0.0*0.68*0.1*7.26*6.64*0.55*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 3 2020*2020-07-01*2020-09-30*4250*bbvafondos@bbvaam.com*A-*4 en una escala del 1 al 7*0.37*-0.12**1347816.78*1124*0.0*14011000*false*10.3951*0.34*0.0*0.34*0.05*-2.03*6.81*0.55*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Semester 1 2020*2020-01-01*2020-06-30*4250*bbvafondos@bbvaam.com*A-*4 en una escala del 1 al 7*0.81*-0.12**1404288.71*1154*0.0*14900000*false*10.6101*0.67*0.0*0.67*0.1*6.89*8.74*0.53*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
QUALITY SELECCION EMERGENTES, FI*QUALITY SELECCIóN EMERGENTES, FI*86009289*Trimester 1 2020*2020-01-01*2020-03-31*4250*bbvafondos@bbvaam.com*A-*4 en una escala del 1 al 7*0.53*0.0**1388293.95*1144*0.0*13781000*false*9.9264*0.34*0.0*0.34*0.05*-16.02*23.9*0.55*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0172262000
