fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Semester 2 2009*2009-07-01*2009-12-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.33*0.23**985374.34*1022*0.0*6075171*false*6.1653***0.68*0.1*8.84*11.5*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Trimester 3 2009*2009-07-01*2009-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.14*0.41**909418.3*1055*0.0*5151275*false*5.6644***0.34*0.05*9.19*14.04*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Semester 1 2009*2009-01-01*2009-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.51*1.16**883874.09*1075*0.0*4585269*false*5.1877***0.67*0.1*5.68*17.25*0.41*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 2 2010*2010-07-01*2010-12-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.34*0.22**1587750.99*1058*0.0*10979842*false*6.9153***0.83*0.1*6.7*11.14*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Trimester 3 2010*2010-07-01*2010-09-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.17*0.15**1445719.8*1073*0.0*9369499*false*6.4809***0.42*0.05*-0.94*15.31*0.48*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*61690376*Semester 1 2010*2010-01-01*2010-06-30*1552*bankpimesgiic@bankpime.es*ND*Alto*0.34*0.06**1439111.66*1098*0.0*9415537*false*6.5426***0.72*0.1*-4.56*16.0*0.45*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*61690376*Trimester 1 2010*2010-01-01*2010-03-31*1552*bankpimesgiic@bankpime.es*ND*Alto*0.29*0.03**1242735.12*1059*0.0*8519427*false*6.8554***0.33*0.05*11.19*12.58*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 1 2013*2013-01-01*2013-06-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*6 - Alto*3.79*0.1**5059736.1*3954*0.0*50599854*false*10.0005*0.82*0.0*0.82*0.1*0.22*13.72*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2013*2013-01-01*2013-03-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*Alto*1.9*0.09**3436474.0*2911*0.0*34292700*false*9.979*0.4*0.0*0.4*0.05*14.79*8.77*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 2 2014*2014-07-01*2014-12-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.68*0.05**19339254.14*14814*0.0*281476178*false*14.5547*0.83*0.0*0.83*0.1*4.72*16.23*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 3 2014*2014-07-01*2014-09-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*5 - Medio-alto*1.42*0.06**13871192.8*10429*0.0*192797535*false*13.8991*0.41*0.0*0.41*0.05*13.45*9.18*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 1 2014*2014-01-01*2014-06-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB-*5 - Medio-alto*4.48*0.11**9202112.08*7481*0.0*112739104*false*12.2514*0.82*0.0*0.82*0.1*7.1*9.16*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2014*2014-01-01*2014-03-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BB+*5 - Medio-alto*2.53*0.1**7597122.36*6258*0.0*86908347*false*11.4396*0.41*0.0*0.41*0.05*2.78*11.32*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 2 2015*2015-07-01*2015-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*3.2*0.08**33676730.51*31089*0.0*576227642*false*17.1106*0.83*0.0*0.83*0.1*6.55*17.36*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 3 2015*2015-07-01*2015-09-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.44*0.06**33497742.29*30785*0.0*537952600*false*16.0594*0.42*0.0*0.42*0.05*-7.79*24.8*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Semester 1 2015*2015-01-01*2015-06-30*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.8*0.07**32252753.23*29524*0.0*561709488*false*17.4159*0.82*0.0*0.82*0.1*-2.16*15.93*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2015*2015-01-01*2015-03-31*1552*a través del formulario disponible en www.laCaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.71*0.04**32166174.89*27234*0.0*572561940*false*17.8001*0.4*0.0*0.4*0.05*22.3*13.56*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2016*2016-07-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.27*0.23**17384209.5*23879*0.0*297887991*false*17.1356*0.85*0.0*0.85*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2016*2016-07-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.27*0.23**18157042.61*1336*0.0*117210571*false*6.4554*0.75*0.0*0.75*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 2 2016*2016-07-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.27*0.23**3500871.43*39*0.0*22684467*false*6.4797*0.55*0.0*0.55*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2016*2016-07-01*2016-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.66*0.2**18554017.49*25002*0.0*310464197*false*16.733*0.42*0.0*0.42*0.04*3.75*11.62*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2016*2016-07-01*2016-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.66*0.2**19138711.93*1352*0.0*120584532*false*6.3006*0.36*0.0*0.36*0.04*3.8*11.62*0.4*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2016*2016-07-01*2016-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*0.66*0.2**3529614.46*39*0.0*22296975*false*6.3171*0.27*0.0*0.27*0.02*3.92*11.62*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.46*0.16**26247223.73*27230*0.0*423335332*false*16.1288*0.83*0.0*0.83*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.46*0.16**2688691.32*183*0.0*16320463*false*6.07*0.49*0.0*0.49*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.46*0.16**1802908.72*17*0.0*10960048*false*6.0791*0.36*0.0*0.36*0.03*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2016*2016-01-01*2016-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.11*0.19**28965626.24*28794*0.0*444902021*false*15.3597*0.41*0.0*0.41*0.05*-10.23*20.61*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2016*2016-01-01*2016-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.11*0.19**1233251.52*78*0.0*7125444*false*5.7778*0.12*0.0*0.12*0.01*"[<iic-com:rentabilidadiic contextref=""FIM_T12016_V61690376_da"" decimals=""2"" unitref=""pure"">-10.23</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12016_V61690376_da"" decimals=""2"" unitref=""pure"">20.61</iic-com-fon:volatilidadvalorliquidativo>]"*0.13*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*61690376*Trimester 1 2016*2016-01-01*2016-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.11*0.19**1367597.72*13*0.0*7904548*false*5.7799*0.09*0.0*0.09*0.01*"[<iic-com:rentabilidadiic contextref=""FIM_T12016_V61690376_da"" decimals=""2"" unitref=""pure"">-10.23</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12016_V61690376_da"" decimals=""2"" unitref=""pure"">20.61</iic-com-fon:volatilidadvalorliquidativo>]"*0.1*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*0.15*17.11*1.86*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*"[<iic-com:rentabilidadiic contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">0.15</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">17.11</iic-com-fon:volatilidadvalorliquidativo>]"*1.37*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*"[<iic-com:rentabilidadiic contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">0.15</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">17.11</iic-com-fon:volatilidadvalorliquidativo>]"*1.0*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2016*2016-01-01*2016-12-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*4.73*0.2**[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*"[<iic-com:rentabilidadiic contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">0.15</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">17.11</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">1.86</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">1.37</iic-com:ratiototalgastos>, <iic-com:ratiototalgastos contextref=""FIM_e22017_V61690376_dpy"" decimals=""2"" unitref=""pure"">1.00</iic-com:ratiototalgastos>]"*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2017*2017-07-01*2017-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.43*0.31**14462873.9*22773*0.0*258777296*false*17.8925*0.42*0.0*0.42*0.04*-4.35*9.98*0.47*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2017*2017-07-01*2017-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.43*0.31**25557961.03*2230*0.0*172526975*false*6.7504*0.38*0.0*0.38*0.04*-4.3*9.98*0.42*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2017*2017-07-01*2017-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.43*0.31**12253878.48*68*0.0*83307404*false*6.7985*0.28*0.0*0.28*0.03*-4.19*9.98*0.3*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 3 2017*2017-07-01*2017-09-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.43*0.31**354965.31*19*0.0*2062302*false*5.8099*0.15*0.0*0.15*0.01*-4.06*9.98*0.16*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2017*2017-01-01*2017-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.35*0.47**14619388.11*22907*0.0*273473763*false*18.7062*0.83*0.0*0.83*0.09*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2017*2017-01-01*2017-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.35*0.47**24943882.86*2164*0.0*175951365*false*7.0539*0.74*0.0*0.74*0.07*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2017*2017-01-01*2017-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.35*0.47**11926433.15*61*0.0*84631069*false*7.0961*0.54*0.0*0.54*0.05*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Semester 1 2017*2017-01-01*2017-06-30*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*2.35*0.47**88440.24*11*0.0*535559*false*6.0556*0.2*0.0*0.2*0.02*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*61690376*Trimester 1 2017*2017-01-01*2017-03-31*1552*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*5 - Medio-alto*1.26*0.46**16393491.47*23356*0.0*302041876*false*18.4245*0.41*0.0*0.41*0.04*7.52*10.36*0.46*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
