fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 2 2009*2009-07-01*2009-12-31*1992*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.0*0.08**6486328.08*1385*0.0*29847357*false*4.6016***0.83*0.05*6.71*13.91*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 2 2012*2012-07-01*2012-12-31*1992*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*1.14*0.08**16040384.84*5893*0.0*90700594*false*5.6545*0.83*0.0*0.83*0.05*-2.16*11.39*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 3 2012*2012-07-01*2012-09-30*1992*bbk.gestion@grupobbk.com*BBB- (S&P)*Muy Alto*0.56*0.09**15524318.99*5724*0.0*89718111*false*5.7792*0.41*0.0*0.41*0.03*3.03*9.12*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Semester 1 2012*2012-01-01*2012-06-30*1992*bbk.gestion@grupobbk.com*BBB (Fitch)*Muy Alto*1.2*0.12**15490856.01*5731*0.0*86894450*false*5.6094*0.82*0.0*0.82*0.05*-1.5*13.1*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*BBK BOLSA EEUU F.I.*95067138*Trimester 1 2012*2012-01-01*2012-03-31*1992*bbk.gestion@grupobbk.com*A- (IBCA)*Muy Alto*0.68*0.1**15767516.86*5774*0.0*89793128*false*5.6948*0.41*0.0*0.41*0.02*8.58*7.24*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 3 2013*2013-07-01*2013-09-30*1992*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.93*0.06**17066317.56*9927*0.0*111193862*false*6.5154*0.41*0.0*0.41*0.02***0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 1 2013*2013-01-01*2013-06-30*1992*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*1.16*-0.18**15582196.79*8346*0.0*99800039*false*6.4047*0.82*0.0*0.82*0.05*2.43*11.59*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 1 2013*2013-01-01*2013-03-31*1992*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*0.85*-0.44**16332278.49*6457*0.0*102127345*false*6.2531*0.41*0.0*0.41*0.02*10.59*7.63*0.43*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 2 2012*2012-07-01*2012-12-31*1992*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Muy Alto*1.14*0.08**16040384.84*5893*0.0*90700594*false*5.6545*0.83*0.0*0.83*0.05*-2.16*11.39*0.44*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 2 2014*2014-07-01*2014-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.99*0.02**28185803.79*28368*0.0*220834360*false*7.8349*0.96*0.0*0.96*0.05*5.55*13.33*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 3 2014*2014-07-01*2014-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*5 en una escala del 1 al 7*0.56*0.02**23802391.49*24737*0.0*176676313*false*7.4226*0.48*0.0*0.48*0.03*2.9*7.96*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 1 2014*2014-01-01*2014-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*1.32*0.12**23749115.02*20800*0.0*171306532*false*7.2132*0.94*0.0*0.94*0.05*2.32*7.61*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 1 2014*2014-01-01*2014-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*6 en una escala del 1 al 7*0.67*0.11**18264223.21*16092*0.0*128753597*false*7.0495*0.47*0.0*0.47*0.02*-0.75*9.84*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 3 2015*2015-07-01*2015-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.14*0.0**55703406.35*42873*0.0*401513532*false*7.2081*0.48*0.0*0.48*0.03*-7.01*19.84*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 1 2015*2015-01-01*2015-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*1.77*0.01**30229055.15*40864*0.0*234307249*false*7.7511*0.94*0.0*0.94*0.05*-1.81*10.28*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 1 2015*2015-01-01*2015-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.72*0.01**25985284.25*34245*0.0*205117668*false*7.8936*0.47*0.0*0.47*0.02*0.75*13.26*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 2 2014*2014-07-01*2014-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.99*0.02**28185803.79*28368*0.0*220834360*false*7.8349*0.96*0.0*0.96*0.05*5.55*13.33*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 2 2016*2016-07-01*2016-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.18*0.05**49438714.33*46767*0.0*421269883*false*8.5211*0.96*0.0*0.96*0.05*7.87*8.06*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 3 2016*2016-07-01*2016-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.14*0.05**48773686.79*45077*0.0*385265739*false*7.899*0.48*0.0*0.48*0.03*1.62*8.87*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 1 2016*2016-01-01*2016-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.0*0.01**49508113.95*44704*0.0*384838875*false*7.7732*0.94*0.0*0.94*0.05*0.87*12.0*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 1 2016*2016-01-01*2016-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.24*0.01**39509961.37*44493*0.0*304465254*false*7.706*0.47*0.0*0.47*0.02*-0.2*17.28*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 2 2017*2017-07-01*2017-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.21**1234755.11*685*0.0*12116135*false*9.8126*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 2 2017*2017-07-01*2017-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.21**52434823.65*55231*0.0*514520950*false*9.8126*0.46*0.0*0.46*0.02*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 3 2017*2017-07-01*2017-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.12**55441477.56*54608*0.0*504448877*false*9.0988*0.48*0.0*0.48*0.03*2.45*6.33*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Semester 1 2017*2017-01-01*2017-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.06**55085381.61*53369*0.0*489231080*false*8.8813*0.94*0.0*0.94*0.05*0.77*7.17*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*KUTXABANK BOLSA EEUU F.I.*95067138*Trimester 1 2017*2017-01-01*2017-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*5 en una escala del 1 al 7*0.0*0.03**53076310.41*51044*0.0*467783264*false*8.8134*0.47*0.0*0.47*0.02*3.43*6.92*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 2 2018*2018-07-01*2018-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.26**1052018.83*527*0.0*9406434*false*8.9413*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 2 2018*2018-07-01*2018-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.26**50354391.59*59670*0.0*453618688*false*9.0085*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Trimester 3 2018*2018-07-01*2018-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.26**1096691.02*531*0.0*11095812*false*10.1175*0.48*0.0*0.48*0.03*7.05*6.38*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Trimester 3 2018*2018-07-01*2018-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.26**49152994.29*61327*0.0*500094840*false*10.1742*0.29*0.0*0.29*0.03*7.26*6.38*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 1 2018*2018-01-01*2018-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.05*-0.06**1095102.09*530*0.0*10349647*false*9.4509*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 1 2018*2018-01-01*2018-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.05*-0.06**49067428.73*61048*0.0*465451443*false*9.486*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Trimester 1 2018*2018-01-01*2018-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.12**1129161.76*546*0.0*10604940*false*9.3919*0.47*0.0*0.47*0.02*-4.29*19.23*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Trimester 1 2018*2018-01-01*2018-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.12**54970842.2*59507*0.0*517228550*false*9.4091*0.28*0.0*0.28*0.02*-4.11*19.23*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Trimester 3 2019*2019-07-01*2019-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.06**988103.84*504*0.0*9803858*false*9.9219*0.48*0.0*0.48*0.03*0.77*14.16*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Trimester 3 2019*2019-07-01*2019-09-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*0.06**46438633.19*60014*0.0*466824839*false*10.0525*0.29*0.0*0.29*0.03*0.96*14.16*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 1 2019*2019-01-01*2019-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*1.34*-0.31**1065964.21*518*0.0*10496082*false*9.8466*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 1 2019*2019-01-01*2019-06-30*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*1.34*-0.31**62140900.57*59483*0.0*618754765*false*9.9573*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Trimester 1 2019*2019-01-01*2019-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.32**1056110.03*519*0.0*10331734*false*9.7828*0.47*0.0*0.47*0.02*9.41*11.83*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Trimester 1 2019*2019-01-01*2019-03-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.32**53287926.09*58849*0.0*526187305*false*9.8744*0.28*0.0*0.28*0.02*9.61*11.83*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 2 2018*2018-07-01*2018-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.26**1052018.83*527*0.0*9406434*false*8.9413*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 2 2018*2018-07-01*2018-12-31*1992*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*5 en una escala del 1 al 7*0.0*-0.26**50354391.59*59670*0.0*453618688*false*9.0085*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 2 2020*2020-07-01*2020-12-31*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.28*-0.37**837700.99*504*0.0*8942793*false*10.6754*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 2 2020*2020-07-01*2020-12-31*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.28*-0.37**33661219.22*72357*0.0*367553047*false*10.9192*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Trimester 3 2020*2020-07-01*2020-09-30*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.36**858011.88*500*0.0*7972289*false*9.2916*0.48*0.0*0.48*0.03*3.16*15.73*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Trimester 3 2020*2020-07-01*2020-09-30*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.36**33699521.45*67646*0.0*319661165*false*9.4856*0.29*0.0*0.29*0.03*3.36*15.73*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Semester 1 2020*2020-01-01*2020-06-30*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*5 en una escala del 1 al 7*0.93*-0.15**875367.24*504*0.0*7884396*false*9.007*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Semester 1 2020*2020-01-01*2020-06-30*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*5 en una escala del 1 al 7*0.93*-0.15**40216368.47*66749*0.0*369086101*false*9.1775*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE ESTANDAR*95067138*Trimester 1 2020*2020-01-01*2020-03-31*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*5 en una escala del 1 al 7*0.82*-0.02**829860.5*496*0.0*6461150*false*7.7858*0.47*0.0*0.47*0.02*-26.14*53.68*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EEUU, FI*CLASE CARTERA*95067138*Trimester 1 2020*2020-01-01*2020-03-31*1992*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*5 en una escala del 1 al 7*0.82*-0.02**41708476.66*65344*0.0*330259299*false*7.9183*0.28*0.0*0.28*0.02*-26.0*53.68*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
