fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2014*2014-07-01*2014-12-31*4725*InformesParticipes@gesduero.es*n.d.*4 (de una escala de 1 A 7)*0.0*0.41**250861.67*724*0.0*16043731*false*63.9545*0.08**0.08*0.03*0.58*2.64*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2016*2016-01-01*2016-03-31*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.01**237174.07*671*0.0*15102742*false*63.6779*0.04**0.04*0.01*-1.82*4.16*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2017*2017-07-01*2017-12-31*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.43*55.46**223046.06*636*0.0*14957942*false*67.0621*0.08**0.08*0.03*-0.41*1.0*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 3 2017*2017-07-01*2017-09-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.0**226952.09*650*0.0*15282521*false*67.3381*0.04**0.04*0.01*0.16*0.89*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 1 2017*2017-01-01*2017-06-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.0**227535.51*652*0.0*15297891*false*67.233*0.07**0.07*0.02*0.58*0.73*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2017*2017-01-01*2017-03-31*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*0.0**231448.22*661*0.0*15471387*false*66.846*0.04**0.04*0.01*0.79*2.37*0.05*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2018*2018-07-01*2018-12-31*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 (de una escala de 1 A 7)*0.0*153.69**213796.85*615*0.0*14528808*false*67.9561*0.08**0.08*0.03*0.42*0.12*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 3 2018*2018-07-01*2018-09-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*154.25**219572.66*626*0.0*14859081*false*67.6727*0.04**0.04*0.01*0.3*0.18*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 1 2018*2018-01-01*2018-06-30*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*154.33**219762.68*631*0.0*14827716*false*67.4715*0.07**0.07*0.02*0.19*0.47*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2018*2018-01-01*2018-03-31*4725*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*4 (de una escala de 1 A 7)*0.0*156.68**222872.3*633*0.0*15008576*false*67.3416*0.04**0.04*0.01*0.42*0.26*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 3 2019*2019-07-01*2019-09-30*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 en una escala de 1 A 7.*0.0*-0.11**211708.66*611*0.0*14508267*false*68.5294*0.04**0.04*0.01*0.3*0.06*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 1 2019*2019-01-01*2019-06-30*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 en una escala de 1 A 7.*0.0*-0.11**211806.61*612*0.0*14471776*false*68.3254*0.07**0.07*0.02*0.31*0.05*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2019*2019-01-01*2019-03-31*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 en una escala de 1 A 7.*0.0*-0.11**213600.74*614*0.0*14549667*false*68.1162*0.04**0.04*0.01*0.24*0.09*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2018*2018-07-01*2018-12-31*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 (de una escala de 1 A 7)*0.0*153.69**213796.85*615*0.0*14528808*false*67.9561*0.08**0.08*0.03*0.42*0.12*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*UNIFOND HORIZONTE 2023, FI*86975695*Trimester 3 2020*2020-07-01*2020-09-30*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 A 7.*0.09*-0.57**722989.32*1840*0.0*50825775*false*70.2995*0.02**0.02*0.0*1.56*2.9*0.03*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*UNIFOND HORIZONTE 2023, FI*86975695*Semester 1 2020*2020-01-01*2020-06-30*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 A 7.*0.0*-0.29**143723.22*437*0.0*9948113*false*69.2172*0.05**0.05*0.02***0.03*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Trimester 1 2020*2020-01-01*2020-03-31*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 en una escala de 1 A 7.*0.0*-0.19**208732.41*616*0.0*14353951*false*68.7672*0.04**0.04*0.01*0.06*0.05*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
UNIFOND HORIZONTE 2023, FI*FONDESPAÑA-DUERO GARANTIZADO RF IV/2020*86975695*Semester 2 2019*2019-07-01*2019-12-31*4725*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*4 en una escala de 1 A 7.*0.0*-0.13**209457.33*608*0.0*14394623*false*68.7234*0.08**0.08*0.03*0.28*0.05*0.06*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0138021003
