fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2009*2009-07-01*2009-12-31*3441*gestora@renta4.es*NA*bajo*0.0*0.24**17744936.646176*9313*0.230235*196790771*false*11.09***0.5*0.07*0.73*0.29*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2009*2009-07-01*2009-09-30*3441*gestora@renta4.es*NA*bajo*0.0*0.24**14425048.607938*7841*0.149961*158815366*false*11.009694***0.35*0.05*1.39*0.42*0.43*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2009*2009-01-01*2009-06-30*3441*gestora@renta4.es*NA*bajo*0.0*0.96**6936374.123582*4858*0.356157*75319887*false*10.858683***0.37*0.05*2.26*0.6*0.44*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2010*2010-07-01*2010-12-31*3441*gestora@renta4.es*NA*Bajo*0.38*0.48**11786609.364431*7942*0.0*131619143*false*11.1668***0.88*0.12*-0.28*0.61*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2010*2010-07-01*2010-09-30*3441*gestora@renta4.es*NA*Bajo*0.35*0.36**13241734.258343*8542*0.0*148280727*false*11.198***0.67*0.09*1.37*0.32*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2010*2010-01-01*2010-06-30*3441*gestora@renta4.es*NA*Bajo*0.08*0.36**14222684.182629*8830*0.0*157108492*false*11.0463***0.37*0.05*-1.01*1.2*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2010*2010-01-01*2010-03-31*3441*gestora@renta4.es*NA*bajo*0.06*0.24**18695174.223283*10090*0.0*208626923*false*11.1594***0.18*0.02*0.63*0.39*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2011*2011-07-01*2011-09-30*3441*gestora@renta4.es*NA*Bajo*0.0*1.21**15129166.096378*9942*0.0*171448706*false*11.3323***0.5*0.07*-0.43*0.97*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2011*2011-01-01*2011-06-30*3441*gestora@renta4.es*NA*Bajo*0.17*0.72**14956138.493593*9436*0.0*170218398*false*11.3812***0.37*0.05*0.6*0.4*0.42*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2011*2011-01-01*2011-03-31*3441*gestora@renta4.es*NA*Bajo*0.0*0.6**12418991.633553*8271*0.0*140506345*false*11.3138***0.18*0.02*1.32*0.63*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2010*2010-07-01*2010-12-31*3441*gestora@renta4.es*NA*Bajo*0.38*0.48**11786609.364431*7942*0.0*131619143*false*11.1668***0.88*0.12*-0.28*0.61*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2012*2012-07-01*2012-12-31*3441*gestora@renta4.es*NA*Bajo*0.63*0.47**18097297.950542*11978*0.0*216633030*false*11.9705*0.38*0.0*0.38*0.05*1.91*0.48*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2012*2012-07-01*2012-09-30*3441*gestora@renta4.es*NA*Bajo*0.18*0.12**16464888.86525*11181*0.0*193392263*false*11.7457*0.19*0.0*0.19*0.03*1.98*1.03*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2012*2012-01-01*2012-06-30*3441*gestora@renta4.es*NA*Bajo*0.52*0.24**17320871.782426*11721*0.0*199489218*false*11.5173*0.37*0.0*0.37*0.05*-0.97*0.83*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2012*2012-01-01*2012-03-31*3441*gestora@renta4.es*NA*Bajo*0.69*0.24**18049265.762773*12027*0.0*209910905*false*11.6299*0.19*0.0*0.19*0.02*2.45*0.81*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2018*2018-01-01*2018-06-30*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.09*0.25**118467694.884935*85557*0.0*1574041434*false*13.2867*0.37*0.0*0.37*0.05*-1.01*0.74*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2018*2018-01-01*2018-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.04*0.25**124953549.01168*85443*0.0*1677204054*false*13.4226*0.18*0.0*0.18*0.02*-0.1*0.48*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2019*2019-07-01*2019-09-30*3441*gestora@renta4.es*ND*2*0.29*-0.41**98950607.48*79553*0.0*1330328774*false*13.4444*0.19*0.0*0.19*0.03*0.44*0.48*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2019*2019-01-01*2019-06-30*3441*gestora@renta4.es*ND*2*0.13*-0.2**103117199.27*82707*0.0*1380248556*false*13.3852*0.37*0.0*0.37*0.05*0.38*0.48*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2019*2019-01-01*2019-03-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.18*0.25**105460618.504356*84157*0.0*1406250999*false*13.3344*0.18*0.0*0.18*0.02*0.87*0.49*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2018*2018-07-01*2018-12-31*3441*gestora@renta4.es*NA*2, de una escala del 1 al 7*0.27*0.25**106847155.277304*82801*0.0*1412517952*false*13.22*0.37*0.0*0.37*0.05*-0.83*0.8*0.22*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 2 2020*2020-07-01*2020-12-31*3441*gestora@renta4.es*ND*2*0.34*-0.5**72172856.81*61424*0.0*983857956*false*13.632*0.38*0.0*0.38*0.05*1.41*0.74*0.15*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 3 2020*2020-07-01*2020-09-30*3441*gestora@renta4.es*ND*2*0.12*-0.51**72869570.17*62836*0.0*979519698*false*13.4421*0.25*0.0*0.25*0.03*1.42*0.79*0.28*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Semester 1 2020*2020-01-01*2020-06-30*3441*gestora@renta4.es*ND*2*0.26*-0.54**75301734.47*64985*0.0*998030740*false*13.2538*0.37*0.0*0.37*0.05*3.02*2.46*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
ING DIRECT FONDO NARANJA RENTA FIJA, FI*ING DIRECT FONDO NARANJA RENTA FIJA FI*84650456*Trimester 1 2020*2020-01-01*2020-03-31*3441*gestora@renta4.es*ND*2*0.09*-0.58**79437709.21*67202*0.0*1021955471*false*12.8649*0.19*0.0*0.19*0.02*-4.56*3.67*0.21*RENTA 4 GESTORA, S.G.I.I.C., S.A.*RENTA 4 BANCO, S.A.*ES0152772036
