fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2009*2009-07-01*2009-12-31*404*bbvafondos@grupobbva.com*No Disponible*Bajo*1.81*0.08**1085465.12*127*0.0*13787000*false*12.7014***0.15*0.02*-0.03*0.53*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2012*2012-07-01*2012-12-31*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.94*0.38**863590.46*113*0.0*11480000*false*13.2931*0.15*0.0*0.15*0.03*3.76*5.43*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2012*2012-07-01*2012-09-30*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.31*0.39**867399.9*115*0.0*11115000*false*12.8137*0.08*0.0*0.08*0.01*2.75*9.15*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2012*2012-01-01*2012-06-30*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*1.7*0.38**995987.79*115*0.0*12422000*false*12.4724*0.15*0.0*0.15*0.02*-3.03*8.16*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2012*2012-01-01*2012-03-31*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*1.46*0.42**995995.07*118*0.0*12811000*false*12.8625*0.07*0.0*0.07*0.01*0.43*3.79*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2013*2013-07-01*2013-12-31*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.43*0.31**802222.27*112*0.0*11520000*false*14.3602*0.15*0.0*0.15*0.03*1.37*2.13*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2013*2013-07-01*2013-09-30*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.1*0.3**829177.3*112*0.0*11747000*false*14.1664*0.08*0.0*0.08*0.01*2.66*2.84*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2013*2013-01-01*2013-06-30*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*1.64*0.28**827822.8*112*0.0*11426000*false*13.802*0.15*0.0*0.15*0.02*1.84*5.07*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2013*2013-01-01*2013-03-31*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.96*0.26**863591.9*113*0.0*11705000*false*13.5541*0.07*0.0*0.07*0.01*1.94*6.18*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2014*2014-07-01*2014-09-30*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.06*0.2**871372.34*112*0.0*13483000*false*15.4735*0.08*0.0*0.08*0.01*1.71*3.14*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2014*2014-01-01*2014-06-30*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.89*0.26**871395.61*113*0.0*13257000*false*15.2133*0.15*0.0*0.15*0.02*2.42*2.85*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2014*2014-01-01*2014-03-31*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.63*0.26**802307.0*111*0.0*11917000*false*14.8535*0.07*0.0*0.07*0.01*3.44*2.56*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2013*2013-07-01*2013-12-31*404*bbvafondos@bbva.com*No Disponible*4 en una escala del 1 al 7*0.43*0.31**802222.27*112*0.0*11520000*false*14.3602*0.15*0.0*0.15*0.03*1.37*2.13*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2015*2015-07-01*2015-12-31*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.21*0.03**851081.76*111*0.0*13243000*false*15.5602*0.15*0.0*0.15*0.03*0.77*5.22*0.1*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2015*2015-07-01*2015-09-30*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.05*0.02**851081.76*111*0.0*13142000*false*15.4418*0.08*0.0*0.08*0.01*-1.42*6.63*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2015*2015-01-01*2015-06-30*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.04*0.03**883213.38*111*0.0*13835000*false*15.6639*0.15*0.0*0.15*0.02*-3.28*6.86*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2015*2015-01-01*2015-03-31*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.0*0.05**884825.32*113*0.0*14329000*false*16.1946*0.07*0.0*0.07*0.01*0.0*0.0*0.1*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2016*2016-07-01*2016-09-30*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.18*0.0**818527.36*111*0.0*12844000*false*15.6921*0.08*0.0*0.08*0.01*1.31*3.37*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2016*2016-01-01*2016-06-30*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.08*0.01**818527.36*111*0.0*12679000*false*15.4897*0.15*0.0*0.15*0.02*0.26*6.31*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2016*2016-01-01*2016-03-31*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.07*0.02**850841.53*111*0.0*13145000*false*15.4499*0.07*0.0*0.07*0.01*-0.71*6.35*0.09*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2015*2015-07-01*2015-12-31*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.21*0.03**851081.76*111*0.0*13243000*false*15.5602*0.15*0.0*0.15*0.03*0.77*5.22*0.1*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2017*2017-07-01*2017-12-31*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.76*-0.08**736915.76*110*0.0*11567000*false*15.6968*0.15*0.0*0.15*0.03*-0.6*2.39*0.16*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2017*2017-07-01*2017-09-30*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.25*-0.13**768633.44*110*0.0*12138000*false*15.7911*0.08*0.0*0.08*0.01*0.23*3.08*0.14*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2017*2017-01-01*2017-06-30*404*bbvafondos@bbva.com*BBB+*7 en una escala del 1 al 7*0.32*-0.11**786619.82*110*0.0*12393000*false*15.7548*0.15*0.0*0.15*0.02*-1.75*2.35*0.12*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2017*2017-01-01*2017-03-31*404*bbvafondos@bbva.com*No Disponible*7 en una escala del 1 al 7*0.24*-0.08**786619.82*110*0.0*12614000*false*16.0357*0.07*0.0*0.07*0.01*1.74*2.67*0.11*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2018*2018-07-01*2018-12-31*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.11*0.96**646891.8*113*0.0*9593000*false*14.8297*0.15*0.0*0.15*0.03*-4.01*5.1*0.19*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2018*2018-07-01*2018-09-30*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.14*-0.12**686279.8*113*0.0*10603000*false*15.4499*0.08*0.0*0.08*0.01*0.18*2.29*0.63*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METROPOLIS RENTA FI*80593247*Semester 1 2018*2018-01-01*2018-06-30*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.49*-0.2**701837.47*110*0.0*10824000*false*15.4227*0.15*0.0*0.15*0.02*-0.33*2.69*0.19*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2018*2018-01-01*2018-03-31*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.18*-0.16**736915.76*110*0.0*11403000*false*15.4735*0.07*0.0*0.07*0.01*-1.42*3.46*0.17*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2019*2019-07-01*2019-12-31*404*bbvafondos@bbvaam.com*A-*7 en una escala del 1 al 7*0.56*0.24**569651.86*104*0.0*9233000*false*16.2083*0.15*0.0*0.15*0.03*1.54*3.43*0.22*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2019*2019-07-01*2019-09-30*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.0*0.6**522205.8*108*0.0*8335000*false*15.962*0.08*0.0*0.08*0.01*2.06*2.89*0.21*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2019*2019-01-01*2019-06-30*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*1.01*0.48**547460.92*108*0.0*8562000*false*15.6402*0.15*0.0*0.15*0.02*1.07*2.46*0.19*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2019*2019-01-01*2019-03-31*404*bbvafondos@bbva.com*A-*7 en una escala del 1 al 7*0.48*0.84**607257.78*110*0.0*9397000*false*15.474*0.07*0.0*0.07*0.01*4.34*3.26*0.18*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 2 2020*2020-07-01*2020-12-31*404*bbvafondos@bbvaam.com*A-*7 en una escala del 1 al 7*0.27*-0.36**577975.95*102*0.0*9270000*false*16.0388*0.15*0.0*0.15*0.03*3.64*3.31*0.2*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 3 2020*2020-07-01*2020-09-30*404*bbvafondos@bbvaam.com*A-*7 en una escala del 1 al 7*0.18*-0.24**580597.35*103*0.0*8985000*false*15.475*0.08*0.0*0.08*0.01*1.37*3.17*0.2*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Semester 1 2020*2020-01-01*2020-06-30*404*bbvafondos@bbvaam.com*A-*7 en una escala del 1 al 7*0.46*-0.24**600171.35*102*0.0*9163000*false*15.2665*0.15*0.0*0.15*0.02*5.65*6.15*0.19*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
METROPOLIS RENTA, FI*METRÓPOLIS RENTA, FI*80593247*Trimester 1 2020*2020-01-01*2020-03-31*404*bbvafondos@bbvaam.com*A-*7 en una escala del 1 al 7*0.14*-0.36**600171.35*102*0.0*8673000*false*14.4502*0.07*0.0*0.07*0.01*-10.85*13.3*0.21*BBVA ASSET MANAGEMENT, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0162819033
