fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2015*2015-07-01*2015-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.15*0.0**346876.83*267*0.0*32644553*false*94.1099*0.5*0.0*0.5*0.05*3.72*8.28*0.39*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2016*2016-07-01*2016-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.41*-0.02**566550.25*427*0.0*55484654*false*97.9342*0.5*0.0*0.5*0.05*1.51*3.9*0.48*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 3 2018*2018-07-01*2018-09-30*4863*N/D*ND*4 en una escala de 1 a 7*0.29*0.0**1869974.33*774*0.0*192580393*false*102.9856*0.25*0.0*0.25*0.03*0.67*3.0*0.42*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 1 2018*2018-01-01*2018-06-30*4863*N/D*ND*4 en una escala de 1 a 7*0.13*0.0**1779154.41*742*0.0*182004745*false*102.2985*0.49*0.0*0.49*0.05*0.72*2.98*0.41*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 1 2018*2018-01-01*2018-03-31*4863*N/D*ND*4 en una escala de 1 a 7*0.02*0.0**1588010.44*681*0.0*161294760*false*101.5703*0.25*0.0*0.25*0.02*-1.24*4.04*0.41*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2017*2017-07-01*2017-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.53*-0.01**883118.69*552*0.0*90827926*false*102.8491*0.5*0.0*0.5*0.05*1.25*2.69*0.42*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 3 2019*2019-07-01*2019-09-30*4863*N/D*ND*4 en una escala de 1 a 7*0.23*0.0**1783926.58*746*0.0*183164733*false*102.675*0.25*0.0*0.25*0.01*0.63*4.3*0.37*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 1 2019*2019-01-01*2019-06-30*4863*N/D*ND*4 en una escala de 1 a 7*1.03*0.0**1772978.47*744*0.0*180908200*false*102.0363*0.5*0.0*0.5*0.04*0.79*3.35*0.37*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 1 2019*2019-01-01*2019-03-31*4863*N/D*ND*4 en una escala de 1 a 7*0.57*0.0**1776400.63*742*0.0*179835766*false*101.236*0.25*0.0*0.25*0.02*6.58*4.23*0.4*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2018*2018-07-01*2018-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.55*0.0**1868350.84*775*0.0*177458802*false*94.9815*0.5*0.0*0.5*0.05*-7.77*7.13*0.42*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 2 2020*2020-07-01*2020-12-31*4863*N/D*ND*4 en una escala de 1 a 7*0.54*-0.42**2130515.3*863*0.0*232439716*false*109.1002*0.5*0.0*0.5*0.03*4.17*4.72*0.41*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 3 2020*2020-07-01*2020-09-30*4863*N/D*ND*4 en una escala de 1 a 7*0.32*-0.43**1968004.77*825*0.0*206124421*false*104.7378*0.25*0.0*0.25*0.01*1.89*5.33*0.41*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Semester 1 2020*2020-01-01*2020-06-30*4863*N/D*ND*4 en una escala de 1 a 7*1.39*-0.44**1922907.02*810*0.0*197673199*false*102.7991*0.5*0.0*0.5*0.02*9.46*9.38*0.42*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
COMPAS EQUILIBRADO, FI*COMPAS EQUILIBRADO, FI*87218194*Trimester 1 2020*2020-01-01*2020-03-31*4863*N/D*ND*4 en una escala de 1 a 7*1.03*-0.49**1817851.58*797*0.0*170724380*false*93.9155*0.25*0.0*0.25*0.01*-10.51*17.48*0.42*ORIENTA CAPITAL SGIIC, S.A.*BANCO INVERSIS, S.A.*ES0180571004
