fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase A*87446233*Semester 2 2016*2016-07-01*2016-12-31*4996*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7.*0.21*-0.22**115535.07*825*0.0*11771376*false*101.8857*0.51*[]*0.51*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase A*87446233*Semester 1 2017*2017-01-01*2017-06-30*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.07*-0.31**724253.1*4766*0.0*74840195*false*103.3343*0.54*[]*0.54*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase B*87446233*Semester 1 2017*2017-01-01*2017-06-30*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.07*-0.31**3004048.52*6295*0.0*310861855*false*103.481*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase R*87446233*Semester 1 2017*2017-01-01*2017-06-30*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.07*-0.31**482200.75*921*0.0*49897973*false*103.4797*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase A*87446233*Trimester 1 2017*2017-01-01*2017-03-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.0*-0.33**417661.36*2914*0.0*43054013*false*103.0835*0.27*[]*0.27*0.02*1.18*1.92*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase B*87446233*Trimester 1 2017*2017-01-01*2017-03-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.0*-0.33**1749105.21*3704*0.0*180469914*false*103.1784*0.23*[]*0.23*0.01*1.23*1.92*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generación 2, F.I. - Clase R*87446233*Trimester 1 2017*2017-01-01*2017-03-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.0*-0.33**324271.92*625*0.0*33457444*false*103.1771*0.23*[]*0.23*0.01*1.23*1.92*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Trimester 3 2018*2018-07-01*2018-09-30*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.12*-0.3**1476261.99*9830*0.0*150869153*false*102.1967*0.28*[]*0.28*0.03*-0.03*2.05*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Trimester 3 2018*2018-07-01*2018-09-30*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.12*-0.3**6157872.14*12771*0.0*631784115*false*102.5978*0.24*[]*0.24*0.01*0.02*2.05*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Trimester 3 2018*2018-07-01*2018-09-30*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.12*-0.3**905642.63*1538*0.0*92915624*false*102.5963*0.24*[]*0.24*0.01*0.02*2.05*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Semester 1 2018*2018-01-01*2018-06-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.77*-0.34**1461066.43*9722*0.0*149356234*false*102.2241*0.54*[]*0.54*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Semester 1 2018*2018-01-01*2018-06-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.77*-0.34**6174071.5*12769*0.0*633296560*false*102.5736*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Semester 1 2018*2018-01-01*2018-06-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.77*-0.34**900104.0*1538*0.0*92325575*false*102.5721*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Trimester 1 2018*2018-01-01*2018-03-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.23*-0.33**1328042.25*8766*0.0*135780915*false*102.2414*0.27*[]*0.27*0.02*-1.3*4.01*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Trimester 1 2018*2018-01-01*2018-03-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.23*-0.33**5747609.42*11942*0.0*589359106*false*102.5399*0.23*[]*0.23*0.01*-1.25*4.01*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Trimester 1 2018*2018-01-01*2018-03-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.23*-0.33**850186.57*1486*0.0*87176782*false*102.5384*0.23*[]*0.23*0.01*-1.25*4.01*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase A*87446233*Semester 2 2017*2017-07-01*2017-12-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.26*-0.31**1070524.06*6935*0.0*110897033*false*103.5914*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase B*87446233*Semester 2 2017*2017-07-01*2017-12-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.26*-0.31**4697701.56*9632*0.0*487821762*false*103.8426*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*S. Generaciï¿½n 2, F.I. - Clase R*87446233*Semester 2 2017*2017-07-01*2017-12-31*4996*comsanassetm@gruposantander.com*A3*3 en una escala del 1 al 7.*0.26*-0.31**713999.65*1277*0.0*74142654*false*103.8413*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Trimester 3 2019*2019-07-01*2019-09-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.02*-0.3**1136751.63*8312*0.0*119946570*false*105.517*0.28*[]*0.28*0.03*0.94*3.2*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Trimester 3 2019*2019-07-01*2019-09-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.02*-0.3**5456899.95*11588*0.0*579202887*false*106.1414*0.24*[]*0.24*0.01*0.99*3.2*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Trimester 3 2019*2019-07-01*2019-09-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.02*-0.3**880871.89*1508*0.0*93495875*false*106.1402*0.24*[]*0.24*0.01*0.99*3.2*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Semester 1 2019*2019-01-01*2019-06-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.23*-0.3**1236340.0*8671*0.0*129238290*false*104.533*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Semester 1 2019*2019-01-01*2019-06-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.23*-0.3**5440439.63*11555*0.0*571781788*false*105.0985*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Semester 1 2019*2019-01-01*2019-06-30*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.23*-0.3**859483.21*1496*0.0*90329078*false*105.097*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Trimester 1 2019*2019-01-01*2019-03-31*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.17*-0.3**1331543.74*9051*0.0*137766082*false*103.4634*0.27*[]*0.27*0.02*4.66*3.46*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Trimester 1 2019*2019-01-01*2019-03-31*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.17*-0.3**5655503.99*11835*0.0*588009930*false*103.9713*0.23*[]*0.23*0.01*4.71*3.46*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Trimester 1 2019*2019-01-01*2019-03-31*4996*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.17*-0.3**877958.16*1507*0.0*91281134*false*103.9698*0.23*[]*0.23*0.01*4.71*3.46*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generaciï¿½n 2, F.I. - Clase A*87446233*Semester 2 2018*2018-07-01*2018-12-31*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.48*-0.3**1391582.02*9357*0.0*137565174*false*98.8552*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generaciï¿½n 2, F.I. - Clase B*87446233*Semester 2 2018*2018-07-01*2018-12-31*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.48*-0.3**5851533.9*12148*0.0*581018146*false*99.2933*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generaciï¿½n 2, F.I. - Clase R*87446233*Semester 2 2018*2018-07-01*2018-12-31*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.48*-0.3**879538.01*1501*0.0*87331002*false*99.2919*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generaciï¿½n 2, F.I. - Clase A*87446233*Semester 2 2020*2020-07-01*2020-12-31*4996*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.66*-0.5**534341.39*5604*0.0*56473266*false*105.6876*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generaciï¿½n 2, F.I. - Clase B*87446233*Semester 2 2020*2020-07-01*2020-12-31*4996*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.66*-0.5**4945170.97*11224*0.0*527054807*false*106.5797*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generaciï¿½n 2, F.I. - Clase R*87446233*Semester 2 2020*2020-07-01*2020-12-31*4996*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.66*-0.5**1009447.63*2358*0.0*107587075*false*106.5801*0.48*[]*0.48*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Trimester 3 2020*2020-07-01*2020-09-30*4996*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.34*-0.5**584259.95*5999*0.0*60247752*false*103.1181*0.28*[]*0.28*0.03*0.18*3.77*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Trimester 3 2020*2020-07-01*2020-09-30*4996*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.34*-0.5**5162574.68*11468*0.0*536578740*false*103.9363*0.24*[]*0.24*0.01*0.23*3.77*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Trimester 3 2020*2020-07-01*2020-09-30*4996*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7.*0.34*-0.5**1018216.13*2141*0.0*105830027*false*103.9367*0.24*[]*0.24*0.01*0.23*3.77*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Semester 1 2020*2020-01-01*2020-06-30*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*1.24*-0.47**603300.94*6185*0.0*62101834*false*102.9367*0.55*[]*0.55*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Semester 1 2020*2020-01-01*2020-06-30*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*1.24*-0.47**5296266.29*11690*0.0*549230036*false*103.7014*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Semester 1 2020*2020-01-01*2020-06-30*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*1.24*-0.47**1005875.95*1974*0.0*104311144*false*103.7018*0.47*[]*0.47*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase A*87446233*Trimester 1 2020*2020-01-01*2020-03-31*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.56*-0.45**775957.93*6802*0.0*76048788*false*98.0063*0.27*[]*0.27*0.02*[]*[]*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase B*87446233*Trimester 1 2020*2020-01-01*2020-03-31*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.56*-0.45**5220505.08*11422*0.0*515186787*false*98.6852*0.24*[]*0.24*0.01*[]*[]*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER GENERACION 2, FI*Santander Generación 2, F.I. - Clase R*87446233*Trimester 1 2020*2020-01-01*2020-03-31*4996*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.56*-0.45**1000009.2*1882*0.0*98686559*false*98.6857*0.24*[]*0.24*0.01*[]*[]*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
