fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2009*2009-07-01*2009-12-31*1892*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.0*0.91**2503526.07*1448*0.0*18013434*false*7.1952***0.03*0.0*1.3*2.88*0.02*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2012*2012-07-01*2012-09-30*1892*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.01*0.79**1994466.31*1200*0.0*15269655*false*7.656*0.02*0.0*0.02*0.0*2.78*5.03*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2012*2012-01-01*2012-06-30*1892*participes.ibercajagestion@ibercaja.net*Ba2 (Moody's)*Alto*0.14*1.0**2045446.57*1222*0.0*15235650*false*7.4486*0.03*0.0*0.03*0.0*-1.09*5.18*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2012*2012-01-01*2012-03-31*1892*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.09*1.0**2090201.71*1240*0.0*15741105*false*7.5309*0.01*0.0*0.01*0.0*2.58*3.3*0.37*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2011*2011-07-01*2011-12-31*1892*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.1*1.4**2182421.01*1260*0.0*16022959*false*7.3418*0.03*0.0*0.03*0.0*2.77*6.68*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2013*2013-07-01*2013-12-31*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.34**2131605.81*1367*0.0*17617972*false*8.2651*0.06*0.0*0.06*0.01*1.9*2.69*0.37*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2013*2013-07-01*2013-09-30*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.04*0.4**1871245.1*1251*0.0*15177790*false*8.1111*0.02*0.0*0.02*0.0*2.19*3.41*0.37*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2013*2013-01-01*2013-06-30*1892*participes.ibercajagestion@ibercaja.net*A1 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.67**1844643.78*1242*0.0*14641696*false*7.9374*0.04*0.0*0.04*0.0*0.06*4.75*0.36*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2013*2013-01-01*2013-03-31*1892*participes.ibercajagestion@ibercaja.net*Ba1 (Moody's)*Alto*0.0*0.74**1814138.47*1228*0.0*14391318*false*7.9329*0.02*0.0*0.02*0.0*2.46*3.44*0.37*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2014*2014-07-01*2014-09-30*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.12**2829686.86*1654*0.0*24466058*false*8.6462*0.03*0.0*0.03*0.0*1.5*3.02*0.34*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2014*2014-01-01*2014-06-30*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.19**2668421.46*1612*0.0*22729718*false*8.518*0.06*0.0*0.06*0.01*1.67*2.29*0.34*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2014*2014-01-01*2014-03-31*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.03*0.2**2593284.67*1578*0.0*21726137*false*8.3778*0.03*0.0*0.03*0.0*1.36*3.1*0.35*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2013*2013-07-01*2013-12-31*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.34**2131605.81*1367*0.0*17617972*false*8.2651*0.06*0.0*0.06*0.01*1.9*2.69*0.37*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2015*2015-07-01*2015-12-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.05*0.04**8680848.04*3893*0.0*77614311*false*8.9409*0.08*0.0*0.08*0.01*1.62*4.41*0.33*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2015*2015-07-01*2015-09-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*0.05**7382149.09*3379*0.0*64951985*false*8.7985*0.04*0.0*0.04*0.0*-2.02*6.09*0.33*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2015*2015-01-01*2015-06-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.03*0.05**6186350.23*2954*0.0*55550822*false*8.9796*0.09*0.0*0.09*0.01*-1.41*4.37*0.33*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2015*2015-01-01*2015-03-31*1892*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.0*0.05**4437770.76*2178*0.0*40420505*false*9.1083*0.04*0.0*0.04*0.01*4.82*3.97*0.34*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2016*2016-07-01*2016-12-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.16**10781395.92*4570*0.0*97795019*false*9.0707*0.05*0.0*0.05*0.01*1.65*2.46*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2016*2016-07-01*2016-09-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.01*-0.06**9765781.09*4292*0.0*87146780*false*8.9237*0.02*0.0*0.02*0.0*0.98*2.66*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2016*2016-01-01*2016-06-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*0.03**9456230.72*4202*0.0*83564237*false*8.8369*0.06*0.0*0.06*0.01*0.25*4.75*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2016*2016-01-01*2016-03-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*0.03**9248621.91*4070*0.0*81529532*false*8.8153*0.03*0.0*0.03*0.0*-1.4*5.69*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 2 2017*2017-07-01*2017-12-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.23**17090256.46*6908*0.0*156236800*false*9.1419*0.05*0.0*0.05*0.01*0.12*1.93*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 3 2017*2017-07-01*2017-09-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.03*-0.25**16490145.48*6631*0.0*150576483*false*9.1313*0.03*0.0*0.03*0.0*0.02*2.19*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Semester 1 2017*2017-01-01*2017-06-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.3**15832643.98*6364*0.0*144547922*false*9.1297*0.08*0.0*0.08*0.01*-0.4*1.8*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2017*2017-01-01*2017-03-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.29**13151496.9*5461*0.0*120547901*false*9.1661*0.03*0.0*0.03*0.0*1.05*1.7*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Semester 2 2018*2018-07-01*2018-12-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.02*-0.21**82257614.51*19122*0.0*723312072*false*8.7933*0.06*0.0*0.06*0.01*-2.79*3.81*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Trimester 3 2018*2018-07-01*2018-09-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.0*-0.23**68282424.3*16514*0.0*617689122*false*9.0461*0.03*0.0*0.03*0.0*-0.18*1.99*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Semester 1 2018*2018-01-01*2018-06-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.18*-0.22**32482246.56*10713*0.0*294358972*false*9.0621*0.03*0.0*0.03*0.0*0.16*3.21*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA SELECCION RENTA INTERNACIONAL*50805373*Trimester 1 2018*2018-01-01*2018-03-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.14*-0.24**24781088.24*8806*0.0*224208055*false*9.0475*0.01*0.0*0.01*0.0*-1.03*3.18*0.29*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Trimester 3 2019*2019-07-01*2019-09-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.16*-0.03**131091401.56*27798*0.0*1219708592*false*9.3043*0.03*0.0*0.03*0.0*1.58*3.37*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Semester 1 2019*2019-01-01*2019-06-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.39*-0.17**118578937.74*25205*0.0*1086149738*false*9.1597*0.07*0.0*0.07*0.01*0.6*2.66*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Trimester 1 2019*2019-01-01*2019-03-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.2*-0.23**104499219.98*22624*0.0*951484312*false*9.1052*0.03*0.0*0.03*0.0*3.55*2.69*0.3*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Semester 2 2018*2018-07-01*2018-12-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.02*-0.21**82257614.51*19122*0.0*723312072*false*8.7933*0.06*0.0*0.06*0.01*-2.79*3.81*0.31*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Semester 2 2020*2020-07-01*2020-12-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.14*-0.27**181418621.25*39931*0.0*1736743149*false*9.5731*0.4*0.0*0.4*0.05*3.28*4.23*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Trimester 3 2020*2020-07-01*2020-09-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.01*-0.28**173388525.02*37628*0.0*1607104701*false*9.2688*0.2*0.0*0.2*0.03*1.32*4.47*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Semester 1 2020*2020-01-01*2020-06-30*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*1.54*-0.2**168900033.67*36462*0.0*1545114461*false*9.1481*0.09*0.0*0.09*0.01*6.55*7.22*0.23*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
IBERCAJA GESTIÓN EVOLUCIÓN, FI*IBERCAJA GESTION EVOLUCION*50805373*Trimester 1 2020*2020-01-01*2020-03-31*1892*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*3 (en una escala del 1 al 7)*0.16*-0.13**164052082.14*35322*0.0*1408445755*false*8.5854*0.03*0.0*0.03*0.0*-8.93*13.39*0.34*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0147149035
