fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2013*2013-07-01*2013-12-31*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.99**110778.58*281*0.0*11452935*false*103.3858*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2013*2013-07-01*2013-12-31*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.99**110778.58*281*0.0*11452935*false*103.3858*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 2 2013*2013-07-01*2013-12-31*4607*info@gvcgaesco.es*BB*3 (En una escala del 1 al 7)*0.0*1.99**3138.21*14*2.48*316959*false*101.0*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2015*2015-07-01*2015-12-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.2**431912.11*1210*0.0*46501126*false*107.6634*0.63*0.0*0.63*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 2 2015*2015-07-01*2015-12-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.2**16800.45*38*0.0*1673853*false*99.6315*0.63*0.0*0.63*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 3 2015*2015-07-01*2015-09-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.21**411320.09*1153*0.0*43896511*false*106.721*0.32*0.0*0.32*0.03*-1.34*3.48*0.35*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 3 2015*2015-07-01*2015-09-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.21**18813.21*40*0.0*1856990*false*98.7067*0.32*0.0*0.32*0.03*-1.34*3.48*0.35*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 1 2015*2015-01-01*2015-06-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.93**417073.33*1115*0.0*45115844*false*108.1724*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 1 2015*2015-01-01*2015-06-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.93**18862.81*42*2.55*1887948*false*100.0884*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 1 2015*2015-01-01*2015-03-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*1.44**412465.39*1030*0.0*45014134*false*109.1343*0.31*0.0*0.31*0.02*2.46*2.01*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 1 2015*2015-01-01*2015-03-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*1.44**16537.25*38*2.554*1670263*false*101.0*0.31*0.0*0.31*0.02*2.46*2.01*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2016*2016-07-01*2016-12-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**404312.57*1213*0.0*43674816*false*108.0224*0.63*0.0*0.63*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 2 2016*2016-07-01*2016-12-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**14457.35*33*0.0*1446481*false*100.0517*0.63*0.0*0.63*0.04*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 3 2016*2016-07-01*2016-09-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**404349.17*1228*0.0*43003653*false*106.3528*0.31*0.0*0.31*0.03*1.45*2.53*0.37*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 3 2016*2016-07-01*2016-09-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**15936.66*37*0.0*1568288*false*98.4076*0.31*0.0*0.31*0.03*1.54*2.66*0.37*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 1 2016*2016-01-01*2016-06-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.04**422337.4*1238*0.0*44274185*false*104.8313*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 1 2016*2016-01-01*2016-06-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.04**16228.37*37*0.0*1572791*false*96.9161*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 1 2016*2016-01-01*2016-03-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.07**439962.53*1233*0.0*46673721*false*106.0857*0.31*0.0*0.31*0.02*-1.47*3.79*0.37*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 1 2016*2016-01-01*2016-03-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.07**14710.5*36*0.0*1443321*false*98.115*0.31*0.0*0.31*0.02*-1.52*3.99*0.37*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2017*2017-07-01*2017-12-31*4607*info@gvcgaesco.es*BBB-*3 (En una escala del 1 al 7)*0.0*0.0**379378.92*1122*0.0*41593388*false*109.6355*0.63*0.0*0.63*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 2 2017*2017-07-01*2017-12-31*4607*info@gvcgaesco.es*BBB-*3 (En una escala del 1 al 7)*0.0*0.0**13392.34*28*0.7*1352626*false*101.0*0.63*0.0*0.63*0.06*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 3 2017*2017-07-01*2017-09-30*4607*info@gvcgaesco.es*BBB-*3 (En una escala del 1 al 7)*0.0*0.0**411153.0*1160*0.0*44948018*false*109.3219*0.32*0.0*0.32*0.03*0.48*1.23*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 3 2017*2017-07-01*2017-09-30*4607*info@gvcgaesco.es*BBB-*3 (En una escala del 1 al 7)*0.0*0.0**14046.21*30*0.38*1418668*false*101.0*0.32*0.0*0.32*0.03*0.53*1.5*0.35*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 1 2017*2017-01-01*2017-06-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**431820.3*1230*0.0*46980479*false*108.7964*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 1 2017*2017-01-01*2017-06-30*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**13799.28*31*0.0*1391573*false*100.8439*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 1 2017*2017-01-01*2017-03-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**415988.81*1204*0.0*45279659*false*108.8483*0.31*0.0*0.31*0.02*0.76*1.23*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 1 2017*2017-01-01*2017-03-31*4607*info@gvcgaesco.es*BB+*3 (En una escala del 1 al 7)*0.0*0.0**13777.24*30*0.0*1389800*false*100.8765*0.31*0.0*0.31*0.02*0.82*1.3*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 2 2018*2018-07-01*2018-12-31*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**342404.62*1038*0.0*35904760*false*104.8606*0.63*0.0*0.63*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 2 2018*2018-07-01*2018-12-31*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**10642.22*24*0.0*1024970*false*96.3117*0.63*0.0*0.63*0.06*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 3 2018*2018-07-01*2018-09-30*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**363444.62*1072*0.0*39209605*false*107.8833*0.32*0.0*0.32*0.03*0.2*1.16*0.35*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 3 2018*2018-07-01*2018-09-30*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**10132.76*24*0.0*1006220*false*99.3036*0.32*0.0*0.32*0.02*0.24*1.26*0.35*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Semester 1 2018*2018-01-01*2018-06-30*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**380573.56*1103*0.0*40976317*false*107.6699*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Semester 1 2018*2018-01-01*2018-06-30*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**10710.18*26*0.0*1060999*false*99.0644*0.62*0.0*0.62*0.05*[]*[]*[]*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC Gaesco Renta Valor clase A FI ACUMULACION*66049701*Trimester 1 2018*2018-01-01*2018-03-31*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**382185.68*1132*0.0*41451000*false*108.4572*0.31*0.0*0.31*0.02*-1.07*1.78*0.34*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
GVC GAESCO RENTA VALOR, FI*GVC GAESCO RENTA VALOR CLASE B REPARTO FI*66049701*Trimester 1 2018*2018-01-01*2018-03-31*4607*info@gvcgaesco.es*BBB*3 (En una escala del 1 al 7)*0.0*0.0**10732.35*25*0.0*1071000*false*99.8236*0.31*0.0*0.31*0.02*-1.07*1.9*0.33*GVC GAESCO GESTIÓN, SGIIC, S.A.*BANCO DE SABADELL, S.A.*
