fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2009*2009-07-01*2009-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.33*0.25**737658.19*136*0.0*4523035*false*6.1316***0.5*0.05*2.23*5.88*0.29*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2012*2012-07-01*2012-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.32*0.1**1007071.59*111*0.0*6451206*false*6.4059*0.49**0.49*0.05*-0.93*4.81*0.37*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2012*2012-07-01*2012-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.0*0.13**928677.02*106*0.0*6004822*false*6.466*0.25**0.25*0.03*3.28*6.02*0.37*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2012*2012-01-01*2012-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.35*0.21**824632.0*102*0.0*5162686*false*6.2606*0.49**0.49*0.05*-2.42*7.29*0.36*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2012*2012-01-01*2012-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.15*0.19**761098.02*101*0.0*4883140*false*6.4159*0.24**0.24*0.02*3.63*5.3*0.36*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2013*2013-07-01*2013-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.65*0.05**1554139.05*194*0.0*10339639*false*6.653*0.5*0.23*0.73*0.05*2.91*5.38*0.29*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2013*2013-07-01*2013-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.61*0.03**1660716.37*198*0.0*10735790*false*6.4646*0.25**0.25*0.03*2.23*5.91*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2013*2013-01-01*2013-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.0*0.04**964112.24*119*0.0*6096840*false*6.3238*0.49**0.49*0.05*-2.78*7.81*0.35*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2013*2013-01-01*2013-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*ALTO*0.07*0.03**1111206.04*116*0.0*7227574*false*6.5043*0.24**0.24*0.02*1.54*4.98*0.37*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2014*2014-07-01*2014-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.27*0.0**1323268.6*184*0.0*9148492*false*6.9136*0.5*0.02*0.52*0.05*0.32*9.19*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2014*2014-07-01*2014-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.29*0.01**1299017.99*185*0.0*8951987*false*6.8913*0.25*-0.01*0.24*0.03*-0.1*5.36*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2014*2014-01-01*2014-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.45*0.14**1301382.87*186*0.0*8977431*false*6.8984*0.5*0.29*0.79*0.05*2.1*4.65*0.32*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2014*2014-01-01*2014-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.31*0.13**1442693.27*188*0.0*9747381*false*6.7564*0.25*0.13*0.38*0.02*1.55*8.18*0.31*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2015*2015-07-01*2015-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.53*0.0**1236095.56*166*0.0*8510137*false*6.8847*0.5*-0.2*0.3*0.05*4.2*9.54*0.32*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2015*2015-07-01*2015-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.28*0.0**1222942.49*171*0.0*8080590*false*6.6075*0.25**0.05*0.03*-6.7*15.06*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2015*2015-01-01*2015-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.1*0.0**1294569.1*176*0.0*9168278*false*7.0821*0.49*0.18*0.67*0.05*-1.15*8.04*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2015*2015-01-01*2015-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*4. En una escala de 1 a 7*0.11*0.0**1309661.18*181*0.0*9382684*false*7.1642*0.24*0.29*0.53*0.02*3.62*8.21*0.32*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2016*2016-07-01*2016-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.18*-0.01**951401.63*136*0.0*6387852*false*6.7141*0.5**0.5*0.05*2.75*5.14*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2016*2016-07-01*2016-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.18*0.0**1059328.25*143*0.0*6922084*false*6.5344*0.25**0.25*0.03*3.12*4.37*0.34*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2016*2016-01-01*2016-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.64*0.0**1123011.54*144*0.0*7116071*false*6.3366*0.49**0.49*0.05*-4.69*10.66*0.34*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2016*2016-01-01*2016-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.3*0.0**1144141.14*163*0.0*7606536*false*6.6482*0.25**0.25*0.02*-3.44*13.06*0.32*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2017*2017-07-01*2017-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.06*0.0**1012787.15*136*0.0*7286360*false*7.1944*0.25*-0.01*0.24*0.03*-0.1*4.1*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2017*2017-01-01*2017-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.38*0.0**921326.5*135*0.0*6634867*false*7.2014*0.49*0.35*0.84*0.05*2.22*4.73*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2017*2017-01-01*2017-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.33*0.0**924960.25*135*0.0*6516553*false*7.0452*0.24*0.16*0.4*0.02*4.93*5.03*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 2 2016*2016-07-01*2016-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.18*-0.01**951401.63*136*0.0*6387852*false*6.7141*0.5**0.5*0.05*2.75*5.14*0.33*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Semester 2 2018*2018-07-01*2018-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.63*0.0**1873305.95*148*0.0*11633255*false*6.21*0.5**0.5*0.05***0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 3 2018*2018-07-01*2018-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.29*0.0**1389851.98*134*0.0*9704004*false*6.982*0.25**0.25*0.03*0.15*6.38*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Semester 1 2018*2018-01-01*2018-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.97*0.0**1217015.06*135*0.0*8484073*false*6.9712*0.49**0.49*0.05*-0.81*6.26*0.31*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS ESTRATEGIA GLOBAL, FI*61914859*Trimester 1 2018*2018-01-01*2018-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.41*-0.01**1219310.77*141*0.0*8569258*false*7.028*0.24**0.24*0.02*-2.31*6.16*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Trimester 3 2019*2019-07-01*2019-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.0*-0.03**2254434.4*172*0.0*15242972*false*6.7613*0.25**0.25*0.03*-0.02*8.71*0.31*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Semester 1 2019*2019-01-01*2019-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.0*-0.03**2222544.18*174*0.0*15029636*false*6.7624*0.5**0.5*0.05*1.19*7.18*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Trimester 1 2019*2019-01-01*2019-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.01*-0.02**2126421.49*165*0.0*14210499*false*6.6828*0.25**0.25*0.02*7.61*9.05*0.28*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Semester 2 2018*2018-07-01*2018-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.63*0.0**1873305.95*148*0.0*11633255*false*6.21*0.5**0.5*0.05***0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI CLASE A*61914859*Semester 2 2020*2020-07-01*2020-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5. En una escala de 1 a 7*0.0*0.0**883046.18*35*0.0*6305434*false*7.1405*0.03*[]*0.03*0.01*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI CLASE B*61914859*Semester 2 2020*2020-07-01*2020-12-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5. En una escala de 1 a 7*0.0*0.0**1220266.52*115*0.0*8710920*false*7.1385*0.5*[]*0.5*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Trimester 3 2020*2020-07-01*2020-09-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.01*0.0**2326701.73*158*0.0*14937116*false*6.4199*0.25**0.25*0.03*2.0*11.0*0.31*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Semester 1 2020*2020-01-01*2020-06-30*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.11*-0.06**2524657.19*169*0.0*15889942*false*6.2939*0.5**0.5*0.05*7.86*18.86*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS FAMILY BUSINESS, FI*CS FAMILY BUSINESS FI*61914859*Trimester 1 2020*2020-01-01*2020-03-31*1856*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*4. En una escala de 1 a 7*0.06*-0.1**2494308.54*171*0.0*14554275*false*5.835*0.25**0.25*0.02*-16.82*27.35*0.3*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
