fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE F.I*78792033*Trimester 3 2009*2009-07-01*2009-09-30*110*fondos@gesconsult.es*Aa2*Medio-Bajo*0.43*0.22**2499506.3*1789*0.0*58808000*false*23.5277***0.38*0.03*3.06*2.68*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 1 2012*2012-01-01*2012-06-30*110*fondos@gesconsult.es*ND*MEDIO*0.87*0.52**1643062.03*1090*0.0*37380095*false*22.7503*0.75*0.0*0.75*0.06*-2.84*1.97*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 1 2012*2012-01-01*2012-03-31*110*fondos@gesconsult.es*ND*MEDIO*0.27*0.51**1784073.07*1132*0.0*41775427*false*23.4158*0.37*0.0*0.37*0.03*-0.3*0.92*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 2 2011*2011-07-01*2011-12-31*110*fondos@gesconsult.es*ND*MEDIO*0.58*1.37**1801459.22*1183*0.0*42311305*false*23.4872*0.76*0.0*0.76*0.06*0.14*1.03*0.42*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 2 2013*2013-07-01*2013-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*1.56*1.14**2555856.51*1387*0.0*64887778*false*25.3879*0.73*0.0*0.73*0.06*3.13*2.33*0.39*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 3 2013*2013-07-01*2013-09-30*110*fondos@gesconsult.es*ND*MEDIO*0.62*1.19**2341745.1*1233*0.0*57647223*false*24.6172*0.38*0.0*0.38*0.03*2.18*2.41*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 1 2013*2013-01-01*2013-06-30*110*fondos@gesconsult.es*ND*MEDIO*2.35*1.17**2268879.85*1195*0.0*54659520*false*24.091*0.74*0.0*0.74*0.06*0.27*4.35*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 1 2013*2013-01-01*2013-03-31*110*fondos@gesconsult.es*ND*MEDIO*1.39*1.23**1545508.26*996*0.0*37131881*false*24.0257*0.37*0.0*0.37*0.03*1.64*3.34*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 2 2014*2014-07-01*2014-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*1.07*0.79**4163426.19*2023*0.0*112175389*false*26.943*0.71*0.0*0.71*0.06*-0.85*5.09*0.39*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 3 2014*2014-07-01*2014-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.51*0.89**4254981.85*2104*0.0*115624639*false*27.1739*0.36*0.0*0.36*0.03*-0.62*3.1*0.4*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 1 2014*2014-01-01*2014-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*2.2*1.12**4167819.38*1974*0.0*113958558*false*27.3425*0.7*0.0*0.7*0.06*2.9*2.72*0.39*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 1 2014*2014-01-01*2014-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*1.23*1.17**3284271.3*1630*0.0*87273040*false*26.573*0.34*0.0*0.34*0.03*4.67*2.99*0.38*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 2 2015*2015-07-01*2015-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.86*0.36**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 2 2015*2015-07-01*2015-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.86*0.36**4012861.06*1975*0.0*107662358*false*26.8293*0.71*0.0*0.71*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 3 2015*2015-07-01*2015-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.32*0.36**4737792.95*2279*0.0*126190384*false*26.6348*0.35*0.0*0.35*0.03*-3.05*5.24*0.4*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Semester 1 2015*2015-01-01*2015-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.97*0.35**4907472.62*2382*0.0*134822317*false*27.4729*0.69*0.0*0.69*0.06*-4.36*4.93*0.38*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*GESCONSULT RF FLEXIBLE FI*78792033*Trimester 1 2015*2015-01-01*2015-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.7*0.34**4364839.21*2132*0.0*125385703*false*28.7263*0.34*0.0*0.34*0.03*6.62*4.25*0.38*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 2 2016*2016-07-01*2016-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.4*0.17**467166.49*1*0.0*12937165*false*27.6928*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 2 2016*2016-07-01*2016-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.4*0.17**3003439.38*1328*0.0*81757488*false*27.2213*0.68*0.0*0.68*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2016*2016-07-01*2016-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.17*0.21**390338.12*1*0.0*10625159*false*27.2204*0.0*0.0*0.0*0.03*1.8*1.82*0.05*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2016*2016-07-01*2016-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.17*0.21**3172574.46*1452*0.0*85178235*false*26.8483*0.34*0.0*0.34*0.03*1.45*1.81*0.38*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 1 2016*2016-01-01*2016-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.89*0.24**189566.75*1*0.0*5068982*false*26.7398*0.0*0.0*0.0*0.02*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 1 2016*2016-01-01*2016-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.89*0.24**3269477.86*1513*0.0*86526238*false*26.4648*0.69*0.0*0.69*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2016*2016-01-01*2016-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.57*0.28**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2016*2016-01-01*2016-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.57*0.28**3625207.76*1653*0.0*95894252*false*26.4521*0.35*0.0*0.35*0.03*-1.41*5.22*0.4*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 2 2017*2017-07-01*2017-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.21*0.04**407747.08*1*0.0*11781149*false*28.8933*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 2 2017*2017-07-01*2017-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.21*0.04**2654100.45*1099*0.0*74368698*false*28.0203*0.68*0.0*0.68*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2017*2017-07-01*2017-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.13*0.02**489577.08*1*0.0*13953402*false*28.5009*0.0*0.0*0.0*0.03*0.3*1.56*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2017*2017-07-01*2017-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.13*0.02**2831588.33*1151*0.0*78532085*false*27.7343*0.34*0.0*0.34*0.03*-0.04*1.56*0.38*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 1 2017*2017-01-01*2017-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.73*0.08**489577.08*1*0.0*13911517*false*28.4154*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 1 2017*2017-01-01*2017-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.73*0.08**2963706.75*1194*0.0*82229308*false*27.7454*0.67*0.0*0.67*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2017*2017-01-01*2017-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.48*0.08**467166.49*1*0.0*13156666*false*28.1627*0.0*0.0*0.0*0.03*1.7*1.71*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2017*2017-01-01*2017-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.48*0.08**2979849.54*1238*0.0*82218383*false*27.5915*0.33*0.0*0.33*0.03*1.36*1.72*0.37*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 2 2018*2018-07-01*2018-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.21*0.07**507242.69*1*0.0*14449162*false*28.4857*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 2 2018*2018-07-01*2018-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.21*0.07**2737714.9*1042*0.0*74614476*false*27.2543*0.68*0.0*0.68*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2018*2018-07-01*2018-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.02*0.07**539042.69*1*0.0*15741637*false*29.203*0.0*0.0*0.0*0.03*0.47*1.38*0.05*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2018*2018-07-01*2018-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.02*0.07**2747730.88*1089*0.0*77036348*false*28.0364*0.34*0.0*0.34*0.03*0.13*1.38*0.39*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 1 2018*2018-01-01*2018-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.55*0.06**525254.15*1*0.0*15267087*false*29.0661*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 1 2018*2018-01-01*2018-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.55*0.06**2773646.19*1115*0.0*77662158*false*28.0*0.67*0.0*0.67*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2018*2018-01-01*2018-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.43*0.06**407747.08*1*0.0*11893965*false*29.17*0.0*0.0*0.0*0.03*0.96*1.7*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2018*2018-01-01*2018-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.43*0.06**2659285.56*1078*0.0*74977313*false*28.1945*0.33*0.0*0.33*0.03*0.62*1.7*0.37*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 2 2019*2019-07-01*2019-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.75*-0.11**390942.69*1*0.0*11325629*false*28.97*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 2 2019*2019-07-01*2019-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.75*-0.11**2171079.52*815*0.0*59369005*false*27.3454*0.68*0.0*0.68*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2019*2019-07-01*2019-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.33*-0.1**427942.69*1*0.0*12318563*false*28.7855*0.0*0.0*0.0*0.03*-0.11*1.14*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2019*2019-07-01*2019-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.33*-0.1**2593310.88*892*0.0*70703228*false*27.2637*0.34*0.0*0.34*0.03*-0.45*1.14*0.38*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 1 2019*2019-01-01*2019-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.5*0.02**455942.69*1*0.0*13139299*false*28.8179*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 1 2019*2019-01-01*2019-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.5*0.02**2679889.55*940*0.0*73395416*false*27.3875*0.67*0.0*0.67*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2019*2019-01-01*2019-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.23*0.01**486942.69*1*0.0*13970941*false*28.6911*0.0*0.0*0.0*0.03*0.72*1.26*0.06*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2019*2019-01-01*2019-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.23*0.01**2724847.06*993*0.0*74549104*false*27.359*0.34*0.0*0.34*0.03*0.38*1.26*0.39*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 2 2020*2020-07-01*2020-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.18*-0.28**368442.69*1*0.0*10628415*false*28.8469*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 2 2020*2020-07-01*2020-12-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.18*-0.28**576123.85*630*0.0*15475406*false*26.8612*0.74*0.0*0.74*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2020*2020-07-01*2020-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.0*-0.3**368442.69*1*0.0*10446860*false*28.3541*0.0*0.0*0.0*0.03*1.09*2.28*0.05*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Trimester 3 2020*2020-07-01*2020-09-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.0*-0.3**1175503.38*682*0.0*31144680*false*26.4948*0.37*0.0*0.37*0.03*0.75*2.28*0.41*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Semester 1 2020*2020-01-01*2020-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.11*-0.25**376942.69*1*0.0*10573151*false*28.0498*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE A GESCONSULT RF FLEXIBLE*78792033*Semester 1 2020*2020-01-01*2020-06-30*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.11*-0.25**2260711.22*702*0.0*59451423*false*26.2977*0.68*0.0*0.68*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA FIJA FLEXIBLE, FI*CLASE B GESCONSULT RF FLEXIBLE*78792033*Trimester 1 2020*2020-01-01*2020-03-31*110*fondos@gesconsult.es*ND*3 en una escala de 1 a 7*0.0*-0.23**376942.69*1*0.0*10295306*false*27.3127*0.0*0.0*0.0*0.03*-5.72*5.39*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
