fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MEDIOLANUM EXCELLENT, FI*FIBANC EXCELLENT, FI*62099940*Semester 2 2009*2009-07-01*2009-12-31*1965*N/D*ND*Alto*0.05*0.46**462617.99*101*0.0*4324084*false*9.347***0.43*0.02*1.18*1.4*0.19*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2013*2013-01-01*2013-03-31*1965*N/D*ND*Muy Alto*0.43*0.21**462620.98*104*0.0*4537168*false*9.8075*0.12*0.05*0.18*0.01*1.77*2.14*0.15*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2014*2014-07-01*2014-12-31*1965*N/D*ND*3*0.56*-0.46**462617.98*100*0.0*4865071*false*10.5164*0.25*0.03*0.29*0.02*-0.5*6.91*0.15*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2014*2014-07-01*2014-09-30*1965*N/D*ND*3*0.39*-0.93**462617.98*100*0.0*4889607*false*10.5694*0.13*0.05*0.17*0.01*1.64*4.6*0.18*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2014*2014-01-01*2014-06-30*1965*N/D*ND*3*0.57*0.18**462617.98*100*0.0*4810778*false*10.399*0.25*0.13*0.37*0.02*2.28*2.66*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2014*2014-01-01*2014-03-31*1965*N/D*ND*3*0.36*0.21**462618.98*102*0.0*4703738*false*10.1676*0.12*0.06*0.18*0.01*1.99*4.26*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2015*2015-07-01*2015-09-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.19*0.0**462616.98*100*0.0*4849162*false*10.482*0.13*-0.1*0.03*0.01*-3.64*8.59*0.17*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2015*2015-01-01*2015-06-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.49*0.16**462616.98*100*0.0*5032348*false*10.878*0.25*0.1*0.35*0.02*-0.47*5.33*0.15*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2015*2015-01-01*2015-03-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.17*0.22**462616.98*100*0.0*5056043*false*10.9292*0.12*0.12*0.24*0.01*3.93*4.54*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2014*2014-07-01*2014-12-31*1965*N/D*ND*3*0.56*-0.46**462617.98*100*0.0*4865071*false*10.5164*0.25*0.03*0.29*0.02*-0.5*6.91*0.15*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2016*2016-07-01*2016-12-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.7*0.46**462615.98*99*0.0*5135286*false*11.1005*0.25*0.06*0.31*0.02*1.02*2.62*0.33*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2016*2016-07-01*2016-09-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.34*0.0**462616.98*100*0.0*5083368*false*10.9883*0.13*0.03*0.16*0.01*1.01*2.37*0.16*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2016*2016-01-01*2016-06-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.46*0.0**462616.98*100*0.0*5032302*false*10.8779*0.25*0.02*0.26*0.02*0.92*4.68*0.17*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2016*2016-01-01*2016-03-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.17*0.0**462616.98*100*0.0*4986653*false*10.7792*0.12*0.0*0.12*0.01*-0.42*9.79*0.17*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2017*2017-07-01*2017-12-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.56*0.01**462815.7*99*0.0*5246104*false*11.3352*0.25*0.04*0.29*0.02*0.99*1.96*0.33*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2017*2017-07-01*2017-09-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.27*0.01**462616.99*100*0.0*5192361*false*11.2239*0.13*0.01*0.13*0.01*0.18*1.94*0.33*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2017*2017-01-01*2017-06-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.99*0.0**462615.98*99*0.0*5183151*false*11.204*0.25*0.03*0.28*0.02*0.2*1.91*0.34*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2017*2017-01-01*2017-03-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.83*0.0**462614.98*98*0.0*5173016*false*11.1821*0.12*0.02*0.15*0.01*0.73*2.13*0.33*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2018*2018-07-01*2018-12-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.49*0.0**462816.7*100*0.0*4943827*false*10.682*0.25*0.0*0.25*0.02*-5.92*4.91*0.34*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2018*2018-07-01*2018-09-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.33*0.0**462816.7*100*0.0*5255156*false*11.3547*0.13*0.01*0.13*0.01*0.64*2.14*0.33*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2018*2018-01-01*2018-06-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.35*0.0**462816.7*100*0.0*5221866*false*11.2828*0.25*0.0*0.25*0.02*0.69*2.98*0.33*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2018*2018-01-01*2018-03-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.18*0.0**462816.7*100*0.0*5185989*false*11.2053*0.12*0.0*0.12*0.01*-1.15*4.0*0.32*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2019*2019-07-01*2019-12-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.26*0.0**462818.7*102*0.0*5223243*false*11.2857*0.25*0.0*0.25*0.02*0.59*1.92*0.31*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2019*2019-07-01*2019-09-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.19*0.0**462818.7*103*0.0*5192676*false*11.2197*0.13*0.0*0.13*0.01*0.79*2.32*0.31*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2019*2019-01-01*2019-06-30*1965*mediolanum.gestion@mediolanum.es*ND*3*1.09*0.0**462819.7*103*0.0*5152143*false*11.1321*0.25*0.0*0.25*0.02*0.7*2.6*0.3*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2019*2019-01-01*2019-03-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.66*0.01**462816.7*100*0.0*5116406*false*11.0549*0.12*0.0*0.12*0.01*3.49*3.38*0.3*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 2 2020*2020-07-01*2020-12-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.12*0.0**462617.99*101*0.0*5290304*false*11.4356*0.25*0.04*0.29*0.02*3.83*4.39*0.34*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 3 2020*2020-07-01*2020-09-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.11*0.0**462617.99*101*0.0*5094916*false*11.0132*0.13*0.0*0.13*0.01*0.76*4.1*0.32*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Semester 1 2020*2020-01-01*2020-06-30*1965*mediolanum.gestion@mediolanum.es*ND*3*0.35*0.0**462617.99*101*0.0*5056352*false*10.9299*0.25*0.0*0.25*0.02*6.82*6.4*0.31*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
MEDIOLANUM EXCELLENT, FI*MEDIOLANUM EXCELLENT, FI*62099940*Trimester 1 2020*2020-01-01*2020-03-31*1965*mediolanum.gestion@mediolanum.es*ND*3*0.3*0.0**462818.7*102*0.0*4735365*false*10.2316*0.12*0.0*0.12*0.01*-9.34*12.66*0.31*MEDIOLANUM GESTION, S.G.I.I.C., S.A.*BANCO MEDIOLANUM, S.A.*ES0136452036
