fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CS EUROPE SMALL & MID CAP, FI*GLOBAL VARIABLE, FI*80043193*Semester 2 2009*2009-07-01*2009-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MEDIO*0.28*0.24**70248.07*71*0.0*695377*false*9.8989***1.01*0.1*2.24*6.06*0.67*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS R.VARIABLE INTERNACIONAL FI*80043193*Trimester 1 2011*2011-01-01*2011-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.47*0.52**1077229.36*112*0.0*11339349*false*10.5264***0.11*0.02*3.21*9.64*0.14*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS R.VARIABLE INTERNACIONAL FI*80043193*Semester 2 2010*2010-07-01*2010-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.52*0.46**1015019.62*106*0.0*10351826*false*10.1986***0.23*0.07*7.07*8.17*0.15*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 2 2012*2012-07-01*2012-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.57*0.09**1358967.58*109*0.0*13928054*false*10.249*0.23*[]*0.23*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 2 2012*2012-07-01*2012-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.57*0.09**216182.9*31*0.0*2178254*false*10.076*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 3 2012*2012-07-01*2012-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.31*0.12**1358978.01*110*0.0*13792363*false*10.1491*0.11*[]*0.11*0.03*3.23*11.83*0.14*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 3 2012*2012-07-01*2012-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.31*0.12**200756.16*31*0.0*2008386*false*10.0041*0.38*[]*0.38*0.03*2.96*11.81*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 1 2012*2012-01-01*2012-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.43*0.19**1381714.69*111*0.0*13584641*false*9.83*0.22*[]*0.22*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 1 2012*2012-01-01*2012-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.43*0.19**212762.64*32*0.0*2067394*false*9.72*0.74*[]*0.74*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 1 2012*2012-01-01*2012-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.29*0.14**1368904.51*111*0.0*13736789*false*10.0349*0.11*[]*0.11*0.02*3.12*8.34*0.14*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 1 2012*2012-01-01*2012-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*MUY ALTO*0.29*0.14**172159.99*29*0.0*1711892*false*9.9436*0.37*[]*0.37*0.02*2.86*8.34*0.4*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 2 2013*2013-07-01*2013-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.7*0.04**143865.76*61*0.0*1602014*false*11.1355*0.23*[]*0.23*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 2 2013*2013-07-01*2013-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.7*0.04**249856.34*75*0.0*2706729*false*10.8331*0.76*[]*0.76*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 3 2013*2013-07-01*2013-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.33*0.03**145165.3*62*0.0*1545782*false*10.6484*0.12*[]*0.12*0.03*5.32*8.22*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 3 2013*2013-07-01*2013-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.33*0.03**243311.2*76*0.0*2527216*false*10.3868*0.38*[]*0.38*0.03*5.05*8.21*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 1 2013*2013-01-01*2013-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.65*0.03**416265.04*68*0.0*4208469*false*10.1101*0.22*[]*0.22*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 1 2013*2013-01-01*2013-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.65*0.03**255632.68*80*0.0*2527649*false*9.8878*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 1 2013*2013-01-01*2013-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.38*0.02**1323419.57*107*0.0*13700564*false*10.3524*0.11*[]*0.11*0.02*1.01*8.33*0.14*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 1 2013*2013-01-01*2013-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.38*0.02**364490.71*101*0.0*3700049*false*10.1513*0.37*[]*0.37*0.02*0.75*8.32*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 2 2014*2014-07-01*2014-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5, en una escala de 1 a 7.*0.88*0.0**96896.8*58*0.0*1163613*false*12.0088*0.23*[]*0.23*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 2 2014*2014-07-01*2014-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5, en una escala de 1 a 7.*0.88*0.0**275704.57*70*0.0*3187337*false*11.5607*0.76*[]*0.76*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 3 2014*2014-07-01*2014-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5, en una escala de 1 a 7.*0.51*0.01**96896.8*57*0.0*1126918*false*11.6301*0.11*[]*0.11*0.03*0.65*8.85*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 3 2014*2014-07-01*2014-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5, en una escala de 1 a 7.*0.51*0.01**237121.79*70*0.0*2661880*false*11.2258*0.38*[]*0.38*0.03*0.39*8.85*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 1 2014*2014-01-01*2014-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*1.09*0.12**137122.2*59*0.0*1584425*false*11.5548*0.22*[]*0.22*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 1 2014*2014-01-01*2014-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*1.09*0.12**238114.27*71*0.0*2662769*false*11.1827*0.74*[]*0.74*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 1 2014*2014-01-01*2014-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.68*0.12**142174.58*60*0.0*1616949*false*11.373*0.11*[]*0.11*0.02*2.13*10.28*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 1 2014*2014-01-01*2014-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*6, en una escala de 1 a 7.*0.68*0.12**243847.97*72*0.0*2691006*false*11.0356*0.37*[]*0.37*0.02*1.87*10.27*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 2 2015*2015-07-01*2015-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.36*0.0**105027.02*55*0.0*1314174*false*12.5127*0.23*[]*0.23*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 2 2015*2015-07-01*2015-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.36*0.0**513313.37*84*0.0*6118702*false*11.92*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 3 2015*2015-07-01*2015-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.24*0.0**99673.02*55*0.0*1162230*false*11.6604*0.11*[]*0.11*0.03*-9.42*23.25*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 3 2015*2015-07-01*2015-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.24*0.0**364494.5*73*0.0*4059566*false*11.1375*0.38*[]*0.38*0.03*-9.66*23.27*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 1 2015*2015-01-01*2015-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.29*0.0**119323.08*57*0.0*1536005*false*12.8727*0.22*[]*0.22*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 1 2015*2015-01-01*2015-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.29*0.0**364236.22*74*0.0*4490294*false*12.328*0.74*[]*0.74*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 1 2015*2015-01-01*2015-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5, en una escala de 1 a 7.*0.04*0.0**91077.08*56*0.0*1184454*false*13.005*0.11*[]*0.11*0.02*8.3*11.07*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 1 2015*2015-01-01*2015-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDAR & POOR'S)*5, en una escala de 1 a 7.*0.04*0.0**323779.28*73*0.0*4043139*false*12.4873*0.37*[]*0.37*0.02*8.02*11.06*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 3 2016*2016-07-01*2016-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.2*0.0**81155.81*50*0.0*986478*false*12.1554*0.11*[]*0.11*0.03*5.41*9.41*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 3 2016*2016-07-01*2016-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.2*0.0**408708.84*78*0.0*4695612*false*11.4889*0.38*[]*0.38*0.03*5.13*9.41*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 1 2016*2016-01-01*2016-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.57*0.0**81396.73*52*0.0*938668*false*11.532*0.22*[]*0.22*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 1 2016*2016-01-01*2016-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.57*0.0**419195.75*79*0.0*4581193*false*10.9285*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Trimester 1 2016*2016-01-01*2016-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.23*0.0**76781.02*54*0.0*908959*false*11.8383*0.11*[]*0.11*0.03*-5.39*21.68*0.16*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Trimester 1 2016*2016-01-01*2016-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.23*0.0**481687.86*84*0.0*5418097*false*11.2482*0.37*[]*0.37*0.02*-5.64*21.67*0.42*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE A*80043193*Semester 2 2015*2015-07-01*2015-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.36*0.0**105027.02*55*0.0*1314174*false*12.5127*0.23*[]*0.23*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS RV INTERNACIONAL CLASE B*80043193*Semester 2 2015*2015-07-01*2015-12-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*5, en una escala de 1 a 7.*0.36*0.0**513313.37*84*0.0*6118702*false*11.92*0.75*[]*0.75*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Trimester 3 2017*2017-07-01*2017-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.07*0.0**1543137.5*131*0.0*23231233*false*15.0545*0.19*[]*0.19*0.03*3.3*7.7*0.22*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Trimester 3 2017*2017-07-01*2017-09-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.07*0.0**359064.57*117*0.0*5063880*false*14.103*0.38*[]*0.38*0.03*3.11*7.69*0.41*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Semester 1 2017*2017-01-01*2017-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.0*-0.02**1390988.98*118*0.0*20271499*false*14.5734*0.37*[]*0.37*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA B*80043193*Semester 1 2017*2017-01-01*2017-06-30*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.0*-0.02**247916.33*92*0.0*3391032*false*13.6781*0.74*[]*0.74*0.05*[]*[]*[]*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
CS EUROPE SMALL & MID CAP, FI*CS EUROPE SMALL&MID CAP CLA A*80043193*Trimester 1 2017*2017-01-01*2017-03-31*250*departamento.marketing@credit-suisse.com*A   (STANDARD & POOR'S)*6, en una escala de 1 a 7.*0.0*-0.02**872062.46*98*0.0*12107787*false*13.8841*0.15*[]*0.15*0.02*[]*[]*0.22*CREDIT SUISSE GESTION, S.G.I.I.C., S.A.*CREDIT SUISSE AG, SUCURSAL EN ESPAÑA*
