fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2009*2009-07-01*2009-12-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*1.99*0.04**2709095.21*8186*0.0*133904789*false*49.4279***1.01*0.03*0.71*9.72*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2009*2009-07-01*2009-09-30*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*1.01*0.04**2791580.25*8342*0.0*137005104*false*49.078***0.5*0.01*10.65*9.32*0.54*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2009*2009-01-01*2009-06-30*30*acgestionclientes@ahorro.com*AA-   IBCA*MEDIO ALTO*3.54*1.13**2856545.14*8511*0.0*126696168*false*44.3529***0.99*0.03*11.42*12.77*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2010*2010-07-01*2010-12-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.79*0.14**2350170.3*7244*0.0*105786990*false*45.0125***1.01*0.03*-3.06*11.3*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2010*2010-07-01*2010-09-30*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.38*0.07**2473567.98*7599*0.0*114855488*false*46.4331***0.5*0.01*6.53*12.49*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2010*2010-01-01*2010-06-30*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*1.23*0.03**2580890.34*7836*0.0*112490719*false*43.586***0.99*0.03*-8.2*24.49*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2010*2010-01-01*2010-03-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.61*0.02**2664893.48*8082*0.0*126533703*false*47.4817***0.49*0.01*-3.94*11.34*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2011*2011-07-01*2011-09-30*30*acgestionclientes@ahorro.com*A1    MOODY'S*Medio alto*0.34*0.9**2020557.72*6361*0.0*83444028*false*41.2975***0.5*0.01*-11.13*20.84*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2011*2011-01-01*2011-06-30*30*acgestionclientes@ahorro.com*A1    MOODY'S*Medio alto*0.95*0.48**2097473.54*6563*0.0*97472160*false*46.4712***0.99*0.03*-1.2*10.05*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2011*2011-01-01*2011-03-31*30*acgestionclientes@ahorro.com*A1    MOODY'S*Medio alto*0.58*0.35**2204903.89*6821*0.0*103708777*false*47.0355***0.49*0.01*4.49*10.98*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2010*2010-07-01*2010-12-31*30*acgestionclientes@ahorro.com*AA-   FITCH*Medio alto*0.79*0.14**2350170.3*7244*0.0*105786990*false*45.0125***1.01*0.03*-3.06*11.3*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2014*2014-01-01*2014-03-31*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*0.58*0.13**1073644.06*3855*0.0*57413240*false*53.4751*0.49*0.0*0.49*0.01*4.43*10.07*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2013*2013-07-01*2013-12-31*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.22*0.09**1151235.36*4075*0.0*58949505*false*51.2054*1.01*0.0*1.01*0.03*6.77*7.92*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 3 2015*2015-07-01*2015-09-30*30*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.31*0.63**749784.68*4719*0.0*38682384*false*51.5913*0.5*0.0*0.5*0.02*-6.65*16.71*0.54*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 1 2015*2015-01-01*2015-06-30*30*acgestionclientes@ahorro.com*;Baa2  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.21*0.03**750550.98*4505*0.0*41481811*false*55.2685*0.99*0.0*0.99*0.03*-4.2*11.41*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2015*2015-01-01*2015-03-31*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*0.58*0.03**919446.29*5263*0.0*53044209*false*57.6915*0.49*0.0*0.49*0.01*7.64*10.11*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2014*2014-07-01*2014-12-31*30*acgestionclientes@ahorro.com*;Ba3  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*0.68*0.06**981729.43*3622*0.0*52615303*false*53.5945*1.01*0.0*1.01*0.03*-2.59*13.71*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Imantia Decidido, F.I*28706448*Trimester 3 2016*2016-07-01*2016-09-30*30*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*0.24*0.42**597370.11*3906*0.0*30723429*false*51.4311*0.38*0.0*0.38*0.02*1.62*3.63*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Imantia Decidido, F.I*28706448*Semester 1 2016*2016-01-01*2016-06-30*30*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*2.59*0.59**625202.01*4047*0.0*31641904*false*50.6107*0.96*0.0*0.96*0.04***0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Trimester 1 2016*2016-01-01*2016-03-31*30*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*1.0*0.82**676811.72*4330*0.0*34576491*false*51.0873*0.5*0.0*0.5*0.02*-3.61*17.21*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*28706448*Semester 2 2015*2015-07-01*2015-12-31*30*imantiaclientes@imantia.com*;Baa2  MOODY'S;BBB-  FITCH*5, de una escala del 1 al 7*2.17*0.65**718379.86*4557*0.0*38072877*false*52.9983*1.01*0.0*1.01*0.05*2.73*11.17*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Trimester 3 2017*2017-07-01*2017-09-30*30*imantiaclientes@imantia.com*BBB- (Fitch)*5, de una escala del 1 al 7*0.68*0.38**492040.63*3474*0.0*25988472*false*52.8177*0.38*0.0*0.38*0.02*0.53*3.49*0.47*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Semester 1 2017*2017-01-01*2017-06-30*30*imantiaclientes@imantia.com*BBB- (Fitch)*5, de una escala del 1 al 7*1.44*0.33**511775.71*3561*0.0*26889344*false*52.5413*0.74*0.0*0.74*0.04*-1.47*2.67*0.48*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Trimester 1 2017*2017-01-01*2017-03-31*30*imantiaclientes@imantia.com*BBB- (Fitch)*5, de una escala del 1 al 7*0.73*0.36**532031.44*3679*0.0*28369783*false*53.3235*0.37*0.0*0.37*0.02*1.67*3.01*0.4*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Semester 2 2016*2016-07-01*2016-12-31*30*imantiaclientes@imantia.com*BBB- (Fitch)*5, de una escala del 1 al 7*0.61*0.18**560206.19*3785*0.0*29381369*false*52.4474*0.76*0.0*0.76*0.05*1.98*4.24*0.43*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Semester 2 2018*2018-07-01*2018-12-31*30*imantiaclientes@imantia.com*BBB*4, de una escala del 1 al 7*0.99*0.66**422383.86*3066*0.0*20280095*false*48.0134*0.76*0.0*0.76*0.05*-8.29*8.35*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Trimester 3 2018*2018-07-01*2018-09-30*30*imantiaclientes@imantia.com*BBB- (Fitch)*4, de una escala del 1 al 7*0.28*0.01**434173.4*3123*0.0*22730396*false*52.3533*0.38*0.0*0.38*0.02*0.51*4.15*0.53*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Semester 1 2018*2018-01-01*2018-06-30*30*imantiaclientes@imantia.com*BBB- (Fitch)*4, de una escala del 1 al 7*0.85*0.04**444753.99*3198*0.0*23167075*false*52.0896*0.74*0.0*0.74*0.04*0.7*5.86*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Trimester 1 2018*2018-01-01*2018-03-31*30*imantiaclientes@imantia.com*BBB- (Fitch)*5, de una escala del 1 al 7*0.25*0.4**459486.18*3299*0.0*23769147*false*51.7298*0.37*0.0*0.37*0.02*-2.97*8.12*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*28706448*Trimester 3 2019*2019-07-01*2019-09-30*30*imantiaclientes@imantia.com*BBB+*6, de una escala del 1 al 7*0.98*1.16**385852.07*2901*0.0*20357149*false*52.7589*0.38*0.0*0.38*0.02***0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Semester 1 2019*2019-01-01*2019-06-30*30*imantiaclientes@imantia.com*BBB+*4, de una escala del 1 al 7*0.61*0.74**395258.24*2959*0.0*20652062*false*52.2495*0.74*0.0*0.74*0.04*1.58*4.58*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Trimester 1 2019*2019-01-01*2019-03-31*30*imantiaclientes@imantia.com*BBB*4, de una escala del 1 al 7*0.43*0.57**404891.24*3011*0.0*20826537*false*51.4374*0.37*0.0*0.37*0.02*7.13*5.54*0.51*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*28706448*Semester 2 2018*2018-07-01*2018-12-31*30*imantiaclientes@imantia.com*BBB*4, de una escala del 1 al 7*0.99*0.66**422383.86*3066*0.0*20280095*false*48.0134*0.76*0.0*0.76*0.05*-8.29*8.35*0.52*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*28706448*Semester 2 2020*2020-07-01*2020-12-31*30*imantiaclientes@imantia.com*BBB+*6, de una escala del 1 al 7*0.62*-0.16**363034.42*2810*0.0*21848384*false*60.1827*0.75*0.0*0.75*0.05*3.27*12.52*0.4*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*28706448*Trimester 3 2020*2020-07-01*2020-09-30*30*imantiaclientes@imantia.com*BBB+*6, de una escala del 1 al 7*0.24*-0.17**359650.04*2825*0.0*20959502*false*58.2775*0.38*0.0*0.38*0.02*3.19*13.56*0.4*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*28706448*Semester 1 2020*2020-01-01*2020-06-30*30*imantiaclientes@imantia.com*BBB+*6, de una escala del 1 al 7*1.0*0.0**363374.64*2830*0.0*20521074*false*56.4736*0.75*0.0*0.75*0.04*14.04*20.45*0.4*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*28706448*Trimester 1 2020*2020-01-01*2020-03-31*30*imantiaclientes@imantia.com*BBB+*6, de una escala del 1 al 7*0.33*0.07**364627.61*2812*0.0*18056795*false*49.5212*0.37*0.0*0.37*0.02*-12.66*36.21*0.4*IMANTIA CAPITAL, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0107512032
