fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 2 2009*2009-07-01*2009-12-31*3217*bbk.gestion@grupobbk.com*A+ (IBCA)*Medio*0.02*0.17**813448.02*386*0.0*5297877*false*6.5129***0.76*0.05*0.1*4.31*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 2 2012*2012-07-01*2012-12-31*3217*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.31*0.09**730309.78*301*0.0*4992516*false*6.8362*0.75*0.0*0.75*0.05*2.44*3.27*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 3 2012*2012-07-01*2012-09-30*3217*bbk.gestion@grupobbk.com*BBB- (S&P)*Medio*0.11*0.11**720387.21*298*0.0*4807284*false*6.6732*0.38*0.0*0.38*0.03*2.62*6.18*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 1 2012*2012-01-01*2012-06-30*3217*bbk.gestion@grupobbk.com*BBB (Fitch)*Medio*0.2*0.18**757389.73*312*0.0*4925387*false*6.5031*0.75*0.0*0.75*0.05*-1.48*5.39*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 1 2012*2012-01-01*2012-03-31*3217*bbk.gestion@grupobbk.com*A- (IBCA)*Medio*0.1*0.17**822144.24*322*0.0*5426692*false*6.6007*0.37*0.0*0.37*0.02*1.26*3.6*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 3 2013*2013-07-01*2013-09-30*3217*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.09*0.08**845059.79*315*0.0*6069340*false*7.1821*0.38*0.0*0.38*0.03*3.87*3.84*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 1 2013*2013-01-01*2013-06-30*3217*kutxabankgestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.27*0.06**811830.29*305*0.0*5613186*false*6.9142*0.74*0.0*0.74*0.05*0.31*4.65*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Trimester 1 2013*2013-01-01*2013-03-31*3217*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.15*0.05**735829.02*297*0.0*5071792*false*6.8926*0.37*0.0*0.37*0.02*0.83*3.99*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*BBK SOLIDARIA F.I.*95372504*Semester 2 2012*2012-07-01*2012-12-31*3217*bbk.gestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.31*0.09**730309.78*301*0.0*4992516*false*6.8362*0.75*0.0*0.75*0.05*2.44*3.27*0.42*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 2 2014*2014-07-01*2014-12-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*Medio*0.21*0.01**1552488.24*521*0.0*11796655*false*7.5985*0.76*0.0*0.76*0.05*-0.24*5.43*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 3 2014*2014-07-01*2014-09-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.05*0.02**1475371.11*528*0.0*11237928*false*7.617*0.38*0.0*0.38*0.03*0.31*3.44*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 1 2014*2014-01-01*2014-06-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.0*0.18**1399825.87*489*0.0*10629857*false*7.5937*0.74*0.0*0.74*0.05*1.71*2.62*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 1 2014*2014-01-01*2014-03-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB- (S&P)*Medio*0.0*0.17**1037667.36*391*0.0*7746892*false*7.4657*0.37*0.0*0.37*0.02*1.9*3.55*0.4*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 3 2015*2015-07-01*2015-09-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*0.07*0.0**1877074.76*533*0.0*14009269*false*7.4634*0.38*0.0*0.38*0.03*-2.05*6.16*0.54*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 1 2015*2015-01-01*2015-06-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*1.13*0.0**1891393.74*537*0.0*14411633*false*7.6196*0.74*0.0*0.74*0.05*-3.23*4.92*0.52*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 1 2015*2015-01-01*2015-03-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*1.06*0.0**1810185.95*535*0.0*14252725*false*7.8736*0.37*0.0*0.37*0.02***0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 2 2014*2014-07-01*2014-12-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*Medio*0.21*0.01**1552488.24*521*0.0*11796655*false*7.5985*0.76*0.0*0.76*0.05*-0.24*5.43*0.41*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 2 2016*2016-07-01*2016-12-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*0.0*0.0**1914049.19*508*0.0*14766112*false*7.7146*0.75*0.0*0.75*0.05*0.26*2.84*0.52*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 3 2016*2016-07-01*2016-09-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*0.0*0.0**1961078.24*503*0.0*15089143*false*7.6943*0.38*0.0*0.38*0.03*1.74*3.62*0.52*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 1 2016*2016-01-01*2016-06-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*0.0*0.0**1845135.43*493*0.0*13954490*false*7.5629*0.75*0.0*0.75*0.05*0.05*5.82*0.52*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 1 2016*2016-01-01*2016-03-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*0.09*0.0**1815266.47*506*0.0*13721306*false*7.5588*0.37*0.0*0.37*0.02*-0.21*6.44*0.53*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Semester 2 2017*2017-07-01*2017-12-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.11*0.0**3024269.13*705*0.0*23676236*false*7.8287*0.76*0.0*0.76*0.05*-0.33*1.89*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 3 2017*2017-07-01*2017-09-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.0*0.0**2816563.79*659*0.0*22123829*false*7.8549*0.38*0.0*0.38*0.03*0.63*2.24*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Semester 1 2017*2017-01-01*2017-06-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*4 en una escala del 1 al 7*0.45*0.0**2499618.78*615*0.0*19511146*false*7.8056*0.74*0.0*0.74*0.05*0.15*2.48*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO FI*95372504*Trimester 1 2017*2017-01-01*2017-03-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*4 en una escala del 1 al 7*0.26*0.0**2099186.05*554*0.0*16361483*false*7.7942*0.37*0.0*0.37*0.02*1.03*1.74*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Semester 2 2018*2018-07-01*2018-12-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.06*0.0**3004475.28*645*0.0*22336889*false*7.4345*0.76*0.0*0.76*0.05*-3.67*3.74*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Trimester 3 2018*2018-07-01*2018-09-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.08*0.0**3107134.74*666*0.0*23980948*false*7.718*0.38*0.0*0.38*0.03*-0.25*2.13*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Semester 1 2018*2018-01-01*2018-06-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.05*0.0**3101610.3*675*0.0*23998225*false*7.7373*0.74*0.0*0.74*0.05*0.28*2.69*0.48*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Trimester 1 2018*2018-01-01*2018-03-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.09*0.0**3096304.7*696*0.0*23889839*false*7.7156*0.37*0.0*0.37*0.02*-1.45*3.4*0.47*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Trimester 3 2019*2019-07-01*2019-09-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.0*-0.09**2649495.14*601*0.0*20569451*false*7.7635*0.38*0.0*0.38*0.03*0.44*3.14*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Semester 1 2019*2019-01-01*2019-06-30*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.0*-0.01**2687341.13*606*0.0*20772078*false*7.7296*0.74*0.0*0.74*0.05*1.04*2.58*0.48*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Trimester 1 2019*2019-01-01*2019-03-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.0*0.0**2708379.26*620*0.0*20718218*false*7.6497*0.37*0.0*0.37*0.02*2.89*2.67*0.47*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
KUTXABANK FONDO SOLIDARIO, FI*KUTXABANK FONDO SOLIDARIO, FI*95372504*Semester 2 2018*2018-07-01*2018-12-31*3217*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*3 en una escala del 1 al 7*0.06*0.0**3004475.28*645*0.0*22336889*false*7.4345*0.76*0.0*0.76*0.05*-3.67*3.74*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0114186036
