fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Semester 2 2009*2009-07-01*2009-12-31*24*informesfondos@gruposantander.com*Aa2*Medio-Alto*0.74*0.23**4767989.4*11755*0.0*179393118*false*37.6245***1.13*0.1*1.74*12.99*0.63*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 2 2014*2014-07-01*2014-12-31*24*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.69*0.02**14737783.42*24585*0.0*607563591*false*41.2249*0.93**0.93*0.1*-0.63*10.2*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Trimester 3 2014*2014-07-01*2014-09-30*24*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.63*0.03**14493866.24*24380*0.0*601316744*false*41.4877*0.46**0.46*0.05*1.62*6.84*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 1 2014*2014-01-01*2014-06-30*24*informesfondos@gruposantander.com*Baa1*4 en una escala del 1 al 7*1.23*0.17**3822837.2*8966*0.0*156075775*false*40.8272*1.06**1.06*0.1***0.57*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER MIXTO ACCIONES, F.I.*28672665*Trimester 1 2014*2014-01-01*2014-03-31*24*informesfondos@gruposantander.com*Baa1*6 en una escala del 1 al 7*1.02*0.16**3301618.3*8698*0.0*130290027*false*39.4625*0.55**0.55*0.05*3.17*8.03*0.61*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 2 2015*2015-07-01*2015-12-31*24*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.69*-0.14**17223999.95*27958*0.0*709936379*false*41.2179*0.93**0.93*0.1*2.08*9.11*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Trimester 3 2015*2015-07-01*2015-09-30*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.49*-0.13**17636440.31*28412*0.0*712124336*false*40.378*0.47**0.47*0.05*-4.59*12.87*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 1 2015*2015-01-01*2015-06-30*24*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.32*-0.02**17845617.73*28486*0.0*755229521*false*42.3202*0.91**0.91*0.1*-5.32*10.2*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Trimester 1 2015*2015-01-01*2015-03-31*24*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.04*0.01**16449715.8*26878*0.0*735266736*false*44.6978*0.45**0.45*0.05*8.42*8.75*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 2 2016*2016-07-01*2016-12-31*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.31*-0.31**14638692.45*25171*0.0*616394305*false*42.1072*0.93**0.93*0.1*3.74*5.57*0.54*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Trimester 3 2016*2016-07-01*2016-09-30*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.19*-0.27**15170029.48*25848*0.0*615762523*false*40.5907*0.47**0.47*0.05*1.97*7.01*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 1 2016*2016-01-01*2016-06-30*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.24*-0.23**15574089.41*26341*0.0*619947156*false*39.8063*0.92**0.92*0.1*-0.61*11.98*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Trimester 1 2016*2016-01-01*2016-03-31*24*comsanassetm@gruposantander.com*A 3*4 en una escala del 1 al 7*0.15*0.0**16336926.93*27102*0.0*654307007*false*40.0508*0.46**0.46*0.05*-2.83*12.46*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tandem 20 - 60, Fi*28672665*Semester 2 2017*2017-07-01*2017-12-31*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.22*-0.31**17087564.18*27325*0.0*735781460*false*43.0595*0.93**0.93*0.1*-1.69*3.65*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tandem 20 - 60, Fi*28672665*Trimester 3 2017*2017-07-01*2017-09-30*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.1*-0.34**15944479.09*26359*0.0*698383705*false*43.801*0.47**0.47*0.05*1.41*4.59*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Semester 1 2017*2017-01-01*2017-06-30*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.3*-0.37**15604410.91*25952*0.0*674013405*false*43.1938*0.92**0.92*0.1*0.35*5.7*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*SANTANDER TANDEM 20-60, FI*28672665*Trimester 1 2017*2017-01-01*2017-03-31*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.2*-0.37**14889599.53*25310*0.0*640896863*false*43.0433*0.46**0.46*0.05*2.22*4.1*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tándem 20 - 60, F.I.*28672665*Trimester 3 2018*2018-07-01*2018-09-30*24*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.4*-0.3**16038038.44*25849*0.0*676626012*false*42.1888*0.47**0.47*0.05*-0.29*3.73*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tándem 20 - 60, F.I.*28672665*Semester 1 2018*2018-01-01*2018-06-30*24*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*1.3*-0.29**16578682.07*26634*0.0*701463743*false*42.3112*0.92**0.92*0.1*0.08*5.51*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tándem 20 - 60, F.I.*28672665*Trimester 1 2018*2018-01-01*2018-03-31*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.44*-0.28**17052073.76*27209*0.0*720895887*false*42.2761*0.46**0.46*0.05*-1.82*6.56*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tandem 20 - 60, Fi*28672665*Semester 2 2017*2017-07-01*2017-12-31*24*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.22*-0.31**17087564.18*27325*0.0*735781460*false*43.0595*0.93**0.93*0.1*-1.69*3.65*0.53*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tï¿½ndem 20 - 60, F.I.*28672665*Semester 2 2019*2019-07-01*2019-12-31*24*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.27*-0.34**13021776.51*22228*0.0*572308599*false*43.9501*0.93**0.93*0.1*0.55*4.38*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tándem 20 - 60, F.I.*28672665*Trimester 3 2019*2019-07-01*2019-09-30*24*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.23*-0.3**13548817.08*22895*0.0*592208923*false*43.7093*0.47**0.47*0.05*1.84*4.71*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tándem 20 - 60, F.I.*28672665*Semester 1 2019*2019-01-01*2019-06-30*24*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*1.83*-0.3**13945471.53*23446*0.0*598555846*false*42.9212*0.92**0.92*0.1*2.01*4.37*0.52*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
SANTANDER TANDEM 20-60 FI*Santander Tándem 20 - 60, F.I.*28672665*Trimester 1 2019*2019-01-01*2019-03-31*24*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*1.3*-0.3**14508631.59*24091*0.0*610480836*false*42.0771*0.46**0.46*0.05*4.9*4.78*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*ES0145814036
