fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2009*2009-07-01*2009-12-31*1533*participes.ibercajagestion@ibercaja.net*A2 (Moody's)*Medio*0.18*0.91**2162821.82*1562*0.0*17456868*false*8.0713***0.86*0.1*3.48*12.61*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2012*2012-01-01*2012-03-31*1533*participes.ibercajagestion@ibercaja.net*Baa1 (Moody's)*Alto*0.32*1.0**1721235.52*1340*0.0*13573732*false*7.886*0.42*0.0*0.42*0.05*3.34*9.46*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2013*2013-07-01*2013-12-31*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.14*0.46**1926098.93*1376*0.0*17972815*false*9.3312*0.86*0.0*0.86*0.1*3.94*6.56*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2013*2013-07-01*2013-09-30*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.09*0.49**1791443.91*1334*0.0*16083313*false*8.9778*0.43*0.0*0.43*0.05***0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2013*2013-01-01*2013-06-30*1533*participes.ibercajagestion@ibercaja.net*A1 (Moody's)*Alto*0.32*0.68**1683588.1*1318*0.0*14277542*false*8.4804*0.84*0.0*0.84*0.1*-1.04*10.98*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2013*2013-01-01*2013-03-31*1533*participes.ibercajagestion@ibercaja.net*Ba1 (Moody's)*Alto*0.11*0.74**1603171.71*1240*0.0*13738988*false*8.5699*0.42*0.0*0.42*0.05*2.6*8.73*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2014*2014-07-01*2014-12-31*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.39*0.16**1881779.36*1307*0.0*17882518*false*9.503*0.86*0.0*0.86*0.1*-1.72*13.17*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2014*2014-07-01*2014-09-30*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.13*0.21**1848749.33*1336*0.0*17875411*false*9.6689*0.43*0.0*0.43*0.05*0.65*7.62*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2014*2014-01-01*2014-06-30*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.51*0.28**1879622.67*1345*0.0*18056869*false*9.6066*0.84*0.0*0.84*0.1*2.59*5.68*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2014*2014-01-01*2014-03-31*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.34*0.28**1975492.74*1375*0.0*18498479*false*9.364*0.42*0.0*0.42*0.05*0.35*8.35*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2015*2015-07-01*2015-12-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.19*0.16**2341492.2*1576*0.0*23092385*false*9.8623*0.86*0.0*0.86*0.1*2.93*12.7*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2015*2015-07-01*2015-09-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.14*0.17**2311085.46*1578*0.0*22143901*false*9.5816*0.43*0.0*0.43*0.05*-6.28*18.8*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2015*2015-01-01*2015-06-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.39*0.11**2329424.27*1596*0.0*23814702*false*10.2234*0.84*0.0*0.84*0.1*-2.19*11.22*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2015*2015-01-01*2015-03-31*1533*participes.ibercajagestion@ibercaja.net*Ba3 (Moody's)*6 (en una escala del 1 al 7)*0.04*0.12**2141020.71*1512*0.0*22378841*false*10.4524*0.42*0.0*0.42*0.05*9.99*10.88*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 2 2016*2016-07-01*2016-12-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.15*-0.1**1892167.17*1371*0.0*18625988*false*9.8437*0.86*0.0*0.86*0.1*5.14*7.56*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 3 2016*2016-07-01*2016-09-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.02*-0.06**1988036.17*1431*0.0*18612240*false*9.3621*0.43*0.0*0.43*0.05*1.84*9.07*0.49*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Semester 1 2016*2016-01-01*2016-06-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.44*0.01**2041133.37*1472*0.0*18764119*false*9.193*0.85*0.0*0.85*0.1*-0.37*17.45*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2016*2016-01-01*2016-03-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*6 (en una escala del 1 al 7)*0.12*0.06**2221329.73*1513*0.0*20495644*false*9.2267*0.42*0.0*0.42*0.05*-6.44*18.08*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Semester 2 2017*2017-07-01*2017-12-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.51*-0.24**7298886.91*5025*0.0*72736235*false*9.9654*0.68*0.0*0.68*0.08*-1.96*7.05*0.38*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Trimester 3 2017*2017-07-01*2017-09-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.19*-0.27**7350932.94*5061*0.0*74720711*false*10.1648*0.34*0.0*0.34*0.04*0.53*7.32*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Semester 1 2017*2017-01-01*2017-06-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.0*-0.35**7369880.15*5091*0.0*74516091*false*10.1109*0.81*0.0*0.81*0.09***0.45*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA CAPITAL EUROPA*50762145*Trimester 1 2017*2017-01-01*2017-03-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.11*-0.26**1809607.31*1311*0.0*18368736*false*10.1507*0.42*0.0*0.42*0.05*3.12*6.23*0.48*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Semester 2 2018*2018-07-01*2018-12-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.06*-0.23**8796485.67*5646*0.0*79252611*false*9.0096*0.68*0.0*0.68*0.08*-7.08*11.0*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Trimester 3 2018*2018-07-01*2018-09-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.04*-0.24**9046411.84*5766*0.0*87711922*false*9.6958*0.34*0.0*0.34*0.04*-0.69*6.8*0.39*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Semester 1 2018*2018-01-01*2018-06-30*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.21*-0.27**9283331.62*5894*0.0*90633999*false*9.7631*0.67*0.0*0.67*0.07*0.61*8.06*0.38*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
IBERCAJA FLEXIBLE EUROPA 50-80, FI*IBERCAJA FLEXIBLE EUROPA 50-80*50762145*Trimester 1 2018*2018-01-01*2018-03-31*1533*igf.atencion.clientes@gestionfondos.ibercaja.es*Baa2 (Moody's)*5 (en una escala del 1 al 7)*0.06*-0.26**8947251.85*5746*0.0*86824837*false*9.7041*0.33*0.0*0.33*0.04*-2.62*8.87*0.37*IBERCAJA GESTION, SGIIC, S.A.*CECABANK, S.A.*ES0102563030
