fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2015*2015-07-01*2015-12-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.19**8076187.75*2086*0.0*48176970*false*5.9653*0.33**0.33*0.03*1.09*5.44*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 1 2017*2017-01-01*2017-03-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**7309353.75*1908*0.0*44467377*false*6.0836*0.16**0.16*0.01*2.02*2.59*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2018*2018-07-01*2018-12-31*4831*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.0*0.0**5902546.27*1576*0.0*34195278*false*5.7933*0.33**0.33*0.03*-0.58*1.59*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 3 2018*2018-07-01*2018-09-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.0*0.0**5923042.26*1582*0.0*34514677*false*5.8272*0.16**0.16*0.01*-0.86*2.06*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 1 2018*2018-01-01*2018-06-30*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.03*0.0**5950564.91*1580*0.0*34977260*false*5.878*0.32**0.32*0.02*-0.64*3.58*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 1 2018*2018-01-01*2018-03-31*4831*attclienteunigest@grupounicaja.es*BBB (Standard & Poor's)*2 en una escala de 1 a 7*0.02*0.0**6402915.8*1679*0.0*37879243*false*5.9159*0.16**0.16*0.01*-1.18*2.88*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 3 2019*2019-07-01*2019-09-30*4831*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.0*-0.11**5627883.6*1515*0.0*32412180*false*5.7592*0.16**0.16*0.01*-0.23*0.25*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 1 2019*2019-01-01*2019-06-30*4831*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.02*-0.12**5660059.07*1520*0.0*32671519*false*5.7723*0.32**0.32*0.02*-0.24*0.98*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 1 2019*2019-01-01*2019-03-31*4831*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.0*-0.12**5882729.59*1571*0.0*34037711*false*5.786*0.16**0.16*0.01*-0.13*1.05*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2018*2018-07-01*2018-12-31*4831*apoyoredunigest@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.0*0.0**5902546.27*1576*0.0*34195278*false*5.7933*0.33**0.33*0.03*-0.58*1.59*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND HORIZONTE 2025, FI*93363943*Trimester 3 2020*2020-07-01*2020-09-30*4831*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*3 en una escala de 1 a 7*0.0*-0.08**8735945.72*1937*0.0*49917421*false*5.714*0.19**0.19*0.01***0.0*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, FI*93363943*Semester 1 2020*2020-01-01*2020-06-30*4831*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.2*-0.24**3745625.69*1030*0.0*21403559*false*5.7143*0.27**0.27*0.02*-0.18*0.08*0.13*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Trimester 1 2020*2020-01-01*2020-03-31*4831*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.0*-0.15**5574537.83*1488*0.0*31910319*false*5.7243*0.16**0.16*0.01*-0.31*1.13*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
UNIFOND HORIZONTE 2025, FI*UNIFOND BOLSA 2020-V, F.I.*93363943*Semester 2 2019*2019-07-01*2019-12-31*4831*apoyoredunigest@grupounicaja.es o patrimonio@grupounicaja.es*Baa2(Moody's)*2 en una escala de 1 a 7*0.0*-0.13**5607672.58*1506*0.0*32199104*false*5.742*0.33**0.33*0.03*-0.3*0.16*0.18*UNIGEST, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0180863005
