fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Trimester 3 2019*2019-07-01*2019-09-30*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**62189.14*170*0.0*6386458*false*102.6941*0.26*[]*0.26*0.03*1.09*1.92*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compaï¿½ï¿½as 0-30, F.I. - Clase C*88245006*Semester 2 2020*2020-07-01*2020-12-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.71*-0.5**616180.03*287*0.0*63905290*false*103.712*0.38*[]*0.38*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compaï¿½ï¿½as 0-30, F.I. - Clase I*88245006*Semester 2 2020*2020-07-01*2020-12-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.71*-0.5**344671.16*27*0.0*35906334*false*104.1756*0.25*[]*0.25*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Trimester 3 2020*2020-07-01*2020-09-30*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.28*-0.5**116731.76*367*0.0*11685447*false*100.1051*0.26*[]*0.26*0.03*1.24*3.39*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase C*88245006*Trimester 3 2020*2020-07-01*2020-09-30*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.28*-0.5**640724.26*296*0.0*64438533*false*100.5714*0.19*[]*0.19*0.03*1.31*3.39*0.26*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase I*88245006*Trimester 3 2020*2020-07-01*2020-09-30*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.28*-0.5**372245.34*29*0.0*37580950*false*100.9575*0.13*[]*0.13*0.03*1.38*3.39*0.19*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Semester 1 2020*2020-01-01*2020-06-30*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*1.76*-0.47**115298.96*351*0.0*11401096*false*98.8829*0.52*[]*0.52*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase C*88245006*Semester 1 2020*2020-01-01*2020-06-30*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*1.76*-0.47**645673.85*297*0.0*64095136*false*99.2686*0.37*[]*0.37*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase I*88245006*Semester 1 2020*2020-01-01*2020-06-30*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*1.76*-0.47**369763.0*29*0.0*36823615*false*99.5871*0.25*[]*0.25*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Trimester 1 2020*2020-01-01*2020-03-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.91*-0.45**109885.26*323*0.0*10515397*false*95.6943*0.26*[]*0.26*0.02*-6.9*8.36*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase C*88245006*Trimester 1 2020*2020-01-01*2020-03-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.91*-0.45**622663.4*290*0.0*59773131*false*95.9959*0.19*[]*0.19*0.02*-6.83*8.36*0.27*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase I*88245006*Trimester 1 2020*2020-01-01*2020-03-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.91*-0.45**368219.27*29*0.0*35438907*false*96.244*0.12*[]*0.12*0.02*-6.78*8.36*0.2*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
