fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2009 S2*2009-07-01*2009-12-31*2751*info@profitgestion.es*n.d.*Alto*0.0*0.45**8449.45*149*0.0*6859868*false *811.8714***0.51*0.04*4.52*11.71*0.29*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2013 T1*2013-01-01*2013-03-31*2751*info@profitgestion.es*n.d.*ALTO*0.15*0.0**8868.22*151*0.0*8150110*false*919.0244*0.25*0.23*0.48*0.02*4.75*7.35*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2014 S2*2014-07-01*2014-12-31*2751*info@profitgestion.es*n.d.*ALTO*0.08*0.0**9801.96*173*0.0*10752656*false*1096.99*0.5*0.12*0.62*0.04*0.44*10.73*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2014 T3*2014-07-01*2014-09-30*2751*info@profitgestion.es*n.d.*ALTO*0.05*0.0**9190.56*169*0.0*10038142*false*1092.2227*0.25*0.09*0.34*0.02*1.78*5.66*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2014 S1*2014-01-01*2014-06-30*2751*info@profitgestion.es*n.d.*ALTO*0.06*0.0**9178.32*168*0.0*9849449*false*1073.121*0.5*0.28*0.78*0.03*5.38*5.23*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2014 T1*2014-01-01*2014-03-31*2751*info@profitgestion.es*n.d.*ALTO*0.01*0.0**9570.75*171*0.0*9746264*false*1018.3389*0.25*0.02*0.27*0.02*0.41*8.27*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2015 S2*2015-07-01*2015-12-31*2751*info@profitgestion.es*n.d.*6 en una escala del 1 al 7*0.0*0.0**11528.66*176*0.0*12765841*false*1107.3131*0.5*-0.19*0.31*0.04*4.36*11.38*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2015 T3*2015-07-01*2015-09-30*2751*info@profitgestion.es*n.d.*6 en una escala del 1 al 7*0.01*0.0**10744.18*177*0.0*11399788*false*1061.0197*0.25*-0.23*0.02*0.02*-8.05*16.05*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2015 S1*2015-01-01*2015-06-30*2751*info@profitgestion.es*n.d.*ALTO*0.06*0.0**10344.58*172*0.0*11937077*false*1153.9447*0.5*0.24*0.74*0.03*-2.27*9.09*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2015 T1*2015-01-01*2015-03-31*2751*info@profitgestion.es*n.d.*ALTO*0.06*0.0**9893.65*175*0.0*11681682*false*1180.7248*0.25*0.36*0.61*0.02*7.63*9.63*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2016 S2*2016-07-01*2016-12-31*2751*info@profitgestion.es*n.d.*6 en una escala del 1 al 7*0.0*0.0**11033.87*173*0.0*13270849*false*1202.7372*0.5*0.46*0.96*0.04*6.67*7.64*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2016 T3*2016-07-01*2016-09-30*2751*info@profitgestion.es*n.d.*6 en una escala del 1 al 7*0.0*0.0**13020.53*172*0.0*14681010*false*1127.5276*0.25*0.14*0.39*0.02*4.28*9.04*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2016 S1*2016-01-01*2016-06-30*2751*info@profitgestion.es*n.d.*6 en una escala del 1 al 7*0.0*0.0**13336.92*178*0.0*14420688*false*1081.2606*0.5*0.0*0.5*0.03*0.34*16.76*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2016 T1*2016-01-01*2016-03-31*2751*info@profitgestion.es*n.d.*6 en una escala del 1 al 7*0.0*0.0**13649.14*182*0.0*14707574*false*1077.5456*0.25*0.0*0.25*0.02*-2.69*16.9*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2017 S2*2017-07-01*2017-12-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*0.42**10557.45*186*0.0*13596545*false*1287.8622*0.5*0.25*0.75*0.04*2.66*5.53*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2017 T3*2017-07-01*2017-09-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.02*0.33**11379.69*186*0.0*14275538*false*1254.4748*0.25*0.11*0.36*0.02*2.19*5.83*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2017 S1*2017-01-01*2017-06-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.03*0.14**11437.64*188*0.0*14041275*false*1227.6373*0.5*0.1*0.6*0.03*-1.5*6.48*0.29*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2017 T1*2017-01-01*2017-03-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.02**11213.67*188*0.0*13975335*false*1246.2771*0.25*0.18*0.43*0.02*3.62*6.24*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2018 S2*2018-07-01*2018-12-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.08*0.93**11030.2*194*0.0*13185539*false*1195.4038*0.5*-0.02*0.48*0.04*-9.68*11.78*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2018 T3*2018-07-01*2018-09-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.03*0.85**10879.22*194*0.0*14398231*false*1323.4616*0.25*0.12*0.37*0.02*2.35*6.1*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2018 S1*2018-01-01*2018-06-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.08*0.89**10848.85*192*0.0*14028488*false*1293.0848*0.5*0.02*0.52*0.03*2.5*7.85*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2018 T1*2018-01-01*2018-03-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.05*0.72**10926.55*191*0.0*13784463*false*1261.5565*0.25*0.0*0.25*0.02*-2.04*8.37*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2019 S2*2019-07-01*2019-12-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.33*1.02**10662.4*188*0.0*14908262*false*1398.2083*0.5*0.27*0.77*0.04*4.34*8.01*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2019 T3*2019-07-01*2019-09-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.26*1.01**10595.08*189*0.0*14197260*false*1339.9864*0.25*0.05*0.3*0.02*0.8*9.01*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2019 S1*2019-01-01*2019-06-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.1*0.95**10544.82*187*0.0*14017804*false*1329.3548*0.5*0.19*0.69*0.03*1.25*7.81*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2019 T1*2019-01-01*2019-03-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.06*1.17**10686.76*191*0.0*14031059*false*1312.9381*0.25*0.11*0.35*0.02*9.83*9.27*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2020 S2*2020-07-01*2020-12-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.07*-0.06**11347.99*197*0.0*16323427*false*1438.4421*0.5*0.16*0.66*0.04*15.09*14.32*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2020 T3*2020-07-01*2020-09-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.04**11296.89*197*0.0*14119896*false*1249.8926*0.25*0.0*0.25*0.02*1.71*12.59*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2020 S1*2020-01-01*2020-06-30*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.14*0.24**11428.57*196*0.0*14044925*false*1228.931*0.5*0.0*0.5*0.03*7.21*17.72*0.28*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
PROFIT BOLSA, FI*PROFIT BOLSA, FI*83633479*2020 T1*2020-01-01*2020-03-31*2751*N/D*Baa2 (Moody's)*6 en una escala del 1 al 7*0.1*0.55**11455.79*193*0.0*13131571*false*1146.2823*0.25*0.0*0.25*0.02*-18.02*23.58*0.27*GESPROFIT, S.A., S.G.I.I.C.*CECABANK, S.A.*ES0171571039
