fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDITEL RENTA FIJA CORTO PLAZO, FI*Fonditel Dinero*83676585*2009 S2*2009-07-01*2009-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.29**12243625.11*596*0.0*56772277*false *4.6369***0.05*0.02*0.06*0.01*0.03*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2013 T3*2013-07-01*2013-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.09*0.0**2837641.92*270*0.0*13598736*false*4.7923*0.03*0.0*0.03*0.01*0.11*0.1*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2013 S1*2013-01-01*2013-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.12*0.0**3064347.07*307*0.0*14668326*false*4.7868*0.05*0.0*0.05*0.02*-0.02*0.08*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2013 T1*2013-01-01*2013-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.0**3199317.51*285*0.0*15317192*false*4.7876*0.02*0.0*0.02*0.01*0.07*0.08*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2014 S2*2014-07-01*2014-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.85*0.0**2340270.59*212*0.0*11251815*false*4.8079*0.05*0.0*0.05*0.02*-0.02*0.16*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2014 T3*2014-07-01*2014-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.46*0.0**2405391.83*222*0.0*11567849*false*4.8091*0.03*0.0*0.03*0.01*0.05*0.06*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2014 S1*2014-01-01*2014-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.54*0.0**2491521.67*243*0.0*11975453*false*4.8065*0.05*0.0*0.05*0.02*0.11*0.08*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2014 T1*2014-01-01*2014-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.33*0.0**2610312.93*235*0.0*12532236*false*4.801*0.02*0.0*0.02*0.01*0.14*0.12*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2015 T3*2015-07-01*2015-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.46*0.0**2011514.92*188*0.0*9676072*false*4.8103*0.0*0.0*0.0*0.01*-0.02*0.1*0.03*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2015 S1*2015-01-01*2015-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.46*0.0**2097259.19*214*0.0*10090546*false*4.8113*0.03*0.0*0.03*0.02*-0.03*0.11*0.03*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2015 T1*2015-01-01*2015-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.3*0.0**2224178.61*198*0.0*10704085*false*4.8126*0.02*0.0*0.02*0.01*0.1*0.1*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2014 S2*2014-07-01*2014-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.85*0.0**2340270.59*212*0.0*11251815*false*4.8079*0.05*0.0*0.05*0.02*-0.02*0.16*0.04*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2016 S2*2016-07-01*2016-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.28*0.0**1889541.63*175*0.0*9083448*false*4.8072*0.05*0.0*0.05*0.02*-0.05*0.12*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2016 T3*2016-07-01*2016-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.2*0.0**1906608.93*173*0.0*9170089*false*4.8096*0.03*0.0*0.03*0.01*-0.03*0.11*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2016 S1*2016-01-01*2016-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.51*0.0**1918699.36*178*0.0*9231066*false*4.8111*0.05*0.0*0.05*0.02*0.01*0.13*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2016 T1*2016-01-01*2016-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.03*0.0**1964785.49*181*0.0*9451954*false*4.8107*0.02*0.0*0.02*0.01*-0.01*0.12*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2017 T3*2017-07-01*2017-09-30*3722*gestion@fonditel.es*n.d.*Bajo*0.38*0.0**1677727.26*153*0.0*8036376*false*4.79*0.03*0.0*0.03*0.01*-0.12*0.07*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2017 S1*2017-01-01*2017-06-30*3722*gestion@fonditel.es*n.d.*Bajo*0.34*0.0**1699353.2*158*0.0*8150007*false*4.7959*0.05*0.0*0.05*0.02*-0.11*0.07*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2017 T1*2017-01-01*2017-03-31*3722*gestion@fonditel.es*n.d.*Bajo*0.0*0.0**1789453.25*159*0.0*8591736*false*4.8013*0.02*0.0*0.02*0.01*-0.12*0.08*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO F.I.*83676585*2016 S2*2016-07-01*2016-12-31*3722*gestion@fonditel.es*n.d.*Bajo*0.28*0.0**1889541.63*175*0.0*9083448*false*4.8072*0.05*0.0*0.05*0.02*-0.05*0.12*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO, FI*83676585*2018 T3*2018-07-01*2018-09-30*3722*N/D*ND*1 en una escala de 1 a 7*0.23*0.0**1332517.13*137*0.0*6346178*false*4.7625*0.03*0.0*0.03*0.01*-0.19*0.1*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO, FI*83676585*2018 S1*2018-01-01*2018-06-30*3722*N/D*ND*1 en una escala de 1 a 7*0.54*0.0**1342960.22*140*0.0*6407925*false*4.7715*0.05*0.0*0.05*0.01*-0.12*0.15*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO, FI*83676585*2018 T1*2018-01-01*2018-03-31*3722*N/D*ND*1 en una escala de 1 a 7*0.42*0.0**1661005.26*144*0.0*7935077*false*4.7773*0.02*0.0*0.02*0.01*-0.16*0.07*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO, FI*83676585*2017 S2*2017-07-01*2017-12-31*3722*N/D*ND*1 en una escala de 1 a 7*0.49*0.0**1651529.49*147*0.0*7902738*false*4.7851*0.05*0.0*0.05*0.02*-0.1*0.08*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2019 S2*2019-07-01*2019-12-31*3722*N/D*ND*1 en una escala de 1 a 7*1.08*-0.14**1135884.0*131*0.0*5377364*false*4.7341*0.05*0.0*0.05*0.01*-0.15*0.04*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2019 T3*2019-07-01*2019-09-30*3722*N/D*ND*1 en una escala de 1 a 7*0.78*0.0**1118101.58*134*0.0*5301070*false*4.7411*0.03*0.0*0.03*0.01*-0.12*0.07*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2019 S1*2019-01-01*2019-06-30*3722*N/D*ND*1 en una escala de 1 a 7*0.71*0.0**1157498.26*136*0.0*5494379*false*4.7468*0.05*0.0*0.05*0.01***0.07*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL DINERO, FI*83676585*2019 T1*2019-01-01*2019-03-31*3722*N/D*ND*1 en una escala de 1 a 7*0.39*0.0**1337387.2*140*0.0*6354753*false*4.7516*0.02*0.0*0.02*0.01*-0.13*0.04*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2020 S2*2020-07-01*2020-12-31*3722*N/D*ND*1 en una escala de 1 a 7*0.71*-0.43**1648370.24*127*0.0*7766149*false*4.7114*0.05*0.0*0.05*0.01*-0.12*0.06*0.05*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2020 T3*2020-07-01*2020-09-30*3722*N/D*ND*1 en una escala de 1 a 7*0.0*-0.49**1640910.61*129*0.0*7740136*false*4.717*0.03*0.0*0.03*0.01*-0.12*0.03*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2020 S1*2020-01-01*2020-06-30*3722*N/D*ND*1 en una escala de 1 a 7*0.88*-0.52**1167602.7*131*0.0*5514046*false*4.7225*0.05*0.0*0.05*0.01*-0.01*0.1*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
FONDITEL RENTA FIJA CORTO PLAZO, FI*FONDITEL RENTA FIJA CORTO PLAZO, FI*83676585*2020 T1*2020-01-01*2020-03-31*3722*N/D*ND*1 en una escala de 1 a 7*0.39*-0.49**1140925.74*130*0.0*5388721*false*4.7231*0.02*0.0*0.02*0.01*-0.23*0.28*0.06*FONDITEL GESTION, SGIIC, SA*BANCO INVERSIS, S.A.*ES0138338035
