fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 3 2009*2009-07-01*2009-09-30*336*fondos@gesconsult.es*Aa2*Alto*0.88*0.27**267688.45*383*0.0*8044000*false*30.048***0.57*0.03*17.18*15.39*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 1 2009*2009-01-01*2009-06-30*336*fondos@gesconsult.es*Aa1*Alto*2.67*1.4**244941.37*375*0.0*6281000*false*25.6421***1.11*0.06*17.23*18.53*0.63*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 2 2010*2010-07-01*2010-12-31*336*fondos@gesconsult.es*Aa2*Alto*0.52*0.51**276512.88*501*0.0*7826364*false*28.3038***1.14*0.06*1.49*14.31*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 3 2010*2010-07-01*2010-09-30*336*fondos@gesconsult.es*Aa2*Alto*0.25*0.43**329855.4*610*0.0*9199046*false*27.8881***0.57*0.03*10.5*16.54*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Semester 1 2010*2010-01-01*2010-06-30*336*fondos@gesconsult.es*Aa2*Alto*0.88*0.29**439549.62*735*0.0*11092917*false*25.237***1.11*0.06*-13.27*29.28*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE, FI*80336894*Trimester 1 2010*2010-01-01*2010-03-31*336*fondos@gesconsult.es*Aa2*Alto*0.52*0.24**429286.94*658*0.0*12491659*false*29.0986***0.55*0.03*-4.89*16.05*0.64*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2011*2011-07-01*2011-09-30*336*fondos@gesconsult.es*N/D*ALTO*0.39*1.26**336628.76*497*0.0*8374222*false*24.8767***0.57*0.03*-17.95*25.95*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2013*2013-01-01*2013-03-31*336*fondos@gesconsult.es*ND*ALTO*0.98*1.22**278313.27*352*0.0*7517335*false*27.0103*0.55*0.0*0.55*0.03*3.75*14.94*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2014*2014-07-01*2014-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.52*0.77**1186220.17*798*0.0*42648190*false*35.953*1.13*0.0*1.13*0.06*-5.26*19.14*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2014*2014-07-01*2014-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.51*0.95**964457.24*727*0.0*36601207*false*37.9501*0.57*0.0*0.57*0.03*-2.64*12.77*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2014*2014-01-01*2014-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.32*1.17**881936.98*614*0.0*34378864*false*38.9811*1.11*0.0*1.11*0.06*7.58*10.15*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2014*2014-01-01*2014-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.76*1.21**803401.64*570*0.0*29110882*false*36.2345*0.55*0.0*0.55*0.03*4.66*13.89*0.59*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2015*2015-07-01*2015-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.97*0.38**1144162.16*746*0.0*43881376*false*38.3524*1.13*0.0*1.13*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2015*2015-07-01*2015-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.97*0.38**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2015*2015-07-01*2015-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.05*0.35**1138222.93*816*0.0*40782442*false*35.8299*0.57*0.0*0.57*0.03*-8.64*21.44*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2015*2015-01-01*2015-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.45*0.39**1179533.79*836*0.0*46260890*false*39.2196*1.12*0.0*1.12*0.06*-6.04*15.41*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2015*2015-01-01*2015-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.9*0.43**1210657.3*807*0.0*50533259*false*41.7403*0.55*0.0*0.55*0.03*16.1*12.58*0.59*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2016*2016-07-01*2016-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.56*0.12**950474.2*616*0.0*37768563*false*39.7365*1.13*0.0*1.13*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2016*2016-07-01*2016-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.56*0.12**64697.66*1*0.0*2567754*false*39.6885*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2016*2016-07-01*2016-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.72*0.14**958626.32*617*0.0*35164383*false*36.6821*0.57*0.0*0.57*0.03*8.06*12.65*0.61*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2016*2016-07-01*2016-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.72*0.14**60931.4*1*0.0*2219797*false*36.4311*0.0*0.0*0.0*0.03*8.67*12.65*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2016*2016-01-01*2016-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.91*0.17**984172.26*636*0.0*33409168*false*33.9465*1.12*0.0*1.12*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2016*2016-01-01*2016-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.91*0.17**60931.4*1*0.0*2042668*false*33.5241*0.0*0.0*0.0*0.03*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2016*2016-01-01*2016-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.0*0.15**1092092.13*685*0.0*39987610*false*36.6156*0.56*0.0*0.56*0.03*-4.53*23.59*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2016*2016-01-01*2016-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.0*0.15**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2017*2017-07-01*2017-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.11*0.09**985953.4*699*0.0*46938026*false*47.6067*1.13*0.0*1.13*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2017*2017-07-01*2017-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.11*0.09**164991.7*1*0.0*8023421*false*48.6292*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2017*2017-07-01*2017-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.58*0.03**972819.69*685*0.0*44249831*false*45.4862*0.57*0.0*0.57*0.03*-1.17*8.91*0.6*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2017*2017-07-01*2017-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.58*0.03**140872.53*1*0.0*6508556*false*46.2017*0.0*0.0*0.0*0.03*-0.61*8.91*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2017*2017-01-01*2017-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.6*-0.01**937732.86*652*0.0*43158993*false*46.0248*1.12*0.0*1.12*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2017*2017-01-01*2017-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.6*-0.01**140872.53*1*0.0*6548459*false*46.485*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2017*2017-01-01*2017-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.57*0.01**934033.25*638*0.0*40649478*false*43.5204*0.56*0.0*0.56*0.03*9.52*8.94*0.59*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2017*2017-01-01*2017-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.57*0.01**118552.71*1*0.0*5181893*false*43.7096*0.0*0.0*0.0*0.03*10.13*8.94*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2018*2018-07-01*2018-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.48*0.08**1559157.46*1388*0.0*69528018*false*44.5933*1.13*0.0*1.13*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2018*2018-07-01*2018-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.48*0.08**208750.16*1*0.0*9724462*false*46.5842*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2018*2018-07-01*2018-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.3*0.08**1570890.41*1386*0.0*80589849*false*51.302*0.56*0.0*0.56*0.03*-0.16*8.68*0.63*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2018*2018-07-01*2018-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.3*0.08**216680.16*1*0.0*11546908*false*53.2901*0.0*0.0*0.0*0.03*0.41*8.68*0.06*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2018*2018-01-01*2018-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.45*0.09**1419072.32*1254*0.0*72916124*false*51.383*1.11*0.0*1.11*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2018*2018-01-01*2018-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.45*0.09**216680.16*1*0.0*11499899*false*53.0732*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2018*2018-01-01*2018-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.38*0.1**1161774.37*898*0.0*58147358*false*50.0505*0.55*0.0*0.55*0.03*[]*[]*0.59*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2018*2018-01-01*2018-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.38*0.1**167388.18*1*0.0*8605195*false*51.4086*0.0*0.0*0.0*0.03*[]*[]*0.04*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2019*2019-07-01*2019-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.99*0.03**1277071.9*972*0.0*60571854*false*47.4303*1.13*0.0*1.13*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2019*2019-07-01*2019-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.99*0.03**162250.16*1*0.0*8221526*false*50.6719*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2019*2019-07-01*2019-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.49*0.0**1303151.56*1074*0.0*58314809*false*44.7491*0.57*0.0*0.57*0.03*-2.8*10.93*0.62*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2019*2019-07-01*2019-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.49*0.0**165250.16*1*0.0*7855664*false*47.538*0.0*0.0*0.0*0.03*-2.25*10.93*0.06*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2019*2019-01-01*2019-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.76*0.06**1419886.26*1197*0.0*65368774*false*46.038*1.11*0.0*1.11*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 1 2019*2019-01-01*2019-06-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.76*0.06**171750.16*1*0.0*8352484*false*48.6316*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2019*2019-01-01*2019-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.38*0.11**1492943.49*1373*0.0*70195292*false*47.0181*0.55*0.0*0.55*0.03*5.44*10.29*0.63*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 1 2019*2019-01-01*2019-03-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.38*0.11**191750.16*1*0.0*9470494*false*49.3898*0.0*0.0*0.0*0.03*6.02*10.29*0.08*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2020*2020-07-01*2020-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.93*0.22**793244.5*658*0.0*37621250*false*47.4271*1.13*0.0*1.13*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Semester 2 2020*2020-07-01*2020-12-31*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*1.93*0.22**119750.16*1*0.0*6204936*false*51.8157*0.0*0.0*0.0*0.06*[]*[]*[]*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE A GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2020*2020-07-01*2020-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.74*0.05**890971.44*711*0.0*35109079*false*39.4054*0.57*0.0*0.57*0.03*-1.36*13.7*0.67*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
GESCONSULT RENTA VARIABLE, FI*CLASE B GESCONSULT RENTA VARIABLE FI*80336894*Trimester 3 2020*2020-07-01*2020-09-30*336*fondos@gesconsult.es*ND*6 en una escala de 1 a 7*0.74*0.05**119750.16*1*0.0*5126534*false*42.8103*0.0*0.0*0.0*0.03*-0.81*13.7*0.09*GESCONSULT, S.A., S.G.I.I.C.*BANCO CAMINOS, S.A.*
