fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Semester 2 2017*2017-07-01*2017-12-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Trimester 3 2019*2019-07-01*2019-09-30*5206*infogestora@esferacapital.es*A2*4 (En una escala del 1 al 7)*0.04*0.0**0.01*1*0.0*1*false*114.8634*0.0*0.0*0.0*0.0*1.92*10.99*0.0*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Semester 1 2019*2019-01-01*2019-06-30*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.06*0.0**63865.79*167*0.0*6572373*false*102.9091*0.59*0.0*0.59*0.05*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Semester 1 2019*2019-01-01*2019-06-30*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.06*0.0**0.01*1*0.0*1*false*113.0435*0.0*0.0*0.0*0.0*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Trimester 1 2019*2019-01-01*2019-03-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.02*0.0**63045.64*150*0.0*6501011*false*103.116*0.29*0.0*0.29*0.02*6.02*7.11*0.34*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Trimester 1 2019*2019-01-01*2019-03-31*5206*infogestora@esferacapital.es*A3*4 (En una escala del 1 al 7)*0.02*0.0**0.01*1*0.0*1*false*111.9565*0.0*0.0*0.0*0.0*4.04*8.76*0.02*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/ARGOS*04869210*Semester 1 2020*2020-01-01*2020-06-30*5206*infogestora@esferacapital.es*A2*7 (En una escala del 1 al 7)*0.49*-0.36**67163.75*183*0.0*5847341*false*87.061*0.67*0.0*0.67*0.05*[]*[]*[]*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I, FI*04869210*Trimester 1 2020*2020-01-01*2020-03-31*5206*infogestora@esferacapital.es*A3*7 (En una escala del 1 al 7)*0.33*0.0**66009.03*181*0.0*5285778*false*80.0766*0.33*0.0*0.33*0.02*-26.63*35.93*0.39*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I, FI*04869210*Semester 2 2019*2019-07-01*2019-12-31*5206*infogestora@esferacapital.es*A3*7 (En una escala del 1 al 7)*0.15*0.0**65697.78*181*0.0*7170191*false*109.139*0.61*0.0*0.61*0.05*5.64*9.61*0.34*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase A*04869210*Trimester 3 2019*2019-07-01*2019-09-30*5206*infogestora@esferacapital.es*A2*4 (En una escala del 1 al 7)*0.04*0.0**64360.9*172*0.0*6649196*false*103.3111*0.3*0.0*0.3*0.03*0.39*10.96*0.98*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
ESFERA I, FI*Esfera I/Arca Global clase B*04869210*Trimester 3 2019*2019-07-01*2019-09-30*5206*infogestora@esferacapital.es*A2*4 (En una escala del 1 al 7)*0.04*0.0**0.01*1*0.0*1*false*114.8634*0.0*0.0*0.0*0.0*1.92*10.99*0.0*ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.*CACEIS BANK SPAIN S.A.*
