fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*95067146*Semester 2 2009*2009-07-01*2009-12-31*1991*bbk.gestion@grupobbk.com*A+ (IBCA)*Alto*0.09*0.07**9947565.74*2080*0.0*41677122*false*4.1897***0.83*0.05*3.1*19.79*0.45*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Semester 1 2015*2015-01-01*2015-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.59*0.0**50176734.46*36435*0.0*292484075*false*5.8291*0.94*0.0*0.94*0.05*-5.16*20.9*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Trimester 1 2015*2015-01-01*2015-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.0*0.0**45444322.66*30926*0.0*279302424*false*6.146*0.47*0.0*0.47*0.02*17.09*18.53*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Semester 2 2014*2014-07-01*2014-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.25*0.01**36828594.56*25986*0.0*193316112*false*5.2491*0.96*0.0*0.96*0.05*-2.77*20.63*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Semester 2 2016*2016-07-01*2016-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.11*0.0**74692805.65*40531*0.0*415733019*false*5.5659*0.95*0.0*0.95*0.05*8.58*11.48*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Trimester 3 2016*2016-07-01*2016-09-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.2*0.0**67490185.02*39126*0.0*345960067*false*5.1261*0.48*0.0*0.48*0.03*4.45*14.9*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Semester 1 2016*2016-01-01*2016-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.24*0.0**67739503.58*38857*0.0*332450135*false*4.9078*0.94*0.0*0.94*0.05*-3.91*27.45*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Trimester 1 2016*2016-01-01*2016-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.35*0.0**75194726.67*38982*0.0*384041413*false*5.1073*0.47*0.0*0.47*0.02*-8.21*26.56*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 2 2017*2017-07-01*2017-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.01*0.0**7385267.28*2793*0.0*44067962*false*5.967*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 2 2017*2017-07-01*2017-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.01*0.0**85816777.15*47662*0.0*512069608*false*5.967*0.46*0.0*0.46*0.02*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Trimester 3 2017*2017-07-01*2017-09-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*0.0**90066258.53*48546*0.0*548438700*false*6.0893*0.48*0.0*0.48*0.03*3.18*10.07*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Semester 1 2017*2017-01-01*2017-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.42*0.0**83698379.1*47167*0.0*493940829*false*5.9014*0.94*0.0*0.94*0.05*0.77*12.1*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*95067146*Trimester 1 2017*2017-01-01*2017-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB (Fitch)*6 en una escala del 1 al 7*0.37*0.0**79591891.52*44673*0.0*466095047*false*5.8561*0.47*0.0*0.47*0.02*5.21*10.19*0.49*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 2 2018*2018-07-01*2018-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.18**6545858.34*2390*0.0*32226616*false*4.9232*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 2 2018*2018-07-01*2018-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.18**116946517.35*53348*0.0*580082975*false*4.9602*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Trimester 3 2018*2018-07-01*2018-09-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.01*-0.05**6808880.13*2471*0.0*38922254*false*5.7164*0.48*0.0*0.48*0.03*-0.58*10.68*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Trimester 3 2018*2018-07-01*2018-09-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.01*-0.05**109849591.65*54207*0.0*631472504*false*5.7485*0.29*0.0*0.29*0.03*-0.39*10.68*0.33*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 1 2018*2018-01-01*2018-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.3*0.0**6947360.52*2524*0.0*39944662*false*5.7496*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 1 2018*2018-01-01*2018-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.3*0.0**101719708.55*53715*0.0*587025194*false*5.771*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Trimester 1 2018*2018-01-01*2018-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.2*0.0**7216049.89*2616*0.0*41090237*false*5.6943*0.47*0.0*0.47*0.02*-4.57*14.31*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Trimester 1 2018*2018-01-01*2018-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.2*0.0**100933428.61*52084*0.0*575804117*false*5.7048*0.28*0.0*0.28*0.02*-4.39*14.31*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Trimester 3 2019*2019-07-01*2019-09-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.03*-0.28**5881106.64*2193*0.0*34919526*false*5.9376*0.48*0.0*0.48*0.03*2.06*13.78*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Trimester 3 2019*2019-07-01*2019-09-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.03*-0.28**114984214.93*60004*0.0*691719853*false*6.0158*0.29*0.0*0.29*0.03*2.26*13.78*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 1 2019*2019-01-01*2019-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.9*-0.32**6173096.05*2254*0.0*35911784*false*5.8175*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 1 2019*2019-01-01*2019-06-30*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.9*-0.32**110329960.61*55539*0.0*649062461*false*5.8829*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Trimester 1 2019*2019-01-01*2019-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.72*-0.32**6366008.31*2320*0.0*35018922*false*5.5009*0.47*0.0*0.47*0.02*11.73*12.54*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Trimester 1 2019*2019-01-01*2019-03-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.72*-0.32**120595673.97*54229*0.0*669603086*false*5.5525*0.28*0.0*0.28*0.02*11.94*12.54*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 2 2018*2018-07-01*2018-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.18**6545858.34*2390*0.0*32226616*false*4.9232*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 2 2018*2018-07-01*2018-12-31*1991*kutxabank.gestion@kutxabankgestion.es*BBB+ (Fitch)*6 en una escala del 1 al 7*0.0*-0.18**116946517.35*53348*0.0*580082975*false*4.9602*0.58*0.0*0.58*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 2 2020*2020-07-01*2020-12-31*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.14*-0.43**5254944.34*1776*0.0*33206568*false*6.3191*0.96*0.0*0.96*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 2 2020*2020-07-01*2020-12-31*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.14*-0.43**124743627.88*72339*0.0*806267828*false*6.4634*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Trimester 3 2020*2020-07-01*2020-09-30*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.41**5551175.6*1879*0.0*32099350*false*5.7824*0.48*0.0*0.48*0.03*1.17*18.24*0.51*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Trimester 3 2020*2020-07-01*2020-09-30*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.41**104971464.71*67638*0.0*619673187*false*5.9033*0.29*0.0*0.29*0.03*1.36*18.24*0.32*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Semester 1 2020*2020-01-01*2020-06-30*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.14*-0.22**5668355.48*1924*0.0*32399057*false*5.7158*0.94*0.0*0.94*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Semester 1 2020*2020-01-01*2020-06-30*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.14*-0.22**118777855.42*66741*0.0*691769207*false*5.8241*0.57*0.0*0.57*0.05*[]*[]*[]*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE ESTANDAR*95067146*Trimester 1 2020*2020-01-01*2020-03-31*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.05**5443250.91*1924*0.0*26651029*false*4.8962*0.47*0.0*0.47*0.02*-21.51*42.7*0.5*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
KUTXABANK BOLSA EUROZONA, FI*CLASE CARTERA*95067146*Trimester 1 2020*2020-01-01*2020-03-31*1991*kutxabank.gestion@kutxabankgestion.es*Baa2 (Moody's)*6 en una escala del 1 al 7*0.0*-0.05**113679699.33*65334*0.0*566067621*false*4.9795*0.28*0.0*0.28*0.02*-21.36*42.7*0.31*KUTXABANK GESTION, SGIIC, S.A.*CECABANK, S.A.*
