fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2009*2009-07-01*2009-12-31*2227*informesfondos@gruposantander.com*Aa2*Medio*0.0*0.2**1109755.48*2492*0.0*71218264*false*64.1747***0.66*0.05*0.56*1.61*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 3 2013*2013-07-01*2013-09-30*2227*informesfondos@gruposantander.com*Baa2*Medio*0.0*0.07**829458.04*1657*0.0*56732572*false*68.3972*0.33**0.33*0.03*1.18*1.53*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 1 2013*2013-01-01*2013-06-30*2227*informesfondos@gruposantander.com*Baa2*Medio*0.0*0.08**849273.23*1686*0.0*57412520*false*67.6019*0.64**0.64*0.05*-1.09*2.71*0.45*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 1 2013*2013-01-01*2013-03-31*2227*informesfondos@gruposantander.com*Baa2*Medio*0.0*0.07**846929.07*1714*0.0*57883005*false*68.3446*0.32**0.32*0.02*1.09*1.16*0.44*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 2 2014*2014-07-01*2014-12-31*2227*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.52*0.02**654199.36*1334*0.0*45072730*false*68.8975*0.66**0.66*0.05*-0.85*1.94*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 3 2014*2014-07-01*2014-09-30*2227*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.15*0.02**682667.05*1380*0.0*47438205*false*69.4895*0.33**0.33*0.03*0.42*1.4*0.37*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Semester 1 2014*2014-01-01*2014-06-30*2227*informesfondos@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.49*0.23**713936.22*1428*0.0*49404652*false*69.2004*0.64**0.64*0.05*0.42*1.26*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 1 2014*2014-01-01*2014-03-31*2227*informesfondos@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.4*0.23**733035.1*1485*0.0*50515416*false*68.9127*0.32**0.32*0.02*0.57*1.51*0.39*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase A*82755596*Semester 2 2015*2015-07-01*2015-12-31*2227*informesfondos@gruposantander.com*A 3*4 en una escala del 1 al 7*1.26*-0.16**2838415.45*8988*0.0*194684996*false*68.5893*0.53*[]*0.53*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase C*82755596*Semester 2 2015*2015-07-01*2015-12-31*2227*informesfondos@gruposantander.com*A 3*4 en una escala del 1 al 7*1.26*-0.16**89836.7*38*0.0*6179337*false*68.7841*0.28*[]*0.28*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Trimester 3 2015*2015-07-01*2015-09-30*2227*informesfondos@gruposantander.com*A3*4 en una escala del 1 al 7*0.78*-0.21**3002419.97*9339*0.0*206143391*false*68.6591*0.26*[]*0.26*0.01*-0.04*1.4*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Trimester 3 2015*2015-07-01*2015-09-30*2227*informesfondos@gruposantander.com*A3*4 en una escala del 1 al 7*0.78*-0.21**86489.85*38*0.0*5947677*false*68.7673*0.14*[]*0.14*0.01*0.08*1.4*0.16*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Semester 1 2015*2015-01-01*2015-06-30*2227*informesfondos@gruposantander.com*A 3*4 en una escala del 1 al 7*1.46*-0.05**3162860.61*9665*0.0*217253367*false*68.6889*0.59*[]*0.59*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Semester 1 2015*2015-01-01*2015-06-30*2227*informesfondos@gruposantander.com*A 3*4 en una escala del 1 al 7*1.46*-0.05**102932.59*42*0.0*7072551*false*68.7105*0.04*[]*0.04*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*SANTANDER EQUILIBRIO ACTIVO, F.I.*82755596*Trimester 1 2015*2015-01-01*2015-03-31*2227*comsanassetm@gruposantander.com*Baa1*4 en una escala del 1 al 7*0.15*0.0**594417.71*1240*0.0*41097524*false*69.1391*0.32**0.32*0.02*0.35*1.55*0.38*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase A*82755596*Semester 2 2016*2016-07-01*2016-12-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.58*-0.2**2280250.81*7585*0.0*152216791*false*66.7544*0.53*[]*0.53*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase C*82755596*Semester 2 2016*2016-07-01*2016-12-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.58*-0.2**67030.91*35*0.0*4509809*false*67.2795*0.28*[]*0.28*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Trimester 3 2016*2016-07-01*2016-09-30*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.34*-0.16**2471604.63*7941*0.0*164156169*false*66.4168*0.26*[]*0.26*0.01*-0.7*0.66*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Trimester 3 2016*2016-07-01*2016-09-30*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.34*-0.16**84338.9*36*0.0*5638497*false*66.8552*0.14*[]*0.14*0.01*-0.57*0.66*0.15*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Semester 1 2016*2016-01-01*2016-06-30*2227*informesfondos@gruposantander.com*A3*4 en una escala del 1 al 7*0.58*-0.06**2599764.53*8227*0.0*173884369*false*66.8847*0.52*[]*0.52*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Semester 1 2016*2016-01-01*2016-06-30*2227*informesfondos@gruposantander.com*A3*4 en una escala del 1 al 7*0.58*-0.06**84786.02*36*0.0*5701146*false*67.2416*0.27*[]*0.27*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Trimester 1 2016*2016-01-01*2016-03-31*2227*informesfondos@gruposantander.com*A 3*4 en una escala del 1 al 7*0.23*0.0**2747254.51*8620*0.0*185908094*false*67.6705*0.26*[]*0.26*0.01*-1.34*1.25*0.28*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Trimester 1 2016*2016-01-01*2016-03-31*2227*informesfondos@gruposantander.com*A 3*4 en una escala del 1 al 7*0.23*0.0**85499.89*37*0.0*5809469*false*67.9471*0.14*[]*0.14*0.01*-1.22*1.25*0.15*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase A*82755596*Semester 2 2017*2017-07-01*2017-12-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.49*-0.27**1875214.91*6578*0.0*122971703*false*65.5774*0.53*[]*0.53*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase C*82755596*Semester 2 2017*2017-07-01*2017-12-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.49*-0.27**396339.45*36*0.0*26326677*false*66.4246*0.28*[]*0.28*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Trimester 3 2017*2017-07-01*2017-09-30*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.24*-0.27**2022088.52*6899*0.0*133290792*false*65.9174*0.26*[]*0.26*0.01*-1.59*1.3*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Trimester 3 2017*2017-07-01*2017-09-30*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.24*-0.27**394735.0*36*0.0*26322849*false*66.6849*0.14*[]*0.14*0.01*-1.46*1.3*0.2*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Semester 1 2017*2017-01-01*2017-06-30*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*1.21*-0.38**2078977.38*7057*0.0*139248643*false*66.9794*0.52*[]*0.52*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Semester 1 2017*2017-01-01*2017-06-30*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*1.21*-0.38**394735.0*36*0.0*26713251*false*67.6739*0.27*[]*0.27*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase A*82755596*Trimester 1 2017*2017-01-01*2017-03-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.96*-0.41**2156633.45*7255*0.0*144167550*false*66.8484*0.26*[]*0.26*0.01*0.14*0.74*0.3*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversión Flexible, F.I. - Clase C*82755596*Trimester 1 2017*2017-01-01*2017-03-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.96*-0.41**50207.95*36*0.0*3386899*false*67.4574*0.14*[]*0.14*0.01*0.26*0.74*0.18*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase A*82755596*Trimester 3 2018*2018-07-01*2018-09-30*2227*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.28*-0.3**1622635.44*5833*0.0*103370013*false*63.705*0.26*[]*0.26*0.01*-1.53*1.83*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase C*82755596*Trimester 3 2018*2018-07-01*2018-09-30*2227*comsanassetm@gruposantander.com*A2*4 en una escala del 1 al 7*0.28*-0.3**390202.95*36*0.0*25273352*false*64.7698*0.14*[]*0.14*0.01*-1.41*1.83*0.2*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase A*82755596*Semester 1 2018*2018-01-01*2018-06-30*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*1.44*-0.29**1694234.8*6057*0.0*109611206*false*64.6966*0.52*[]*0.52*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase C*82755596*Semester 1 2018*2018-01-01*2018-06-30*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*1.44*-0.29**387494.77*34*0.0*25456493*false*65.6951*0.27*[]*0.27*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase A*82755596*Trimester 1 2018*2018-01-01*2018-03-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.52*-0.28**1792930.13*6302*0.0*116806424*false*65.1483*0.26*[]*0.26*0.01*-0.65*2.73*0.32*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase C*82755596*Trimester 1 2018*2018-01-01*2018-03-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.52*-0.28**388950.49*34*0.0*25698498*false*66.0714*0.14*[]*0.14*0.01*-0.53*2.73*0.2*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase A*82755596*Semester 2 2017*2017-07-01*2017-12-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.49*-0.27**1875214.91*6578*0.0*122971703*false*65.5774*0.53*[]*0.53*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*S. Inversiï¿½n Flexible, F.I. - Clase C*82755596*Semester 2 2017*2017-07-01*2017-12-31*2227*comsanassetm@gruposantander.com*A3*4 en una escala del 1 al 7*0.49*-0.27**396339.45*36*0.0*26326677*false*66.4246*0.28*[]*0.28*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversiï¿½n Flexible, F.I. - Clase A*82755596*Semester 2 2019*2019-07-01*2019-12-31*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.73*-0.36**1268941.7*4891*0.0*80110968*false*63.1321*0.53*[]*0.53*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversiï¿½n Flexible, F.I. - Clase C*82755596*Semester 2 2019*2019-07-01*2019-12-31*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.73*-0.36**440791.24*149*0.0*28470867*false*64.5904*0.28*[]*0.28*0.03*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase A*82755596*Trimester 3 2019*2019-07-01*2019-09-30*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.49*-0.3**1375410.03*5097*0.0*87452119*false*63.5826*0.26*[]*0.26*0.01*-0.02*1.03*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase C*82755596*Trimester 3 2019*2019-07-01*2019-09-30*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.49*-0.3**426554.2*146*0.0*27712930*false*64.9693*0.14*[]*0.14*0.01*0.1*1.03*0.19*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase A*82755596*Semester 1 2019*2019-01-01*2019-06-30*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.56*-0.3**1416381.71*5224*0.0*90078541*false*63.5976*0.52*[]*0.52*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase C*82755596*Semester 1 2019*2019-01-01*2019-06-30*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.56*-0.3**426268.66*145*0.0*27666049*false*64.9028*0.27*[]*0.27*0.02*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase A*82755596*Trimester 1 2019*2019-01-01*2019-03-31*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.27*-0.3**1498564.79*5489*0.0*95566034*false*63.7717*0.26*[]*0.26*0.01*0.61*1.32*0.31*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER INVERSION FLEXIBLE, FI*Santander Inversión Flexible, F.I. - Clase C*82755596*Trimester 1 2019*2019-01-01*2019-03-31*2227*comsanassetm@gruposantander.com*A 2*4 en una escala del 1 al 7*0.27*-0.3**401512.61*39*0.0*26098090*false*64.9994*0.14*[]*0.14*0.01*0.73*1.32*0.19*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
