fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2009*2009-07-01*2009-09-30*1543*RAMIRO.PINERA@DB.COM*Aa1*2/5*0.08*0.24**1545128.41*142*0.0*12346405*false*7.9905***0.3*0.0*3.27*1.68*0.31*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2015*2015-01-01*2015-03-31*1543*DWS.ES@DB.COM*Aa3*3/7*1.38*0.27**2282395.91*136*0.0*22784317*false*9.9826*0.1*0.26*0.36*0.01*4.52*3.45*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2016*2016-07-01*2016-09-30*1543*DWS.ES@DB.COM*Aa3*3/7*0.67*0.0**2728108.22*113*0.0*26983892*false*9.8911*0.1*0.05*0.15*0.01*1.06*2.03*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2016*2016-01-01*2016-06-30*1543*DWS.ES@DB.COM*Aa3*3/7*0.63*0.0**2724334.15*115*0.0*26662733*false*9.7869*0.2**0.2*0.02*-0.12*4.14*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2016*2016-01-01*2016-03-31*1543*DWS.ES@DB.COM*Aa3*3/7*0.4*0.0**3059066.42*127*0.0*29974297*false*9.7985*0.1**0.1*0.01*-0.19*4.76*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2015*2015-07-01*2015-12-31*1543*DWS.ES@DB.COM*Aa3*3/7*2.25*0.05**2615029.53*145*0.0*25672668*false*9.8174*0.2*0.08*0.28*0.03*1.76*3.4*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2017*2017-07-01*2017-09-30*1543*DWS.ES@DB.COM*Aa3*3/7*0.12*0.0**2075405.28*107*0.0*20809032*false*10.0265*0.1*0.02*0.12*0.01*0.36*1.62*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2017*2017-01-01*2017-06-30*1543*DWS.ES@DB.COM*Aa3*3/7*1.04*0.0**2073989.81*104*0.0*20719257*false*9.99*0.2*0.06*0.26*0.02*0.5*1.71*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2017*2017-01-01*2017-03-31*1543*DWS.ES@DB.COM*Aa3*3/7*0.82*0.0**2683835.11*105*0.0*26678032*false*9.9403*0.1*0.02*0.12*0.01*0.31*1.25*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2016*2016-07-01*2016-12-31*1543*DWS.ES@DB.COM*Aa3*3/7*1.29*0.0**2695984.57*109*0.0*26715639*false*9.9094*0.2*0.05*0.25*0.03*0.19*1.8*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2018*2018-07-01*2018-12-31*1543*dws.iberia@dws.com*BBB+(S&p)*3/7*0.26*0.0**2032080.88*104*0.0*19935358*false*9.8103*0.2**0.2*0.03*-2.2*2.87*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2018*2018-07-01*2018-09-30*1543*dws.iberia@dws.com*BBB+(S&p)*3/7*0.08*0.0**2044089.94*116*0.0*20503789*false*10.0308*0.1**0.1*0.01*-0.01*1.52*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2018*2018-01-01*2018-06-30*1543*dws.iberia@dws.com*BBB+(S&p)*3/7*1.14*0.0**1981862.8*111*0.0*19881478*false*10.0317*0.2**0.2*0.02*0.15*3.06*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2018*2018-01-01*2018-03-31*1543*dws.iberia@dws.com*BBB+(S&p)*3/7*0.7*0.0**1961358.62*103*0.0*19646909*false*10.017*0.1**0.1*0.01*-0.16*2.53*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2019*2019-07-01*2019-09-30*1543*dbwm.spain@db.com*BBB+(S&p)*3/7*0.5*0.0**2379546.29*104*0.0*24387782*false*10.2489*0.1*0.04*0.14*0.01*0.63*2.15*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2019*2019-01-01*2019-06-30*1543*dbwm.spain@db.com*BBB+(S&p)*3/7*0.19*0.0**2363890.97*97*0.0*24075726*false*10.1848*0.2*0.08*0.28*0.02*1.4*1.95*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2019*2019-01-01*2019-03-31*1543*dbwm.spain@db.com*BBB+(S&p)*3/7*0.02*0.0**2429334.52*101*0.0*24401087*false*10.0444*0.1*0.01*0.11*0.01*2.39*2.0*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2018*2018-07-01*2018-12-31*1543*dws.iberia@dws.com*BBB+(S&p)*3/7*0.26*0.0**2032080.88*104*0.0*19935358*false*9.8103*0.2**0.2*0.03*-2.2*2.87*0.13*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 2 2020*2020-07-01*2020-12-31*1543*dbwm.spain@db.com*A+  (FITCH)*3/7*0.27*-0.52**2112750.48*101*0.0*22053972*false*10.4385*0.2**0.25*0.02*2.45*2.76*0.11*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 3 2020*2020-07-01*2020-09-30*1543*dbwm.spain@db.com*A+  (FITCH)*3/7*0.13*-0.45**2111189.59*92*0.0*21511036*false*10.1891*0.1**0.1*0.01*1.5*2.96*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Semester 1 2020*2020-01-01*2020-06-30*1543*dbwm.spain@db.com*A+  (FITCH)*3/7*0.14*-0.15**2110262.46*92*0.0*21184754*false*10.0389*0.2**0.2*0.02*4.86*5.03*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
DWS FONCREATIVO, FI*DWS FONCREATIVO F.I.*82056201*Trimester 1 2020*2020-01-01*2020-03-31*1543*dbwm.spain@db.com*BBB+ (FITCH)*3/7*0.08*0.0**2364956.11*94*0.0*22641248*false*9.5736*0.1**0.1*0.01*-7.07*8.21*0.12*DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*ES0138535036
