fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2009*2009-07-01*2009-12-31*788*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Medio / Alto*0.3*0.4**5944.15*120*0.0*4302887*false*723.886***0.76*0.0*1.14*2.16*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2013*2013-07-01*2013-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*4 en una escala de 1 a 7*0.14*0.05**7344.41*162*0.0*5855756*false*797.308*0.38**0.38*0.03*1.0*2.31*0.42*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2013*2013-01-01*2013-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*4 en una escala de 1 a 7*0.06*0.06**7390.69*153*0.0*5834297*false*789.4111*0.74**0.74*0.05*-0.58*3.46*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2013*2013-01-01*2013-03-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*4 en una escala de 1 a 7*0.06*0.06**6970.96*139*0.0*5535247*false*794.0436*0.37**0.37*0.02*2.31*2.71*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2012*2012-07-01*2012-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*4 en una escala de 1 a 7*0.19*0.11**7231.8*141*0.0*5612818*false*776.1298*0.74**0.74*0.05*-0.58*2.33*0.39*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2014*2014-07-01*2014-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.13*0.03**12101.33*307*0.0*10268886*false*848.575*0.38**0.38*0.03***0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2014*2014-01-01*2014-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*4 en una escala de 1 a 7*0.0*0.15**10808.79*247*0.0*9034556*false*835.8526*0.74**0.74*0.05*1.93*1.9*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2014*2014-01-01*2014-03-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*4 en una escala de 1 a 7*0.0*0.14**7018.43*208*0.0*5755372*false*820.0368*0.37**0.37*0.02*0.5*2.41*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2013*2013-07-01*2013-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*4 en una escala de 1 a 7*0.06*0.07**6473.98*177*0.0*5282715*false*815.992*0.76**0.76*0.05*2.34*2.24*0.42*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2015*2015-07-01*2015-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.0**110003.14*3317*0.0*95375051*false*867.0212*0.76**0.76*0.05*0.68*4.64*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2015*2015-07-01*2015-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.0**99623.8*3083*0.0*85796143*false*861.2012*0.38**0.38*0.03*-1.74*5.55*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2015*2015-01-01*2015-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.01**87312.82*2770*0.0*76528000*false*876.4807*0.74**0.74*0.05*-2.58*4.63*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2015*2015-01-01*2015-03-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.01**47533.08*1521*0.0*42763150*false*899.6503*0.37**0.37*0.02*5.19*3.81*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2016*2016-07-01*2016-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*3 en una escala de 1 a 7*0.09*0.0**113564.45*3460*0.0*100155209*false*881.9239*0.75**0.75*0.05*1.33*3.18*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2016*2016-07-01*2016-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.0**111643.0*3412*0.0*97167619*false*870.3422*0.38**0.38*0.03*1.64*2.65*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2016*2016-01-01*2016-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.0**112642.45*3341*0.0*96456716*false*856.3087*0.75**0.75*0.05*-0.2*4.32*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2016*2016-01-01*2016-03-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*3 en una escala de 1 a 7*0.0*0.0**110484.58*3315*0.0*94794953*false*857.9926*0.37**0.37*0.02*-1.04*5.51*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2017*2017-07-01*2017-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.0*-0.08**111093.2*3195*0.0*98311331*false*884.9446*0.76**0.76*0.05*0.0*2.43*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2017*2017-07-01*2017-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.08*0.0**112972.23*3317*0.0*99969672*false*884.9048*0.38**0.38*0.03*-0.24*2.63*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2017*2017-01-01*2017-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.38*0.0**117242.85*3424*0.0*103995655*false*887.0107*0.74**0.74*0.05*-0.91*2.29*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2017*2017-01-01*2017-03-31*788*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*3 en una escala de 1 a 7*0.2*0.0**116805.52*3556*0.0*104558846*false*895.1533*0.37**0.37*0.02*1.5*2.12*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2018*2018-07-01*2018-12-31*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.23*-0.19**119618.07*3314*0.0*101497549*false*848.5135*0.76**0.76*0.05*-4.44*4.2*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2018*2018-07-01*2018-09-30*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.06*-0.18**113963.03*3167*0.0*101191397*false*887.9318*0.38**0.38*0.03*0.57*1.98*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2018*2018-01-01*2018-06-30*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.1*-0.12**104689.59*2986*0.0*92434034*false*882.9344*0.74**0.74*0.05*0.5*2.94*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2018*2018-01-01*2018-03-31*788*atencion.cliente.gescooperativo@cajarural.com*Baa3(MOODY'S)*3 en una escala de 1 a 7*0.14*-0.15**105080.16*3050*0.0*92320444*false*878.5716*0.37**0.37*0.02*-0.72*3.42*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2019*2019-07-01*2019-12-31*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.0*-0.2**220518.53*6451*0.0*200288208*false*908.2602*0.75**0.75*0.05*0.73*2.62*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2019*2019-07-01*2019-09-30*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.0*-0.15**142165.66*4083*0.0*128192169*false*901.7098*0.38**0.38*0.03*2.01*3.75*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25 FI*81565806*Semester 1 2019*2019-01-01*2019-06-30*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.16*-0.18**130495.3*3690*0.0*115346274*false*883.9114*0.74**0.74*0.05*0.66*3.08*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2019*2019-01-01*2019-03-31*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.1*-0.2**125239.51*3506*0.0*109972510*false*878.0975*0.37**0.37*0.02*3.49*3.28*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 2 2020*2020-07-01*2020-12-31*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.24*-0.37**344324.01*10543*0.0*307129614*false*891.9785*0.75**0.75*0.05*1.72*3.26*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 3 2020*2020-07-01*2020-09-30*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.03*-0.39**339315.71*10106*0.0*297550701*false*876.914*0.38**0.38*0.03*-0.28*3.33*0.41*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Semester 1 2020*2020-01-01*2020-06-30*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.13*-0.29**321686.69*9516*0.0*282882300*false*879.3721*0.74**0.74*0.05*3.18*5.41*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
RURAL MIXTO INTERNACIONAL 25, FI*RURAL MIXTO INTERNACIONAL 25*81565806*Trimester 1 2020*2020-01-01*2020-03-31*788*atencion.cliente.gescooperativo@cajarural.com*BBB (FITCH)*3 en una escala de 1 a 7*0.0*-0.23**295201.63*8673*0.0*251593506*false*852.2768*0.37**0.37*0.02*-6.16*10.84*0.4*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*ES0174406035
