fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2009*2009-07-01*2009-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Alto*1.7*0.27**285057.57*102*0.0*3456360*false*12.1251***0.34*0.05*-0.26*16.24*0.24*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2012*2012-07-01*2012-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.44*0.1**2019146.35*100*0.0*25993044*false*12.8733*0.07**0.07*0.03***0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2012*2012-01-01*2012-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.58*0.24**2019146.35*100*0.0*25532283*false*12.6451*0.15**0.15*0.05*-0.91*1.64*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2012*2012-01-01*2012-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.32*0.23**2019210.35*101*0.0*25767690*false*12.7613*0.07**0.07*0.02*1.58*1.03*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2013*2013-07-01*2013-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.37*0.06**2172804.36*99*0.0*29624732*false*13.6343*0.14**0.14*0.05*1.36*0.65*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2013*2013-07-01*2013-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.73*0.04**2172704.36*98*0.0*29225750*false*13.4513*0.07**0.07*0.03*1.52*0.91*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2013*2013-01-01*2013-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.83*0.04**2172704.36*98*0.0*28786934*false*13.2494*0.14**0.14*0.05*-0.05*1.5*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2013*2013-01-01*2013-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.36*0.04**2172712.64*104*0.0*28802849*false*13.2566*0.07**0.07*0.02*1.27*0.64*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2014*2014-07-01*2014-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.25*0.01**2172498.21*117*0.0*30347084*false*13.9688*0.05**0.05*0.03*-0.05*1.11*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2014*2014-01-01*2014-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.01*0.15**2172500.77*119*0.0*30363186*false*13.9761*0.12**0.12*0.05*0.9*1.11*0.08*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2014*2014-01-01*2014-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.33*0.13**2172502.77*120*0.0*30091505*false*13.8511*0.06**0.06*0.02*1.59*1.15*0.09*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2013*2013-07-01*2013-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.37*0.06**2172804.36*99*0.0*29624732*false*13.6343*0.14**0.14*0.05*1.36*0.65*0.1*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2015*2015-07-01*2015-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.01*0.0**2171020.68*123*0.0*29777502*false*13.7159*0.05**0.05*0.03*-1.4*1.78*0.07*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2015*2015-01-01*2015-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.31*0.0**2171008.68*111*0.0*30201510*false*13.9113*0.09**0.09*0.05*-0.09*1.36*0.07*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2015*2015-01-01*2015-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.11*0.0**2171009.68*112*0.0*30230114*false*13.9244*0.05**0.05*0.02*0.98*1.3*0.07*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2014*2014-07-01*2014-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.54*0.01**2172495.2*115*0.0*29957681*false*13.7895*0.1**0.1*0.05*-1.28*1.79*0.07*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2016*2016-07-01*2016-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.48*0.0**2164304.58*119*0.0*30542604*false*14.112*0.09**0.09*0.05*0.72*0.65*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2016*2016-07-01*2016-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.48*0.0**2164304.58*119*0.0*30325131*false*14.0115*0.05**0.05*0.03*1.43*1.06*0.19*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2016*2016-01-01*2016-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.24*0.0**2164305.58*120*0.0*29897636*false*13.814*0.09**0.09*0.05*0.57*2.02*0.22*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2016*2016-01-01*2016-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.24*0.0**2171018.5*121*0.0*29819625*false*13.7353*0.05**0.05*0.02*-0.42*2.54*0.07*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2017*2017-07-01*2017-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.57*0.0**2164304.56*119*0.0*31083794*false*14.362*0.09**0.09*0.05*0.3*0.58*0.17*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2017*2017-07-01*2017-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.57*0.0**2164306.58*121*0.0*30989401*false*14.3184*0.05**0.05*0.03*0.53*0.54*0.17*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2017*2017-01-01*2017-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.13*0.0**2164303.58*118*0.0*30824687*false*14.2423*0.09**0.09*0.05*0.44*0.73*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2017*2017-01-01*2017-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.0**2164304.58*119*0.0*30689091*false*14.1797*0.04**0.04*0.02*0.48*0.5*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2018*2018-07-01*2018-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.22*0.0**2153283.1*109*0.0*30277147*false*14.0609*0.09**0.09*0.05*-1.35*0.98*0.13*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2018*2018-07-01*2018-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.22*0.0**2159366.76*112*0.0*30778298*false*14.2534*0.05**0.05*0.03*0.42*0.67*0.13*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2018*2018-01-01*2018-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*1.55*0.0**2164108.03*116*0.0*30717735*false*14.1942*0.09**0.09*0.05*-0.88*1.03*0.22*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2018*2018-01-01*2018-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.4*0.0**2164108.03*116*0.0*30989297*false*14.3197*0.04**0.04*0.02*-0.29*0.89*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2019*2019-07-01*2019-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.85*-0.41**2153286.09*114*0.0*30595283*false*14.2086*0.13**0.13*0.05*-0.04*0.2*0.14*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2019*2019-07-01*2019-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.85*-0.37**2153293.01*120*0.0*30609135*false*14.215*0.06**0.06*0.03*-0.05*0.24*0.14*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2019*2019-01-01*2019-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.62*-0.13**2153293.01*120*0.0*30625545*false*14.2227*0.11**0.11*0.05*0.33*0.42*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2019*2019-01-01*2019-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.37*0.0**2153293.01*120*0.0*30525218*false*14.1761*0.05**0.05*0.02*0.82*0.71*0.13*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 2 2020*2020-07-01*2020-12-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.91*-0.47**2067859.63*110*0.0*29819262*false*14.4204*0.09**0.09*0.05*1.6*1.06*0.14*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 3 2020*2020-07-01*2020-09-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.65*-0.46**2153282.09*110*0.0*30563514*false*14.1939*0.05**0.05*0.03*0.89*0.85*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Semester 1 2020*2020-01-01*2020-06-30*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.83*-0.54**2153283.09*111*0.0*30295238*false*14.0693*0.13**0.13*0.05*1.19*0.95*0.14*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
TARFONDO, FI*TARFONDO FI*80095789*Trimester 1 2020*2020-01-01*2020-03-31*268*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.24*-0.53**2153286.09*114*0.0*29939658*false*13.9042*0.06**0.06*0.02*-2.14*1.59*0.14*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*ES0177975036
