fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Trimester 3 2009*2009-07-01*2009-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*ALTO*0.16*0.67****0.0**false****0.44*0.05*8.38*9.41*0.49*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE MULTISELECCION F.I.*83053199*Semester 2 2016*2016-07-01*2016-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**7371407.89*2484*0.0*63511000*false*8.6159*0.88**0.88*0.1*5.68*9.89*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 2 2018*2018-07-01*2018-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.13*0.0**19246617.07*4888*0.0*167110000*false*8.6825*0.88**0.88*0.1*-12.26*14.6*0.7*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 3 2018*2018-07-01*2018-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.03*0.0**19222395.29*5005*0.0*190233000*false*9.8964*0.44**0.44*0.05*2.05*5.74*0.69*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 1 2018*2018-01-01*2018-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.23*0.0**18725931.77*4888*0.0*181589000*false*9.6972*0.87**0.87*0.1*3.78*6.98*0.69*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 1 2018*2018-01-01*2018-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.04*0.0**17400177.83*4733*0.0*162585000*false*9.3435*0.43**0.43*0.05*-2.73*10.64*0.68*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 2 2019*2019-07-01*2019-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.0*0.0**18222719.99*4701*0.0*196265000*false*10.7704*0.88**0.88*0.1*4.71*8.14*0.69*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 3 2019*2019-07-01*2019-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.02*0.0**18693543.92*4663*0.0*192275000*false*10.2856*0.44**0.44*0.05*3.23*10.4*0.69*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 1 2019*2019-01-01*2019-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.0*0.0**18567476.22*4721*0.0*184999000*false*9.9636*0.87**0.87*0.1*2.04*9.05*0.68*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 1 2019*2019-01-01*2019-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *no disponible*5 en escala de 1 a 7*0.03*0.0**19079820.05*4767*0.0*186300000*false*9.7643*0.43**0.43*0.05*12.45*9.38*0.67*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 2 2020*2020-07-01*2020-12-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.02*-0.62**18486684.08*5047*0.0*225776000*false*12.2129*0.88**0.88*0.1*8.67*11.44*0.68*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 3 2020*2020-07-01*2020-09-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.06*-0.27**18151238.51*4773*0.0*203977000*false*11.2376*0.44**0.44*0.05*5.59*13.09*0.68*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Semester 1 2020*2020-01-01*2020-06-30*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.09*0.08**18231871.46*4774*0.0*194024000*false*10.642*0.87**0.87*0.1*19.39*19.2*0.66*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
FONDMAPFRE GLOBAL, FI*FONDMAPFRE GLOBAL F.I.*83053199*Trimester 1 2020*2020-01-01*2020-03-31*2534*CONTACTE.INVERMAP@MAPFRE.COM                                                    *A+                  *5 en escala de 1 a 7*0.05*0.47**17654679.52*4636*0.0*157355000*false*8.9129*0.43**0.43*0.05*-17.24*36.98*0.68*MAPFRE ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
