fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2009*2009-07-01*2009-12-31*3936*edm@edm.es*A+  (S&P)*Medio*0.09*0.07**7760229.89*152*0.0*6643398*false*0.8561***0.88*0.05*0.13*10.56*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2012*2012-07-01*2012-12-31*3936*edm@edm.es*A+  (S&P)*Medio*0.11*0.0**9319100.53*158*0.0*8004424*false*0.8589*0.88**0.88*0.05*7.32*11.42*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2012*2012-07-01*2012-09-30*3936*edm@edm.es*A+  (S&P)*Medio*0.11*0.0**8853907.53*150*0.0*7085844*false*0.8003*0.44**0.44*0.02*10.2*20.9*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2012*2012-01-01*2012-06-30*3936*edm@edm.es*A+  (S&P)*Medio*0.25*0.01**8576932.63*149*0.0*6228878*false*0.7262*0.87**0.87*0.05*-6.22*20.93*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2012*2012-01-01*2012-03-31*3936*edm@edm.es*A+  (S&P)*Medio*0.16*0.02**8099037.1*142*0.0*6271950*false*0.7744*0.44**0.44*0.02*2.54*12.71*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2013*2013-07-01*2013-09-30*3936*edm@edm.es*A+  (S&P)*Medio*0.04*0.0**15371751.31*234*0.0*16574736*false*1.0783*0.44**0.44*0.03*12.06*11.39*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2013*2013-01-01*2013-06-30*3936*edm@edm.es*A+  (S&P)*Medio*0.0*0.0**11597542.65*210*0.0*11159801*false*0.9623*0.87**0.87*0.05*4.05*13.93*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2013*2013-01-01*2013-03-31*3936*edm@edm.es*A+  (S&P)*Medio*0.0*0.0**10110139.62*183*0.0*9350306*false*0.9248*0.43**0.43*0.02*7.67*14.49*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2012*2012-07-01*2012-12-31*3936*edm@edm.es*A+  (S&P)*Medio*0.11*0.0**9319100.53*158*0.0*8004424*false*0.8589*0.88**0.88*0.05*7.32*11.42*0.49*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2014*2014-07-01*2014-12-31*3936*edm@edm.es*A   (S&P)*Medio*0.16*0.0**31292399.62*398*0.0*36990746*false*1.1821*0.88**0.88*0.05*-3.36*18.29*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2014*2014-07-01*2014-09-30*3936*edm@edm.es*A   (S&P)*Medio*0.14*0.0**27227766.15*359*0.0*33304775*false*1.2232*0.44**0.44*0.03*-5.33*12.0*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2014*2014-01-01*2014-06-30*3936*edm@edm.es*A+  (S&P)*Medio*0.0*0.0**25013976.8*333*0.0*32317886*false*1.292*0.87**0.87*0.05*4.78*9.13*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2014*2014-01-01*2014-03-31*3936*edm@edm.es*A+  (S&P)*Medio*0.0*0.0**22274762.5*307*0.0*27465832*false*1.233*0.43**0.43*0.02*6.05*11.67*0.46*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 3 2015*2015-07-01*2015-09-30*3936*edm@edm.es*A   (S&P)*Medio*0.12*0.0**38337680.36*470*0.0*44514525*false*1.1611*0.44**0.44*0.03*-12.83*21.98*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 1 2015*2015-01-01*2015-06-30*3936*edm@edm.es*A   (S&P)*Medio*0.0*0.0**36103944.81*450*0.0*48093146*false*1.3321*0.87**0.87*0.05*-2.75*13.48*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2015*2015-01-01*2015-03-31*3936*edm@edm.es*A   (S&P)*Medio*0.0*0.0**32594217.42*425*0.0*44644780*false*1.3697*0.43**0.43*0.02*15.88*13.97*0.46*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Semester 2 2014*2014-07-01*2014-12-31*3936*edm@edm.es*A   (S&P)*Medio*0.16*0.0**31292399.62*398*0.0*36990746*false*1.1821*0.88**0.88*0.05*-3.36*18.29*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 2 2016*2016-07-01*2016-12-31*3936*edm@edm.es*n.d.*Medio*0.18*0.0**40184067.19*446*0.0*53825551*false*1.3395*0.88*[]*0.88*0.1*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 2 2016*2016-07-01*2016-12-31*3936*edm@edm.es*n.d.*Medio*0.18*0.0**1192592.72*24*0.0*1618258*false*1.3569*1.12*[]*1.12*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 3 2016*2016-07-01*2016-09-30*3936*edm@edm.es*n.d.*Medio*0.1*0.0**38864621.39*453*0.0*49802463*false*1.2814*0.44*[]*0.44*0.01*8.16*13.29*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 3 2016*2016-07-01*2016-09-30*3936*edm@edm.es*n.d.*Medio*0.1*0.0**743146.62*14*0.0*965912*false*1.2998*0.56*[]*0.56*0.02*8.02*13.28*0.59*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 1 2016*2016-01-01*2016-06-30*3936*edm@edm.es*n.d.*Medio*0.13*0.0**38959685.34*457*0.0*46157804*false*1.1848*0.85*[]*0.85*-0.01*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 1 2016*2016-01-01*2016-06-30*3936*edm@edm.es*n.d.*Medio*0.13*0.0**229210.07*4*0.0*275788*false*1.2032*0.35*[]*0.35*0.02*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI*64746845*Trimester 1 2016*2016-01-01*2016-03-31*3936*edm@edm.es*n.d.*Medio*0.1*0.0**39235156.85*469*0.0*46476444*false*1.1846*0.44**0.44*0.02*-3.88*22.94*0.46*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 3 2017*2017-07-01*2017-09-30*3936*edm@edm.es*n.d.*Medio*0.06*0.0**37770211.77*429*0.0*55345592*false*1.4653*0.44*[]*0.44*0.03*-2.2*8.05*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 3 2017*2017-07-01*2017-09-30*3936*edm@edm.es*n.d.*Medio*0.06*0.0**2585845.98*62*0.0*3824133*false*1.4789*0.57*[]*0.57*0.03*-2.32*8.05*0.6*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 1 2017*2017-01-01*2017-06-30*3936*edm@edm.es*n.d.*Medio*0.07*0.0**37088222.93*433*0.0*55569684*false*1.4983*0.87*[]*0.87*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 1 2017*2017-01-01*2017-06-30*3936*edm@edm.es*n.d.*Medio*0.07*0.0**2429937.71*56*0.0*3679096*false*1.5141*1.11*[]*1.11*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 1 2017*2017-01-01*2017-03-31*3936*edm@edm.es*n.d.*Medio*0.03*0.0**38499452.91*439*0.0*55551835*false*1.4429*0.43*[]*0.43*0.02*7.72*7.15*0.46*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 1 2017*2017-01-01*2017-03-31*3936*edm@edm.es*n.d.*Medio*0.03*0.0**2975265.37*46*0.0*4343652*false*1.4599*0.55*[]*0.55*0.02*7.59*7.16*0.58*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 2 2016*2016-07-01*2016-12-31*3936*edm@edm.es*n.d.*Medio*0.18*0.0**40184067.19*446*0.0*53825551*false*1.3395*0.88*[]*0.88*0.1*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 2 2016*2016-07-01*2016-12-31*3936*edm@edm.es*n.d.*Medio*0.18*0.0**1192592.72*24*0.0*1618258*false*1.3569*1.12*[]*1.12*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 3 2018*2018-07-01*2018-09-30*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.03*0.0**49352087.6*426*0.0*73005750*false*1.4793*0.44*0.0*0.44*0.03*-1.22*8.21*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 3 2018*2018-07-01*2018-09-30*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.03*0.0**4614312.6*126*0.0*6853122*false*1.4852*0.57*0.0*0.57*0.03*-1.37*8.21*0.6*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 1 2018*2018-01-01*2018-06-30*3936*edm@edm.es*n.d.*Medio*0.13*0.0**48263980.64*427*0.0*72280327*false*1.4976*0.87*[]*0.87*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 1 2018*2018-01-01*2018-06-30*3936*edm@edm.es*n.d.*Medio*0.13*0.0**4056678.14*108*0.0*6108576*false*1.5058*1.11*[]*1.11*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 1 2018*2018-01-01*2018-03-31*3936*edm@edm.es*n.d.*Medio*0.01*0.0**45280414.25*426*0.0*66510188*false*1.4689*0.43*[]*0.43*0.02*0.09*11.31*0.46*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 1 2018*2018-01-01*2018-03-31*3936*edm@edm.es*n.d.*Medio*0.01*0.0**3326471.21*82*0.0*4918984*false*1.4787*0.55*[]*0.55*0.02*-0.03*11.31*0.58*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 2 2017*2017-07-01*2017-12-31*3936*edm@edm.es*n.d.*Medio*0.06*0.0**38799667.44*427*0.0*56937658*false*1.4675*0.88*[]*0.88*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 2 2017*2017-07-01*2017-12-31*3936*edm@edm.es*n.d.*Medio*0.06*0.0**3101287.17*68*0.0*4587361*false*1.4792*1.13*[]*1.13*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 3 2019*2019-07-01*2019-09-30*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.06*-0.6**41117305.16*383*0.0*57806289*false*1.4059*0.44*0.0*0.44*0.03*-2.57*12.64*0.48*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 3 2019*2019-07-01*2019-09-30*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.06*-0.6**3153840.56*104*0.0*4429422*false*1.4045*0.57*0.0*0.57*0.03*-2.69*12.64*0.61*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 1 2019*2019-01-01*2019-06-30*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.09*0.0**41239151.88*390*0.0*59505448*false*1.4429*0.87*0.0*0.87*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 1 2019*2019-01-01*2019-06-30*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.09*0.0**3536079.65*110*0.0*5103496*false*1.4433*1.12*0.0*1.12*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Trimester 1 2019*2019-01-01*2019-03-31*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.04*0.0**42862209.87*401*0.0*61943841*false*1.4452*0.43*0.0*0.43*0.02*9.79*12.58*0.47*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Trimester 1 2019*2019-01-01*2019-03-31*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.04*0.0**4223640.09*120*0.0*6112871*false*1.4473*0.55*0.0*0.55*0.02*9.65*12.58*0.59*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE A*64746845*Semester 2 2018*2018-07-01*2018-12-31*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.09*0.0**49242453.16*411*0.0*64821329*false*1.3164*0.88*0.0*0.88*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
RADAR INVERSIÓN, FI*RADAR INVERSION FI CLASE B*64746845*Semester 2 2018*2018-07-01*2018-12-31*3936*edm@edm.es*nd*5 (En una escala del 1 al 7)*0.09*0.0**4350954.39*127*0.0*5742854*false*1.3199*1.13*0.0*1.13*0.05*[]*[]*[]*EDM GESTION, SOCIEDAD ANONIMA UNIPERSONAL, S.G.I.I.C.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
