fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2009*2009-07-01*2009-12-31*3669*fondos@segurosbilbao.com*ND*Medio*0.09*0.28**855980.5*745*0.0*18320119*false*21.4025***0.3*0.04*0.08*0.1*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2012*2012-07-01*2012-12-31*3669*fondos@segurosbilbao.com*BBB- (S&P)*Medio*0.07*0.23**531856.83*389*0.0*11719043*false*22.0342*0.3*0.0*0.3*0.04*0.6*0.25*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2012*2012-07-01*2012-09-30*3669*fondos@segurosbilbao.com*ND*Medio*0.04*0.23**545645.49*375*0.0*11951261*false*21.903*0.15*0.0*0.15*0.02*0.93*0.67*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2012*2012-01-01*2012-06-30*3669*fondos@segurosbilbao.com*ND*Medio*0.22*0.28**550653.25*378*0.0*11949863*false*21.7012*0.3*0.0*0.3*0.04*-0.71*0.77*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2012*2012-01-01*2012-03-31*3669*fondos@segurosbilbao.com*ND*Medio*0.06*0.27**533626.18*387*0.0*11663164*false*21.8564*0.15*0.0*0.15*0.02*0.98*0.36*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2013*2013-07-01*2013-09-30*3669*fondos@segurosbilbao.com*BBB- (S&P)*Medio*0.04*0.25**384561.66*371*0.0*8554429*false*22.2446*0.15*0.0*0.15*0.02*0.37*0.27*0.19*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2013*2013-01-01*2013-06-30*3669*fondos@segurosbilbao.com*BBB- (S&P)*Medio*0.31*0.22**391310.59*372*0.0*8672602*false*22.163*0.3*0.0*0.3*0.04*0.22*0.36*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2013*2013-01-01*2013-03-31*3669*fondos@segurosbilbao.com*BBB- (S&P)*Medio*0.22*0.13**438895.98*382*0.0*9705755*false*22.114*0.15*0.0*0.15*0.02*0.36*0.23*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2012*2012-07-01*2012-12-31*3669*fondos@segurosbilbao.com*BBB- (S&P)*Medio*0.07*0.23**531856.83*389*0.0*11719043*false*22.0342*0.3*0.0*0.3*0.04*0.6*0.25*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2014*2014-07-01*2014-12-31*3669*fondos@segurosbilbao.com*BBB (S&P)*Medio*0.22*0.2**339187.71*339*0.0*7607406*false*22.4283*0.25*0.0*0.25*0.04***0.13*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2014*2014-07-01*2014-09-30*3669*fondos@segurosbilbao.com*BBB (S&P)*Medio*0.0*0.26**329637.47*344*0.0*7394467*false*22.4321*0.15*0.0*0.15*0.02*0.06*0.14*0.19*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2014*2014-01-01*2014-06-30*3669*fondos@segurosbilbao.com*BBB (S&P)*Medio*0.45*0.26**353509.84*345*0.0*7925500*false*22.4195*0.3*0.0*0.3*0.04*0.21*0.19*0.19*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2014*2014-01-01*2014-03-31*3669*fondos@segurosbilbao.com*BBB- (S&P)*Medio*0.32*0.25**351910.36*359*0.0*7873304*false*22.373*0.15*0.0*0.15*0.02*0.32*0.28*0.18*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2015*2015-07-01*2015-12-31*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.08*0.14**405599.59*317*0.0*9148139*false*22.5546*0.13*0.0*0.13*0.03*0.54*0.89*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2015*2015-07-01*2015-09-30*3669*fondos@catalanaoccidente.com*BBB (S&P)*Medio*0.11*0.16**402041.24*315*0.0*9019013*false*22.4331*0.06*0.0*0.06*0.01*0.44*0.87*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2015*2015-01-01*2015-06-30*3669*fondos@catalanaoccidente.com*BBB (S&P)*Medio*0.32*0.15**341015.39*327*0.0*7616231*false*22.334*0.12*0.0*0.12*0.03*-1.01*1.25*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2015*2015-01-01*2015-03-31*3669*fondos@catalanaoccidente.com*BBB (S&P)*Medio*0.22*0.16**337353.29*330*0.0*7611623*false*22.5628*0.06*0.0*0.06*0.01*0.6*0.62*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 2 2016*2016-07-01*2016-12-31*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.0*0.0**431125.46*317*0.0*9844556*false*22.8346*0.13*0.0*0.13*0.03*-0.09*0.53*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 3 2016*2016-07-01*2016-09-30*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.0*0.0**389281.42*311*0.0*8897047*false*22.8551*0.06*0.0*0.06*0.01*0.37*0.42*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2016*2016-01-01*2016-06-30*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.37*0.02**392818.47*313*0.0*8944991*false*22.7713*0.12*0.0*0.12*0.02*0.41*0.73*0.1*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2016*2016-01-01*2016-03-31*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.24*0.04**405901.03*314*0.0*9205482*false*22.6791*0.06*0.0*0.06*0.01*0.55*0.78*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Semester 2 2017*2017-07-01*2017-12-31*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.0*-0.4**1770925.35*358*0.0*40459491*false*22.8465*0.13*0.0*0.13*0.02*-0.1*0.25*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Trimester 3 2017*2017-07-01*2017-09-30*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Conservador*0.0*-0.36**469737.96*330*0.0*10742174*false*22.8684*0.06*0.0*0.06*0.01*0.07*0.28*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Semester 1 2017*2017-01-01*2017-06-30*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.02*-0.17**435521.97*326*0.0*9952764*false*22.8525*0.12*0.0*0.12*0.02*0.06*0.35*0.09*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*Fonbilbao Corto Plazo, FI*78408622*Trimester 1 2017*2017-01-01*2017-03-31*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Medio*0.06*0.0**429717.69*315*0.0*9814533*false*22.8395*0.06*0.0*0.06*0.01*0.02*0.44*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Semester 2 2018*2018-07-01*2018-12-31*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.29**1567482.92*348*0.0*35484225*false*22.6377*0.13*0.0*0.13*0.02*-0.56*0.37*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Trimester 3 2018*2018-07-01*2018-09-30*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.01*-0.01**1655375.75*359*0.0*37685621*false*22.7656*0.06*0.0*0.06*0.01*-0.11*0.24*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Semester 1 2018*2018-01-01*2018-06-30*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.02**1709949.08*351*0.0*38969577*false*22.7899*0.12*0.0*0.12*0.02*-0.2*0.49*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Trimester 1 2018*2018-01-01*2018-03-31*3669*fondos@catalanaoccidente.com*BBB+ (S&P)*Conservador*0.0*-0.02**1588715.94*349*0.0*36278831*false*22.8353*0.06*0.0*0.06*0.01*-0.05*0.27*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Semester 2 2019*2019-07-01*2019-12-31*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.38**1825560.47*363*0.0*41744321*false*22.8666*0.13*0.0*0.13*0.02*-0.21*0.48*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Trimester 3 2019*2019-07-01*2019-09-30*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.06*-0.37**1672031.6*351*0.0*38314888*false*22.9152*0.06*0.0*0.06*0.01*0.12*0.44*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Semester 1 2019*2019-01-01*2019-06-30*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.34**1647936.55*354*0.0*37715771*false*22.8867*0.12*0.0*0.12*0.02*0.4*0.38*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Corto Plazo, FI*78408622*Trimester 1 2019*2019-01-01*2019-03-31*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.31**1675150.25*345*0.0*38185319*false*22.7952*0.06*0.0*0.06*0.01*0.7*0.39*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Semester 2 2020*2020-07-01*2020-12-31*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.47**1958617.87*362*0.0*44981149*false*22.9658*0.13*0.0*0.13*0.02*0.47*0.39*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Trimester 3 2020*2020-07-01*2020-09-30*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.47**1867948.49*362*0.0*42696479*false*22.8574*0.06*0.0*0.06*0.01*1.02*0.59*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Semester 1 2020*2020-01-01*2020-06-30*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.46**1772137.29*371*0.0*40095542*false*22.6255*0.12*0.0*0.12*0.02*2.09*1.52*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
GCO AHORRO, FI*GCO Ahorro, FI*78408622*Trimester 1 2020*2020-01-01*2020-03-31*3669*fondos@catalanaoccidente.com*A- (S&P)*Conservador*0.0*-0.45**1873102.85*390*0.0*41513158*false*22.1628*0.06*0.0*0.06*0.01*-3.08*2.29*0.08*GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC*BANCO BILBAO VIZCAYA ARGENTARIA, S.A.*ES0138812039
