fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL SELECCION CONSERVADORA, FI*RURAL TOLEDO I FI*81605214*2009 T3*2009-07-01*2009-09-30*840*atencionalcliente@caam.com*Aa3*Conservador*0.0*0.3**91341.27*302*0.0*7053078*false *77.2168***0.25*0.02*-0.16*0.08*0.32*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2014 S2*2014-07-01*2014-12-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.26*0.01**283712.53*790*0.0*23347278*false*82.292*0.5*0.0*0.5*0.04*0.4*0.64*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2014 T3*2014-07-01*2014-09-30*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.01*0.0**297380.25*823*0.0*24374576*false*81.9643*0.25*0.0*0.25*0.02*0.28*0.3*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2014 S1*2014-01-01*2014-06-30*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.3*0.12**323337.86*877*0.0*26428998*false*81.738*0.5*0.0*0.5*0.04*0.13*0.04*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2014 T1*2014-01-01*2014-03-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.3*0.11**356312.8*934*0.0*29085488*false*81.6291*0.25*0.0*0.25*0.02*0.08*0.04*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2015 T3*2015-07-01*2015-09-30*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.0*0.0**234149.1*705*0.0*19067377*false*81.4326*0.25*0.0*0.25*0.02*-0.25*0.8*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2015 S1*2015-01-01*2015-06-30*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.06*0.0**244200.21*720*0.0*19934792*false*81.633*0.5*0.0*0.5*0.04*-1.99*1.74*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2015 T1*2015-01-01*2015-03-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.05*0.0**258822.68*758*0.0*21556398*false*83.2864*0.25*0.0*0.25*0.02*1.21*1.27*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2014 S2*2014-07-01*2014-12-31*840*informacioncomercial@amundi.com*n.d.*2 en una escala de 1 a 7.*0.26*0.01**283712.53*790*0.0*23347278*false*82.292*0.5*0.0*0.5*0.04*0.4*0.64*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2016 S2*2016-07-01*2016-12-31*840*N/D*ND*2 en una escala de 1 a 7*0.28*0.49**254918.7*806*0.0*20996527*false*82.3656*0.5*0.0*0.5*0.04*0.61*1.04*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2016 T3*2016-07-01*2016-09-30*840*N/D*ND*2 en una escala de 1 a 7*0.09*0.07**262561.3*814*0.0*21494965*false*81.8665*0.25*0.0*0.25*0.02*0.76*1.03*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2016 S1*2016-01-01*2016-06-30*840*N/D*ND*2 en una escala de 1 a 7*0.59*0.27**246785.26*784*0.0*20051692*false*81.2516*0.5*0.0*0.5*0.04*0.53*1.59*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2016 T1*2016-01-01*2016-03-31*840*N/D*ND*2 en una escala de 1 a 7*0.45*0.3**250058.37*790*0.0*20211049*false*80.8253*0.25*0.0*0.25*0.02*-0.39*3.16*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2017 S2*2017-07-01*2017-12-31*840*N/D*ND*2 en una escala de 1 a 7*0.08*0.0**449171.16*1429*0.0*37713570*false*83.9626*0.5*0.0*0.5*0.04*0.51*0.67*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2017 T3*2017-07-01*2017-09-30*840*N/D*ND*2 en una escala de 1 a 7*0.18*0.0**364564.66*1176*0.0*30455640*false*83.5397*0.25*0.0*0.25*0.02*0.33*0.69*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2017 S1*2017-01-01*2017-06-30*840*N/D*ND*2 en una escala de 1 a 7*0.29*0.0**321786.53*1024*0.0*26792652*false*83.2622*0.5*0.0*0.5*0.04*0.27*1.03*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL CASTILLA LA MANCHA FI*81605214*2017 T1*2017-01-01*2017-03-31*840*N/D*ND*2 en una escala de 1 a 7*0.13*0.0**297988.85*930*0.0*24745328*false*83.0411*0.25*0.0*0.25*0.02*0.82*1.01*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2018 S2*2018-07-01*2018-12-31*840*N/D*ND*2 en una escala de 1 a 7*0.2*0.0**730849.99*2122*0.0*59648764*false*81.6156*0.5*0.0*0.5*0.04*-1.7*1.14*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2018 T3*2018-07-01*2018-09-30*840*N/D*ND*2 en una escala de 1 a 7*0.09*0.0**687114.91*1921*0.0*57048106*false*83.0256*0.25*0.0*0.25*0.02*0.08*0.7*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2018 S1*2018-01-01*2018-06-30*840*N/D*ND*2 en una escala de 1 a 7*0.47*0.0**674183.28*1908*0.0*55929898*false*82.9595*0.5*0.0*0.5*0.04*-1.64*1.14*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2018 T1*2018-01-01*2018-03-31*840*N/D*ND*2 en una escala de 1 a 7*0.34*0.0**597303.44*1742*0.0*50375935*false*84.3389*0.25*0.0*0.25*0.02*0.45*1.08*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2019 S2*2019-07-01*2019-12-31*840*N/D*ND*2 en una escala de 1 a 7*0.88*-0.04**901241.16*2418*0.0*75051444*false*83.2757*0.5*0.0*0.5*0.04*0.4*0.99*0.29*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2019 T3*2019-07-01*2019-09-30*840*N/D*ND*2 en una escala de 1 a 7*0.62*0.03**840171.53*2299*0.0*69684936*false*82.9413*0.25*0.0*0.25*0.02*0.42*1.09*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2019 S1*2019-01-01*2019-06-30*840*N/D*ND*2 en una escala de 1 a 7*1.1*0.0**856781.92*2327*0.0*70764888*false*82.5938*0.5*0.0*0.5*0.04*0.51*0.98*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2019 T1*2019-01-01*2019-03-31*840*N/D*ND*2 en una escala de 1 a 7*0.46*0.0**720808.07*2056*0.0*59231218*false*82.1734*0.25*0.0*0.25*0.02*0.68*1.07*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORAFI*81605214*2020 S2*2020-07-01*2020-12-31*840*clientes@mutuactivos.com*N/D*2, en una escala de 1 a 7.*0.38*-0.52**1147566.93*3079*0.0*95166344*false*82.9288*0.5**0.5*0.04*1.16*0.72*0.3*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORAFI*81605214*2020 T3*2020-07-01*2020-09-30*840*clientes@mutuactivos.com*N/D*2, en una escala de 1 a 7.*0.33*-0.5**1030128.59*2693*0.0*84449840*false*81.9799*0.25**0.25*0.02*0.65*0.65*0.28*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORAFI*81605214*2020 S1*2020-01-01*2020-06-30*840*clientes@mutuactivos.com*N/D*2, en una escala de 1 a 7.*0.0*-0.08**998874.11*2628*0.0*81356942*false*81.4486*0.49**0.49*0.04*1.66*1.59*0.58*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
RURAL SELECCION CONSERVADORA, FI*RURAL SELECCION CONSERVADORA, FI*81605214*2020 T1*2020-01-01*2020-03-31*840*N/D*ND*2 en una escala de 1 a 7*0.0*-0.02**997220.23*2763*0.0*79894483*false*80.1172*0.25*0.0*0.25*0.02*-3.79*4.31*0.27*MUTUACTIVOS, S.A., S.G.I.I.C.*BANCO INVERSIS, S.A.*ES0174388035
